,open,high,low,close,volume
2019-11-04 14:15:00,30.84,30.865,30.8307,30.86,28142
2019-11-04 14:20:00,30.85,30.86,30.85,30.855,16806
2019-11-04 14:25:00,30.86,30.895,30.8544,30.89,60934
2019-11-04 14:30:00,30.895,30.98,30.89,30.975,117268
2019-11-04 14:35:00,30.975,30.985,30.91,30.91,91483
2019-11-04 14:40:00,30.919,30.98,30.91,30.98,37369
2019-11-04 14:45:00,30.98,30.98,30.925,30.935,34695
2019-11-04 14:50:00,30.93,30.97,30.93,30.94,38378
2019-11-04 14:55:00,30.9412,30.979,30.9395,30.9412,43671
2019-11-04 15:00:00,30.95,30.95,30.92,30.92,56417
2019-11-04 15:05:00,30.9135,30.9453,30.8903,30.901,41654
2019-11-04 15:10:00,30.9,30.925,30.8945,30.92,44802
2019-11-04 15:15:00,30.91,30.92,30.8633,30.875,50387
2019-11-04 15:20:00,30.88,30.9056,30.87,30.9056,48588
2019-11-04 15:25:00,30.9015,30.915,30.88,30.88,46545
2019-11-04 15:30:00,30.88,30.9,30.785,30.8,173628
2019-11-04 15:35:00,30.79,30.83,30.78,30.825,80436
2019-11-04 15:40:00,30.825,30.8781,30.82,30.8781,69234
2019-11-04 15:45:00,30.87,30.92,30.87,30.905,78522
2019-11-04 15:50:00,30.905,30.95,30.89,30.95,108957
2019-11-04 15:55:00,30.95,30.98,30.95,30.96,221384
2019-11-04 16:00:00,30.96,30.97,30.95,30.95,340005
2019-11-05 09:35:00,31.111,31.22,31.03,31.091,222559
2019-11-05 09:40:00,31.15,31.17,31.045,31.045,121762
2019-11-05 09:45:00,31.05,31.28,31.05,31.23,105588
2019-11-05 09:50:00,31.22,31.3099,31.21,31.3099,86510
2019-11-05 09:55:00,31.3013,31.42,31.245,31.4043,132673
2019-11-05 10:00:00,31.4,31.4,31.37,31.39,102494
2019-11-05 10:05:00,31.4,31.54,31.4,31.46,112565
2019-11-05 10:10:00,31.46,31.48,31.3,31.3,141755
2019-11-05 10:15:00,31.301,31.3955,31.2904,31.366,114731
2019-11-05 10:20:00,31.3706,31.4547,31.3446,31.4256,87074
2019-11-05 10:25:00,31.425,31.48,31.41,31.45,66330
2019-11-05 10:30:00,31.45,31.48,31.42,31.43,103467
2019-11-05 10:35:00,31.44,31.45,31.41,31.42,48156
2019-11-05 10:40:00,31.42,31.43,31.36,31.36,57373
2019-11-05 10:45:00,31.37,31.44,31.365,31.38,61001
2019-11-05 10:50:00,31.38,31.38,31.305,31.305,52645
2019-11-05 10:55:00,31.31,31.32,31.28,31.32,65222
2019-11-05 11:00:00,31.33,31.36,31.31,31.36,59494
2019-11-05 11:05:00,31.37,31.38,31.34,31.345,47644
2019-11-05 11:10:00,31.35,31.4,31.345,31.38,37111
2019-11-05 11:15:00,31.38,31.4333,31.38,31.425,56263
2019-11-05 11:20:00,31.43,31.45,31.42,31.44,68057
2019-11-05 11:25:00,31.45,31.48,31.44,31.44,48806
2019-11-05 11:30:00,31.445,31.54,31.44,31.54,77763
2019-11-05 11:35:00,31.5391,31.58,31.47,31.49,78761
2019-11-05 11:40:00,31.49,31.5,31.405,31.43,61140
2019-11-05 11:45:00,31.43,31.48,31.4157,31.48,38958
2019-11-05 11:50:00,31.475,31.475,31.39,31.395,28934
2019-11-05 11:55:00,31.4,31.4,31.355,31.365,39179
2019-11-05 12:00:00,31.37,31.4,31.36,31.4,24111
2019-11-05 12:05:00,31.39,31.39,31.3032,31.31,53369
2019-11-05 12:10:00,31.31,31.35,31.3,31.33,33263
2019-11-05 12:15:00,31.325,31.33,31.3,31.3196,25235
2019-11-05 12:20:00,31.3125,31.355,31.3125,31.33,45248
2019-11-05 12:25:00,31.34,31.365,31.25,31.275,69213
2019-11-05 12:30:00,31.27,31.2886,31.187,31.195,66417
2019-11-05 12:35:00,31.19,31.21,31.15,31.16,54217
2019-11-05 12:40:00,31.1632,31.17,31.155,31.165,26769
2019-11-05 12:45:00,31.1625,31.175,31.15,31.165,30824
2019-11-05 12:50:00,31.17,31.195,31.155,31.19,30050
2019-11-05 12:55:00,31.195,31.225,31.19,31.19,29531
2019-11-05 13:00:00,31.19,31.22,31.19,31.22,32831
