,open,high,low,close,volume
2019-11-04 14:15:00,256.74,256.84,256.65,256.68,110583
2019-11-04 14:20:00,256.69,256.6999,256.565,256.65,116649
2019-11-04 14:25:00,256.65,256.74,256.638,256.719,97954
2019-11-04 14:30:00,256.712,256.76,256.62,256.72,114507
2019-11-04 14:35:00,256.71,256.91,256.69,256.89,146015
2019-11-04 14:40:00,256.89,256.92,256.8,256.8591,110827
2019-11-04 14:45:00,256.86,257.0,256.82,256.9464,138079
2019-11-04 14:50:00,256.9442,256.95799999999997,256.85,256.94,125038
2019-11-04 14:55:00,256.93,257.15,256.91,257.12,296681
2019-11-04 15:00:00,257.14,257.37,257.14,257.37,242328
2019-11-04 15:05:00,257.355,257.5,257.3,257.49,245388
2019-11-04 15:10:00,257.4922,257.763,257.4428,257.4642,315225
2019-11-04 15:15:00,257.465,257.465,256.92,256.95,286683
2019-11-04 15:20:00,256.95,257.09,256.91,256.96,159652
2019-11-04 15:25:00,256.9548,257.14,256.94,257.055,155148
2019-11-04 15:30:00,257.0554,257.233,257.013,257.2329,202165
2019-11-04 15:35:00,257.24,257.425,257.2,257.425,265364
2019-11-04 15:40:00,257.43,257.47,257.15,257.2,277543
2019-11-04 15:45:00,257.2,257.34,257.2,257.2858,193205
2019-11-04 15:50:00,257.29,257.5,257.26,257.45,250166
2019-11-04 15:55:00,257.46,257.845,257.45,257.55,596345
2019-11-04 16:00:00,257.58,257.69,257.22,257.48,765227
2019-11-05 09:35:00,256.7183,257.14,256.6395,256.8076,1264572
2019-11-05 09:40:00,256.805,256.93,256.41,256.715,499274
2019-11-05 09:45:00,256.685,257.14,256.6798,256.95,429983
2019-11-05 09:50:00,256.92,257.29,256.84,257.29,356334
2019-11-05 09:55:00,257.44,257.58,257.14,257.33,450959
2019-11-05 10:00:00,257.23,257.52,257.17,257.32,317328
2019-11-05 10:05:00,257.32,257.95,257.32,257.4839,497976
2019-11-05 10:10:00,257.485,257.5199,256.89,257.11,494654
2019-11-05 10:15:00,257.1083,257.5403,256.9598,257.2183,369822
2019-11-05 10:20:00,257.22,257.51,256.91,257.465,399037
2019-11-05 10:25:00,257.45,257.62,257.31,257.32,330303
2019-11-05 10:30:00,257.31,257.31,257.17,257.2,198230
2019-11-05 10:35:00,257.21,257.79,257.21,257.64,273779
2019-11-05 10:40:00,257.62,258.19,257.5965,257.8899,527404
2019-11-05 10:45:00,257.87,258.03,257.75,257.75,287755
2019-11-05 10:50:00,257.77,257.88,257.52,257.66,306324
2019-11-05 10:55:00,257.68,257.775,257.59,257.65,174182
2019-11-05 11:00:00,257.67,257.785,257.485,257.51,182337
2019-11-05 11:05:00,257.52,257.76,257.5,257.65,242370
2019-11-05 11:10:00,257.65,257.72,257.552,257.7,148623
2019-11-05 11:15:00,257.6899,257.7,257.36,257.43,244703
2019-11-05 11:20:00,257.43,257.68,257.43,257.57,143512
2019-11-05 11:25:00,257.55,257.59,257.4283,257.46,122647
2019-11-05 11:30:00,257.4615,257.565,257.1,257.1266,208103
2019-11-05 11:35:00,257.1202,257.23,257.12,257.1985,182121
2019-11-05 11:40:00,257.2,257.38,257.16,257.3,151346
2019-11-05 11:45:00,257.3,257.51,257.29,257.4618,149741
2019-11-05 11:50:00,257.49,257.54,257.22,257.2729,115357
2019-11-05 11:55:00,257.275,257.43,257.25,257.31,125919
2019-11-05 12:00:00,257.32,257.56,257.26,257.52,105144
2019-11-05 12:05:00,257.51,257.73,257.495,257.72,193904
2019-11-05 12:10:00,257.73,257.83099999999996,257.67,257.69,167330
2019-11-05 12:15:00,257.6896,257.71,257.4339,257.46,114584
2019-11-05 12:20:00,257.46,257.48,257.27,257.2791,125099
2019-11-05 12:25:00,257.28,257.45,257.17,257.18,171056
2019-11-05 12:30:00,257.18,257.45,257.15,257.44,115000
2019-11-05 12:35:00,257.44,257.45,257.245,257.278,88448
2019-11-05 12:40:00,257.2626,257.48,257.26,257.4246,87828
2019-11-05 12:45:00,257.42,257.68,257.3703,257.64,854664
2019-11-05 12:50:00,257.64,257.714,257.56,257.58,116939
2019-11-05 12:55:00,257.57,257.635,257.53,257.625,104497
2019-11-05 13:00:00,257.63,257.65,257.56,257.58,68050
2019-11-05 13:05:00,257.58,257.755,257.5699,257.715,204799
2019-11-05 13:10:00,257.72,257.755,257.60400000000004,257.63,136537
2019-11-05 13:15:00,257.63,258.01,257.63,257.9801,244100
2019-11-05 13:20:00,257.98,258.0,257.73,257.79,208979
2019-11-05 13:25:00,257.79,257.92,257.78,257.8081,70988
2019-11-05 13:30:00,257.8,257.9199,257.77,257.83,88171
2019-11-05 13:35:00,257.83,257.965,257.735,257.9649,127706
2019-11-05 13:40:00,257.9808,258.2252,257.9079,257.9108,110414
2019-11-05 13:45:00,257.89,257.97,257.82,257.8666,93715
2019-11-05 13:50:00,257.87,257.88,257.75,257.78,79087
2019-11-05 13:55:00,257.8,257.918,257.8,257.8709,89628
2019-11-05 14:00:00,257.89,257.98,257.8,257.81,146419
2019-11-05 14:05:00,257.805,257.805,257.56,257.69,206022
2019-11-05 14:10:00,257.7,257.784,257.635,257.7444,114058
2019-11-05 14:15:00,257.746,257.79,257.68,257.6945,94627
2019-11-05 14:20:00,257.7,257.75,257.655,257.75,104024
2019-11-05 14:25:00,257.75,257.75,257.67,257.675,133516
2019-11-05 14:30:00,257.675,257.675,257.57,257.635,116318
2019-11-05 14:35:00,257.64,257.78,257.63,257.77,127212
2019-11-05 14:40:00,257.78,257.782,257.716,257.7487,79826
2019-11-05 14:45:00,257.74,258.19,257.69,258.1,298264
2019-11-05 14:50:00,258.12,258.14,257.9396,258.0296,165849
2019-11-05 14:55:00,258.03,258.05400000000003,257.906,257.9061,133641
2019-11-05 15:00:00,257.91,258.06,257.9,257.92,106056
2019-11-05 15:05:00,257.925,258.02,257.92,258.01,127813
2019-11-05 15:10:00,258.03,258.04,257.9,257.97,116815
2019-11-05 15:15:00,257.9783,258.0,257.79,257.81,183721
2019-11-05 15:20:00,257.8,257.8,257.72700000000003,257.79,160340
2019-11-05 15:25:00,257.79,258.01,257.76,258.0,239678
2019-11-05 15:30:00,257.99,257.99,257.68,257.72,157768
2019-11-05 15:35:00,257.73,257.81,257.62,257.72,190678
2019-11-05 15:40:00,257.72,257.72,257.48,257.54,230505
2019-11-05 15:45:00,257.5359,257.59,257.445,257.59,217117
2019-11-05 15:50:00,257.5957,257.63,257.3,257.4,269272
2019-11-05 15:55:00,257.39,257.46,257.17,257.26,360999
2019-11-05 16:00:00,257.26,257.36,256.96,257.15,612604
2019-11-06 09:35:00,256.77,257.413,256.62,256.7442,1009962
2019-11-06 09:40:00,256.79,256.882,256.62,256.882,386185
2019-11-06 09:45:00,256.9858,257.221,256.98,256.98,365395
2019-11-06 09:50:00,256.99,257.03,256.42,256.62,364185
2019-11-06 09:55:00,256.58,256.906,256.58,256.81,218288
2019-11-06 10:00:00,256.84,257.29,256.84,257.11,305487
2019-11-06 10:05:00,257.09,257.21,256.94,256.95,197769
2019-11-06 10:10:00,256.942,256.99,256.91,256.91,193705
2019-11-06 10:15:00,256.9082,257.17,256.9082,256.92,221568
2019-11-06 10:20:00,256.9396,257.2308,256.9105,256.9496,226005
2019-11-06 10:25:00,256.93,257.06,256.72,257.048,170613
2019-11-06 10:30:00,257.05,257.06,256.743,256.743,191204
2019-11-06 10:35:00,256.7582,257.0069,256.6615,256.7382,222891
2019-11-06 10:40:00,256.7378,256.74,256.49,256.5825,178446
2019-11-06 10:45:00,256.5708,256.78,256.56,256.65,159987
2019-11-06 10:50:00,256.6579,256.7,256.51,256.56,155036
2019-11-06 10:55:00,256.57,256.59,256.415,256.4154,169898
2019-11-06 11:00:00,256.41,256.41,256.1,256.1,340467
2019-11-06 11:05:00,256.1107,256.4365,255.916,256.0607,425899
2019-11-06 11:10:00,256.09,256.39,256.08,256.36,200368
2019-11-06 11:15:00,256.37,256.405,256.32,256.33,163601
2019-11-06 11:20:00,256.33,256.65,256.33,256.5705,193543
2019-11-06 11:25:00,256.5785,256.6,256.47,256.48,131259
2019-11-06 11:30:00,256.455,256.49,256.23,256.28,173265
2019-11-06 11:35:00,256.27,256.84,256.17,256.7776,242541
2019-11-06 11:40:00,256.78,256.89,256.72,256.8861,130049
2019-11-06 11:45:00,256.89,257.11,256.0,256.06,415836
2019-11-06 11:50:00,256.09,256.48,255.81,255.81,468441
2019-11-06 11:55:00,255.8,255.85,255.365,255.5348,464606
2019-11-06 12:00:00,255.56,256.2,255.54,256.13,294548
2019-11-06 12:05:00,256.15,256.4,255.96,256.36,251984
2019-11-06 12:10:00,256.37,256.415,256.13,256.24,155010
2019-11-06 12:15:00,256.24,256.29,255.84,256.01,176650
2019-11-06 12:20:00,256.0,256.03,255.793,255.93,165726
2019-11-06 12:25:00,255.93,256.04,255.77,255.8096,111027
2019-11-06 12:30:00,255.82,255.87,255.71,255.78,98355
2019-11-06 12:35:00,255.79,255.99,255.71,255.97,129152
2019-11-06 12:40:00,255.986,256.07,255.9601,256.0096,113745
2019-11-06 12:45:00,256.02,256.07,255.92,255.93,112211
2019-11-06 12:50:00,255.93,255.94,255.55,255.7204,133777
2019-11-06 12:55:00,255.73,255.78,255.6164,255.71,92726
2019-11-06 13:00:00,255.72,255.842,255.697,255.84,104500
2019-11-06 13:05:00,255.8603,255.98,255.84,255.98,124940
2019-11-06 13:10:00,255.9963,255.9963,255.62,255.69,106549
2019-11-06 13:15:00,255.7,255.95,255.68,255.95,79761
2019-11-06 13:20:00,255.9509,256.02,255.92,256.01,106882
2019-11-06 13:25:00,256.02,256.1,256.0,256.0,122325
2019-11-06 13:30:00,256.01,256.22,255.9566,256.12,221388
2019-11-06 13:35:00,256.125,256.143,256.0666,256.09,66155
2019-11-06 13:40:00,256.09,256.31,256.09,256.31,104402
2019-11-06 13:45:00,256.31,256.56,256.31,256.5231,129781
2019-11-06 13:50:00,256.52,256.58,256.34,256.4,119371
2019-11-06 13:55:00,256.42,256.43,256.39,256.425,80160
2019-11-06 14:00:00,256.44,256.45,256.38,256.38,124255
