,open,high,low,close,volume
2019-11-04 14:15:00,82.9,82.91,82.7602,82.818,36953
2019-11-04 14:20:00,82.82,82.8359,82.811,82.82,46483
2019-11-04 14:25:00,82.825,82.835,82.8,82.809,18818
2019-11-04 14:30:00,82.81,82.835,82.765,82.765,21855
2019-11-04 14:35:00,82.76,82.835,82.76,82.82,20079
2019-11-04 14:40:00,82.81,82.848,82.76,82.76,17055
2019-11-04 14:45:00,82.765,82.83,82.76,82.76,27981
2019-11-04 14:50:00,82.76,82.78,82.75,82.75,20758
2019-11-04 14:55:00,82.75,82.76,82.685,82.72,33497
2019-11-04 15:00:00,82.73,82.74,82.64,82.64,39348
2019-11-04 15:05:00,82.64,82.645,82.5,82.5,69646
2019-11-04 15:10:00,82.505,82.52,82.4645,82.51,70308
2019-11-04 15:15:00,82.51,82.54,82.3,82.31,60471
2019-11-04 15:20:00,82.3177,82.4702,82.31,82.3277,55187
2019-11-04 15:25:00,82.325,82.38,82.28,82.36,49444
2019-11-04 15:30:00,82.3473,82.37,82.3,82.335,70361
2019-11-04 15:35:00,82.34,82.3773,82.315,82.345,95896
2019-11-04 15:40:00,82.34,82.35,82.3,82.32,64739
2019-11-04 15:45:00,82.32,82.38,82.305,82.38,103092
2019-11-04 15:50:00,82.38,82.39,82.26,82.265,98727
2019-11-04 15:55:00,82.27,82.36,82.25,82.255,210055
2019-11-04 16:00:00,82.26,82.305,82.23,82.23,515268
2019-11-05 09:35:00,82.87,82.9,81.78,81.81,405338
2019-11-05 09:40:00,81.9016,81.9745,81.2439,81.5816,235903
2019-11-05 09:45:00,81.6,81.98,81.56,81.65,69163
2019-11-05 09:50:00,81.65,81.7,81.48,81.527,117078
2019-11-05 09:55:00,81.5,81.52,81.365,81.42,71139
2019-11-05 10:00:00,81.42,81.47,81.285,81.37,87760
2019-11-05 10:05:00,81.39,81.7,81.39,81.65,110120
2019-11-05 10:10:00,81.6671,81.7591,81.4338,81.4371,78211
2019-11-05 10:15:00,81.44,81.45,80.95,81.005,128143
2019-11-05 10:20:00,81.0016,81.05,80.93,81.0266,166066
2019-11-05 10:25:00,81.0234,81.03,80.9058,80.9834,80084
2019-11-05 10:30:00,80.98,81.2,80.97,81.2,47888
2019-11-05 10:35:00,81.1833,81.235,81.06,81.1153,150942
2019-11-05 10:40:00,81.1,81.41,81.085,81.39,333039
2019-11-05 10:45:00,81.38,81.43,81.285,81.32,141340
2019-11-05 10:50:00,81.32,81.46,81.27,81.36,144595
2019-11-05 10:55:00,81.35,81.61399999999998,81.33,81.57,102178
2019-11-05 11:00:00,81.58,81.84,81.58,81.74,82215
2019-11-05 11:05:00,81.7745,81.82,81.74,81.76,259112
2019-11-05 11:10:00,81.7516,81.89,81.72,81.8316,82564
2019-11-05 11:15:00,81.84,81.96,81.82,81.96,63731
2019-11-05 11:20:00,81.96,82.02,81.85,81.985,6576
2019-11-05 11:25:00,81.6,81.655,81.57,81.585,141184
2019-11-05 11:30:00,81.6,81.795,81.54,81.75,66276
