,open,high,low,close,volume
2019-11-04 14:15:00,151.25,151.27,151.0,151.13,21569
2019-11-04 14:20:00,151.13,151.14,151.06,151.085,9257
2019-11-04 14:25:00,151.11,151.11,150.77,150.815,6177
2019-11-04 14:30:00,150.84,150.89,150.74,150.89,8130
2019-11-04 14:35:00,150.89,151.03,150.87,151.03,9491
2019-11-04 14:40:00,151.03,151.13,151.01,151.13,5155
2019-11-04 14:45:00,151.13,151.34,151.13,151.34,5843
2019-11-04 14:50:00,151.32,151.47,151.31,151.47,8410
2019-11-04 14:55:00,151.43,151.43,151.22,151.2294,9208
2019-11-04 15:00:00,151.3,151.35,151.1,151.22,8130
2019-11-04 15:05:00,151.215,151.26,151.12,151.26,5797
2019-11-04 15:10:00,151.24,151.25,151.16,151.225,6123
2019-11-04 15:15:00,151.225,151.235,151.12,151.135,6464
2019-11-04 15:20:00,151.11,151.15,151.09,151.13,9016
2019-11-04 15:25:00,151.105,151.46,151.105,151.435,9776
2019-11-04 15:30:00,151.44,151.51,151.17,151.18,23834
2019-11-04 15:35:00,151.2,151.24,151.12,151.12,16418
2019-11-04 15:40:00,151.12,151.14,151.06,151.14,12544
2019-11-04 15:45:00,151.15,151.25,151.15,151.22,21388
2019-11-04 15:50:00,151.215,151.215,151.15,151.18,33152
2019-11-04 15:55:00,151.16,151.23,151.06,151.075,39928
2019-11-04 16:00:00,151.08,151.29,151.07,151.29,62995
2019-11-05 09:35:00,152.0449,153.1489,151.5974,153.0049,23947
2019-11-05 09:40:00,153.07299999999995,153.3,152.66,152.873,11562
2019-11-05 09:45:00,152.9184,153.11,152.29,152.29,12312
2019-11-05 09:50:00,152.4957,152.57,152.42,152.5657,0
2019-11-05 09:55:00,152.27,152.36,151.84,151.84,57205
2019-11-05 10:00:00,151.91,152.09,151.85,151.87,3102
2019-11-05 10:05:00,152.0625,152.38,151.98,152.0325,17840
2019-11-05 10:10:00,152.02,152.02,151.2,151.2,6518
2019-11-05 10:15:00,151.2349,151.3771,150.5563,150.8049,7564
2019-11-05 10:20:00,150.7901,150.7901,150.5688,150.5688,6618
2019-11-05 10:25:00,150.5,150.82,150.4,150.44,6119
2019-11-05 10:30:00,150.5,150.555,150.41,150.41,9331
2019-11-05 10:35:00,150.3495,150.405,150.19,150.19,10629
2019-11-05 10:40:00,150.21,150.22,149.9,149.9,18121
2019-11-05 10:45:00,149.95,150.03,149.77,149.82,8928
