,open,high,low,close,volume
2019-11-04 14:15:00,106.97,106.97,106.885,106.885,15908
2019-11-04 14:20:00,106.87,106.87,106.76,106.77,57324
2019-11-04 14:25:00,106.78,106.81,106.76,106.8,17188
2019-11-04 14:30:00,106.81,106.82,106.77,106.8,20292
2019-11-04 14:35:00,106.8,106.82,106.76,106.82,20670
2019-11-04 14:40:00,106.825,106.825,106.7232,106.74,20326
2019-11-04 14:45:00,106.75,106.76,106.68,106.69,27288
2019-11-04 14:50:00,106.69,106.69,106.52,106.55,22788
2019-11-04 14:55:00,106.53,106.54,106.48,106.48,24558
2019-11-04 15:00:00,106.48,106.55,106.48,106.5,35555
2019-11-04 15:05:00,106.49,106.56,106.48,106.56,26886
2019-11-04 15:10:00,106.56,106.588,106.49,106.57,22950
2019-11-04 15:15:00,106.58,106.58,106.4,106.4,27950
2019-11-04 15:20:00,106.42,106.53,106.39,106.53,33078
2019-11-04 15:25:00,106.535,106.535,106.4685,106.47,67560
2019-11-04 15:30:00,106.455,106.48,106.41,106.42,43032
2019-11-04 15:35:00,106.43,106.44,106.36,106.41,39528
2019-11-04 15:40:00,106.41,106.49,106.4,106.44,54236
2019-11-04 15:45:00,106.41,106.535,106.4,106.535,64864
2019-11-04 15:50:00,106.53,106.54,106.415,106.45,56232
2019-11-04 15:55:00,106.46,106.54,106.45,106.47,80390
2019-11-04 16:00:00,106.48,106.51,106.44,106.51,174665
2019-11-05 09:35:00,106.7234,107.0,106.29,106.4034,105993
2019-11-05 09:40:00,106.285,106.66,106.285,106.4304,42760
2019-11-05 09:45:00,106.43,106.69,106.34,106.62,30494
2019-11-05 09:50:00,106.594,106.6999,106.3395,106.374,22220
2019-11-05 09:55:00,106.385,106.6,106.35,106.55,19994
2019-11-05 10:00:00,106.59,106.66,106.57,106.62,27372
2019-11-05 10:05:00,106.68,106.89,106.67,106.685,39900
2019-11-05 10:10:00,106.68,106.69,106.59,106.61,39784
2019-11-05 10:15:00,106.61,106.64,106.33,106.4063,32754
2019-11-05 10:20:00,106.4,106.46,106.39,106.46,29692
2019-11-05 10:25:00,106.465,106.505,106.46,106.505,34258
2019-11-05 10:30:00,106.52,106.52,106.36,106.39,27036
2019-11-05 10:35:00,106.39,106.57,106.34,106.55,30808
2019-11-05 10:40:00,106.58,106.69,106.46,106.46,32534
2019-11-05 10:45:00,106.43,106.49,106.4,106.42,20840
2019-11-05 10:50:00,106.435,106.51,106.42,106.45,26268
2019-11-05 10:55:00,106.46,106.55,106.46,106.47,17986
