,open,high,low,close,volume
2019-11-04 14:15:00,179.8457,180.0364,179.3758,179.5357,642285
2019-11-04 14:20:00,179.54,180.07,179.52,179.89,255562
2019-11-04 14:25:00,179.896,180.71,179.88,180.63,873505
2019-11-04 14:30:00,180.5958,181.02599999999998,180.4854,180.7058,283704
2019-11-04 14:35:00,180.7348,181.1754,180.4847,180.8048,289510
2019-11-04 14:40:00,180.78,180.89,180.61,180.68,157397
2019-11-04 14:45:00,180.6535,180.74,180.63,180.6635,168815
2019-11-04 14:50:00,180.69,180.743,180.66,180.72,181505
2019-11-04 14:55:00,180.7267,180.82,180.53,180.5367,310462
2019-11-04 15:00:00,180.54,180.76,180.47,180.47,153729
2019-11-04 15:05:00,180.46,180.56,180.12,180.2742,239840
2019-11-04 15:10:00,180.27,180.39,180.26,180.2973,133127
2019-11-04 15:15:00,180.305,180.64,180.19,180.435,265274
2019-11-04 15:20:00,180.4458,180.46,179.82,179.9758,314553
2019-11-04 15:25:00,179.98,180.92,179.98,180.71,302344
2019-11-04 15:30:00,180.6776,180.73,180.24,180.3375,447088
2019-11-04 15:35:00,180.34,180.636,180.32,180.6356,190942
2019-11-04 15:40:00,180.65,181.0,180.61,180.76,544039
2019-11-04 15:45:00,180.7767,181.4699,180.6491,181.1368,591116
2019-11-04 15:50:00,181.15400000000002,181.17,180.49,180.9258,893954
2019-11-04 15:55:00,180.9365,181.3083,180.1872,180.8165,1301061
2019-11-04 16:00:00,180.81,180.87,179.06,179.64,2929329
2019-11-05 09:35:00,181.6859,182.077,180.5755,180.7189,1659901
2019-11-05 09:40:00,180.7235,181.6924,180.532,180.9835,549540
2019-11-05 09:45:00,180.9658,181.2135,180.5535,181.0302,374892
2019-11-05 09:50:00,180.99,181.85,180.96,181.7519,533026
2019-11-05 09:55:00,181.75,182.5,181.736,182.48,769193
2019-11-05 10:00:00,182.47,182.72099999999998,182.44,182.7,656599
2019-11-05 10:05:00,182.738,183.2,182.5,182.59,722323
2019-11-05 10:10:00,182.6248,182.80700000000002,181.9962,182.1448,394878
2019-11-05 10:15:00,182.1259,182.23,181.88,182.0509,439998
2019-11-05 10:20:00,182.0405,182.74,182.0405,182.2876,358741
2019-11-05 10:25:00,182.33,182.71,182.32,182.3871,279922
2019-11-05 10:30:00,182.385,182.385,181.35,181.4,320808
2019-11-05 10:35:00,181.4073,181.525,181.23,181.2373,466225
2019-11-05 10:40:00,181.2365,181.5985,181.1982,181.3165,360597
2019-11-05 10:45:00,181.3,181.71,181.15,181.28,418969
2019-11-05 10:50:00,181.313,181.5271,180.4661,180.7329,675032
2019-11-05 10:55:00,180.74,180.98,180.66,180.98,273318
2019-11-05 11:00:00,180.98,181.46,180.85,181.39,291167
