,open,high,low,close,volume
2019-11-04 14:15:00,32.4736,32.48,32.46,32.46,534324
2019-11-04 14:20:00,32.47,32.48,32.465,32.48,331250
2019-11-04 14:25:00,32.48,32.495,32.475,32.495,647507
2019-11-04 14:30:00,32.495,32.5,32.49,32.49,508406
2019-11-04 14:35:00,32.4851,32.49,32.475,32.485,395937
2019-11-04 14:40:00,32.485,32.49,32.48,32.48,145955
2019-11-04 14:45:00,32.4858,32.5,32.46,32.46,700305
2019-11-04 14:50:00,32.46,32.46,32.42,32.425,452774
2019-11-04 14:55:00,32.425,32.44,32.41,32.41,535218
2019-11-04 15:00:00,32.41,32.42,32.33,32.36,981871
2019-11-04 15:05:00,32.355,32.36,32.32,32.325,621517
2019-11-04 15:10:00,32.325,32.355,32.3242,32.355,586975
2019-11-04 15:15:00,32.355,32.365,32.33,32.33,555871
2019-11-04 15:20:00,32.335,32.38,32.33,32.35,434700
2019-11-04 15:25:00,32.355,32.395,32.3522,32.3945,508153
2019-11-04 15:30:00,32.395,32.4,32.37,32.3722,704095
2019-11-04 15:35:00,32.375,32.425,32.375,32.41,636387
2019-11-04 15:40:00,32.4128,32.415,32.407,32.41,478717
2019-11-04 15:45:00,32.41,32.45,32.405,32.435,787608
2019-11-04 15:50:00,32.435,32.44,32.39,32.4,998288
2019-11-04 15:55:00,32.4,32.425,32.4,32.4,982411
2019-11-04 16:00:00,32.4,32.41,32.39,32.4,2228614
2019-11-05 09:35:00,32.62,32.7,32.6,32.625,2743853
2019-11-05 09:40:00,32.625,32.7,32.61,32.695,1348395
2019-11-05 09:45:00,32.6914,32.78,32.68,32.7764,1740668
2019-11-05 09:50:00,32.7712,32.8307,32.7457,32.7762,1073235
2019-11-05 09:55:00,32.77,32.78,32.73,32.73,1135731
2019-11-05 10:00:00,32.74,32.76,32.71,32.72,1009517
2019-11-05 10:05:00,32.74,32.9,32.72,32.805,1941794
2019-11-05 10:10:00,32.81,32.85,32.75,32.76,918832
2019-11-05 10:15:00,32.7644,32.8119,32.7118,32.7611,1206705
2019-11-05 10:20:00,32.765,32.84,32.76,32.78,638636
2019-11-05 10:25:00,32.785,32.8253,32.78,32.79,646045
2019-11-05 10:30:00,32.7801,32.795,32.775,32.775,752819
2019-11-05 10:35:00,32.775,32.78,32.74,32.765,640384
2019-11-05 10:40:00,32.765,32.83,32.76,32.795,608442
2019-11-05 10:45:00,32.8,32.85,32.785,32.825,481171
2019-11-05 10:50:00,32.83,32.84,32.819,32.835,483555
2019-11-05 10:55:00,32.84,32.89,32.83,32.8701,728763
2019-11-05 11:00:00,32.88,32.89,32.86,32.87,800865
2019-11-05 11:05:00,32.87,32.925,32.8601,32.91,767013
2019-11-05 11:10:00,32.915,32.95,32.91,32.95,552146
2019-11-05 11:15:00,32.9482,32.97,32.94,32.945,1017429
2019-11-05 11:20:00,32.94,32.98,32.94,32.98,695250
2019-11-05 11:25:00,32.975,33.0,32.97,32.975,844906
2019-11-05 11:30:00,32.9715,33.0,32.97,32.99,614249
2019-11-05 11:35:00,32.98,32.99,32.9,32.9,933029
2019-11-05 11:40:00,32.905,32.91,32.83,32.83,1044770
2019-11-05 11:45:00,32.83,32.87,32.82,32.87,367011
2019-11-05 11:50:00,32.86,32.895,32.84,32.85,584250
2019-11-05 11:55:00,32.8456,32.855,32.83,32.835,706143
2019-11-05 12:00:00,32.83,32.83,32.785,32.79,816331
2019-11-05 12:05:00,32.7858,32.7867,32.75,32.775,795673
2019-11-05 12:10:00,32.78,32.8,32.775,32.8,417600
2019-11-05 12:15:00,32.8,32.86,32.795,32.855,946554
2019-11-05 12:20:00,32.8554,32.91,32.85,32.9,760885
2019-11-05 12:25:00,32.9,32.91,32.86,32.87,776336
2019-11-05 12:30:00,32.87,32.89,32.86,32.8833,789439
2019-11-05 12:35:00,32.88,32.89,32.8601,32.87,346470
2019-11-05 12:40:00,32.876,32.89,32.875,32.89,221072
2019-11-05 12:45:00,32.885,32.9,32.8724,32.8976,321690
2019-11-05 12:50:00,32.895,32.91,32.89,32.905,526719
2019-11-05 12:55:00,32.9,32.94,32.9,32.94,237956
2019-11-05 13:00:00,32.94,32.96,32.93,32.96,243073
2019-11-05 13:05:00,32.9565,32.98,32.95,32.97,312732
2019-11-05 13:10:00,32.97,33.0,32.97,32.99,633161
2019-11-05 13:15:00,32.99,33.04,32.98,33.0,2535648
2019-11-05 13:20:00,33.0005,33.0286,32.9885,32.9905,527696
2019-11-05 13:25:00,32.99,33.02,32.98,32.98,386262
2019-11-05 13:30:00,32.975,33.02,32.97,33.0001,556199
2019-11-05 13:35:00,32.99,33.06,32.99,33.045,752011
2019-11-05 13:40:00,33.045,33.045,33.01,33.025,653242
2019-11-05 13:45:00,33.025,33.035,33.02,33.02,236454
2019-11-05 13:50:00,33.02,33.0353,33.006,33.006,297735
2019-11-05 13:55:00,33.0032,33.04,33.0032,33.025,352374
2019-11-05 14:00:00,33.03,33.07,33.03,33.07,449419
2019-11-05 14:05:00,33.06,33.07,33.03,33.05,299339
2019-11-05 14:10:00,33.05,33.05,33.01,33.015,352955
2019-11-05 14:15:00,33.015,33.05,33.01,33.05,349410
2019-11-05 14:20:00,33.05,33.06,33.04,33.06,328292
2019-11-05 14:25:00,33.055,33.08,33.055,33.08,633254
2019-11-05 14:30:00,33.08,33.085,33.075,33.085,261784
2019-11-05 14:35:00,33.085,33.09,33.055,33.055,640196
2019-11-05 14:40:00,33.0542,33.06,33.01,33.04,485826
2019-11-05 14:45:00,33.0306,33.04,33.01,33.015,388094
2019-11-05 14:50:00,33.0143,33.02,32.955,32.955,666141
2019-11-05 14:55:00,32.96,32.965,32.94,32.965,469971
2019-11-05 15:00:00,32.97,32.97,32.95,32.95,396959
2019-11-05 15:05:00,32.96,32.96,32.93,32.945,560419
2019-11-05 15:10:00,32.9452,32.95,32.91,32.93,408276
2019-11-05 15:15:00,32.93,32.94,32.91,32.915,635312
2019-11-05 15:20:00,32.915,32.915,32.83,32.86,632747
2019-11-05 15:25:00,32.855,32.885,32.85,32.885,536639
2019-11-05 15:30:00,32.88,32.89,32.86,32.875,435108
2019-11-05 15:35:00,32.88,32.88,32.84,32.85,853119
2019-11-05 15:40:00,32.855,32.8888,32.85,32.875,922553
2019-11-05 15:45:00,32.875,32.88,32.83,32.84,689941
2019-11-05 15:50:00,32.84,32.85,32.805,32.83,1087401
2019-11-05 15:55:00,32.82,32.84,32.82,32.82,1137624
2019-11-05 16:00:00,32.82,32.83,32.77,32.82,2972468
2019-11-06 09:35:00,32.76,32.85,32.75,32.75,1783259
2019-11-06 09:40:00,32.7512,32.8,32.7,32.7712,905988
2019-11-06 09:45:00,32.77,32.89,32.76,32.885,1060515
2019-11-06 09:50:00,32.89,32.89,32.82,32.835,1127790
2019-11-06 09:55:00,32.84,32.8699,32.84,32.855,774486
2019-11-06 10:00:00,32.86,32.97,32.85,32.95,1057105
2019-11-06 10:05:00,32.945,32.9899,32.9,32.9,745851
2019-11-06 10:10:00,32.9,32.96,32.8959,32.925,647161
2019-11-06 10:15:00,32.925,33.06,32.92,33.045,1166819
2019-11-06 10:20:00,33.045,33.045,32.94,32.945,720654
2019-11-06 10:25:00,32.95,32.9754,32.93,32.97,680645
2019-11-06 10:30:00,32.965,32.9701,32.905,32.92,514392
2019-11-06 10:35:00,32.91,32.955,32.885,32.91,794664
2019-11-06 10:40:00,32.9155,32.9785,32.9085,32.9455,767790
2019-11-06 10:45:00,32.95,32.98,32.94,32.96,728141
2019-11-06 10:50:00,32.97,33.013000000000005,32.96,33.013000000000005,419218
2019-11-06 10:55:00,33.014,33.03,32.97,32.976,601072
2019-11-06 11:00:00,32.965,32.98,32.944,32.944,721291
2019-11-06 11:05:00,32.95,33.04,32.95,33.0361,679212
2019-11-06 11:10:00,33.04,33.04,32.9834,32.9834,307546
2019-11-06 11:15:00,32.985,33.0,32.97,32.975,579759
2019-11-06 11:20:00,32.975,32.98,32.925,32.9401,484790
2019-11-06 11:25:00,32.94,32.953,32.93,32.94,429984
2019-11-06 11:30:00,32.94,32.95,32.9399,32.94,289324
2019-11-06 11:35:00,32.94,33.01,32.9342,33.0,584187
2019-11-06 11:40:00,33.005,33.01,33.0,33.005,463266
2019-11-06 11:45:00,33.005,33.04,32.87,32.88,1366667
2019-11-06 11:50:00,32.8864,32.92,32.87,32.8814,1119176
2019-11-06 11:55:00,32.89,32.89,32.75,32.77,952683
2019-11-06 12:00:00,32.77,32.83,32.77,32.82,964315
2019-11-06 12:05:00,32.825,32.88,32.82,32.87,607429
2019-11-06 12:10:00,32.875,32.89,32.87,32.875,402588
2019-11-06 12:15:00,32.88,32.93,32.864000000000004,32.93,770134
2019-11-06 12:20:00,32.9255,32.935,32.89,32.9305,968536
2019-11-06 12:25:00,32.93,32.94,32.89,32.91,403957
2019-11-06 12:30:00,32.905,32.91,32.875,32.88,438126
2019-11-06 12:35:00,32.885,32.9,32.88,32.895,189453
