,open,high,low,close,volume
2019-11-04 14:15:00,5.6,5.6,5.59,5.59,18289
2019-11-04 14:20:00,5.59,5.6,5.59,5.595,21465
2019-11-04 14:25:00,5.59,5.59,5.59,5.59,21625
2019-11-04 14:30:00,5.5952,5.6054,5.5854,5.5902,64837
2019-11-04 14:35:00,5.585,5.586,5.57,5.575,29370
2019-11-04 14:40:00,5.57,5.59,5.57,5.58,66730
2019-11-04 14:45:00,5.58,5.61,5.58,5.605,68084
2019-11-04 14:50:00,5.6,5.61,5.6,5.605,34198
2019-11-04 14:55:00,5.605,5.61,5.6,5.6,26931
2019-11-04 15:00:00,5.6,5.62,5.59,5.61,120599
2019-11-04 15:05:00,5.615,5.615,5.61,5.615,14865
2019-11-04 15:10:00,5.61,5.615,5.61,5.61,7382
2019-11-04 15:15:00,5.61,5.61,5.6,5.6,21322
2019-11-04 15:20:00,5.605,5.61,5.6,5.6,17959
2019-11-04 15:25:00,5.605,5.62,5.6,5.62,70776
2019-11-04 15:30:00,5.625,5.625,5.62,5.62,37501
2019-11-04 15:35:00,5.62,5.625,5.6125,5.6125,43840
2019-11-04 15:40:00,5.615,5.63,5.61,5.62,155686
2019-11-04 15:45:00,5.62,5.63,5.62,5.6245,48241
2019-11-04 15:50:00,5.62,5.6252,5.61,5.61,79529
2019-11-04 15:55:00,5.61,5.615,5.61,5.61,51645
2019-11-04 16:00:00,5.61,5.61,5.6,5.61,342062
2019-11-05 09:35:00,5.61,5.66,5.57,5.5745,247817
2019-11-05 09:40:00,5.5701,5.5844,5.5444,5.5651,114183
2019-11-05 09:45:00,5.5603,5.5754,5.5353,5.5452,108167
2019-11-05 09:50:00,5.5444,5.57,5.54,5.559,116812
2019-11-05 09:55:00,5.55,5.57,5.55,5.57,43496
2019-11-05 10:00:00,5.57,5.575,5.57,5.57,28885
2019-11-05 10:05:00,5.5891,5.62,5.5891,5.596,59382
2019-11-05 10:10:00,5.5951,5.6,5.575,5.5801,49093
2019-11-05 10:15:00,5.5760000000000005,5.5854,5.5654,5.5702,25688
2019-11-05 10:20:00,5.5713,5.5783,5.5644,5.5651,48398
2019-11-05 10:25:00,5.5602,5.565,5.55,5.5602,67608
2019-11-05 10:30:00,5.5552,5.565,5.55,5.5502,51138
2019-11-05 10:35:00,5.5502,5.56,5.55,5.5542,49410
2019-11-05 10:40:00,5.5502,5.565,5.545,5.5485,48099
2019-11-05 10:45:00,5.545,5.56,5.54,5.55,70778
2019-11-05 10:50:00,5.55,5.555,5.54,5.54,42548
2019-11-05 10:55:00,5.54,5.5502,5.54,5.55,26298
2019-11-05 11:00:00,5.55,5.59,5.55,5.57,85417
2019-11-05 11:05:00,5.575,5.59,5.575,5.58,19845
2019-11-05 11:10:00,5.5801,5.5894,5.5694,5.575,52744
2019-11-05 11:15:00,5.575,5.59,5.575,5.59,32767
2019-11-05 11:20:00,5.59,5.595,5.585,5.585,9325
2019-11-05 11:25:00,5.58,5.59,5.58,5.59,38295
2019-11-05 11:30:00,5.585,5.61,5.585,5.6,56954
2019-11-05 11:35:00,5.6,5.6,5.59,5.595,36128
2019-11-05 11:40:00,5.5901,5.595,5.585,5.5901,50867
2019-11-05 11:45:00,5.58,5.585,5.57,5.58,80043
2019-11-05 11:50:00,5.575,5.575,5.555,5.56,71577
2019-11-05 11:55:00,5.555,5.555,5.545,5.545,54487
2019-11-05 12:00:00,5.55,5.55,5.545,5.55,17242
2019-11-05 12:05:00,5.545,5.56,5.545,5.555,33730
2019-11-05 12:10:00,5.5552,5.5752,5.5552,5.5652,30995
2019-11-05 12:15:00,5.565,5.565,5.55,5.55,30160
2019-11-05 12:20:00,5.5502,5.555,5.55,5.5502,87966
2019-11-05 12:25:00,5.5502,5.5655,5.5354,5.5452,107047
2019-11-05 12:30:00,5.545,5.55,5.53,5.53,38087
2019-11-05 12:35:00,5.53,5.55,5.53,5.54,21432
2019-11-05 12:40:00,5.535,5.56,5.53,5.555,37572
2019-11-05 12:45:00,5.55,5.565,5.55,5.56,7463
2019-11-05 12:50:00,5.5602,5.5754,5.5553,5.5652,53613
2019-11-05 12:55:00,5.5601,5.5729,5.5544,5.5551,33520
2019-11-05 13:00:00,5.56,5.56,5.55,5.55,8472
2019-11-05 13:05:00,5.56,5.56,5.55,5.555,25388
2019-11-05 13:10:00,5.55,5.5591,5.55,5.5501,10771
2019-11-05 13:15:00,5.5515,5.56,5.55,5.55,9695
2019-11-05 13:20:00,5.555,5.555,5.55,5.55,7195
2019-11-05 13:25:00,5.55,5.56,5.55,5.56,3011
2019-11-05 13:30:00,5.55,5.56,5.55,5.55,5673
2019-11-05 13:35:00,5.555,5.56,5.55,5.56,18186
2019-11-05 13:40:00,5.5602,5.5653,5.5553,5.5602,18881
2019-11-05 13:45:00,5.5601,5.5644,5.5544,5.5551,13840
2019-11-05 13:50:00,5.56,5.56,5.55,5.555,9518
2019-11-05 13:55:00,5.55,5.56,5.55,5.555,34326
2019-11-05 14:00:00,5.56,5.56,5.55,5.56,12127
2019-11-05 14:05:00,5.555,5.56,5.55,5.55,3942
2019-11-05 14:10:00,5.5601,5.5648,5.5348,5.5451,87414
2019-11-05 14:15:00,5.55,5.55,5.54,5.54,34740
2019-11-05 14:20:00,5.54,5.5479,5.54,5.54,17532
2019-11-05 14:25:00,5.545,5.55,5.535,5.535,60008
2019-11-05 14:30:00,5.535,5.55,5.53,5.535,100266
2019-11-05 14:35:00,5.535,5.5484,5.53,5.53,73081
2019-11-05 14:40:00,5.535,5.5352,5.52,5.52,50646
2019-11-05 14:45:00,5.52,5.5279,5.52,5.52,17269
2019-11-05 14:50:00,5.5202,5.5354,5.5154,5.5252,49298
2019-11-05 14:55:00,5.5302,5.5351,5.5251,5.5302,21065
2019-11-05 15:00:00,5.53,5.53,5.525,5.53,10483
2019-11-05 15:05:00,5.53,5.53,5.52,5.53,31121
2019-11-05 15:10:00,5.5302,5.5354,5.5254,5.5302,8931
2019-11-05 15:15:00,5.52,5.54,5.52,5.535,23956
2019-11-05 15:20:00,5.535,5.54,5.53,5.54,17572
2019-11-05 15:25:00,5.5351,5.5444,5.5344,5.5351,38151
2019-11-05 15:30:00,5.535,5.55,5.53,5.5464,72362
2019-11-05 15:35:00,5.5402,5.55,5.535,5.5401,38246
2019-11-05 15:40:00,5.5402,5.5554,5.5354,5.5402,52618
2019-11-05 15:45:00,5.54,5.54,5.53,5.53,21681
2019-11-05 15:50:00,5.54,5.54,5.53,5.53,70559
2019-11-05 15:55:00,5.5351,5.5448,5.5348,5.5401,45016
2019-11-05 16:00:00,5.54,5.54,5.53,5.53,127147
2019-11-06 09:35:00,5.5302,5.5465,5.4953,5.5002,110849
2019-11-06 09:40:00,5.5055,5.5352,5.5052,5.5302,25860
2019-11-06 09:45:00,5.5402,5.5503,5.5253,5.5452,33554
2019-11-06 09:50:00,5.5502,5.5552,5.5351,5.5402,141275
2019-11-06 09:55:00,5.54,5.545,5.5362,5.54,20884
2019-11-06 10:00:00,5.54,5.55,5.54,5.54,20398
2019-11-06 10:05:00,5.55,5.56,5.545,5.5573,18949
2019-11-06 10:10:00,5.5551,5.5694,5.5544,5.5601,40102
2019-11-06 10:15:00,5.555,5.57,5.55,5.56,28424
2019-11-06 10:20:00,5.5607,5.57,5.56,5.5602,68714
2019-11-06 10:25:00,5.5602,5.5853,5.5553,5.5702,57623
2019-11-06 10:30:00,5.575,5.58,5.55,5.55,43187
2019-11-06 10:35:00,5.555,5.565,5.55,5.555,100911
2019-11-06 10:40:00,5.5561,5.5601,5.5542,5.5601,34811
2019-11-06 10:45:00,5.56,5.57,5.56,5.57,10512
2019-11-06 10:50:00,5.5601,5.565,5.55,5.55,65353
2019-11-06 10:55:00,5.5501,5.5501,5.53,5.535,69372
2019-11-06 11:00:00,5.53,5.54,5.52,5.54,123364
2019-11-06 11:05:00,5.535,5.54,5.53,5.54,52627
2019-11-06 11:10:00,5.54,5.55,5.54,5.54,52114
2019-11-06 11:15:00,5.55,5.55,5.53,5.535,21622
2019-11-06 11:20:00,5.5352,5.5502,5.5351,5.5452,21769
2019-11-06 11:25:00,5.54,5.54,5.53,5.535,21778
