,open,high,low,close,volume
2019-11-04 14:15:00,26.23,26.31,26.2227,26.31,87069
2019-11-04 14:20:00,26.32,26.4,26.31,26.34,46944
2019-11-04 14:25:00,26.35,26.37,26.29,26.32,55189
2019-11-04 14:30:00,26.31,26.365,26.3,26.315,72638
2019-11-04 14:35:00,26.3207,26.3855,26.3155,26.3307,59242
2019-11-04 14:40:00,26.34,26.3601,26.3,26.3,55537
2019-11-04 14:45:00,26.3,26.32,26.235,26.235,77083
2019-11-04 14:50:00,26.23,26.3415,26.23,26.335,56153
2019-11-04 14:55:00,26.331,26.3547,26.2908,26.326,52380
2019-11-04 15:00:00,26.32,26.33,26.2274,26.26,65223
2019-11-04 15:05:00,26.27,26.295,26.25,26.2662,36071
2019-11-04 15:10:00,26.27,26.3,26.255,26.295,30658
2019-11-04 15:15:00,26.29,26.3,26.28,26.29,34922
2019-11-04 15:20:00,26.28,26.2888,26.26,26.27,35256
2019-11-04 15:25:00,26.2607,26.2854,26.2154,26.2207,66031
2019-11-04 15:30:00,26.2261,26.238000000000003,26.2001,26.2012,48746
2019-11-04 15:35:00,26.205,26.295,26.2,26.25,101489
2019-11-04 15:40:00,26.25,26.28,26.24,26.2745,55512
2019-11-04 15:45:00,26.28,26.315,26.275,26.29,79108
2019-11-04 15:50:00,26.29,26.34,26.28,26.32,128878
2019-11-04 15:55:00,26.325,26.33,26.285,26.295,162037
2019-11-04 16:00:00,26.29,26.3,26.19,26.2,292635
2019-11-05 09:35:00,26.5009,26.6059,26.2755,26.3008,167587
2019-11-05 09:40:00,26.2906,26.4614,26.21,26.4306,154200
2019-11-05 09:45:00,26.4541,26.5679,26.3612,26.3711,85969
2019-11-05 09:50:00,26.371,26.482,26.32,26.4482,83531
2019-11-05 09:55:00,26.4511,26.48,26.35,26.4211,43797
2019-11-05 10:00:00,26.42,26.66,26.37,26.65,121030
2019-11-05 10:05:00,26.6504,26.9033,26.6431,26.6534,283658
2019-11-05 10:10:00,26.6307,26.645,26.58,26.5907,106455
2019-11-05 10:15:00,26.5907,26.6359,26.5258,26.5859,65120
2019-11-05 10:20:00,26.585,26.71,26.58,26.59,128271
2019-11-05 10:25:00,26.58,26.6,26.5,26.5,73964
2019-11-05 10:30:00,26.511,26.6349,26.5048,26.561,107551
2019-11-05 10:35:00,26.56,26.59,26.53,26.53,100309
2019-11-05 10:40:00,26.53,26.59,26.53,26.57,39092
2019-11-05 10:45:00,26.565,26.58,26.555,26.57,61314
2019-11-05 10:50:00,26.5704,26.613000000000003,26.555,26.5804,92075
2019-11-05 10:55:00,26.58,26.61,26.51,26.53,57877
2019-11-05 11:00:00,26.53,26.57,26.51,26.51,52281
2019-11-05 11:05:00,26.52,26.57,26.45,26.45,85574
2019-11-05 11:10:00,26.445,26.54,26.445,26.47,278506
2019-11-05 11:15:00,26.4658,26.4955,26.3954,26.4311,89604
2019-11-05 11:20:00,26.421,26.44,26.42,26.421,32221
2019-11-05 11:25:00,26.4411,26.5554,26.4353,26.5311,29012
2019-11-05 11:30:00,26.5266,26.5647,26.4896,26.4998,27446
2019-11-05 11:35:00,26.5108,26.535999999999998,26.4484,26.4508,37437
2019-11-05 11:40:00,26.43,26.44,26.35,26.35,77237
2019-11-05 11:45:00,26.35,26.36,26.33,26.34,66583
2019-11-05 11:50:00,26.33,26.35,26.2435,26.245,64617
2019-11-05 11:55:00,26.245,26.28,26.195,26.195,88556
2019-11-05 12:00:00,26.19,26.29,26.19,26.2,48814
2019-11-05 12:05:00,26.195,26.26,26.19,26.19,34464
2019-11-05 12:10:00,26.191,26.2145,26.1044,26.111,77510
2019-11-05 12:15:00,26.11,26.26,26.1,26.22,31309
2019-11-05 12:20:00,26.2125,26.23,26.2,26.225,53449
2019-11-05 12:25:00,26.23,26.32,26.23,26.3,51546
2019-11-05 12:30:00,26.2904,26.3228,26.1927,26.2004,53265
2019-11-05 12:35:00,26.21,26.23,26.17,26.18,27977
2019-11-05 12:40:00,26.175,26.21,26.08,26.1,44888
2019-11-05 12:45:00,26.1007,26.13,26.06,26.1207,66815
2019-11-05 12:50:00,26.1211,26.1451,26.0901,26.1211,26029
2019-11-05 12:55:00,26.1105,26.1806,26.1105,26.1405,27278
2019-11-05 13:00:00,26.14,26.14,26.11,26.12,20505
2019-11-05 13:05:00,26.11,26.115,26.075,26.075,30364
2019-11-05 13:10:00,26.08,26.08,26.03,26.03,31523
2019-11-05 13:15:00,26.04,26.0561,26.04,26.04,22126
2019-11-05 13:20:00,26.05,26.07,26.04,26.065,17010
2019-11-05 13:25:00,26.065,26.1,26.04,26.04,34018
2019-11-05 13:30:00,26.04,26.07,26.04,26.07,30254
2019-11-05 13:35:00,26.07,26.15,26.07,26.12,48117
2019-11-05 13:40:00,26.11,26.12,26.1,26.11,39852
2019-11-05 13:45:00,26.11,26.1325,26.105,26.13,37082
2019-11-05 13:50:00,26.13,26.14,26.1,26.1,29737
2019-11-05 13:55:00,26.11,26.22,26.11,26.1547,32862
2019-11-05 14:00:00,26.15,26.18,26.12,26.16,24155
2019-11-05 14:05:00,26.1608,26.1907,26.1556,26.1658,27828
2019-11-05 14:10:00,26.16,26.26,26.16,26.2238,79449
2019-11-05 14:15:00,26.23,26.23,26.14,26.1487,65273
2019-11-05 14:20:00,26.15,26.21,26.1425,26.21,17873
2019-11-05 14:25:00,26.21,26.28,26.2,26.255,23046
2019-11-05 14:30:00,26.255,26.26,26.23,26.24,26616
2019-11-05 14:35:00,26.2505,26.3207,26.2316,26.3005,64148
2019-11-05 14:40:00,26.3011,26.3252,26.1951,26.2011,29059
2019-11-05 14:45:00,26.19,26.2,26.1096,26.115,30216
2019-11-05 14:50:00,26.12,26.17,26.1125,26.15,15366
2019-11-05 14:55:00,26.145,26.19,26.1325,26.165,24668
2019-11-05 15:00:00,26.17,26.17,26.08,26.09,37665
2019-11-05 15:05:00,26.095,26.16,26.09,26.12,23893
2019-11-05 15:10:00,26.11,26.13,26.1,26.125,23232
2019-11-05 15:15:00,26.125,26.125,26.06,26.065,23826
2019-11-05 15:20:00,26.06,26.11,26.0525,26.075,41671
2019-11-05 15:25:00,26.0705,26.08,26.0245,26.0405,70949
2019-11-05 15:30:00,26.04,26.145,26.04,26.12,58677
2019-11-05 15:35:00,26.125,26.155,26.105,26.11,63783
2019-11-05 15:40:00,26.105,26.2,26.1025,26.17,110271
2019-11-05 15:45:00,26.17,26.21,26.17,26.175,96944
2019-11-05 15:50:00,26.175,26.18,26.11,26.115,54444
2019-11-05 15:55:00,26.12,26.13,26.11,26.1258,77102
2019-11-05 16:00:00,26.13,26.17,26.12,26.12,183961
2019-11-06 09:35:00,25.9611,26.025,25.7247,25.7611,161124
2019-11-06 09:40:00,25.7853,25.93,25.77,25.93,46091
2019-11-06 09:45:00,25.901,25.9448,25.7546,25.811,87112
2019-11-06 09:50:00,25.82,25.91,25.81900000000001,25.87,51079
2019-11-06 09:55:00,25.8508,25.855,25.78,25.8208,75268
2019-11-06 10:00:00,25.81,25.81,25.77,25.8,81936
2019-11-06 10:05:00,25.8,25.8,25.56,25.58,154577
2019-11-06 10:10:00,25.5805,25.6201,25.43,25.4305,194932
2019-11-06 10:15:00,25.4311,25.4695,25.2943,25.3611,260062
2019-11-06 10:20:00,25.3633,25.3938,25.1736,25.2609,192744
2019-11-06 10:25:00,25.261,25.29,25.155,25.1943,160685
2019-11-06 10:30:00,25.1809,25.3535,25.1458,25.3309,139787
2019-11-06 10:35:00,25.31,25.65,25.3,25.59,206075
2019-11-06 10:40:00,25.6004,25.65,25.46,25.6204,117392
2019-11-06 10:45:00,25.625,25.7767,25.61,25.61,114892
