,open,high,low,close,volume
2019-11-04 14:15:00,10.3853,10.4002,10.3602,10.3903,17467
2019-11-04 14:20:00,10.395,10.41,10.395,10.41,5498
2019-11-04 14:25:00,10.41,10.445,10.405,10.44,13773
2019-11-04 14:30:00,10.4403,10.4752,10.4351,10.4653,11005
2019-11-04 14:35:00,10.46,10.48,10.445,10.445,10604
2019-11-04 14:40:00,10.445,10.445,10.37,10.37,24607
2019-11-04 14:45:00,10.3752,10.38,10.35,10.3602,18580
2019-11-04 14:50:00,10.37,10.39,10.355,10.355,17011
2019-11-04 14:55:00,10.355,10.36,10.352,10.36,16274
2019-11-04 15:00:00,10.36,10.37,10.355,10.37,7167
2019-11-04 15:05:00,10.37,10.38,10.36,10.365,22352
2019-11-04 15:10:00,10.365,10.38,10.365,10.375,12829
2019-11-04 15:15:00,10.37,10.45,10.37,10.43,23908
2019-11-04 15:20:00,10.42,10.425,10.36,10.365,22908
2019-11-04 15:25:00,10.365,10.39,10.365,10.385,10961
2019-11-04 15:30:00,10.3904,10.4,10.3399,10.3404,21792
2019-11-04 15:35:00,10.3352,10.345,10.325,10.3352,23345
2019-11-04 15:40:00,10.335,10.37,10.33,10.36,18414
2019-11-04 15:45:00,10.36,10.4,10.36,10.4,23975
2019-11-04 15:50:00,10.4003,10.405,10.385,10.3953,37289
2019-11-04 15:55:00,10.3904,10.4297,10.3896,10.4004,53313
2019-11-04 16:00:00,10.41,10.41,10.4,10.41,133962
2019-11-05 09:35:00,10.4703,10.53,10.45,10.4503,25756
2019-11-05 09:40:00,10.49,10.53,10.46,10.46,9453
2019-11-05 09:45:00,10.46,10.6053,10.46,10.6053,11606
2019-11-05 09:50:00,10.6204,10.63,10.5599,10.6104,7975
2019-11-05 09:55:00,10.6504,10.68,10.615,10.6604,15042
2019-11-05 10:00:00,10.65,10.79,10.65,10.71,14254
2019-11-05 10:05:00,10.71,10.83,10.71,10.83,14966
2019-11-05 10:10:00,10.82,10.83,10.76,10.77,13344
2019-11-05 10:15:00,10.7653,10.79,10.695,10.7803,15294
2019-11-05 10:20:00,10.7702,10.83,10.77,10.8002,9666
2019-11-05 10:25:00,10.8105,10.82,10.76,10.7705,8121
2019-11-05 10:30:00,10.76,10.8,10.75,10.75,6435
2019-11-05 10:35:00,10.7604,10.7703,10.7103,10.7204,14160
2019-11-05 10:40:00,10.7,10.77,10.7,10.73,10531
2019-11-05 10:45:00,10.73,10.735,10.71,10.72,12138
2019-11-05 10:50:00,10.7202,10.7593,10.7193,10.7502,19934
2019-11-05 10:55:00,10.75,10.76,10.74,10.76,5849
2019-11-05 11:00:00,10.75,10.8,10.75,10.8,38737
2019-11-05 11:05:00,10.79,10.83,10.79,10.82,7940
2019-11-05 11:10:00,10.8402,10.9186,10.8285,10.8702,22628
2019-11-05 11:15:00,10.8605,10.9,10.835,10.8905,5509
2019-11-05 11:20:00,10.9,10.9016,10.8723,10.875,7548
2019-11-05 11:25:00,10.8904,10.9104,10.8904,10.8904,4472
2019-11-05 11:30:00,10.88,10.89,10.83,10.83,9317
2019-11-05 11:35:00,10.84,10.85,10.8,10.81,8365
2019-11-05 11:40:00,10.8202,10.83,10.79,10.7902,8833
2019-11-05 11:45:00,10.79,10.81,10.74,10.74,6584
2019-11-05 11:50:00,10.73,10.73,10.71,10.72,12814
2019-11-05 11:55:00,10.72,10.72,10.66,10.665,13736
2019-11-05 12:00:00,10.66,10.665,10.66,10.66,13904
2019-11-05 12:05:00,10.66,10.68,10.66,10.675,8314
2019-11-05 12:10:00,10.675,10.77,10.67,10.76,35363
2019-11-05 12:15:00,10.7604,10.8,10.74,10.7404,9526
2019-11-05 12:20:00,10.74,10.7701,10.74,10.75,6921
2019-11-05 12:25:00,10.75,10.75,10.72,10.73,3216
2019-11-05 12:30:00,10.73,10.73,10.71,10.71,8231
2019-11-05 12:35:00,10.72,10.73,10.72,10.725,15290
2019-11-05 12:40:00,10.73,10.78,10.73,10.78,15140
2019-11-05 12:45:00,10.7603,10.8005,10.7404,10.7503,13647
2019-11-05 12:50:00,10.7504,10.775,10.74,10.7705,9522
2019-11-05 12:55:00,10.775,10.8,10.77,10.8,15711
2019-11-05 13:00:00,10.8,10.81,10.78,10.79,11853
