,open,high,low,close,volume
2019-11-04 14:15:00,53.06,53.065,53.02,53.03,28636
2019-11-04 14:20:00,53.037,53.07,53.02,53.06,23905
2019-11-04 14:25:00,53.06,53.0693,53.0,53.04,35199
2019-11-04 14:30:00,53.0438,53.05,53.01,53.03,25746
2019-11-04 14:35:00,53.02,53.03,52.99,53.01,23781
2019-11-04 14:40:00,53.01,53.08,53.01,53.08,25569
2019-11-04 14:45:00,53.0809,53.0809,53.01,53.01,32278
2019-11-04 14:50:00,53.01,53.03,52.96,52.9601,41765
2019-11-04 14:55:00,52.96,53.0,52.95,52.975,40136
2019-11-04 15:00:00,52.98,52.98,52.91,52.93,64393
2019-11-04 15:05:00,52.93,52.935,52.855,52.8635,35629
2019-11-04 15:10:00,52.865,52.95,52.86,52.91,45740
2019-11-04 15:15:00,52.91,52.92,52.86,52.8704,27473
2019-11-04 15:20:00,52.88,52.88,52.81399999999999,52.825,38944
2019-11-04 15:25:00,52.83,52.89,52.83,52.87,54470
2019-11-04 15:30:00,52.86,52.9,52.84,52.9,25110
2019-11-04 15:35:00,52.9,52.98,52.9,52.965,46653
2019-11-04 15:40:00,52.96,53.01,52.95,53.01,54527
2019-11-04 15:45:00,53.02,53.0354,52.95,52.98,69460
2019-11-04 15:50:00,52.97,53.07,52.96,53.05,74789
2019-11-04 15:55:00,53.05,53.16,53.0475,53.15,102727
2019-11-04 16:00:00,53.15,53.17,53.055,53.17,230130
2019-11-05 09:35:00,53.1411,53.2418,52.9915,53.0681,79615
2019-11-05 09:40:00,53.011,53.2158,52.9917,53.066,68638
2019-11-05 09:45:00,53.09,53.1,52.92,52.95,36801
2019-11-05 09:50:00,52.931999999999995,52.9796,52.8295,52.8731,36311
2019-11-05 09:55:00,52.8917,53.0207,52.8606,52.9321,77641
2019-11-05 10:00:00,52.9,52.94,52.6,52.67,69109
2019-11-05 10:05:00,52.65,52.79,52.65,52.66,45406
2019-11-05 10:10:00,52.6614,52.76,52.63,52.7314,58036
2019-11-05 10:15:00,52.7517,52.8314,52.7313,52.7344,23806
2019-11-05 10:20:00,52.73,52.75,52.71,52.75,51730
2019-11-05 10:25:00,52.75,53.0,52.75,52.96,30010
2019-11-05 10:30:00,52.961999999999996,53.0196,52.8395,52.961999999999996,58181
2019-11-05 10:35:00,52.9721,52.99,52.96,52.9721,25582
2019-11-05 10:40:00,52.98,53.07,52.935,52.935,21192
2019-11-05 10:45:00,52.9312,52.94,52.875,52.88,21348
2019-11-05 10:50:00,52.875,53.0,52.86,53.0,15858
2019-11-05 10:55:00,53.01,53.22,53.01,53.18,37703
2019-11-05 11:00:00,53.19,53.21,53.12,53.19,20643
2019-11-05 11:05:00,53.185,53.25,53.16,53.23,17798
2019-11-05 11:10:00,53.2398,53.24,53.2,53.2229,14711
2019-11-05 11:15:00,53.23,53.3,53.22,53.29,14486
2019-11-05 11:20:00,53.2962,53.2962,53.26,53.285,3424
2019-11-05 11:25:00,53.24,53.25,53.2,53.25,33148
2019-11-05 11:30:00,53.25,53.25,53.08,53.098,76525
2019-11-05 11:35:00,53.095,53.1,53.01,53.05,42098
2019-11-05 11:40:00,53.07,53.12,53.04,53.12,11682
2019-11-05 11:45:00,53.13,53.19,53.118,53.17,28667
2019-11-05 11:50:00,53.17,53.18,53.07,53.085,17489
2019-11-05 11:55:00,53.08,53.13,53.05,53.13,19687
2019-11-05 12:00:00,53.15,53.18,53.12,53.13,16432
2019-11-05 12:05:00,53.13,53.14,53.035,53.035,20294
2019-11-05 12:10:00,53.04,53.05,52.99,53.0,18118
2019-11-05 12:15:00,52.99,53.02,52.968,53.02,24309
2019-11-05 12:20:00,53.02,53.12,53.02,53.05,12835
2019-11-05 12:25:00,53.05,53.08,53.01,53.0165,18851
2019-11-05 12:30:00,53.015,53.0301,53.01,53.02,13997
2019-11-05 12:35:00,53.01,53.01,52.98,52.99,11827
2019-11-05 12:40:00,53.0,53.005,52.98,53.0,13674
2019-11-05 12:45:00,52.9999,53.005,52.97,52.97,14213
2019-11-05 12:50:00,52.965,52.98,52.92,52.925,15457
2019-11-05 12:55:00,52.925,52.925,52.89,52.92,15137
2019-11-05 13:00:00,52.93,53.02,52.93,53.02,15759
2019-11-05 13:05:00,53.02,53.07,53.0095,53.01,17437
2019-11-05 13:10:00,52.995,53.02,52.99,52.99,9756
2019-11-05 13:15:00,52.99,52.99,52.93,52.95,15011
2019-11-05 13:20:00,52.9335,52.98,52.93,52.97,11797
2019-11-05 13:25:00,52.96,52.97,52.94,52.94,13869
2019-11-05 13:30:00,52.94600000000001,52.95,52.93,52.945,18656
2019-11-05 13:35:00,52.945,53.04,52.94,53.04,14666
2019-11-05 13:40:00,53.04,53.04,52.99,53.0184,15170
2019-11-05 13:45:00,53.01,53.05,53.0,53.03,19948
2019-11-05 13:50:00,53.025,53.04,53.0002,53.04,11711
2019-11-05 13:55:00,53.05,53.07,53.04,53.04,11625
2019-11-05 14:00:00,53.04,53.05,53.0,53.0,13076
2019-11-05 14:05:00,53.01,53.02,52.93,52.96,34544
2019-11-05 14:10:00,52.955,53.0,52.955,52.985,12644
2019-11-05 14:15:00,52.9846,53.035,52.9841,53.02,18624
2019-11-05 14:20:00,53.02,53.03,52.99,52.99,18935
2019-11-05 14:25:00,53.01,53.01,52.93,52.93,19272
2019-11-05 14:30:00,52.94,52.94,52.925,52.93600000000001,15242
2019-11-05 14:35:00,52.94,52.94,52.9,52.9,15731
2019-11-05 14:40:00,52.91,52.96,52.87,52.955,18842
2019-11-05 14:45:00,52.95,52.98,52.95,52.96,15951
2019-11-05 14:50:00,52.96,52.9652,52.94,52.95,21905
2019-11-05 14:55:00,52.9438,53.03,52.9438,53.025,18396
2019-11-05 15:00:00,53.03,53.03,52.96,52.96,19757
2019-11-05 15:05:00,52.97,52.98,52.95,52.98,31454
2019-11-05 15:10:00,52.97,52.97,52.93,52.935,21390
2019-11-05 15:15:00,52.935,52.94,52.88,52.926,42080
2019-11-05 15:20:00,52.925,52.95,52.8899,52.8899,21086
2019-11-05 15:25:00,52.88,52.881,52.82,52.8321,39388
2019-11-05 15:30:00,52.83,52.88,52.83,52.845,22947
2019-11-05 15:35:00,52.842,52.9045,52.8094,52.812,42259
2019-11-05 15:40:00,52.805,52.8589,52.79,52.855,46298
2019-11-05 15:45:00,52.855,52.96,52.855,52.9,40567
2019-11-05 15:50:00,52.9,52.91,52.84,52.85,43782
2019-11-05 15:55:00,52.845,52.9,52.83,52.835,92108
2019-11-05 16:00:00,52.83,52.83,52.73,52.79,170558
2019-11-06 09:35:00,52.5022,52.6106,51.8298,52.1222,247128
2019-11-06 09:40:00,52.1419,52.2489,51.9486,51.9639,73808
2019-11-06 09:45:00,52.0,52.28,51.97,52.235,66657
2019-11-06 09:50:00,52.2319,52.2985,52.1186,52.1719,74830
2019-11-06 09:55:00,52.1797,52.192,52.13,52.13,42165
2019-11-06 10:00:00,52.11,52.14,52.04,52.04,64800
2019-11-06 10:05:00,52.03,52.18,52.02,52.0905,92003
2019-11-06 10:10:00,52.08,52.1,52.08,52.08,28779
2019-11-06 10:15:00,52.0891,52.16,52.0798,52.16,41013
2019-11-06 10:20:00,52.14,52.16,52.02,52.05,60548
2019-11-06 10:25:00,52.06,52.075,51.905,51.935,83478
2019-11-06 10:30:00,51.9369,51.9893,51.688,51.7019,226412
2019-11-06 10:35:00,51.6916,51.8299,51.67,51.7816,88076
2019-11-06 10:40:00,51.79,51.8,51.67,51.675,85087
2019-11-06 10:45:00,51.6762,51.87,51.67,51.87,62617
2019-11-06 10:50:00,51.8842,51.99,51.7825,51.7825,74999
2019-11-06 10:55:00,51.7864,51.8352,51.7201,51.7464,92014
2019-11-06 11:00:00,51.74,51.75,51.65,51.71,69411
2019-11-06 11:05:00,51.71,51.9,51.7,51.88,56128
2019-11-06 11:10:00,51.885,52.0,51.88,51.95,124869
2019-11-06 11:15:00,51.96,52.11,51.95,52.0,43529
2019-11-06 11:20:00,52.0,52.05,51.8604,51.8604,56377
