,open,high,low,close,volume
2019-11-04 14:10:00,18.06,18.06,18.04,18.04,2522
2019-11-04 14:15:00,18.03,18.04,18.0,18.0,2278
2019-11-04 14:20:00,18.0003,18.0356,17.9756,18.0103,7916
2019-11-04 14:25:00,18.01,18.04,17.95,17.95,2229
2019-11-04 14:30:00,17.97,17.98,17.97,17.98,2696
2019-11-04 14:35:00,17.9805,18.0124,17.9774,17.9805,6180
2019-11-04 14:40:00,18.0,18.01,17.99,17.99,2736
2019-11-04 14:45:00,18.01,18.03,18.01,18.01,1331
2019-11-04 14:50:00,18.01,18.01,18.01,18.01,102
2019-11-04 14:55:00,18.0,18.0,17.95,17.95,3392
2019-11-04 15:00:00,17.95,17.99,17.95,17.99,2770
2019-11-04 15:05:00,17.97,17.99,17.97,17.98,11597
2019-11-04 15:10:00,17.98,17.99,17.97,17.99,23692
2019-11-04 15:15:00,18.0,18.01,18.0,18.0,1801
2019-11-04 15:20:00,17.97,18.0,17.97,18.0,2423
2019-11-04 15:25:00,17.99,17.99,17.99,17.99,336
2019-11-04 15:30:00,17.98,18.0,17.94,17.94,3795
2019-11-04 15:35:00,17.94,17.95,17.94,17.94,1819
2019-11-04 15:40:00,17.94,17.985,17.9388,17.985,7554
2019-11-04 15:45:00,17.985,17.99,17.985,17.99,2089
2019-11-04 15:50:00,17.985,17.997,17.985,17.995,5839
2019-11-04 15:55:00,17.995,18.08,17.995,18.08,40096
2019-11-04 16:00:00,18.08,18.15,18.08,18.09,111452
2019-11-05 09:35:00,18.15,18.16,18.115,18.115,7091
2019-11-05 09:40:00,18.15,18.15,18.15,18.15,291
2019-11-05 09:45:00,18.14,18.15,18.08,18.08,1271
2019-11-05 09:50:00,18.08,18.125,18.08,18.125,2825
2019-11-05 09:55:00,18.13,18.145,18.06,18.07,2352
2019-11-05 10:00:00,18.06,18.13,18.06,18.13,6910
2019-11-05 10:05:00,18.1503,18.22,18.1306,18.1953,2594
2019-11-05 10:10:00,18.19,18.205,18.125,18.125,2635
2019-11-05 10:15:00,18.1106,18.13,18.11,18.1106,960
2019-11-05 10:20:00,18.115,18.14,18.11,18.12,1716
2019-11-05 10:25:00,18.11,18.22,18.11,18.17,8695
2019-11-05 10:30:00,18.18,18.185,18.12,18.12,5019
