,open,high,low,close,volume
2019-11-04 14:15:00,146.59,146.69,146.57,146.63,28726
2019-11-04 14:20:00,146.63,146.78,146.5416,146.5416,41482
2019-11-04 14:25:00,146.52,146.635,146.52,146.635,44162
2019-11-04 14:30:00,146.6359,146.74,146.63,146.7,36224
2019-11-04 14:35:00,146.695,146.74,146.56,146.63,24149
2019-11-04 14:40:00,146.65,146.725,146.63,146.67,29342
2019-11-04 14:45:00,146.68,146.715,146.62,146.63,21787
2019-11-04 14:50:00,146.64,146.665,146.56,146.56,19418
2019-11-04 14:55:00,146.58,146.61,146.375,146.38,33345
2019-11-04 15:00:00,146.4,146.47,146.33,146.47,44094
2019-11-04 15:05:00,146.48,146.49,146.28,146.28,38032
2019-11-04 15:10:00,146.27,146.305,146.26,146.29,36439
2019-11-04 15:15:00,146.2922,146.34,146.24,146.24,47808
2019-11-04 15:20:00,146.2313,146.35,146.1926,146.32,30326
2019-11-04 15:25:00,146.327,146.38,146.28,146.38,42539
2019-11-04 15:30:00,146.38,146.47,146.29,146.355,39717
2019-11-04 15:35:00,146.37,146.555,146.32,146.49,63753
2019-11-04 15:40:00,146.505,146.53,146.44,146.44,50717
2019-11-04 15:45:00,146.4227,146.53,146.42,146.4956,65782
2019-11-04 15:50:00,146.505,146.7348,146.49,146.66,92208
2019-11-04 15:55:00,146.66,146.84,146.6,146.7,100687
2019-11-04 16:00:00,146.71,146.92,146.64,146.92,234474
2019-11-05 09:35:00,147.0547,147.3032,146.8828,147.0547,176790
2019-11-05 09:40:00,146.9579,147.28,146.89,147.0591,91676
2019-11-05 09:45:00,147.02,147.7,147.02,147.56,54032
2019-11-05 09:50:00,147.53,147.61,147.46,147.59,46387
2019-11-05 09:55:00,147.5759,147.7,147.335,147.4559,47096
2019-11-05 10:00:00,147.43,147.54,147.2,147.26,34883
2019-11-05 10:05:00,147.31,148.0,147.2901,147.37,136511
2019-11-05 10:10:00,147.34,147.391,147.13,147.235,52089
2019-11-05 10:15:00,147.2048,147.41299999999995,147.069,147.3948,30116
2019-11-05 10:20:00,147.41,147.45,147.3154,147.3154,36026
2019-11-05 10:25:00,147.31,147.3106,146.74,146.82,65255
2019-11-05 10:30:00,146.8055,146.91,146.57,146.7155,68107
2019-11-05 10:35:00,146.75,146.7835,146.58,146.6,40136
2019-11-05 10:40:00,146.57,146.59,146.44,146.44,45477
2019-11-05 10:45:00,146.42,146.64,146.42,146.48,37178
2019-11-05 10:50:00,146.49,146.56,146.3,146.4,41790
2019-11-05 10:55:00,146.41,146.6799,146.3795,146.6799,46080
2019-11-05 11:00:00,146.68,146.87,146.68,146.725,52444
2019-11-05 11:05:00,146.71,147.12,146.71,147.05,43694
2019-11-05 11:10:00,147.03,147.1718,146.86,146.87,31365
2019-11-05 11:15:00,146.88,146.98,146.77,146.785,22703
2019-11-05 11:20:00,146.81,147.0,146.73,146.745,33997
2019-11-05 11:25:00,146.737,146.75,146.541,146.57,28673
2019-11-05 11:30:00,146.566,146.62,146.45,146.52,25990
2019-11-05 11:35:00,146.53,146.59,146.37,146.37,111315
2019-11-05 11:40:00,146.37,146.405,145.96,146.0,70589
2019-11-05 11:45:00,145.97,146.08,145.97,146.01,27310
2019-11-05 11:50:00,146.019,146.24,146.01,146.24,28268
2019-11-05 11:55:00,146.25,146.25,146.06,146.07,19863
2019-11-05 12:00:00,146.06,146.215,146.035,146.19,32474
2019-11-05 12:05:00,146.14,146.27,146.12,146.13,25353
2019-11-05 12:10:00,146.14,146.17,145.97,145.98,22745
2019-11-05 12:15:00,145.98,146.03,145.9,145.9,40119
2019-11-05 12:20:00,145.91,146.19,145.9,146.08,22362
2019-11-05 12:25:00,146.1,146.11,145.87,145.88,29702
2019-11-05 12:30:00,145.89,145.9,145.665,145.73,68189
2019-11-05 12:35:00,145.73,145.93,145.73,145.8,42932
2019-11-05 12:40:00,145.82,145.86,145.75,145.86,26947
2019-11-05 12:45:00,145.86,145.97,145.86,145.97,17505
2019-11-05 12:50:00,145.965,146.01,145.939,145.9594,24563
2019-11-05 12:55:00,145.9576,146.16,145.9576,146.16,16722
2019-11-05 13:00:00,146.16,146.29,146.15,146.19,28037
2019-11-05 13:05:00,146.17,146.23,146.1,146.19,32830
2019-11-05 13:10:00,146.19,146.29,146.19,146.28,17283
2019-11-05 13:15:00,146.29,146.39,146.28,146.37,26594
2019-11-05 13:20:00,146.39,146.444,146.306,146.375,15350
2019-11-05 13:25:00,146.36,146.38,146.19,146.2301,21133
2019-11-05 13:30:00,146.266,146.3,146.252,146.2521,22789
2019-11-05 13:35:00,146.2506,146.586,146.2326,146.57,26988
2019-11-05 13:40:00,146.59,146.6904,146.55,146.63,23772
2019-11-05 13:45:00,146.63,146.63,146.5,146.5168,19561
2019-11-05 13:50:00,146.5191,146.58,146.35,146.37,24760
2019-11-05 13:55:00,146.4,146.405,146.31,146.31,15146
2019-11-05 14:00:00,146.29,146.42,146.29,146.37,21317
2019-11-05 14:05:00,146.39,146.39,146.25,146.3,32578
2019-11-05 14:10:00,146.3146,146.455,146.3,146.38,15355
2019-11-05 14:15:00,146.3555,146.45,146.3555,146.4,15619
2019-11-05 14:20:00,146.4,146.62,146.4,146.56,27260
2019-11-05 14:25:00,146.56,146.5839,146.49,146.51,22602
2019-11-05 14:30:00,146.5,146.55,146.47,146.5375,21808
2019-11-05 14:35:00,146.555,146.62,146.54,146.57,16461
2019-11-05 14:40:00,146.5796,146.58,146.505,146.505,26911
2019-11-05 14:45:00,146.4903,146.5,146.41,146.47,14591
2019-11-05 14:50:00,146.46,146.575,146.46,146.5,23120
2019-11-05 14:55:00,146.4987,146.54,146.47,146.52,18233
2019-11-05 15:00:00,146.54,146.55,146.43,146.44,18529
2019-11-05 15:05:00,146.43,146.43,146.35,146.42,23015
2019-11-05 15:10:00,146.405,146.42,146.31,146.42,28069
2019-11-05 15:15:00,146.425,146.46,146.35,146.35,23290
2019-11-05 15:20:00,146.335,146.35,146.1,146.12,27473
2019-11-05 15:25:00,146.0978,146.15,146.06,146.15,31294
2019-11-05 15:30:00,146.14,146.205,146.1,146.1,35129
2019-11-05 15:35:00,146.12,146.33,146.11,146.33,52006
2019-11-05 15:40:00,146.32,146.47,146.32,146.4,41262
2019-11-05 15:45:00,146.4,146.54,146.39,146.5278,54192
2019-11-05 15:50:00,146.52,146.53,146.25,146.265,49784
2019-11-05 15:55:00,146.28,146.38,146.21,146.33,81967
2019-11-05 16:00:00,146.33,146.49,146.14,146.37,249015
2019-11-06 09:35:00,146.47,146.47,145.09,145.2159,181657
2019-11-06 09:40:00,145.1904,145.6964,144.7955,145.4504,136730
2019-11-06 09:45:00,145.47,146.47,145.415,146.25,60579
2019-11-06 09:50:00,146.32,146.37,145.64,145.74,23367
2019-11-06 09:55:00,145.7796,146.018,145.63,145.8146,36202
2019-11-06 10:00:00,145.8,146.27,145.8,146.19,51467
2019-11-06 10:05:00,146.18,146.25,145.82,145.885,41004
2019-11-06 10:10:00,145.87,146.16,145.86,145.96,25184
2019-11-06 10:15:00,145.925,146.27,145.9038,146.26,41910
2019-11-06 10:20:00,146.255,146.255,145.91,145.91,35813
2019-11-06 10:25:00,145.9309,146.1599,145.9046,145.9559,33586
2019-11-06 10:30:00,145.9455,145.97,145.4,145.48,34021
2019-11-06 10:35:00,145.4546,145.5927,145.0922,145.3356,73274
2019-11-06 10:40:00,145.363,145.59,145.3,145.59,28589
2019-11-06 10:45:00,145.53,145.725,145.45,145.63,29931
2019-11-06 10:50:00,145.6201,145.69,145.57,145.6147,22097
