,open,high,low,close,volume
2019-11-04 14:15:00,9.83,9.88,9.825,9.875,36177
2019-11-04 14:20:00,9.875,9.88,9.875,9.875,5828
2019-11-04 14:25:00,9.88,9.9,9.88,9.9,54354
2019-11-04 14:30:00,9.8953,9.9,9.89,9.8953,60452
2019-11-04 14:35:00,9.9003,9.9096,9.8946,9.8949,28514
2019-11-04 14:40:00,9.892,9.897,9.89,9.895,30671
2019-11-04 14:45:00,9.9002,9.9078,9.8878,9.8902,54429
2019-11-04 14:50:00,9.8904,9.9045,9.8895,9.8954,21612
2019-11-04 14:55:00,9.8954,9.9043,9.8893,9.8904,24379
2019-11-04 15:00:00,9.89,9.895,9.89,9.89,11543
2019-11-04 15:05:00,9.8903,9.9097,9.8897,9.8903,27995
2019-11-04 15:10:00,9.89,9.895,9.89,9.89,11933
2019-11-04 15:15:00,9.9,9.91,9.9,9.9,5340
2019-11-04 15:20:00,9.895,9.905,9.89,9.905,80690
2019-11-04 15:25:00,9.9,9.93,9.9,9.925,82811
2019-11-04 15:30:00,9.9254,9.9379,9.92,9.9354,59479
2019-11-04 15:35:00,9.935,9.97,9.93,9.97,98862
2019-11-04 15:40:00,9.9654,9.9796,9.9595,9.9704,85805
2019-11-04 15:45:00,9.965,10.0,9.965,9.995,146906
2019-11-04 15:50:00,9.995,10.0,9.99,9.995,128291
2019-11-04 15:55:00,10.0004,10.0193,9.9993,10.0054,153611
2019-11-04 16:00:00,10.0,10.0,9.98,10.0,231263
2019-11-05 09:35:00,10.0403,10.0998,10.0097,10.0503,83394
2019-11-05 09:40:00,10.0302,10.0483,9.9228,9.9352,56578
2019-11-05 09:45:00,9.9304,10.02,9.92,10.0154,67865
2019-11-05 09:50:00,10.0204,10.035,9.965,9.9954,39063
2019-11-05 09:55:00,9.9913,10.0396,9.9796,10.0154,25263
2019-11-05 10:00:00,10.01,10.017,9.99,9.99,42099
2019-11-05 10:05:00,9.9902,10.005,9.98,9.9852,40907
2019-11-05 10:10:00,9.9803,10.0247,9.9596,10.0153,49023
2019-11-05 10:15:00,10.0153,10.0247,9.9497,10.0003,64766
2019-11-05 10:20:00,9.9952,10.0079,9.9778,9.9902,27398
2019-11-05 10:25:00,9.985,10.015,9.97,9.97,43749
2019-11-05 10:30:00,9.9754,9.99,9.96,9.9704,25345
2019-11-05 10:35:00,9.9704,9.98,9.965,9.9704,25389
2019-11-05 10:40:00,9.97,9.98,9.965,9.965,28155
2019-11-05 10:45:00,9.96,9.985,9.96,9.96,40326
2019-11-05 10:50:00,9.9602,9.9686,9.9186,9.9502,65568
2019-11-05 10:55:00,9.945,9.945,9.92,9.92,28628
2019-11-05 11:00:00,9.92,9.94,9.92,9.92,17787
2019-11-05 11:05:00,9.9303,9.9397,9.8896,9.8953,47631
2019-11-05 11:10:00,9.9,9.91,9.845,9.845,44322
2019-11-05 11:15:00,9.85,9.88,9.84,9.84,41670
2019-11-05 11:20:00,9.84,9.85,9.8254,9.8254,44954
