,open,high,low,close,volume
2019-11-04 14:15:00,13.78,13.79,13.775,13.79,1668
2019-11-04 14:20:00,13.805,13.82,13.805,13.82,1041
2019-11-04 14:25:00,13.84,13.85,13.84,13.85,880
2019-11-04 14:30:00,13.84,13.85,13.84,13.85,2876
2019-11-04 14:35:00,13.86,13.86,13.83,13.83,2539
2019-11-04 14:40:00,13.83,13.83,13.8277,13.8277,612
2019-11-04 14:45:00,13.82,13.89,13.82,13.84,3058
2019-11-04 14:50:00,13.8506,13.8633,13.8332,13.8406,1793
2019-11-04 14:55:00,13.83,13.85,13.83,13.83,2547
2019-11-04 15:00:00,13.84,13.86,13.84,13.86,2473
2019-11-04 15:05:00,13.88,13.895,13.865,13.865,1013
2019-11-04 15:10:00,13.87,13.95,13.87,13.95,5896
2019-11-04 15:15:00,13.96,14.02,13.96,14.0,2846
2019-11-04 15:20:00,13.99,14.03,13.95,13.95,10532
2019-11-04 15:25:00,13.92,13.92,13.86,13.86,5212
2019-11-04 15:30:00,13.855,13.855,13.82,13.82,1776
2019-11-04 15:35:00,13.825,13.87,13.82,13.86,4459
2019-11-04 15:40:00,13.8506,13.9133,13.8432,13.8906,4648
2019-11-04 15:45:00,13.89,13.91,13.89,13.91,5455
2019-11-04 15:50:00,13.9004,13.9321,13.8936,13.9154,7933
2019-11-04 15:55:00,13.91,13.94,13.88,13.88,11351
2019-11-04 16:00:00,13.9,13.93,13.88,13.92,29784
2019-11-05 09:35:00,12.8404,12.8525,11.9816,12.1154,5485
2019-11-05 09:40:00,12.5,13.31,12.5,13.29,27905
2019-11-05 09:45:00,13.1756,13.6031,13.1727,13.5606,11455
2019-11-05 09:50:00,13.61,13.94,13.61,13.94,19051
2019-11-05 09:55:00,13.9206,13.9634,13.553,13.6905,4436
2019-11-05 10:00:00,13.8,13.85,13.74,13.81,5800
2019-11-05 10:05:00,13.89,14.09,13.89,14.04,9041
2019-11-05 10:10:00,14.04,14.15,14.03,14.14,13872
2019-11-05 10:15:00,14.1905,14.4013,14.1437,14.2005,15984
2019-11-05 10:20:00,14.28,14.3,14.22,14.23,3962
2019-11-05 10:25:00,14.1306,14.1536,14.0635,14.1406,1824
2019-11-05 10:30:00,14.145,14.29,14.12,14.12,3846
2019-11-05 10:35:00,14.115,14.26,14.115,14.13,7526
2019-11-05 10:40:00,14.1805,14.2232,14.053,14.0705,4137
2019-11-05 10:45:00,14.0804,14.1389,14.0438,14.1254,5324
2019-11-05 10:50:00,14.1502,14.18,14.11,14.1402,2778
2019-11-05 10:55:00,14.17,14.17,14.13,14.15,5764
2019-11-05 11:00:00,14.12,14.22,14.11,14.22,4587
2019-11-05 11:05:00,14.26,14.3,14.26,14.26,1939
2019-11-05 11:10:00,14.24,14.28,14.23,14.23,8034
2019-11-05 11:15:00,14.2406,14.2537,14.2337,14.2406,1986
2019-11-05 11:20:00,14.255,14.29,14.15,14.23,8013
2019-11-05 11:25:00,14.13,14.15,14.1216,14.13,2019
2019-11-05 11:30:00,14.14,14.15,14.0706,14.0706,2792
2019-11-05 11:35:00,14.1104,14.1238,14.0538,14.1104,14403
2019-11-05 11:40:00,14.1202,14.14,14.04,14.0782,4724
2019-11-05 11:45:00,14.04,14.08,14.03,14.03,20784
2019-11-05 11:50:00,14.0105,14.0336,13.9135,13.9204,21251
2019-11-05 11:55:00,13.93,13.93,13.87,13.87,1548
2019-11-05 12:00:00,13.83,13.89,13.83,13.89,930
2019-11-05 12:05:00,13.9,13.94,13.9,13.94,1361
2019-11-05 12:10:00,13.935,13.955,13.935,13.955,944
2019-11-05 12:15:00,13.96,13.98,13.96,13.98,4749
2019-11-05 12:20:00,14.0,14.035,14.0,14.0,2849
2019-11-05 12:25:00,14.03,14.06,14.02,14.02,8401
2019-11-05 12:30:00,14.02,14.04,14.01,14.04,2307
2019-11-05 12:35:00,14.05,14.05,13.985,13.99,2727
2019-11-05 12:40:00,14.0,14.06,14.0,14.06,1711
2019-11-05 12:45:00,14.01,14.02,14.01,14.01,3068
2019-11-05 12:50:00,14.01,14.01,14.0,14.0,448
2019-11-05 12:55:00,14.0003,14.0811,13.9868,13.9903,8559
2019-11-05 13:00:00,14.02,14.0673,14.005,14.01,3025
2019-11-05 13:05:00,13.99,13.99,13.95,13.95,2041
2019-11-05 13:10:00,13.96,13.96,13.935,13.935,2190
2019-11-05 13:15:00,13.97,13.99,13.97,13.97,2129
2019-11-05 13:20:00,13.9702,13.9821,13.9521,13.9602,2136
2019-11-05 13:25:00,13.91,13.91,13.91,13.91,370
2019-11-05 13:30:00,13.95,14.025,13.95,13.97,5437
2019-11-05 13:35:00,13.96,14.03,13.96,14.03,1657
2019-11-05 13:40:00,14.03,14.03,13.97,13.97,7444
2019-11-05 13:45:00,13.965,13.965,13.88,13.88,2738
2019-11-05 13:50:00,13.9,13.92,13.89,13.89,1661
2019-11-05 13:55:00,13.8742,13.89,13.8742,13.89,732
2019-11-05 14:00:00,13.88,13.88,13.85,13.88,6729
2019-11-05 14:05:00,13.89,13.91,13.89,13.89,2893
2019-11-05 14:10:00,13.91,13.97,13.91,13.97,2185
2019-11-05 14:15:00,13.97,13.99,13.94,13.95,2679
2019-11-05 14:20:00,13.9905,14.0136,13.8435,13.8904,30990
2019-11-05 14:25:00,13.9204,13.99,13.9,13.9504,5487
2019-11-05 14:30:00,13.98,14.06,13.98,13.98,7089
2019-11-05 14:35:00,13.9903,14.041,13.981,14.0203,8660
2019-11-05 14:40:00,14.0206,14.04,13.8101,13.9106,62139
2019-11-05 14:45:00,13.9105,13.933,13.883,13.9055,2802
2019-11-05 14:50:00,13.915,13.93,13.89,13.9,3402
2019-11-05 14:55:00,13.9105,13.9429,13.8631,13.8805,15315
2019-11-05 15:00:00,13.88,13.91,13.715,13.75,41658
2019-11-05 15:05:00,13.74,13.8,13.71,13.78,13415
2019-11-05 15:10:00,13.7904,13.87,13.79,13.7904,25088
2019-11-05 15:15:00,13.7904,13.8034,13.7583,13.7754,4749
2019-11-05 15:20:00,13.79,13.79,13.67,13.67,8149
2019-11-05 15:25:00,13.69,13.7,13.66,13.67,6225
2019-11-05 15:30:00,13.66,13.68,13.58,13.58,10800
2019-11-05 15:35:00,13.5705,13.6228,13.5527,13.6105,13845
2019-11-05 15:40:00,13.62,13.7,13.62,13.7,2511
2019-11-05 15:45:00,13.7,13.7,13.59,13.6,19682
2019-11-05 15:50:00,13.61,13.63,13.61,13.61,12944
2019-11-05 15:55:00,13.6102,13.6418,13.6018,13.6202,10434
2019-11-05 16:00:00,13.61,13.65,13.55,13.63,44762
2019-11-06 09:35:00,13.52,13.52,13.26,13.26,1776
2019-11-06 09:40:00,13.17,13.26,13.16,13.16,2805
2019-11-06 09:45:00,13.3405,13.633,13.3228,13.6205,6596
2019-11-06 09:50:00,13.5855,13.635,13.53,13.6205,4166
2019-11-06 09:55:00,13.6054,13.73,13.59,13.6004,4565
2019-11-06 10:00:00,13.65,13.75,13.65,13.68,13727
2019-11-06 10:05:00,13.67,13.71,13.44,13.44,21381
2019-11-06 10:10:00,13.4285,13.44,13.37,13.4303,7629
2019-11-06 10:15:00,13.43,13.49,13.43,13.49,6117
2019-11-06 10:20:00,13.48,13.48,13.35,13.355,6543
2019-11-06 10:25:00,13.35,13.45,13.35,13.45,2597
2019-11-06 10:30:00,13.52,13.57,13.52,13.57,1462
2019-11-06 10:35:00,13.5604,13.5733,13.4332,13.4604,3467
2019-11-06 10:40:00,13.49,13.58,13.49,13.58,1500
2019-11-06 10:45:00,13.55,13.6,13.54,13.59,2539
2019-11-06 10:50:00,13.55,13.63,13.55,13.59,2699
2019-11-06 10:55:00,13.5704,13.6332,13.5031,13.6204,3134
2019-11-06 11:00:00,13.67,13.72,13.67,13.69,2127
2019-11-06 11:05:00,13.72,13.72,13.66,13.66,3101
2019-11-06 11:10:00,13.6605,13.685,13.61,13.6405,4022
2019-11-06 11:15:00,13.62,13.665,13.62,13.65,1918
2019-11-06 11:20:00,13.64,13.64,13.57,13.58,3593
2019-11-06 11:25:00,13.57,13.57,13.5,13.5,859
2019-11-06 11:30:00,13.5102,13.53,13.47,13.5102,6079
2019-11-06 11:35:00,13.505,13.63,13.505,13.585,2184
2019-11-06 11:40:00,13.5754,13.6333,13.5532,13.6204,2087
2019-11-06 11:45:00,13.63,13.65,13.55,13.595,2971
2019-11-06 11:50:00,13.56,13.59,13.535,13.535,5765
2019-11-06 11:55:00,13.52,13.55,13.47,13.47,3648
2019-11-06 12:00:00,13.46,13.51,13.46,13.5,2267
2019-11-06 12:05:00,13.5,13.5,13.4,13.4,4276
2019-11-06 12:10:00,13.4,13.4,13.345,13.345,2318
2019-11-06 12:15:00,13.3404,13.3731,13.3331,13.3604,2385
2019-11-06 12:20:00,13.37,13.375,13.36,13.375,1292
2019-11-06 12:25:00,13.37,13.37,13.35,13.37,4187
2019-11-06 12:30:00,13.3404,13.353,13.3079,13.3204,1816
2019-11-06 12:35:00,13.32,13.34,13.3,13.3,1796
2019-11-06 12:40:00,13.28,13.31,13.26,13.26,1735
2019-11-06 12:45:00,13.2703,13.2804,13.2204,13.2403,5150
2019-11-06 12:50:00,13.2105,13.2227,13.1726,13.2005,2275
2019-11-06 12:55:00,13.2205,13.23,13.21,13.2185,2739
2019-11-06 13:00:00,13.23,13.23,13.16,13.2,1346
2019-11-06 13:05:00,13.16,13.2,13.16,13.17,2301
2019-11-06 13:10:00,13.1502,13.1664,13.1214,13.1552,1906
2019-11-06 13:15:00,13.147,13.17,13.14,13.14,3121
2019-11-06 13:20:00,13.12,13.2,13.12,13.2,1810
2019-11-06 13:25:00,13.2,13.24,13.2,13.22,1653
2019-11-06 13:30:00,13.21,13.31,13.21,13.31,2563
2019-11-06 13:35:00,13.2603,13.2704,13.2204,13.2403,4613
2019-11-06 13:40:00,13.26,13.26,13.22,13.22,1952
2019-11-06 13:45:00,13.2602,13.2602,13.2602,13.2602,130
2019-11-06 13:50:00,13.2504,13.29,13.24,13.2454,3674
2019-11-06 13:55:00,13.245,13.29,13.22,13.22,4699
2019-11-06 14:00:00,13.22,13.27,13.13,13.13,6833
2019-11-06 14:05:00,13.15,13.15,13.14,13.14,1827
2019-11-06 14:10:00,13.1154,13.14,13.1,13.1304,1973
2019-11-06 14:15:00,13.1403,13.1627,13.1027,13.1103,7465
2019-11-06 14:20:00,13.11,13.14,13.1,13.12,3861
2019-11-06 14:25:00,13.1353,13.1453,13.0703,13.1003,4287
2019-11-06 14:30:00,13.115,13.13,13.07,13.07,3164
2019-11-06 14:35:00,13.07,13.08,13.07,13.08,656
2019-11-06 14:40:00,13.0904,13.1028,13.0228,13.0304,16700
2019-11-06 14:45:00,13.0105,13.0421,12.9921,13.0305,24887
2019-11-06 14:50:00,13.03,13.03,12.97,12.97,6015
2019-11-06 14:55:00,12.98,12.98,12.93,12.94,6223
2019-11-06 15:00:00,12.95,12.96,12.9,12.96,30276
2019-11-06 15:05:00,12.9603,12.97,12.93,12.97,6476
2019-11-06 15:10:00,12.97,12.98,12.96,12.98,3868
2019-11-06 15:15:00,12.9803,12.9902,12.9502,12.9503,5009
2019-11-06 15:20:00,12.96,12.96,12.9,12.91,9090
2019-11-06 15:25:00,12.93,12.985,12.93,12.96,5667
2019-11-06 15:30:00,12.9604,13.0027,12.9577,12.9704,6166
2019-11-06 15:35:00,12.9805,13.0121,12.972000000000001,12.9905,4407
2019-11-06 15:40:00,12.99,12.99,12.97,12.97,11828
2019-11-06 15:45:00,12.9702,12.98,12.95,12.9702,12648
2019-11-06 15:50:00,12.95,13.02,12.94,12.94,12303
2019-11-06 15:55:00,12.9604,12.975,12.95,12.9704,19794
2019-11-06 16:00:00,12.97,13.01,12.96,12.99,42222
2019-11-07 09:35:00,13.25,13.3,13.2,13.21,1442
2019-11-07 09:40:00,13.24,13.24,13.24,13.24,261
2019-11-07 09:45:00,13.3304,13.4332,13.223,13.2954,3109
2019-11-07 09:50:00,13.255,13.255,13.2,13.2,2039
2019-11-07 09:55:00,13.23,13.35,13.23,13.35,250
2019-11-07 10:00:00,13.34,13.34,13.34,13.34,1310
2019-11-07 10:05:00,13.3746,13.3869,13.2778,13.2906,2058
2019-11-07 10:10:00,13.27,13.27,13.12,13.12,6295
2019-11-07 10:15:00,13.08,13.1,13.0,13.0,3148
2019-11-07 10:20:00,13.02,13.02,12.98,12.98,898
2019-11-07 10:25:00,13.08,13.08,12.96,12.97,1554
2019-11-07 10:30:00,13.01,13.04,13.0,13.04,2074
2019-11-07 10:35:00,13.025,13.04,13.01,13.01,507
2019-11-07 10:40:00,13.0454,13.0927,13.0327,13.0804,2830
2019-11-07 10:45:00,13.11,13.13,13.1,13.12,2547
2019-11-07 10:50:00,13.17,13.19,13.12,13.12,4006
2019-11-07 10:55:00,13.1103,13.1203,13.0703,13.1003,1324
2019-11-07 11:00:00,13.13,13.13,13.08,13.13,962
2019-11-07 11:05:00,13.1505,13.1626,13.0925,13.1005,1991
2019-11-07 11:10:00,13.08,13.11,13.08,13.11,759
2019-11-07 11:15:00,13.12,13.12,13.11,13.11,52400
2019-11-07 11:20:00,13.2,13.2,13.12,13.12,2640
2019-11-07 11:25:00,13.12,13.16,13.05,13.06,4883
2019-11-07 11:30:00,13.02,13.02,12.965,12.965,1435
2019-11-07 11:35:00,12.94,12.94,12.94,12.94,115
2019-11-07 11:40:00,12.96,12.965,12.94,12.94,425
2019-11-07 11:45:00,12.9803,13.0052,12.9702,12.9953,3375
2019-11-07 11:50:00,13.0,13.0,12.97,12.97,3395
2019-11-07 11:55:00,12.9743,12.9743,12.91,12.91,2587
2019-11-07 12:00:00,12.9,12.93,12.9,12.93,2094
2019-11-07 12:05:00,13.0004,13.0128,12.9727,12.9904,4494
2019-11-07 12:10:00,12.98,12.98,12.98,12.98,375
2019-11-07 12:15:00,13.0,13.06,13.0,13.04,1808
2019-11-07 12:20:00,13.04,13.06,13.04,13.06,415
2019-11-07 12:25:00,13.04,13.055,13.04,13.055,1216
2019-11-07 12:30:00,13.055,13.13,13.05,13.09,12132
2019-11-07 12:35:00,13.0903,13.1303,12.9902,13.0003,8532
2019-11-07 12:40:00,12.98,13.0,12.98,13.0,1244
2019-11-07 12:45:00,12.995,12.995,12.97,12.97,9998
2019-11-07 12:50:00,12.98,12.98,12.97,12.97,630
2019-11-07 12:55:00,12.99,12.99,12.97,12.98,1808
2019-11-07 13:00:00,12.99,12.99,12.98,12.98,613
2019-11-07 13:05:00,12.98,12.99,12.98,12.99,5006
2019-11-07 13:10:00,12.97,12.99,12.97,12.99,1400
2019-11-07 13:15:00,12.97,13.06,12.97,13.06,15413
2019-11-07 13:20:00,13.03,13.03,13.02,13.02,1654
2019-11-07 13:25:00,12.98,12.98,12.98,12.98,322
2019-11-07 13:30:00,12.98,13.0,12.97,12.98,9974
2019-11-07 13:35:00,12.96,13.005,12.96,13.005,994
2019-11-07 13:40:00,13.005,13.04,12.98,12.98,23457
2019-11-07 13:45:00,12.98,13.0,12.98,12.99,917
2019-11-07 13:50:00,12.99,13.04,12.985,13.02,8814
2019-11-07 13:55:00,13.025,13.12,13.025,13.07,3610
2019-11-07 14:00:00,13.09,13.09,13.08,13.08,1212
2019-11-07 14:05:00,13.09,13.13,13.09,13.13,1497
2019-11-07 14:10:00,13.14,13.14,13.14,13.14,216
2019-11-07 14:15:00,13.145,13.19,13.145,13.17,1965
2019-11-07 14:20:00,13.225,13.225,13.225,13.225,318
2019-11-07 14:25:00,13.225,13.25,13.2,13.2,590
2019-11-07 14:30:00,13.2004,13.2129,13.1729,13.2004,6725
2019-11-07 14:35:00,13.2399,13.245,13.2399,13.245,854
2019-11-07 14:40:00,13.26,13.295,13.26,13.28,2395
2019-11-07 14:45:00,13.27,13.37,13.27,13.37,4389
2019-11-07 14:50:00,13.35,13.35,13.35,13.35,200
2019-11-07 14:55:00,13.34,13.35,13.34,13.35,1407
2019-11-07 15:00:00,13.35,13.35,13.31,13.31,2054
2019-11-07 15:05:00,13.32,13.32,13.31,13.31,1377
2019-11-07 15:10:00,13.31,13.33,13.31,13.33,3665
2019-11-07 15:15:00,13.33,13.34,13.33,13.33,1917
2019-11-07 15:20:00,13.33,13.33,13.3,13.3,3230
2019-11-07 15:25:00,13.29,13.3,13.23,13.23,3581
2019-11-07 15:30:00,13.23,13.23,13.22,13.22,1710
2019-11-07 15:35:00,13.225,13.23,13.19,13.19,3173
2019-11-07 15:40:00,13.2,13.24,13.2,13.2,6916
2019-11-07 15:45:00,13.19,13.205,13.19,13.199000000000002,5158
2019-11-07 15:50:00,13.1903,13.2204,13.1704,13.2103,9668
2019-11-07 15:55:00,13.2,13.22,13.2,13.205,7584
2019-11-07 16:00:00,13.2,13.29,13.19,13.27,15876
2019-11-08 09:35:00,13.0804,13.1329,13.0628,13.1204,295
2019-11-08 09:40:00,13.0402,13.2214,13.0113,13.2102,4793
2019-11-08 09:45:00,13.2,13.21,13.14,13.15,1578
2019-11-08 09:50:00,13.24,13.24,13.225,13.225,756
2019-11-08 09:55:00,13.33,13.33,13.19,13.19,2368
2019-11-08 10:00:00,13.19,13.19,13.15,13.15,1039
2019-11-08 10:05:00,13.11,13.16,13.11,13.11,1004
2019-11-08 10:10:00,13.1726,13.1726,13.16,13.1726,746
2019-11-08 10:15:00,13.2104,13.283,13.1929,13.2504,2163
2019-11-08 10:20:00,13.27,13.27,13.27,13.27,1043
2019-11-08 10:25:00,13.31,13.5,13.31,13.4,8044
2019-11-08 10:30:00,13.4004,13.42,13.37,13.4004,3167
2019-11-08 10:35:00,13.39,13.46,13.39,13.46,1709
2019-11-08 10:40:00,13.46,13.515,13.45,13.515,2141
2019-11-08 10:45:00,13.48,13.56,13.48,13.56,2832
2019-11-08 10:50:00,13.52,13.545,13.52,13.535,875
2019-11-08 10:55:00,13.52,13.53,13.5,13.51,3313
2019-11-08 11:00:00,13.49,13.49,13.43,13.45,3822
2019-11-08 11:05:00,13.4514,13.4732,13.4318,13.4604,3949
2019-11-08 11:10:00,13.4402,13.4516,13.3616,13.3802,4281
2019-11-08 11:15:00,13.4,13.4,13.34,13.34,4533
2019-11-08 11:20:00,13.3304,13.343,13.2829,13.2904,2224
2019-11-08 11:25:00,13.3,13.31,13.28,13.28,1208
2019-11-08 11:30:00,13.2706,13.29,13.27,13.2756,11253
2019-11-08 11:35:00,13.28,13.35,13.28,13.35,1532
2019-11-08 11:40:00,13.37,13.48,13.36,13.48,5974
2019-11-08 11:45:00,13.4805,13.54,13.46,13.4605,33024
2019-11-08 11:50:00,13.45,13.45,13.45,13.45,0
2019-11-08 11:55:00,13.45,13.47,13.44,13.46,120483
2019-11-08 12:00:00,13.46,13.46,13.45,13.45,2524
2019-11-08 12:05:00,13.45,13.45,13.43,13.43,866
2019-11-08 12:10:00,13.46,13.46,13.4,13.4,4742
2019-11-08 12:15:00,13.39,13.45,13.39,13.43,2412
2019-11-08 12:20:00,13.43,13.43,13.43,13.43,917
2019-11-08 12:25:00,13.4303,13.4406,13.3705,13.3753,4117
2019-11-08 12:30:00,13.3716,13.39,13.3716,13.38,851
2019-11-08 12:35:00,13.38,13.38,13.36,13.36,1830
2019-11-08 12:40:00,13.34,13.36,13.34,13.34,3391
2019-11-08 12:45:00,13.35,13.37,13.35,13.37,1093
2019-11-08 12:50:00,13.38,13.39,13.34,13.34,2817
2019-11-08 12:55:00,13.35,13.395,13.35,13.38,1469
2019-11-08 13:00:00,13.38,13.38,13.35,13.35,1782
2019-11-08 13:05:00,13.32,13.34,13.3,13.31,1638
2019-11-08 13:10:00,13.32,13.33,13.31,13.31,2531
2019-11-08 13:15:00,13.3,13.32,13.3,13.3,778
2019-11-08 13:20:00,13.29,13.29,13.29,13.29,588
2019-11-08 13:25:00,13.28,13.29,13.27,13.27,2825
2019-11-08 13:30:00,13.27,13.27,13.27,13.27,385
2019-11-08 13:35:00,13.27,13.27,13.27,13.27,451
2019-11-08 13:40:00,13.27,13.27,13.24,13.24,3912
2019-11-08 13:45:00,13.25,13.285,13.25,13.27,1619
2019-11-08 13:50:00,13.27,13.27,13.25,13.25,1217
2019-11-08 13:55:00,13.2704,13.2829,13.2529,13.2704,3828
2019-11-08 14:00:00,13.27,13.27,13.21,13.23,1341
2019-11-08 14:05:00,13.21,13.21,13.21,13.21,119
2019-11-08 14:10:00,13.22,13.22,13.21,13.22,1637
2019-11-08 14:15:00,13.215,13.22,13.2,13.2,1077
2019-11-08 14:20:00,13.22,13.23,13.205,13.205,4438
2019-11-08 14:25:00,13.2,13.33,13.19,13.315,16896
2019-11-08 14:30:00,13.34,13.35,13.31,13.35,3485
2019-11-08 14:35:00,13.38,13.38,13.31,13.31,3779
2019-11-08 14:40:00,13.32,13.32,13.3,13.3,2664
2019-11-08 14:45:00,13.3304,13.343,13.3029,13.3104,3018
2019-11-08 14:50:00,13.3303,13.37,13.31,13.3303,4395
2019-11-08 14:55:00,13.3306,13.35,13.3,13.3156,3951
2019-11-08 15:00:00,13.31,13.31,13.26,13.27,3430
2019-11-08 15:05:00,13.28,13.3,13.28,13.29,2265
2019-11-08 15:10:00,13.305,13.305,13.25,13.25,2437
2019-11-08 15:15:00,13.255,13.26,13.255,13.26,1548
2019-11-08 15:20:00,13.27,13.28,13.27,13.28,4420
2019-11-08 15:25:00,13.27,13.27,13.22,13.22,4712
2019-11-08 15:30:00,13.24,13.28,13.23,13.26,4805
2019-11-08 15:35:00,13.27,13.29,13.27,13.28,3861
2019-11-08 15:40:00,13.2903,13.3105,13.2704,13.2903,6703
2019-11-08 15:45:00,13.29,13.29,13.26,13.26,3707
2019-11-08 15:50:00,13.2655,13.2824,13.2424,13.2455,7371
2019-11-08 15:55:00,13.25,13.25,13.23,13.235,6149
2019-11-08 16:00:00,13.24,13.25,13.21,13.24,19886
2019-11-11 14:15:00,12.69,12.7,12.69,12.69,2969
2019-11-11 14:20:00,12.69,12.73,12.69,12.73,4193
