,open,high,low,close,volume
2019-11-04 14:15:00,1.54,1.54,1.53,1.535,302219
2019-11-04 14:20:00,1.535,1.54,1.53,1.54,375749
2019-11-04 14:25:00,1.54,1.54,1.53,1.54,224701
2019-11-04 14:30:00,1.53,1.54,1.53,1.53,501595
2019-11-04 14:35:00,1.535,1.535,1.5276,1.5276,1706317
2019-11-04 14:40:00,1.5263,1.5415,1.5217,1.5301,604724
2019-11-04 14:45:00,1.53,1.54,1.53,1.5343,420105
2019-11-04 14:50:00,1.53,1.54,1.53,1.53,271262
2019-11-04 14:55:00,1.5301,1.5414,1.5214,1.5401,720874
2019-11-04 15:00:00,1.54,1.54,1.535,1.54,219397
2019-11-04 15:05:00,1.535,1.5515,1.5315,1.55,1670839
2019-11-04 15:10:00,1.55,1.555,1.55,1.555,1779194
2019-11-04 15:15:00,1.56,1.56,1.555,1.56,555467
2019-11-04 15:20:00,1.5551,1.5715,1.5515,1.5701,1777430
2019-11-04 15:25:00,1.5615,1.5715,1.5615,1.57,1087767
2019-11-04 15:30:00,1.5701,1.5715,1.5615,1.5701,483326
2019-11-04 15:35:00,1.56,1.57,1.55,1.5501,2187659
2019-11-04 15:40:00,1.5551,1.5593,1.5315,1.5401,2168724
2019-11-04 15:45:00,1.5451,1.55,1.545,1.5451,1018273
2019-11-04 15:50:00,1.545,1.56,1.535,1.555,4813339
2019-11-04 15:55:00,1.56,1.57,1.55,1.55,2545698
2019-11-04 16:00:00,1.56,1.56,1.55,1.56,3558834
2019-11-05 09:35:00,1.32,1.3513,1.3013,1.35,19572945
2019-11-05 09:40:00,1.345,1.3611,1.3411,1.35,4013917
2019-11-05 09:45:00,1.3551,1.375,1.35,1.3667,4138520
2019-11-05 09:50:00,1.3601,1.41,1.36,1.41,5437420
2019-11-05 09:55:00,1.4101,1.4114,1.3613,1.3701,4866512
2019-11-05 10:00:00,1.37,1.38,1.36,1.37,3167746
2019-11-05 10:05:00,1.36,1.37,1.36,1.365,2400342
2019-11-05 10:10:00,1.365,1.365,1.36,1.365,1438955
2019-11-05 10:15:00,1.36,1.37,1.35,1.35,2017075
2019-11-05 10:20:00,1.35,1.36,1.35,1.355,1350558
2019-11-05 10:25:00,1.3501,1.36,1.34,1.3551,2752848
2019-11-05 10:30:00,1.35,1.36,1.34,1.34,3847444
2019-11-05 10:35:00,1.3451,1.35,1.34,1.3451,1603913
2019-11-05 10:40:00,1.345,1.35,1.345,1.345,1237161
2019-11-05 10:45:00,1.35,1.35,1.34,1.35,814615
2019-11-05 10:50:00,1.34,1.35,1.34,1.345,1053698
2019-11-05 10:55:00,1.35,1.35,1.335,1.34,1904465
2019-11-05 11:00:00,1.33,1.35,1.33,1.35,2493098
2019-11-05 11:05:00,1.3404,1.345,1.34,1.34,620673
2019-11-05 11:10:00,1.345,1.345,1.34,1.345,576627
2019-11-05 11:15:00,1.34,1.35,1.34,1.3444,531345
2019-11-05 11:20:00,1.345,1.35,1.34,1.34,57208
2019-11-05 11:25:00,1.34,1.35,1.34,1.345,1358968
2019-11-05 11:30:00,1.345,1.35,1.34,1.34,1135258
2019-11-05 11:35:00,1.345,1.35,1.33,1.33,1322342
2019-11-05 11:40:00,1.335,1.335,1.33,1.335,3419303
2019-11-05 11:45:00,1.34,1.34,1.33,1.34,711671
2019-11-05 11:50:00,1.335,1.34,1.33,1.335,499620
2019-11-05 11:55:00,1.33,1.34,1.33,1.335,512196
2019-11-05 12:00:00,1.34,1.34,1.33,1.34,555983
2019-11-05 12:05:00,1.3351,1.3413,1.3313,1.3351,485560
2019-11-05 12:10:00,1.33,1.34,1.33,1.33,455859
2019-11-05 12:15:00,1.335,1.34,1.33,1.33,583615
2019-11-05 12:20:00,1.335,1.3399,1.33,1.3399,301924
2019-11-05 12:25:00,1.335,1.34,1.33,1.33,1180486
