,open,high,low,close,volume
2019-11-04 14:15:00,751.49,751.57,751.49,751.4995,1011
2019-11-04 14:20:00,751.4,751.655,751.17,751.655,4089
2019-11-04 14:25:00,751.83,752.6239999999997,751.83,751.97,4294
2019-11-04 14:30:00,751.8143,752.5215,750.7297,751.0793,29208
2019-11-04 14:35:00,751.095,751.95,751.0,751.81,3607
2019-11-04 14:40:00,752.03,752.315,751.56,751.645,5539
2019-11-04 14:45:00,751.685,751.69,751.55,751.69,2950
2019-11-04 14:50:00,751.69,751.77,751.4,751.77,5732
2019-11-04 14:55:00,751.3983,751.64,751.34,751.635,1281
2019-11-04 15:00:00,751.69,751.73,750.45,750.78,5798
2019-11-04 15:05:00,751.15,751.25,751.14,751.25,2781
2019-11-04 15:10:00,751.02,751.11,750.89,750.89,3461
2019-11-04 15:15:00,751.0089999999999,751.0098,749.53,749.66,17710
2019-11-04 15:20:00,749.6411,750.04,749.6410000000003,749.83,6179
2019-11-04 15:25:00,750.04,751.0147,749.92,750.62,4104
2019-11-04 15:30:00,750.565,750.565,749.99,750.03,5385
2019-11-04 15:35:00,750.03,750.32,749.73,750.185,9731
2019-11-04 15:40:00,750.03,750.03,748.4,748.78,13533
2019-11-04 15:45:00,748.4196,749.1814,748.2106,748.4879,19749
2019-11-04 15:50:00,748.39,750.08,748.31,749.84,17076
2019-11-04 15:55:00,750.005,751.17,749.88,751.17,29250
2019-11-04 16:00:00,751.5,752.0,751.12,751.61,38188
2019-11-05 09:35:00,750.0,751.61,748.0001,748.39,18187
2019-11-05 09:40:00,748.0947,748.7288,744.1384,746.2646,16857
2019-11-05 09:45:00,746.5712,747.12,745.16,745.3012,12147
2019-11-05 09:50:00,744.59,745.54,743.485,743.4854,11344
2019-11-05 09:55:00,742.6298,744.2123,741.7099,743.1098,28041
2019-11-05 10:00:00,742.78,743.46,740.77,741.14,28031
2019-11-05 10:05:00,742.7121,743.78,742.5,743.0021,15932
2019-11-05 10:10:00,743.0395,743.74,739.1155,739.3428,22923
2019-11-05 10:15:00,739.32,739.85,739.0,739.2652,8486
2019-11-05 10:20:00,739.355,739.355,735.6,736.0,23643
2019-11-05 10:25:00,735.9338,736.5,734.55,735.01,27030
2019-11-05 10:30:00,734.5274,737.1601,734.2073,736.1675,12924
2019-11-05 10:35:00,736.175,738.5894,736.09,737.56,38549
2019-11-05 10:40:00,737.87,741.42,737.745,739.955,18497
2019-11-05 10:45:00,740.41,740.877,737.957,738.65,10971
2019-11-05 10:50:00,739.5121,740.1704,738.5931,738.862,6657
