,open,high,low,close,volume
2019-11-04 14:15:00,9.0,9.02,9.0,9.015,22337
2019-11-04 14:20:00,9.015,9.05,9.015,9.05,50814
2019-11-04 14:25:00,9.05,9.06,9.05,9.05,46586
2019-11-04 14:30:00,9.055,9.1,9.05,9.09,98846
2019-11-04 14:35:00,9.0802,9.115,9.055,9.0602,120971
2019-11-04 14:40:00,9.06,9.06,9.01,9.013,41975
2019-11-04 14:45:00,9.0102,9.025,9.0,9.0002,56449
2019-11-04 14:50:00,9.0054,9.0286,9.0036,9.0104,65972
2019-11-04 14:55:00,9.0153,9.0535,9.0084,9.0403,67319
2019-11-04 15:00:00,9.04,9.06,9.03,9.06,28242
2019-11-04 15:05:00,9.06,9.08,9.06,9.075,50662
2019-11-04 15:10:00,9.075,9.11,9.07,9.105,56852
2019-11-04 15:15:00,9.11,9.11,9.085,9.11,57495
2019-11-04 15:20:00,9.11,9.12,9.1,9.1,51711
2019-11-04 15:25:00,9.1002,9.1288,9.0988,9.1202,61761
2019-11-04 15:30:00,9.115,9.13,9.1,9.105,63120
2019-11-04 15:35:00,9.11,9.11,9.1,9.105,65173
2019-11-04 15:40:00,9.1054,9.11,9.1,9.1004,86422
2019-11-04 15:45:00,9.09,9.12,9.09,9.105,96237
2019-11-04 15:50:00,9.105,9.105,9.09,9.09,101803
2019-11-04 15:55:00,9.0903,9.1085,9.0784,9.0803,206566
2019-11-04 16:00:00,9.09,9.09,9.04,9.05,449386
2019-11-05 09:35:00,9.1003,9.12,9.07,9.0703,8803
2019-11-05 09:40:00,9.1002,9.1772,9.0771,9.0802,100888
2019-11-05 09:45:00,9.0904,9.17,9.07,9.1004,63152
2019-11-05 09:50:00,9.0953,9.2186,9.0685,9.1703,93394
2019-11-05 09:55:00,9.1704,9.1838,9.0787,9.0954,57638
2019-11-05 10:00:00,9.1,9.31,9.08,9.26,72923
2019-11-05 10:05:00,9.2802,9.3581,9.263,9.2652,72712
2019-11-05 10:10:00,9.2602,9.27,9.205,9.2102,37481
2019-11-05 10:15:00,9.2003,9.244,9.1839,9.2303,65745
2019-11-05 10:20:00,9.2366,9.255,9.225,9.2402,51374
2019-11-05 10:25:00,9.2404,9.26,9.18,9.1804,55305
2019-11-05 10:30:00,9.1703,9.2,9.15,9.1503,73552
2019-11-05 10:35:00,9.1504,9.18,9.15,9.1704,35002
2019-11-05 10:40:00,9.175,9.225,9.175,9.21,54072
2019-11-05 10:45:00,9.21,9.255,9.205,9.205,20625
2019-11-05 10:50:00,9.2052,9.243,9.1579,9.1651,40130
2019-11-05 10:55:00,9.17,9.18,9.155,9.18,31099
2019-11-05 11:00:00,9.17,9.22,9.17,9.22,19607
2019-11-05 11:05:00,9.2253,9.24,9.205,9.2203,21041
2019-11-05 11:10:00,9.2252,9.23,9.22,9.2202,56991
2019-11-05 11:15:00,9.2154,9.2389,9.2089,9.2304,64591
2019-11-05 11:20:00,9.23,9.245,9.23,9.24,6235
2019-11-05 11:25:00,9.235,9.235,9.215,9.215,90186
2019-11-05 11:30:00,9.22,9.225,9.18,9.18,76565
2019-11-05 11:35:00,9.1853,9.194,9.1239,9.1453,70956
2019-11-05 11:40:00,9.1401,9.155,9.12,9.1251,66390
2019-11-05 11:45:00,9.125,9.17,9.11,9.11,85548
2019-11-05 11:50:00,9.1153,9.12,9.07,9.0703,27443
2019-11-05 11:55:00,9.0652,9.0738,9.0187,9.0202,70750
2019-11-05 12:00:00,9.03,9.11,9.02,9.11,62853
2019-11-05 12:05:00,9.1054,9.1138,9.0687,9.0754,43064
2019-11-05 12:10:00,9.08,9.08,9.06,9.065,30245
2019-11-05 12:15:00,9.0604,9.0937,9.0587,9.0854,43543
2019-11-05 12:20:00,9.085,9.12,9.08,9.115,13444
2019-11-05 12:25:00,9.115,9.12,9.07,9.07,54375
2019-11-05 12:30:00,9.0651,9.0729,9.0078,9.0101,55997
2019-11-05 12:35:00,9.01,9.015,9.0,9.0,44015
2019-11-05 12:40:00,9.0,9.0,8.975,8.975,21539
2019-11-05 12:45:00,8.9752,8.9887,8.9637,8.9802,75998
2019-11-05 12:50:00,8.97,9.01,8.97,9.0,50761
2019-11-05 12:55:00,9.01,9.02,8.99,8.99,18688
2019-11-05 13:00:00,8.99,8.995,8.98,8.98,28323
2019-11-05 13:05:00,8.9704,9.0036,8.9686,8.9954,29042
2019-11-05 13:10:00,9.0,9.025,9.0,9.025,43742
2019-11-05 13:15:00,9.025,9.04,9.01,9.015,16166
2019-11-05 13:20:00,9.01,9.015,8.99,8.99,22688
2019-11-05 13:25:00,8.995,9.0,8.95,8.95,18454
2019-11-05 13:30:00,8.95,8.995,8.95,8.985,30009
2019-11-05 13:35:00,8.98,9.005,8.975,8.995,29484
2019-11-05 13:40:00,8.995,8.995,8.95,8.95,35575
2019-11-05 13:45:00,8.9502,8.962,8.927,8.9402,68029
