,open,high,low,close,volume
2019-11-04 14:15:00,48.57,48.74,48.55,48.73,13327
2019-11-04 14:20:00,48.7258,48.8323,48.7222,48.7908,6692
2019-11-04 14:25:00,48.8,48.83,48.79,48.825,9579
2019-11-04 14:30:00,48.82,48.86,48.78,48.86,9607
2019-11-04 14:35:00,48.8599,48.96,48.83,48.96,16878
2019-11-04 14:40:00,48.96,48.97,48.94,48.96,12341
2019-11-04 14:45:00,48.951,49.0085,48.9485,48.971,9792
2019-11-04 14:50:00,48.96,49.04,48.95,49.04,13999
2019-11-04 14:55:00,49.03,49.14,49.03,49.135,13938
2019-11-04 15:00:00,49.17,49.32,49.16,49.32,16374
2019-11-04 15:05:00,49.32,49.33,49.2,49.21,27950
2019-11-04 15:10:00,49.22,49.2798,49.1935,49.21,20888
2019-11-04 15:15:00,49.22,49.26,49.1,49.2,24782
2019-11-04 15:20:00,49.19,49.24,49.1529,49.1529,19411
2019-11-04 15:25:00,49.15,49.31,49.13,49.31,22073
2019-11-04 15:30:00,49.31,49.32,49.17,49.18,27435
2019-11-04 15:35:00,49.18,49.18,49.07,49.09,36033
2019-11-04 15:40:00,49.092,49.095,49.03,49.072,33124
2019-11-04 15:45:00,49.065,49.24,49.065,49.23,33169
2019-11-04 15:50:00,49.22,49.245,49.1916,49.1916,51362
2019-11-04 15:55:00,49.2,49.39,49.18,49.345,79456
2019-11-04 16:00:00,49.35,49.4,49.34,49.34,148424
2019-11-05 09:35:00,50.1116,50.36,49.995,50.2516,77258
2019-11-05 09:40:00,50.331,50.3996,50.1895,50.361,29461
2019-11-05 09:45:00,50.37,50.86,50.37,50.86,96242
2019-11-05 09:50:00,50.9319,50.9977,50.6975,50.9124,55891
2019-11-05 09:55:00,50.862,50.88,50.73,50.802,23923
2019-11-05 10:00:00,50.81,50.8692,50.69,50.72,22748
2019-11-05 10:05:00,50.75,51.28,50.72,51.08,68978
2019-11-05 10:10:00,51.095,51.095,50.81,50.82,28578
2019-11-05 10:15:00,50.8305,51.0696,50.7894,51.0216,62241
2019-11-05 10:20:00,50.981,51.0831,50.935,51.06100000000001,13541
2019-11-05 10:25:00,51.03,51.075,50.89,50.89,15391
2019-11-05 10:30:00,50.8519,50.9477,50.8076,50.9019,15339
2019-11-05 10:35:00,50.84,50.93,50.72,50.72,15188
2019-11-05 10:40:00,50.7018,50.72,50.56,50.6418,14633
2019-11-05 10:45:00,50.62,50.87,50.62,50.71,27236
2019-11-05 10:50:00,50.7208,50.74,50.68,50.6908,18214
2019-11-05 10:55:00,50.71,50.74,50.54,50.55,19081
2019-11-05 11:00:00,50.57,50.68,50.57,50.6,17737
2019-11-05 11:05:00,50.66,50.79,50.66,50.7379,12441
2019-11-05 11:10:00,50.7373,50.93,50.7175,50.93,15475
2019-11-05 11:15:00,50.9321,50.999,50.8389,50.8521,12114
2019-11-05 11:20:00,50.885,51.03,50.85,51.02,11379
2019-11-05 11:25:00,51.02,51.2,51.02,51.19,14656
2019-11-05 11:30:00,51.18,51.35,51.17,51.29,12440
2019-11-05 11:35:00,51.2716,51.3403,51.2002,51.2616,11301
2019-11-05 11:40:00,51.27,51.29,51.2095,51.215,7402
2019-11-05 11:45:00,51.2,51.33,51.19,51.27,14357
2019-11-05 11:50:00,51.29,51.34,51.2305,51.2305,6847
2019-11-05 11:55:00,51.2495,51.3397,51.2296,51.2863,24370
2019-11-05 12:00:00,51.28,51.3,51.24,51.24,8894
2019-11-05 12:05:00,51.21,51.3,51.03,51.03,22669
2019-11-05 12:10:00,51.0319,51.07,50.98,51.0619,9270
2019-11-05 12:15:00,51.057,51.1039,50.9488,50.982,10374
2019-11-05 12:20:00,50.96,50.985,50.93,50.95,11815
2019-11-05 12:25:00,50.96,51.04,50.855,50.855,7233
2019-11-05 12:30:00,50.82,50.8594,50.75,50.75,7247
2019-11-05 12:35:00,50.745,50.94,50.7401,50.94,30389
2019-11-05 12:40:00,50.9316,50.95,50.87,50.9216,11658
2019-11-05 12:45:00,50.92,51.06,50.905,50.94,38215
2019-11-05 12:50:00,50.9421,51.0491,50.8989,51.0021,21050
2019-11-05 12:55:00,51.00100000000001,51.0401,50.8374,50.851000000000006,10812
2019-11-05 13:00:00,50.84,50.84,50.825,50.84,5058
2019-11-05 13:05:00,50.85,50.85,50.795,50.8,32203
2019-11-05 13:10:00,50.8,50.815,50.765,50.79,15191
2019-11-05 13:15:00,50.79,50.86,50.78,50.83,10002
2019-11-05 13:20:00,50.87,50.87,50.84,50.87,4878
2019-11-05 13:25:00,50.9,50.95,50.9,50.94,5195
2019-11-05 13:30:00,50.96,50.97,50.93,50.93,10204
2019-11-05 13:35:00,50.93,51.08,50.93,51.02,14099
2019-11-05 13:40:00,51.0151,51.11,51.01,51.11,6178
2019-11-05 13:45:00,51.11,51.195,51.08,51.195,16952
2019-11-05 13:50:00,51.19,51.19,51.1699,51.17,19855
2019-11-05 13:55:00,51.18,51.22,51.175,51.19,10650
2019-11-05 14:00:00,51.21,51.21,51.15,51.17,6300
2019-11-05 14:05:00,51.16,51.23,51.15,51.23,20920
2019-11-05 14:10:00,51.2258,51.3144,51.2243,51.2608,10041
2019-11-05 14:15:00,51.24,51.265,51.24,51.25,12532
2019-11-05 14:20:00,51.25,51.285,51.22,51.23,9565
2019-11-05 14:25:00,51.215,51.23,51.13,51.14,7976
2019-11-05 14:30:00,51.14,51.28,51.13,51.26,16946
2019-11-05 14:35:00,51.285,51.29,51.275,51.275,9456
2019-11-05 14:40:00,51.28,51.295,51.22,51.24,10257
2019-11-05 14:45:00,51.23,51.28,51.225,51.255,7759
2019-11-05 14:50:00,51.25,51.265,51.24,51.25,9098
