,open,high,low,close,volume
2019-11-04 14:15:00,17.24,17.26,17.23,17.24,4033
2019-11-04 14:20:00,17.23,17.24,17.21,17.22,6318
2019-11-04 14:25:00,17.24,17.24,17.19,17.19,2945
2019-11-04 14:30:00,17.2,17.21,17.19,17.2,3100
2019-11-04 14:35:00,17.21,17.22,17.2,17.2,3831
2019-11-04 14:40:00,17.2,17.21,17.19,17.21,2409
2019-11-04 14:45:00,17.2303,17.2636,17.2135,17.2495,2542
2019-11-04 14:50:00,17.23,17.25,17.23,17.23,2006
2019-11-04 14:55:00,17.23,17.25,17.23,17.24,1186
2019-11-04 15:00:00,17.24,17.29,17.24,17.28,4575
2019-11-04 15:05:00,17.27,17.2781,17.27,17.27,3455
2019-11-04 15:10:00,17.26,17.27,17.25,17.25,1980
2019-11-04 15:15:00,17.245,17.25,17.21,17.21,4668
2019-11-04 15:20:00,17.22,17.22,17.21,17.21,2956
2019-11-04 15:25:00,17.22,17.23,17.21,17.21,5976
2019-11-04 15:30:00,17.21,17.21,17.185,17.2,7746
2019-11-04 15:35:00,17.195,17.22,17.195,17.2,5151
2019-11-04 15:40:00,17.19,17.1936,17.19,17.19,6334
2019-11-04 15:45:00,17.19,17.215,17.19,17.2,7547
2019-11-04 15:50:00,17.2,17.205,17.18,17.185,15357
2019-11-04 15:55:00,17.18,17.19,17.17,17.175,24254
2019-11-04 16:00:00,17.18,17.2,17.14,17.15,39999
2019-11-05 09:35:00,17.23,17.4,16.93,16.93,82039
2019-11-05 09:40:00,16.98,17.0603,16.98,17.0603,4109
2019-11-05 09:45:00,17.180999999999994,17.180999999999994,17.15,17.15,2761
2019-11-05 09:50:00,17.12,17.1881,17.12,17.1801,4905
2019-11-05 09:55:00,17.1907,17.2065,17.1464,17.1707,2522
2019-11-05 10:00:00,17.13,17.24,17.13,17.24,19563
2019-11-05 10:05:00,17.24,17.25,17.1996,17.1996,9314
2019-11-05 10:10:00,17.19,17.19,17.09,17.1,7314
2019-11-05 10:15:00,17.1207,17.1666,17.1166,17.1476,14080
2019-11-05 10:20:00,17.1503,17.155,17.14,17.1503,8447
2019-11-05 10:25:00,17.1707,17.1865,17.1265,17.1407,4421
2019-11-05 10:30:00,17.0806,17.1164,17.066,17.1006,7324
2019-11-05 10:35:00,17.09,17.14,17.08,17.08,1600
2019-11-05 10:40:00,17.08,17.107,17.07,17.107,5051
2019-11-05 10:45:00,17.0964,17.11,17.07,17.07,4170
2019-11-05 10:50:00,17.07,17.1,17.07,17.07,4037
2019-11-05 10:55:00,17.08,17.08,17.02,17.03,8090
2019-11-05 11:00:00,17.03,17.09,17.02,17.09,9228
2019-11-05 11:05:00,17.1,17.12,17.08,17.08,3860
2019-11-05 11:10:00,17.09,17.1,17.01,17.01,4067
2019-11-05 11:15:00,17.0107,17.0264,16.9863,16.9907,8889
2019-11-05 11:20:00,17.0,17.03,17.0,17.0,4151
2019-11-05 11:25:00,17.02,17.035,17.01,17.03,10137
2019-11-05 11:30:00,17.0645,17.08,17.06,17.06,2403
2019-11-05 11:35:00,17.0605,17.1168,17.0467,17.1005,7253
2019-11-05 11:40:00,17.08,17.16,17.08,17.1,8890
2019-11-05 11:45:00,17.05,17.09,17.05,17.08,3471
2019-11-05 11:50:00,17.07,17.076,17.055,17.06,6929
2019-11-05 11:55:00,17.055,17.055,17.02,17.02,6023
2019-11-05 12:00:00,17.02,17.09,17.02,17.07,5599
2019-11-05 12:05:00,17.06,17.06,17.05,17.05,1101
2019-11-05 12:10:00,17.0556,17.076,17.0359,17.0445,5869
2019-11-05 12:15:00,17.0486,17.08,17.045,17.06,3836
2019-11-05 12:20:00,17.065,17.11,17.065,17.09,2995
2019-11-05 12:25:00,17.085,17.18,17.085,17.12,13721
2019-11-05 12:30:00,17.1,17.12,17.08,17.08,638
2019-11-05 12:35:00,17.08,17.0854,17.065,17.07,4971
2019-11-05 12:40:00,17.07,17.12,17.07,17.1079,5560
2019-11-05 12:45:00,17.11,17.11,17.1,17.105,2208
2019-11-05 12:50:00,17.0995,17.11,17.09,17.1,1956
2019-11-05 12:55:00,17.0803,17.0934,17.0644,17.0667,6420
2019-11-05 13:00:00,17.07,17.07,17.05,17.06,5893
2019-11-05 13:05:00,17.06,17.09,17.055,17.07,7238
2019-11-05 13:10:00,17.07,17.08,17.07,17.08,1105
2019-11-05 13:15:00,17.07,17.0972,17.07,17.09,4758
2019-11-05 13:20:00,17.09,17.09,17.08,17.0871,1845
2019-11-05 13:25:00,17.08,17.09,17.08,17.08,1309
2019-11-05 13:30:00,17.09,17.1,17.09,17.095,3848
2019-11-05 13:35:00,17.1,17.14,17.095,17.14,6527
2019-11-05 13:40:00,17.15,17.18,17.14,17.17,12260
2019-11-05 13:45:00,17.175,17.24,17.175,17.23,9528
2019-11-05 13:50:00,17.23,17.24,17.225,17.225,1248
