,open,high,low,close,volume
2019-11-04 14:15:00,274.41,274.48,274.4,274.45,2380
2019-11-04 14:20:00,274.445,274.45,274.41,274.4439,5096
2019-11-04 14:25:00,274.449,274.539,274.4,274.522,2742
2019-11-04 14:30:00,274.55,274.57,274.54,274.54,3499
2019-11-04 14:35:00,274.51,274.54,274.47900000000004,274.5348,2963
2019-11-04 14:40:00,274.52,274.522,274.49,274.5035,4149
2019-11-04 14:45:00,274.5037,274.52,274.43,274.43,4704
2019-11-04 14:50:00,274.43,274.43,274.39,274.39,14551
2019-11-04 14:55:00,274.39,274.433,274.34,274.38,13765
2019-11-04 15:00:00,274.39,274.41,274.365,274.37,9389
2019-11-04 15:05:00,274.36,274.38,274.2301,274.29,12113
2019-11-04 15:10:00,274.3,274.3,274.22,274.28,5894
2019-11-04 15:15:00,274.28,274.28,274.001,274.001,27238
2019-11-04 15:20:00,274.03,274.13,274.02,274.12,55707
2019-11-04 15:25:00,274.11,274.28,274.1,274.2,30483
2019-11-04 15:30:00,274.22,274.24,274.04,274.09,30546
2019-11-04 15:35:00,274.11,274.24,274.05,274.2,12479
2019-11-04 15:40:00,274.16,274.17,274.1,274.12,11988
2019-11-04 15:45:00,274.11,274.2579,274.11,274.24,22709
2019-11-04 15:50:00,274.2248,274.369,274.2248,274.369,38289
2019-11-04 15:55:00,274.38,274.62,274.34,274.51,60870
2019-11-04 16:00:00,274.55,274.57,274.41,274.53,61061
2019-11-05 09:35:00,275.05,275.12,274.68,274.77,134424
2019-11-05 09:40:00,274.75,274.83,274.72,274.805,25834
2019-11-05 09:45:00,274.758,274.91900000000004,274.758,274.9,21382
2019-11-05 09:50:00,274.858,274.858,274.71,274.85,14537
2019-11-05 09:55:00,274.87,274.97,274.83,274.8916,9411
2019-11-05 10:00:00,274.92,275.07,274.92,275.05,32975
2019-11-05 10:05:00,275.24,275.51,275.12,275.27,83874
2019-11-05 10:10:00,275.26,275.26,274.82,274.94,41124
2019-11-05 10:15:00,274.91,274.92,274.6,274.76,43055
2019-11-05 10:20:00,274.74,274.83,274.6064,274.7427,28267
2019-11-05 10:25:00,274.75,274.882,274.743,274.76,12456
2019-11-05 10:30:00,274.7448,274.77,274.64,274.73,11018
2019-11-05 10:35:00,274.73,274.82,274.6778,274.7705,17751
2019-11-05 10:40:00,274.76,274.85,274.76,274.76,40516
2019-11-05 10:45:00,274.71,274.82,274.53,274.54,30077
2019-11-05 10:50:00,274.56,274.58,274.45,274.495,20387
2019-11-05 10:55:00,274.52,274.64,274.5068,274.6,25746
2019-11-05 11:00:00,274.5996,274.76,274.59,274.68,26082
2019-11-05 11:05:00,274.7,274.87,274.7,274.78,37814
2019-11-05 11:10:00,274.78,274.89,274.75,274.82,38505
2019-11-05 11:15:00,274.82,274.886,274.805,274.81,16380
2019-11-05 11:20:00,274.83,274.98,274.83,274.95,7308
2019-11-05 11:25:00,274.87,274.88,274.8,274.82,23180
2019-11-05 11:30:00,274.82,274.885,274.8,274.87,7453
2019-11-05 11:35:00,274.85,274.89,274.8,274.82,4121
