,open,high,low,close,volume
2019-11-04 14:15:00,124.165,124.27,124.15,124.2,10281
2019-11-04 14:20:00,124.21,124.21,124.07,124.15,18451
2019-11-04 14:25:00,124.13,124.18,124.11,124.13,10482
2019-11-04 14:30:00,124.16,124.21,124.16,124.19,11733
2019-11-04 14:35:00,124.205,124.24,124.13,124.22,9763
2019-11-04 14:40:00,124.21,124.27,124.2,124.25,12595
2019-11-04 14:45:00,124.27,124.386,124.23,124.33,10218
2019-11-04 14:50:00,124.33,124.34,124.27,124.28,23043
2019-11-04 14:55:00,124.27,124.3037,124.21,124.24,17284
2019-11-04 15:00:00,124.24,124.345,124.234,124.31,19187
2019-11-04 15:05:00,124.315,124.4,124.26,124.385,17812
2019-11-04 15:10:00,124.3758,124.3758,124.29,124.355,17204
2019-11-04 15:15:00,124.35,124.3699,124.17,124.17,21519
2019-11-04 15:20:00,124.16,124.17,124.07,124.11,24210
2019-11-04 15:25:00,124.11,124.17,124.05,124.12,12075
2019-11-04 15:30:00,124.12,124.13,124.08,124.1,16681
2019-11-04 15:35:00,124.12,124.14,123.885,123.93,29231
2019-11-04 15:40:00,123.91,123.94,123.84,123.84,26604
2019-11-04 15:45:00,123.84,124.0,123.82,123.91,35380
2019-11-04 15:50:00,123.89,124.04,123.84,123.98,45428
2019-11-04 15:55:00,123.97,124.13,123.96,124.025,52241
2019-11-04 16:00:00,124.02,124.07,123.82,124.07,119583
2019-11-05 09:35:00,123.154,123.5893,122.449,123.4732,52453
2019-11-05 09:40:00,123.5424,123.69,123.21,123.4924,18660
2019-11-05 09:45:00,123.51,123.62,123.0,123.11,9118
2019-11-05 09:50:00,123.13,123.42,123.13,123.305,13761
2019-11-05 09:55:00,123.36,123.38,123.305,123.34,27104
2019-11-05 10:00:00,123.37,123.52,123.25,123.51,9818
2019-11-05 10:05:00,123.572,123.677,123.3267,123.497,8005
2019-11-05 10:10:00,123.465,123.51,123.355,123.39,20231
2019-11-05 10:15:00,123.43,123.5,123.39,123.48,19663
2019-11-05 10:20:00,123.46,123.49,123.25,123.2687,18069
2019-11-05 10:25:00,123.1851,123.3185,123.0433,123.0751,12322
2019-11-05 10:30:00,123.025,123.33,123.01,123.33,10823
2019-11-05 10:35:00,123.33,123.4,123.29,123.4,12038
2019-11-05 10:40:00,123.44,123.47,123.25,123.285,12528
2019-11-05 10:45:00,123.29,123.41,123.06,123.1,11684
2019-11-05 10:50:00,123.08,123.14,122.94,122.94,12045
2019-11-05 10:55:00,122.9386,123.01,122.76,122.76,9345
2019-11-05 11:00:00,122.81,122.85,122.64,122.64,9971
2019-11-05 11:05:00,122.65,122.68,122.49,122.53,18382
2019-11-05 11:10:00,122.5524,122.6765,122.4713,122.4824,13253
2019-11-05 11:15:00,122.48,122.48,122.26,122.32,6007
2019-11-05 11:20:00,122.29,122.45,122.29,122.41,16729
2019-11-05 11:25:00,122.415,122.415,122.26,122.3,7657
2019-11-05 11:30:00,122.2854,122.48,122.28,122.37,11333
2019-11-05 11:35:00,122.368,122.55,122.305,122.55,8348
2019-11-05 11:40:00,122.5,122.55,122.41,122.46,11119
2019-11-05 11:45:00,122.425,122.47,122.37,122.4525,10578
2019-11-05 11:50:00,122.46,122.7,122.46,122.7,9927
2019-11-05 11:55:00,122.7,122.74,122.69,122.74,7277
2019-11-05 12:00:00,122.75,122.75,122.63,122.66,14892
