,open,high,low,close,volume
2019-11-04 14:05:00,53.91,53.915,53.9,53.9,13023
2019-11-04 14:10:00,53.9,53.9,53.88,53.88,16375
2019-11-04 14:15:00,53.88,53.8867,53.88,53.885,7065
2019-11-04 14:20:00,53.885,53.885,53.87,53.88,17600
2019-11-04 14:30:00,53.89,53.89,53.89,53.89,4399
2019-11-04 14:35:00,53.89,53.895,53.89,53.89,1883
2019-11-04 14:40:00,53.89,53.89,53.89,53.89,1343
2019-11-04 14:45:00,53.89,53.9,53.89,53.89,3967
2019-11-04 14:50:00,53.9,53.9,53.89,53.9,1242
2019-11-04 14:55:00,53.895,53.9,53.885,53.89,5407
2019-11-04 15:05:00,53.885,53.885,53.8649,53.865,9498
2019-11-04 15:10:00,53.865,53.88,53.85,53.85,11869
2019-11-04 15:15:00,53.85,53.85,53.83,53.83,9854
2019-11-04 15:20:00,53.83,53.855,53.8202,53.8403,18246
2019-11-04 15:25:00,53.845,53.87,53.845,53.87,12585
2019-11-04 15:30:00,53.865,53.88,53.86,53.86,219361
2019-11-04 15:35:00,53.865,53.885,53.855,53.88,61903
2019-11-04 15:40:00,53.88,53.88,53.85,53.8501,27512
2019-11-04 15:45:00,53.855,53.89,53.855,53.88,18115
2019-11-04 15:50:00,53.88,53.8901,53.87,53.8901,46220
2019-11-04 15:55:00,53.9,53.99,53.9,53.965,105169
2019-11-04 16:00:00,53.97,53.97,53.93,53.95,194312
2019-11-05 09:35:00,54.04,54.1,54.04,54.07,56829
2019-11-05 09:40:00,54.07,54.09,54.06,54.07,36985
2019-11-05 09:45:00,54.06,54.075,54.06,54.07,57996
2019-11-05 09:50:00,54.07,54.08,54.05,54.08,22274
2019-11-05 09:55:00,54.09,54.1,54.09,54.1,21130
2019-11-05 10:00:00,54.1,54.12,54.1,54.12,21767
2019-11-05 10:05:00,54.14,54.27,54.14,54.2,32901
2019-11-05 10:10:00,54.2,54.2,54.1,54.11,15650
2019-11-05 10:15:00,54.11,54.13,54.09,54.09,12423
2019-11-05 10:20:00,54.1,54.16,54.09,54.16,112989
2019-11-05 10:25:00,54.16,54.2,54.155,54.18,18530
2019-11-05 10:30:00,54.18,54.185,54.14,54.15,14003
2019-11-05 10:35:00,54.16,54.19,54.16,54.18,17646
2019-11-05 10:40:00,54.19,54.205,54.18,54.185,16113
2019-11-05 10:45:00,54.18,54.2166,54.155,54.155,17602
2019-11-05 10:50:00,54.16,54.16,54.14,54.16,19058
2019-11-05 10:55:00,54.155,54.195,54.155,54.19,14110
2019-11-05 11:00:00,54.2,54.26,54.2,54.25,6542
2019-11-05 11:05:00,54.26,54.28,54.26,54.265,12688
2019-11-05 11:10:00,54.27,54.3,54.265,54.29,103286
2019-11-05 11:15:00,54.29,54.3,54.29,54.295,65791
2019-11-05 11:20:00,54.3,54.33,54.3,54.33,5458
2019-11-05 11:25:00,54.295,54.3,54.28,54.3,154579
2019-11-05 11:30:00,54.31,54.315,54.27,54.28,169591
2019-11-05 11:35:00,54.28,54.295,54.27,54.295,10847
2019-11-05 11:40:00,54.3,54.31,54.26,54.26,51844
2019-11-05 11:45:00,54.26,54.27,54.25,54.26,6552
2019-11-05 11:50:00,54.255,54.26,54.255,54.255,3053
2019-11-05 11:55:00,54.25,54.27,54.25,54.26,9813
2019-11-05 12:00:00,54.26,54.265,54.26,54.26,9584
2019-11-05 12:05:00,54.25,54.26,54.25,54.26,1954
2019-11-05 12:10:00,54.27,54.27,54.265,54.265,3889
2019-11-05 12:15:00,54.27,54.27,54.26,54.265,3150
2019-11-05 12:20:00,54.265,54.27,54.26,54.27,3671
2019-11-05 12:25:00,54.27,54.275,54.25,54.25,5856
2019-11-05 12:30:00,54.2558,54.2558,54.24,54.24,8037
2019-11-05 12:35:00,54.2446,54.2446,54.24,54.24,2230
2019-11-05 12:40:00,54.24,54.26,54.24,54.26,2200
2019-11-05 12:45:00,54.26,54.26,54.25,54.26,24653
2019-11-05 12:50:00,54.26,54.26,54.25,54.25,4087
2019-11-05 12:55:00,54.25,54.265,54.24,54.26,11953
2019-11-05 13:00:00,54.26,54.28,54.26,54.28,3972
2019-11-05 13:05:00,54.28,54.28,54.22,54.23,63351
2019-11-05 13:10:00,54.23,54.24,54.23,54.23,2988
2019-11-05 13:15:00,54.235,54.27,54.235,54.27,4054
2019-11-05 13:20:00,54.26,54.2746,54.26,54.2746,4332
2019-11-05 13:25:00,54.27,54.28,54.25,54.26,10193
2019-11-05 13:30:00,54.26,54.27,54.26,54.26,5997
2019-11-05 13:35:00,54.26,54.29,54.253,54.29,9396
2019-11-05 13:40:00,54.28,54.28,54.26,54.26,11925
2019-11-05 13:45:00,54.265,54.275,54.26,54.275,1638
2019-11-05 13:50:00,54.27,54.275,54.26,54.26,6063
2019-11-05 13:55:00,54.27,54.3,54.27,54.3,3589
2019-11-05 14:00:00,54.3,54.3,54.29,54.3,23648
2019-11-05 14:05:00,54.29,54.2968,54.28100000000001,54.2968,3853
2019-11-05 14:10:00,54.3,54.3087,54.3,54.305,3599
2019-11-05 14:15:00,54.31,54.31,54.3,54.3,3010
2019-11-05 14:20:00,54.31,54.31,54.3,54.31,1325
2019-11-05 14:25:00,54.305,54.31,54.3,54.31,405
2019-11-05 14:30:00,54.3001,54.32,54.3,54.32,7876
2019-11-05 14:35:00,54.33,54.345,54.325,54.33,12333
2019-11-05 14:40:00,54.34,54.34,54.325,54.325,2103
2019-11-05 14:45:00,54.32,54.33,54.32,54.33,7550
2019-11-05 14:50:00,54.32,54.325,54.315,54.325,6498
2019-11-05 14:55:00,54.32,54.325,54.31,54.31,3730
2019-11-05 15:00:00,54.32,54.325,54.315,54.32,3168
2019-11-05 15:05:00,54.325,54.33,54.3101,54.33,5198
2019-11-05 15:10:00,54.32,54.32,54.301,54.31,12430
2019-11-05 15:15:00,54.315,54.315,54.25,54.26,35283
2019-11-05 15:20:00,54.26,54.28,54.25,54.275,62597
2019-11-05 15:25:00,54.28,54.28,54.26,54.275,35937
2019-11-05 15:30:00,54.27,54.27,54.24,54.26,91582
2019-11-05 15:35:00,54.255,54.26,54.22,54.225,41777
2019-11-05 15:40:00,54.23,54.24,54.22,54.24,61483
2019-11-05 15:45:00,54.24,54.26,54.24,54.26,50734
2019-11-05 15:50:00,54.25,54.26,54.2333,54.235,47167
2019-11-05 15:55:00,54.23,54.275,54.23,54.26,66463
2019-11-05 16:00:00,54.26,54.28,54.24,54.28,119534
2019-11-06 09:35:00,54.23,54.23,54.17,54.17,931
2019-11-06 09:40:00,54.17,54.2,54.16,54.19,31747
2019-11-06 09:45:00,54.2,54.25,54.2,54.23,9037
2019-11-06 09:50:00,54.23,54.2375,54.22,54.2228,7606
2019-11-06 09:55:00,54.23,54.25,54.2232,54.25,16086
2019-11-06 10:00:00,54.25,54.28,54.25,54.28,8491
2019-11-06 10:05:00,54.28,54.295,54.27,54.27,17680
2019-11-06 10:10:00,54.28,54.29,54.28,54.29,14585
2019-11-06 10:15:00,54.29,54.33,54.29,54.32,15699
2019-11-06 10:20:00,54.31,54.32,54.295,54.295,6303
2019-11-06 10:25:00,54.3,54.305,54.29,54.305,3508
2019-11-06 10:30:00,54.31,54.31,54.28,54.28,4037
2019-11-06 10:35:00,54.27,54.285,54.27,54.28,3129
2019-11-06 10:40:00,54.28,54.3,54.28,54.3,3318
2019-11-06 10:45:00,54.3,54.315,54.3,54.305,5104
2019-11-06 10:50:00,54.31,54.31,54.3,54.305,5486
2019-11-06 10:55:00,54.29,54.295,54.28,54.295,2831
2019-11-06 11:00:00,54.28,54.29,54.28,54.28,2314
2019-11-06 11:05:00,54.29,54.3,54.29,54.3,3810
2019-11-06 11:10:00,54.31,54.3165,54.3037,54.31,3240
2019-11-06 11:15:00,54.31,54.31,54.3,54.3,828
2019-11-06 11:20:00,54.2941,54.31,54.27,54.28,39405
2019-11-06 11:25:00,54.275,54.28,54.27,54.27,2506
2019-11-06 11:30:00,54.27,54.27,54.26,54.27,2222
2019-11-06 11:35:00,54.27,54.31,54.27,54.305,5011
2019-11-06 11:40:00,54.31,54.315,54.305,54.31,4694
2019-11-06 11:45:00,54.315,54.32,54.21,54.23,89385
2019-11-06 11:50:00,54.25,54.25,54.17,54.19,31881
2019-11-06 11:55:00,54.11,54.16,54.09,54.09,10139
2019-11-06 12:00:00,54.1,54.15,54.1,54.15,3922
2019-11-06 12:05:00,54.15,54.18,54.13,54.18,7707
2019-11-06 12:10:00,54.18,54.21,54.18,54.21,4527
2019-11-06 12:15:00,54.2001,54.2001,54.19,54.2,5849
2019-11-06 12:20:00,54.1955,54.1955,54.17,54.18,1298
2019-11-06 12:25:00,54.18,54.185,54.17,54.17,2420
2019-11-06 12:30:00,54.17,54.17,54.1101,54.12,12328
2019-11-06 12:35:00,54.12,54.12,54.11,54.11,2333
2019-11-06 12:40:00,54.12,54.14,54.115,54.14,9481
2019-11-06 12:45:00,54.14,54.1466,54.14,54.14,1029
2019-11-06 12:50:00,54.12,54.12,54.11,54.11,3428
2019-11-06 12:55:00,54.11,54.11,54.1,54.1,5661
2019-11-06 13:00:00,54.1,54.12,54.1,54.12,751
2019-11-06 13:05:00,54.12,54.12,54.1,54.1,4839
2019-11-06 13:10:00,54.0901,54.0901,54.075,54.075,683
2019-11-06 13:15:00,54.075,54.11,54.075,54.11,6980
2019-11-06 13:20:00,54.12,54.14,54.12,54.14,14040
2019-11-06 13:25:00,54.14,54.16,54.14,54.16,6638
2019-11-06 13:30:00,54.155,54.16,54.15,54.16,9424
2019-11-06 13:35:00,54.165,54.165,54.15,54.15,15828
2019-11-06 13:40:00,54.14,54.15,54.14,54.15,5918
2019-11-06 13:45:00,54.15,54.17,54.15,54.165,10734
2019-11-06 13:50:00,54.17,54.17,54.16,54.16,1402
2019-11-06 13:55:00,54.165,54.195,54.16,54.195,1301
2019-11-06 14:00:00,54.2,54.21,54.2,54.21,17134
2019-11-06 14:05:00,54.21,54.22,54.1945,54.2,3833
2019-11-06 14:10:00,54.19,54.2,54.19,54.19,1012
2019-11-06 14:15:00,54.19,54.19,54.18,54.19,6587
2019-11-06 14:20:00,54.18,54.18,54.18,54.18,100
2019-11-06 14:25:00,54.17,54.17,54.15,54.16,2763
2019-11-06 14:30:00,54.17,54.17,54.16,54.16,499
2019-11-06 14:35:00,54.17,54.17,54.1628,54.1628,1252
2019-11-06 14:40:00,54.155,54.155,54.1499,54.15,1198
2019-11-06 14:45:00,54.15,54.16,54.15,54.16,1971
2019-11-06 14:50:00,54.16,54.16,54.1538,54.16,405
2019-11-06 14:55:00,54.16,54.16,54.15,54.155,1790
2019-11-06 15:00:00,54.16,54.16,54.155,54.16,506
2019-11-06 15:05:00,54.16,54.16,54.15,54.15,1585
2019-11-06 15:10:00,54.15,54.16,54.14,54.14,7979
2019-11-06 15:15:00,54.16,54.165,54.155,54.16,1242
2019-11-06 15:20:00,54.165,54.17,54.165,54.1683,1921
2019-11-06 15:25:00,54.16,54.176,54.16,54.165,1569
2019-11-06 15:30:00,54.16,54.175,54.16,54.17,43046
2019-11-06 15:35:00,54.17,54.18,54.165,54.175,16104
2019-11-06 15:40:00,54.18,54.2,54.18,54.195,10485
2019-11-06 15:45:00,54.195,54.2,54.19,54.19,7061
2019-11-06 15:50:00,54.19,54.2,54.19,54.195,7985
2019-11-06 15:55:00,54.2,54.21,54.18,54.195,34419
2019-11-06 16:00:00,54.2,54.22,54.18,54.19,83123
2019-11-07 09:35:00,54.7222,54.7824,54.6723,54.7122,30292
2019-11-07 09:40:00,54.712,54.758,54.712,54.72,236226
2019-11-07 09:45:00,54.73,54.75,54.72,54.72,200370
2019-11-07 09:50:00,54.73,54.73,54.7,54.7,81917
2019-11-07 09:55:00,54.699,54.7,54.67,54.69,61391
2019-11-07 10:00:00,54.68,54.7,54.68,54.7,59867
2019-11-07 10:05:00,54.69,54.71,54.66,54.66,91929
