,open,high,low,close,volume
2019-11-04 14:15:00,97.88,97.92,97.87,97.9,18698
2019-11-04 14:20:00,97.9116,97.9998,97.8947,97.9016,28544
2019-11-04 14:25:00,97.91,97.92,97.83,97.855,17638
2019-11-04 14:30:00,97.85,97.865,97.83,97.865,16081
2019-11-04 14:35:00,97.88,97.94,97.88,97.915,16441
2019-11-04 14:40:00,97.915,98.06,97.8864,98.06,43792
2019-11-04 14:45:00,98.06,98.17,98.06,98.09,23454
2019-11-04 14:50:00,98.1,98.18,98.08,98.13,22740
2019-11-04 14:55:00,98.1,98.15,98.04,98.04,37475
2019-11-04 15:00:00,98.05,98.13,98.0,98.11,25464
2019-11-04 15:05:00,98.15,98.27,98.13,98.26,29206
2019-11-04 15:10:00,98.27,98.331,98.19,98.331,31664
2019-11-04 15:15:00,98.3315,98.335,98.24,98.28,39232
2019-11-04 15:20:00,98.28,98.29,98.11,98.11,29918
2019-11-04 15:25:00,98.1,98.32,98.09,98.32,32135
2019-11-04 15:30:00,98.315,98.39,98.2,98.22,50487
2019-11-04 15:35:00,98.23,98.45,98.2,98.43,79480
2019-11-04 15:40:00,98.43,98.4954,98.42,98.445,83742
2019-11-04 15:45:00,98.45,98.52,98.39,98.425,74280
2019-11-04 15:50:00,98.425,98.425,98.235,98.24,78684
2019-11-04 15:55:00,98.24,98.365,98.24,98.34,122482
2019-11-04 16:00:00,98.34,98.36,98.03,98.16,270280
2019-11-05 09:35:00,98.0232,98.756,97.2245,98.6632,98008
2019-11-05 09:40:00,98.69,98.69,97.84,97.84,59254
2019-11-05 09:45:00,97.7141,97.72,97.145,97.5341,51582
2019-11-05 09:50:00,97.51,97.8099,97.51,97.8099,20670
2019-11-05 09:55:00,97.71,97.83,97.48,97.5,27897
2019-11-05 10:00:00,97.53,97.54,97.33,97.33,15321
2019-11-05 10:05:00,97.36,97.69,97.1,97.1,27157
2019-11-05 10:10:00,97.1426,97.2341,96.7236,96.8575,143175
2019-11-05 10:15:00,96.87,97.13,96.83,97.05,28201
2019-11-05 10:20:00,97.0319,97.3866,96.9763,97.2387,108815
2019-11-05 10:25:00,97.254,97.3886,96.8931,97.2991,101126
2019-11-05 10:30:00,97.26,97.26,96.88,96.8824,60426
2019-11-05 10:35:00,96.93,97.12,96.905,97.05,67704
2019-11-05 10:40:00,97.06,97.48,97.06,97.38,26532
2019-11-05 10:45:00,97.4,97.53,97.4,97.53,41572
2019-11-05 10:50:00,97.55,97.84,97.55,97.64,41610
2019-11-05 10:55:00,97.65,97.74,97.45,97.51,32529
2019-11-05 11:00:00,97.53,97.56,97.45,97.55,35744
2019-11-05 11:05:00,97.58,97.77,97.54,97.68,12912
2019-11-05 11:10:00,97.64,97.84,97.64,97.82,17040
2019-11-05 11:15:00,97.83,98.06,97.8,97.975,38621
2019-11-05 11:20:00,97.975,98.05,97.93,97.96,8712
2019-11-05 11:25:00,97.88,98.02,97.88,98.02,64983
2019-11-05 11:30:00,98.013,98.25,98.01,98.25,19002
2019-11-05 11:35:00,98.2,98.2,98.0,98.06,14512
2019-11-05 11:40:00,98.04,98.13,98.04,98.08,15253
2019-11-05 11:45:00,98.1,98.14,98.04,98.07,13592
2019-11-05 11:50:00,98.0532,98.06,97.96,98.0332,14360
2019-11-05 11:55:00,98.03,98.14,97.99,98.14,11678
2019-11-05 12:00:00,98.14,98.17,98.14,98.15,13740
2019-11-05 12:05:00,98.16,98.28,98.15,98.18,12862
2019-11-05 12:10:00,98.19,98.205,98.09,98.17,13423
2019-11-05 12:15:00,98.18,98.27,98.17,98.23,9049
2019-11-05 12:20:00,98.25,98.25,98.165,98.23,11289
2019-11-05 12:25:00,98.25,98.45,98.25,98.44,15435
2019-11-05 12:30:00,98.43,98.43,98.35,98.375,8608
2019-11-05 12:35:00,98.37,98.38,98.29,98.38,11230
2019-11-05 12:40:00,98.38,98.45,98.38,98.39,9125
2019-11-05 12:45:00,98.39,98.6,98.39,98.56,12848
2019-11-05 12:50:00,98.565,98.65,98.49,98.49,14428
2019-11-05 12:55:00,98.49,98.565,98.49,98.555,6003
