,open,high,low,close,volume
2019-11-04 14:15:00,19.35,19.35,19.345,19.35,1600
2019-11-04 14:20:00,19.34,19.34,19.315,19.32,17100
2019-11-04 14:25:00,19.32,19.33,19.31,19.33,8403
2019-11-04 14:30:00,19.32,19.33,19.315,19.325,6554
2019-11-04 14:35:00,19.32,19.35,19.32,19.32,11682
2019-11-04 14:40:00,19.32,19.33,19.31,19.32,12896
2019-11-04 14:45:00,19.32,19.335,19.315,19.32,16292
2019-11-04 14:50:00,19.32,19.335,19.32,19.325,11921
2019-11-04 14:55:00,19.325,19.325,19.305,19.315,12516
2019-11-04 15:00:00,19.32,19.34,19.32,19.34,18880
2019-11-04 15:05:00,19.335,19.35,19.3333,19.345,9123
2019-11-04 15:10:00,19.35,19.35,19.335,19.34,17245
2019-11-04 15:15:00,19.33,19.34,19.325,19.335,10143
2019-11-04 15:20:00,19.3358,19.35,19.3358,19.34,19729
2019-11-04 15:25:00,19.335,19.37,19.33,19.37,26594
2019-11-04 15:30:00,19.365,19.37,19.35,19.355,34483
2019-11-04 15:35:00,19.355,19.38,19.355,19.365,31101
2019-11-04 15:40:00,19.36,19.37,19.355,19.365,43217
2019-11-04 15:45:00,19.37,19.375,19.365,19.37,68038
2019-11-04 15:50:00,19.375,19.39,19.365,19.385,137722
2019-11-04 15:55:00,19.38,19.39,19.37,19.37,47130
2019-11-04 16:00:00,19.37,19.38,19.36,19.38,73526
2019-11-05 09:35:00,19.4706,19.4889,19.4439,19.4456,187450
2019-11-05 09:40:00,19.445,19.47,19.445,19.45,40745
2019-11-05 09:45:00,19.44,19.475,19.44,19.47,52924
2019-11-05 09:50:00,19.465,19.47,19.45,19.47,35935
2019-11-05 09:55:00,19.475,19.48,19.44,19.45,14216
2019-11-05 10:00:00,19.46,19.49,19.46,19.49,33322
2019-11-05 10:05:00,19.49,19.53,19.49,19.49,82747
2019-11-05 10:10:00,19.49,19.5,19.45,19.45,25795
2019-11-05 10:15:00,19.455,19.455,19.44,19.44,45198
2019-11-05 10:20:00,19.4329,19.44,19.42,19.43,55454
2019-11-05 10:25:00,19.43,19.44,19.405,19.405,62750
2019-11-05 10:30:00,19.41,19.435,19.41,19.41,12403
2019-11-05 10:35:00,19.42,19.44,19.42,19.43,8317
2019-11-05 10:40:00,19.43,19.435,19.43,19.43,11114
