,open,high,low,close,volume
2019-11-04 14:15:00,11.41,11.42,11.41,11.41,2751
2019-11-04 14:20:00,11.415,11.42,11.39,11.395,20472
2019-11-04 14:25:00,11.395,11.4,11.395,11.395,24524
2019-11-04 14:30:00,11.395,11.405,11.395,11.405,9543
2019-11-04 14:35:00,11.405,11.41,11.39,11.39,12391
2019-11-04 14:40:00,11.395,11.395,11.37,11.37,8746
2019-11-04 14:45:00,11.37,11.3756,11.37,11.37,5737
2019-11-04 14:50:00,11.37,11.38,11.37,11.38,9537
2019-11-04 14:55:00,11.3804,11.3907,11.3706,11.3754,13279
2019-11-04 15:00:00,11.37,11.37,11.36,11.37,7683
2019-11-04 15:05:00,11.37,11.37,11.36,11.36,9795
2019-11-04 15:10:00,11.36,11.36,11.35,11.355,9749
2019-11-04 15:15:00,11.35,11.365,11.345,11.36,16601
2019-11-04 15:20:00,11.36,11.36,11.35,11.36,13804
2019-11-04 15:25:00,11.36,11.365,11.35,11.35,17303
2019-11-04 15:30:00,11.35,11.355,11.35,11.35,25104
2019-11-04 15:35:00,11.345,11.36,11.345,11.36,53268
2019-11-04 15:40:00,11.365,11.4,11.365,11.39,25240
2019-11-04 15:45:00,11.39,11.39,11.37,11.38,27474
2019-11-04 15:50:00,11.38,11.38,11.37,11.37,48091
2019-11-04 15:55:00,11.37,11.38,11.365,11.37,49333
2019-11-04 16:00:00,11.38,11.39,11.37,11.39,73108
2019-11-05 09:35:00,11.42,11.43,11.41,11.42,37277
2019-11-05 09:40:00,11.4202,11.439,11.409,11.4102,9954
2019-11-05 09:45:00,11.4,11.42,11.39,11.41,23115
2019-11-05 09:50:00,11.41,11.42,11.4,11.415,30467
2019-11-05 09:55:00,11.41,11.42,11.4025,11.41,15531
2019-11-05 10:00:00,11.41,11.41,11.38,11.38,46374
2019-11-05 10:05:00,11.3902,11.4199,11.3798,11.4102,31447
2019-11-05 10:10:00,11.41,11.42,11.39,11.395,26087
2019-11-05 10:15:00,11.39,11.4,11.35,11.36,39594
2019-11-05 10:20:00,11.3652,11.37,11.35,11.3602,39771
2019-11-05 10:25:00,11.36,11.36,11.33,11.335,16074
2019-11-05 10:30:00,11.34,11.35,11.31,11.31,30360
2019-11-05 10:35:00,11.3205,11.3308,11.3008,11.3105,32876
2019-11-05 10:40:00,11.31,11.31,11.29,11.29,18721
2019-11-05 10:45:00,11.3,11.3,11.29,11.3,22460
2019-11-05 10:50:00,11.3,11.3,11.27,11.27,23331
2019-11-05 10:55:00,11.27,11.28,11.25,11.25,22099
2019-11-05 11:00:00,11.26,11.28,11.25,11.28,15760
2019-11-05 11:05:00,11.27,11.27,11.25,11.25,19883
2019-11-05 11:10:00,11.2602,11.2789,11.2589,11.2702,19518
2019-11-05 11:15:00,11.2705,11.2909,11.2658,11.2805,27763
2019-11-05 11:20:00,11.28,11.29,11.26,11.29,3666
2019-11-05 11:25:00,11.26,11.27,11.24,11.245,39961
2019-11-05 11:30:00,11.25,11.27,11.235,11.24,17990
2019-11-05 11:35:00,11.25,11.25,11.23,11.24,2465
2019-11-05 11:40:00,11.24,11.24,11.23,11.235,2523
2019-11-05 11:45:00,11.22,11.23,11.21,11.21,5682
2019-11-05 11:50:00,11.2,11.2,11.17,11.18,4895
2019-11-05 11:55:00,11.17,11.17,11.14,11.15,7847
2019-11-05 12:00:00,11.14,11.15,11.14,11.15,6514
2019-11-05 12:05:00,11.145,11.145,11.1,11.11,15506
2019-11-05 12:10:00,11.1,11.105,11.09,11.09,3549
2019-11-05 12:15:00,11.09,11.095,11.06,11.06,29388
2019-11-05 12:20:00,11.065,11.07,11.045,11.045,16375
2019-11-05 12:25:00,11.045,11.045,11.03,11.03,9845
2019-11-05 12:30:00,11.03,11.03,11.02,11.02,7530
2019-11-05 12:35:00,11.02,11.025,10.92,10.94,46933
2019-11-05 12:40:00,10.94,10.965,10.935,10.95,16628
2019-11-05 12:45:00,10.95,10.95,10.935,10.945,55345
2019-11-05 12:50:00,10.95,10.97,10.9441,10.97,6360
2019-11-05 12:55:00,10.9655,10.97,10.95,10.9502,25392
2019-11-05 13:00:00,10.95,10.95,10.95,10.95,20289
2019-11-05 13:05:00,10.96,10.98,10.955,10.975,9461
2019-11-05 13:10:00,10.98,11.01,10.98,11.005,12472
2019-11-05 13:15:00,11.005,11.01,10.99,10.995,22892
2019-11-05 13:20:00,10.995,11.0,10.995,11.0,2364
2019-11-05 13:25:00,11.0,11.01,11.0,11.01,1982
2019-11-05 13:30:00,11.01,11.02,11.01,11.015,7575
2019-11-05 13:35:00,11.02,11.02,11.01,11.015,2200
2019-11-05 13:40:00,11.015,11.03,11.005,11.03,17688
2019-11-05 13:45:00,11.03,11.03,11.02,11.025,18191
2019-11-05 13:50:00,11.025,11.03,11.02,11.02,1837
2019-11-05 13:55:00,11.025,11.025,10.995,11.0,12621
2019-11-05 14:00:00,11.0,11.02,10.995,11.02,7041
2019-11-05 14:05:00,11.015,11.02,11.0,11.005,3736
2019-11-05 14:10:00,11.005,11.03,11.005,11.03,5423
2019-11-05 14:15:00,11.03,11.03,11.025,11.03,9345
2019-11-05 14:20:00,11.03,11.03,11.0,11.0,6456
2019-11-05 14:25:00,11.005,11.02,11.0,11.02,21979
2019-11-05 14:30:00,11.03,11.04,11.03,11.035,3980
2019-11-05 14:35:00,11.03,11.03,11.02,11.025,4970
2019-11-05 14:40:00,11.03,11.03,11.01,11.01,3566
2019-11-05 14:45:00,11.015,11.025,11.015,11.0234,5846
2019-11-05 14:50:00,11.03,11.03,11.02,11.025,3000
2019-11-05 14:55:00,11.03,11.03,11.01,11.015,7610
2019-11-05 15:00:00,11.02,11.02,11.01,11.01,3638
2019-11-05 15:05:00,11.015,11.015,10.99,10.99,26235
2019-11-05 15:10:00,10.9804,11.0007,10.9607,10.9904,41913
