,open,high,low,close,volume
2019-11-04 14:15:00,59.58,59.585,59.575,59.58,62210
2019-11-04 14:20:00,59.58,59.585,59.57,59.58,97671
2019-11-04 14:25:00,59.58,59.585,59.57,59.57,19854
2019-11-04 14:30:00,59.575,59.585,59.575,59.585,31632
2019-11-04 14:35:00,59.58,59.59,59.58,59.59,11670
2019-11-04 14:40:00,59.59,59.59,59.5827,59.585,23764
2019-11-04 14:45:00,59.585,59.59,59.57,59.57,24278
2019-11-04 14:50:00,59.57,59.58,59.57,59.575,8853
2019-11-04 14:55:00,59.575,59.58,59.57,59.575,20815
2019-11-04 15:00:00,59.58,59.58,59.57,59.57,14232
2019-11-04 15:05:00,59.57,59.57,59.545,59.545,33485
2019-11-04 15:10:00,59.55,59.55,59.53,59.545,63082
2019-11-04 15:15:00,59.545,59.545,59.52,59.525,41981
2019-11-04 15:20:00,59.53,59.55,59.52,59.545,45966
2019-11-04 15:25:00,59.545,59.57,59.54,59.5549,66143
2019-11-04 15:30:00,59.56,59.565,59.54,59.54,102403
2019-11-04 15:35:00,59.55,59.575,59.54,59.575,109255
2019-11-04 15:40:00,59.57,59.5762,59.565,59.57,113458
2019-11-04 15:45:00,59.57,59.6081,59.57,59.6,76609
2019-11-04 15:50:00,59.605,59.61,59.59,59.61,193379
2019-11-04 15:55:00,59.61,59.67,59.61,59.655,292882
2019-11-04 16:00:00,59.66,59.68,59.645,59.68,648637
2019-11-05 09:35:00,59.75,59.76,59.705,59.715,298291
2019-11-05 09:40:00,59.72,59.73,59.72,59.73,106671
2019-11-05 09:45:00,59.73,59.74,59.72,59.735,117054
2019-11-05 09:50:00,59.74,59.765,59.74,59.76,101742
2019-11-05 09:55:00,59.77,59.78,59.7627,59.775,95485
2019-11-05 10:00:00,59.78,59.79,59.77,59.77,69826
2019-11-05 10:05:00,59.77,59.83,59.7583,59.7583,427662
2019-11-05 10:10:00,59.76,59.76,59.64,59.65,270685
2019-11-05 10:15:00,59.65,59.655,59.62,59.645,102739
2019-11-05 10:20:00,59.65,59.67,59.63,59.67,329466
2019-11-05 10:25:00,59.675,59.7,59.66,59.675,84692
2019-11-05 10:30:00,59.675,59.675,59.63,59.65,75421
2019-11-05 10:35:00,59.64,59.67,59.635,59.64,46317
2019-11-05 10:40:00,59.64,59.655,59.63,59.63,64570
2019-11-05 10:45:00,59.62,59.66,59.6,59.605,76856
2019-11-05 10:50:00,59.61,59.625,59.595,59.62,172642
2019-11-05 10:55:00,59.625,59.66,59.62,59.65,270969
2019-11-05 11:00:00,59.65,59.69,59.65,59.67,86999
