,open,high,low,close,volume
2019-11-04 14:15:00,60.765,60.77,60.76,60.76,64906
2019-11-04 14:20:00,60.76,60.765,60.75,60.75,40433
2019-11-04 14:25:00,60.75,60.7582,60.745,60.755,49611
2019-11-04 14:30:00,60.75,60.76,60.75,60.755,58334
2019-11-04 14:35:00,60.755,60.76,60.745,60.75,35929
2019-11-04 14:40:00,60.75,60.76,60.75,60.76,75702
2019-11-04 14:45:00,60.76,60.76,60.73,60.73,48518
2019-11-04 14:50:00,60.73,60.735,60.72,60.725,101916
2019-11-04 14:55:00,60.73,60.735,60.7204,60.735,34663
2019-11-04 15:00:00,60.73,60.74,60.73,60.74,15340
2019-11-04 15:05:00,60.735,60.74,60.725,60.73,100401
2019-11-04 15:10:00,60.73,60.73,60.7234,60.725,28124
2019-11-04 15:15:00,60.72,60.725,60.7,60.7,38532
2019-11-04 15:20:00,60.7,60.71,60.7,60.705,44698
2019-11-04 15:25:00,60.705,60.72,60.7,60.72,54215
2019-11-04 15:30:00,60.72,60.72,60.71,60.72,49375
2019-11-04 15:35:00,60.71,60.72,60.71,60.72,46262
2019-11-04 15:40:00,60.72,60.725,60.71,60.72,83543
2019-11-04 15:45:00,60.71,60.71,60.695,60.7,110207
2019-11-04 15:50:00,60.7,60.715,60.68,60.715,131862
2019-11-04 15:55:00,60.72,60.73,60.72,60.73,26570
2019-11-04 16:00:00,60.73,60.73,60.61,60.66,411235
2019-11-05 09:35:00,61.36,61.38,61.34,61.37,139114
2019-11-05 09:40:00,61.375,61.38,61.29,61.31,223552
2019-11-05 09:45:00,61.31,61.32,61.29,61.32,160079
2019-11-05 09:50:00,61.32,61.38,61.31,61.38,23718
2019-11-05 09:55:00,61.38,61.395,61.36,61.36,53760
2019-11-05 10:00:00,61.37,61.4,61.36,61.4,148183
2019-11-05 10:05:00,61.395,61.41,61.34,61.345,171150
2019-11-05 10:10:00,61.35,61.355,61.26,61.28,111724
2019-11-05 10:15:00,61.28,61.28,61.235,61.25,189855
2019-11-05 10:20:00,61.255,61.335,61.25,61.33,115595
2019-11-05 10:25:00,61.32,61.32,61.2872,61.2872,54288
2019-11-05 10:30:00,61.28,61.28,61.17,61.175,29553
2019-11-05 10:35:00,61.17,61.2,61.16,61.18,29514
2019-11-05 10:40:00,61.18,61.19,61.155,61.16,31046
2019-11-05 10:45:00,61.15,61.16,61.12,61.13,70741
2019-11-05 10:50:00,61.13,61.175,61.11,61.175,41544
2019-11-05 10:55:00,61.18,61.19,61.16,61.19,50705
2019-11-05 11:00:00,61.2,61.25,61.2,61.24,36283
2019-11-05 11:05:00,61.24,61.28,61.24,61.26,18141
2019-11-05 11:10:00,61.26,61.29,61.26,61.26,21908
2019-11-05 11:15:00,61.26,61.28,61.25,61.275,27310
2019-11-05 11:20:00,61.28,61.305,61.265,61.265,65462
2019-11-05 11:25:00,61.265,61.275,61.25,61.275,37259
2019-11-05 11:30:00,61.28,61.31,61.28,61.31,36480
2019-11-05 11:35:00,61.31,61.315,61.265,61.27,44334
2019-11-05 11:40:00,61.28,61.29,61.27,61.273,27430
2019-11-05 11:45:00,61.27,61.275,61.25,61.255,38006
2019-11-05 11:50:00,61.2525,61.255,61.23,61.23,22036
2019-11-05 11:55:00,61.23,61.265,61.225,61.265,40561
2019-11-05 12:00:00,61.26,61.32,61.26,61.31,18501
2019-11-05 12:05:00,61.31,61.33,61.305,61.33,17911
2019-11-05 12:10:00,61.33,61.335,61.32,61.33,25579
2019-11-05 12:15:00,61.33,61.335,61.3,61.3,11148
2019-11-05 12:20:00,61.3001,61.36,61.29,61.33,79075
2019-11-05 12:25:00,61.34,61.35,61.305,61.305,10543
2019-11-05 12:30:00,61.31,61.345,61.31,61.33,15731
2019-11-05 12:35:00,61.33,61.335,61.315,61.33,22900
2019-11-05 12:40:00,61.33,61.37,61.33,61.36,9379
2019-11-05 12:45:00,61.365,61.38,61.36,61.375,26430
2019-11-05 12:50:00,61.375,61.375,61.35,61.375,20863
2019-11-05 12:55:00,61.375,61.39,61.365,61.38,16757
