,open,high,low,close,volume
2019-11-04 14:15:00,195.55,195.78,195.519,195.78,96096
2019-11-04 14:20:00,195.78,195.8,195.6301,195.69,70135
2019-11-04 14:25:00,195.68,195.87,195.64,195.85,124308
2019-11-04 14:30:00,195.845,196.0,195.8001,195.9428,170127
2019-11-04 14:35:00,195.95,196.0,195.68,195.8,121848
2019-11-04 14:40:00,195.7843,196.17,195.7843,196.1147,141152
2019-11-04 14:45:00,196.1218,196.3144,195.9141,195.9168,210331
2019-11-04 14:50:00,195.89,196.07,195.76,195.8246,147454
2019-11-04 14:55:00,195.84,195.84,195.72,195.82,125667
2019-11-04 15:00:00,195.83,195.85,195.68,195.72,82061
2019-11-04 15:05:00,195.69,195.701,195.32,195.355,124188
2019-11-04 15:10:00,195.36,195.49,195.22,195.47,234414
2019-11-04 15:15:00,195.46,195.47,195.15,195.2101,115552
2019-11-04 15:20:00,195.215,195.24,194.97,195.0104,326586
2019-11-04 15:25:00,195.0,195.23,195.0,195.155,113339
2019-11-04 15:30:00,195.15,195.17,194.88,194.98,155954
2019-11-04 15:35:00,195.0,195.27,194.97,195.17,170583
2019-11-04 15:40:00,195.17,195.17,194.91,195.055,135820
2019-11-04 15:45:00,195.04,195.32,194.9669,194.9705,144841
2019-11-04 15:50:00,194.9776,195.015,194.97,195.015,149046
2019-11-04 15:55:00,195.01,195.044,194.74,194.8099,334711
2019-11-04 16:00:00,194.81,194.86,194.49,194.72,388415
2019-11-05 09:35:00,195.0613,195.07,194.64,195.0163,566367
2019-11-05 09:40:00,195.0293,195.3511,194.9633,194.9863,211056
2019-11-05 09:45:00,194.95,195.09,194.9,195.05,156131
2019-11-05 09:50:00,195.0,195.659,195.0,195.645,210703
2019-11-05 09:55:00,195.71,195.71,195.46,195.57,203751
2019-11-05 10:00:00,195.61,195.62,195.03,195.15,201917
2019-11-05 10:05:00,195.14,195.545,194.9415,195.04,184525
2019-11-05 10:10:00,195.04,195.07,194.71,194.82,193108
2019-11-05 10:15:00,194.8063,194.83,194.26,194.5329,226402
2019-11-05 10:20:00,194.5238,194.8833,194.3979,194.6938,136189
2019-11-05 10:25:00,194.7,194.985,194.66,194.67,150874
2019-11-05 10:30:00,194.685,194.685,194.15,194.2199,126039
2019-11-05 10:35:00,194.2178,194.33,194.08,194.1977,125792
2019-11-05 10:40:00,194.15,194.42,193.89,193.9315,121056
2019-11-05 10:45:00,193.9512,194.1553,193.84,193.8462,151677
2019-11-05 10:50:00,193.87,193.94,193.8,193.93,91597
2019-11-05 10:55:00,193.935,194.22,193.86,193.93,113982
2019-11-05 11:00:00,193.93,194.13,193.93,194.06,70844
2019-11-05 11:05:00,194.07,194.1,193.955,193.955,93894
2019-11-05 11:10:00,193.94,194.1,193.92,193.99400000000003,85792
2019-11-05 11:15:00,194.0,194.3,193.98,194.26,96971
2019-11-05 11:20:00,194.25,194.53,194.2448,194.38,126182
2019-11-05 11:25:00,194.34,194.4,194.15,194.15,52787
2019-11-05 11:30:00,194.1655,194.37,194.15,194.29,65150
2019-11-05 11:35:00,194.28,194.285,194.075,194.1145,58078
2019-11-05 11:40:00,194.11,194.165,193.92,193.94,87345
2019-11-05 11:45:00,193.91,194.09,193.77,193.8,111885
2019-11-05 11:50:00,193.8,193.85,193.77,193.77,63134
2019-11-05 11:55:00,193.79,193.96,193.77,193.86,68156
2019-11-05 12:00:00,193.88,193.94,193.87,193.91,62115
2019-11-05 12:05:00,193.9,194.3,193.86,194.2716,107922
2019-11-05 12:10:00,194.2972,194.39,194.12,194.2772,102192
2019-11-05 12:15:00,194.3,194.3,194.05,194.1,83471
2019-11-05 12:20:00,194.0738,194.26,194.07,194.17,90249
2019-11-05 12:25:00,194.19,194.3,194.0,194.0001,78724
2019-11-05 12:30:00,194.0,194.13,194.0,194.117,70869
2019-11-05 12:35:00,194.1,194.2,194.0502,194.16,55526
2019-11-05 12:40:00,194.16,194.27,194.13,194.19,57672
2019-11-05 12:45:00,194.18,194.23,194.1,194.23,52052
2019-11-05 12:50:00,194.23,194.25,193.95,193.95,62597
2019-11-05 12:55:00,193.96,194.105,193.91,193.92,50672
2019-11-05 13:00:00,193.93,194.0,193.8,193.9,99102
2019-11-05 13:05:00,193.89,194.07,193.89,194.07,133769
2019-11-05 13:10:00,194.065,194.09,194.05,194.08,39044
2019-11-05 13:15:00,194.09,194.3,194.0501,194.06,74700
2019-11-05 13:20:00,194.05,194.11,193.95,193.95,40783
2019-11-05 13:25:00,193.9405,194.065,193.92,194.02,36901
2019-11-05 13:30:00,194.037,194.12,194.01,194.025,83831
2019-11-05 13:35:00,194.0196,194.06,193.974,194.0,40720
2019-11-05 13:40:00,194.0281,194.2367,193.9864,194.0081,84421
2019-11-05 13:45:00,193.99,194.16,193.971,194.0901,50412
2019-11-05 13:50:00,194.095,194.1,193.92,194.005,46014
2019-11-05 13:55:00,194.01,194.02,193.95,193.97,48072
2019-11-05 14:00:00,193.99,194.0,193.96,193.96,48137
2019-11-05 14:05:00,193.96,194.01,193.86,193.92,78540
2019-11-05 14:10:00,193.925,194.18,193.92,194.175,62401
2019-11-05 14:15:00,194.19,194.29,194.07,194.08,62492
2019-11-05 14:20:00,194.07,194.08,193.9,193.9,49427
2019-11-05 14:25:00,193.9,194.07,193.84,194.07,73154
2019-11-05 14:30:00,194.07,194.17,194.02,194.17,72831
2019-11-05 14:35:00,194.191,194.25,194.15,194.25,88080
2019-11-05 14:40:00,194.25,194.29,194.1313,194.1801,53072
2019-11-05 14:45:00,194.18,194.24,194.08,194.18,42638
2019-11-05 14:50:00,194.1783,194.33,194.1705,194.33,67048
2019-11-05 14:55:00,194.33,194.41,194.31,194.3786,89491
2019-11-05 15:00:00,194.37,194.4,194.28,194.29,45643
2019-11-05 15:05:00,194.3,194.39,194.21,194.38,85872
2019-11-05 15:10:00,194.39,194.4,194.19,194.3,57870
2019-11-05 15:15:00,194.29,194.295,194.26,194.29,49439
2019-11-05 15:20:00,194.29,194.29,194.14,194.2199,105926
2019-11-05 15:25:00,194.21,194.4,194.19,194.37,102217
2019-11-05 15:30:00,194.35,194.35,194.22,194.23,63378
2019-11-05 15:35:00,194.22,194.31,194.17,194.2925,142838
