,open,high,low,close,volume
2019-11-04 14:15:00,16.2,16.21,16.19,16.2,11803
2019-11-04 14:20:00,16.2,16.205,16.2,16.2034,4070
2019-11-04 14:25:00,16.21,16.21,16.195,16.2,9002
2019-11-04 14:30:00,16.19,16.205,16.19,16.19,25459
2019-11-04 14:35:00,16.195,16.22,16.195,16.2144,19223
2019-11-04 14:40:00,16.2124,16.22,16.2,16.2057,17809
2019-11-04 14:45:00,16.2,16.21,16.195,16.21,16343
2019-11-04 14:50:00,16.2,16.21,16.195,16.2,16739
2019-11-04 14:55:00,16.2,16.205,16.19,16.195,13712
2019-11-04 15:00:00,16.2,16.2,16.18,16.2,30017
2019-11-04 15:05:00,16.2,16.205,16.19,16.195,18967
2019-11-04 15:10:00,16.1953,16.209,16.184,16.1853,33146
2019-11-04 15:15:00,16.18,16.18,16.174,16.18,16155
2019-11-04 15:20:00,16.17,16.18,16.17,16.175,15521
2019-11-04 15:25:00,16.18,16.18,16.16,16.17,32877
2019-11-04 15:30:00,16.175,16.19,16.17,16.19,24227
2019-11-04 15:35:00,16.19,16.2,16.19,16.195,47032
2019-11-04 15:40:00,16.2,16.21,16.19,16.21,49143
2019-11-04 15:45:00,16.21,16.22,16.2,16.215,40005
2019-11-04 15:50:00,16.22,16.22,16.2,16.205,71635
2019-11-04 15:55:00,16.205,16.23,16.2,16.205,122731
2019-11-04 16:00:00,16.2,16.21,16.15,16.15,217158
2019-11-05 09:35:00,16.2005,16.2858,16.1857,16.2705,117156
2019-11-05 09:40:00,16.27,16.33,16.27,16.31,43853
2019-11-05 09:45:00,16.3,16.4,16.3,16.4,71854
2019-11-05 09:50:00,16.39,16.39,16.345,16.35,39421
2019-11-05 09:55:00,16.35,16.43,16.35,16.42,58101
2019-11-05 10:00:00,16.42,16.42,16.34,16.39,185651
2019-11-05 10:05:00,16.39,16.47,16.39,16.44,62179
2019-11-05 10:10:00,16.4304,16.4659,16.3759,16.3904,34130
2019-11-05 10:15:00,16.3805,16.39,16.36,16.3705,19713
2019-11-05 10:20:00,16.37,16.39,16.34,16.35,23590
2019-11-05 10:25:00,16.34,16.38,16.32,16.32,12577
2019-11-05 10:30:00,16.32,16.325,16.28,16.28,37125
2019-11-05 10:35:00,16.28,16.32,16.28,16.315,26517
2019-11-05 10:40:00,16.31,16.33,16.3,16.31,15994
2019-11-05 10:45:00,16.3,16.35,16.29,16.33,37849
2019-11-05 10:50:00,16.325,16.33,16.31,16.315,18345
2019-11-05 10:55:00,16.32,16.34,16.3,16.3,36282
2019-11-05 11:00:00,16.31,16.325,16.3085,16.32,18497
2019-11-05 11:05:00,16.3205,16.3409,16.2958,16.3064,70796
2019-11-05 11:10:00,16.31,16.317,16.305,16.31,15639
2019-11-05 11:15:00,16.32,16.35,16.3165,16.35,25218
2019-11-05 11:20:00,16.35,16.35,16.34,16.3405,3924
2019-11-05 11:25:00,16.3114,16.33,16.3,16.31,44267
2019-11-05 11:30:00,16.31,16.34,16.3,16.325,19467
2019-11-05 11:35:00,16.325,16.33,16.32,16.325,18819
2019-11-05 11:40:00,16.325,16.33,16.3,16.3,16633
2019-11-05 11:45:00,16.305,16.34,16.305,16.325,17750
2019-11-05 11:50:00,16.32,16.33,16.31,16.31,13117
2019-11-05 11:55:00,16.31,16.33,16.3,16.33,23575
2019-11-05 12:00:00,16.33,16.37,16.33,16.36,140689
2019-11-05 12:05:00,16.35,16.36,16.33,16.335,14645
2019-11-05 12:10:00,16.33,16.35,16.32,16.34,14054
2019-11-05 12:15:00,16.34,16.39,16.34,16.385,20476
2019-11-05 12:20:00,16.39,16.42,16.39,16.41,33505
2019-11-05 12:25:00,16.415,16.43,16.4129,16.4129,10137
2019-11-05 12:30:00,16.4203,16.4342,16.4142,16.4153,8077
2019-11-05 12:35:00,16.41,16.415,16.41,16.41,15763
2019-11-05 12:40:00,16.4081,16.425,16.405,16.42,19155
2019-11-05 12:45:00,16.41,16.41,16.4,16.405,12529
2019-11-05 12:50:00,16.405,16.4152,16.405,16.4152,14713
2019-11-05 12:55:00,16.4153,16.4429,16.4129,16.4303,12557
2019-11-05 13:00:00,16.43,16.43,16.41,16.41,12157
2019-11-05 13:05:00,16.415,16.43,16.415,16.425,10048
2019-11-05 13:10:00,16.425,16.44,16.42,16.42,19668
2019-11-05 13:15:00,16.42,16.42,16.38,16.3862,58890
2019-11-05 13:20:00,16.39,16.44,16.39,16.42,70304
2019-11-05 13:25:00,16.42,16.42,16.42,16.42,26008
2019-11-05 13:30:00,16.415,16.42,16.41,16.415,10455
2019-11-05 13:35:00,16.415,16.43,16.415,16.425,30189
2019-11-05 13:40:00,16.4257,16.43,16.41,16.4207,83821
2019-11-05 13:45:00,16.42,16.49,16.42,16.49,89807
2019-11-05 13:50:00,16.49,16.54,16.4801,16.525,115819
2019-11-05 13:55:00,16.53,16.54,16.51,16.515,21044
2019-11-05 14:00:00,16.52,16.53,16.51,16.51,17087
2019-11-05 14:05:00,16.515,16.52,16.51,16.52,21288
2019-11-05 14:10:00,16.5153,16.525,16.51,16.5203,20879
2019-11-05 14:15:00,16.51,16.525,16.51,16.52,19900
2019-11-05 14:20:00,16.5185,16.525,16.51,16.51,35213
2019-11-05 14:25:00,16.52,16.545,16.51,16.54,24997
2019-11-05 14:30:00,16.5334,16.54,16.51,16.525,16974
2019-11-05 14:35:00,16.525,16.56,16.525,16.535,29801
2019-11-05 14:40:00,16.535,16.54,16.51,16.52,19859
2019-11-05 14:45:00,16.515,16.54,16.51,16.53,25609
2019-11-05 14:50:00,16.5255,16.535,16.51,16.528,77604
2019-11-05 14:55:00,16.5256,16.5454,16.5253,16.5306,17436
2019-11-05 15:00:00,16.53,16.535,16.52,16.53,16965
2019-11-05 15:05:00,16.52,16.54,16.5146,16.54,31005
2019-11-05 15:10:00,16.54,16.555,16.535,16.55,30532
2019-11-05 15:15:00,16.5554,16.5961,16.551,16.5754,65634
2019-11-05 15:20:00,16.58,16.6,16.575,16.595,39298
2019-11-05 15:25:00,16.59,16.62,16.59,16.62,24658
2019-11-05 15:30:00,16.615,16.63,16.61,16.62,27931
2019-11-05 15:35:00,16.62,16.65,16.61,16.65,48136
2019-11-05 15:40:00,16.64,16.66,16.61,16.615,66918
2019-11-05 15:45:00,16.61,16.63,16.61,16.62,43538
2019-11-05 15:50:00,16.62,16.63,16.61,16.61,47240
2019-11-05 15:55:00,16.61,16.62,16.61,16.61,74266
2019-11-05 16:00:00,16.61,16.61,16.55,16.55,191551
2019-11-06 09:35:00,16.5107,16.5309,16.4158,16.5007,90563
2019-11-06 09:40:00,16.51,16.565,16.46,16.46,43581
2019-11-06 09:45:00,16.48,16.48,16.33,16.33,48306
2019-11-06 09:50:00,16.32,16.39,16.32,16.36,33910
2019-11-06 09:55:00,16.35,16.375,16.34,16.34,58317
2019-11-06 10:00:00,16.35,16.45,16.35,16.43,145808
2019-11-06 10:05:00,16.45,16.54,16.45,16.515,80910
2019-11-06 10:10:00,16.5153,16.573,16.4829,16.5603,78752
2019-11-06 10:15:00,16.565,16.57,16.5,16.5,38331
2019-11-06 10:20:00,16.5006,16.5255,16.4904,16.5106,15476
2019-11-06 10:25:00,16.5,16.515,16.5,16.515,24850
2019-11-06 10:30:00,16.5206,16.5654,16.5153,16.5306,34671
2019-11-06 10:35:00,16.53,16.54,16.47,16.47,24273
2019-11-06 10:40:00,16.475,16.52,16.47,16.515,11826
2019-11-06 10:45:00,16.51,16.52,16.5,16.5043,14939
2019-11-06 10:50:00,16.5,16.5,16.475,16.49,20093
2019-11-06 10:55:00,16.4949,16.5,16.47,16.47,23145
2019-11-06 11:00:00,16.46,16.48,16.46,16.47,15231
2019-11-06 11:05:00,16.48,16.5,16.48,16.49,15983
2019-11-06 11:10:00,16.49,16.5,16.47,16.47,13607
2019-11-06 11:15:00,16.46,16.495,16.455,16.48,16884
2019-11-06 11:20:00,16.48,16.53,16.48,16.525,16703
2019-11-06 11:25:00,16.53,16.533,16.52,16.52,11826
2019-11-06 11:30:00,16.52,16.56,16.52,16.5598,54845
2019-11-06 11:35:00,16.56,16.585,16.54,16.54,27091
2019-11-06 11:40:00,16.5505,16.5761,16.5361,16.5575,17160
2019-11-06 11:45:00,16.56,16.59,16.52,16.52,58299
2019-11-06 11:50:00,16.52,16.53,16.49,16.495,23695
2019-11-06 11:55:00,16.4903,16.503,16.4629,16.4653,18789
