,open,high,low,close,volume
2019-11-04 14:15:00,52.88,52.91,52.86,52.87,5886
2019-11-04 14:20:00,52.8732,52.8901,52.86,52.89,7158
2019-11-04 14:25:00,52.86,52.89,52.72,52.72,14041
2019-11-04 14:30:00,52.72,52.75,52.71,52.7115,11386
2019-11-04 14:35:00,52.72,52.81,52.72,52.77,3697
2019-11-04 14:40:00,52.7918,52.8808,52.7807,52.8322,12244
2019-11-04 14:45:00,52.8,52.91,52.8,52.87,5009
2019-11-04 14:50:00,52.87,52.95,52.868,52.905,8936
2019-11-04 14:55:00,52.9,52.97,52.89,52.96,10805
2019-11-04 15:00:00,52.95,53.29,52.95,53.23,135297
2019-11-04 15:05:00,53.23,53.26,53.075,53.075,12994
2019-11-04 15:10:00,53.09,53.17,53.08,53.11,7939
2019-11-04 15:15:00,53.13,53.14,53.02,53.02,8466
2019-11-04 15:20:00,53.0517,53.1166,53.0416,53.0667,6898
2019-11-04 15:25:00,53.06,53.2,53.06,53.17,15866
2019-11-04 15:30:00,53.1422,53.15,53.08,53.1122,9304
2019-11-04 15:35:00,53.1,53.12,53.075,53.075,10971
2019-11-04 15:40:00,53.0821,53.12,53.04,53.0721,11533
2019-11-04 15:45:00,53.09,53.13,53.06,53.1,11198
2019-11-04 15:50:00,53.09,53.095,53.04,53.04,22391
2019-11-04 15:55:00,53.05,53.14,53.02,53.075,29699
2019-11-04 16:00:00,53.09,53.12,53.02,53.02,57915
2019-11-05 09:35:00,53.8,53.8,53.12,53.12,0
2019-11-05 09:40:00,53.111,53.1518,52.8616,53.0047,65750
2019-11-05 09:45:00,52.9022,53.3212,52.8908,53.2722,5911
2019-11-05 09:50:00,53.3199,53.54,53.29,53.52,0
2019-11-05 09:55:00,53.5221,53.54,53.41,53.4321,87268
2019-11-05 10:00:00,53.46,53.65,53.44,53.53,14710
2019-11-05 10:05:00,53.5109,53.5503,53.45,53.4609,5150
2019-11-05 10:10:00,53.475,53.475,53.31,53.31,3366
2019-11-05 10:15:00,53.3445,53.41,53.2401,53.3517,5489
2019-11-05 10:20:00,53.351000000000006,53.39,53.28,53.331,7592
2019-11-05 10:25:00,53.28,53.3,53.14,53.165,13058
2019-11-05 10:30:00,53.192,53.265,53.1501,53.232,12054
2019-11-05 10:35:00,53.2299,53.3,53.2,53.23,3937
2019-11-05 10:40:00,53.22,53.28,53.2,53.21,4106
2019-11-05 10:45:00,53.26,53.29,53.245,53.25,4870
2019-11-05 10:50:00,53.27,53.34,53.25,53.34,3520
2019-11-05 10:55:00,53.39,53.41,53.34,53.34,5631
2019-11-05 11:00:00,53.37,53.45,53.36,53.45,5433
2019-11-05 11:05:00,53.51,53.6199,53.5,53.57,13466
2019-11-05 11:10:00,53.55,53.58,53.47,53.47,2940
2019-11-05 11:15:00,53.46,53.475,53.41,53.41,3720
2019-11-05 11:20:00,53.44,53.4799,53.44,53.46,2111
2019-11-05 11:25:00,53.6772,53.7915,53.6614,53.7422,19822
2019-11-05 11:30:00,53.73,53.82,53.73,53.81,14300
2019-11-05 11:35:00,53.83,53.87,53.78,53.82,6069
2019-11-05 11:40:00,53.88,53.94,53.8254,53.84,6292
2019-11-05 11:45:00,53.85,53.91,53.7958,53.83,3610
2019-11-05 11:50:00,53.82,53.83,53.65,53.65,5835
2019-11-05 11:55:00,53.66,53.735,53.66,53.72,3802
2019-11-05 12:00:00,53.74,53.9,53.74,53.87,11940
2019-11-05 12:05:00,53.8523,53.9118,53.8217,53.8523,4937
2019-11-05 12:10:00,53.8877,54.0006,53.8804,53.952,7924
2019-11-05 12:15:00,53.9622,54.0117,53.9356,53.9422,6512
2019-11-05 12:20:00,53.94,53.96,53.9,53.91,8665
2019-11-05 12:25:00,53.91,53.95,53.845,53.8452,11413
2019-11-05 12:30:00,53.83,53.9,53.825,53.9,2549
2019-11-05 12:35:00,53.9,53.9056,53.81,53.83,5792
2019-11-05 12:40:00,53.86,54.01,53.85,54.0,28347
