,open,high,low,close,volume
2019-11-04 14:15:00,42.465,42.49,42.455,42.475,238428
2019-11-04 14:20:00,42.48,42.48,42.47,42.47,38322
2019-11-04 14:25:00,42.47,42.49,42.47,42.485,195587
2019-11-04 14:30:00,42.49,42.49,42.47,42.475,88329
2019-11-04 14:35:00,42.48,42.49,42.47,42.485,205413
2019-11-04 14:40:00,42.485,42.495,42.485,42.495,378852
2019-11-04 14:45:00,42.495,42.495,42.48,42.485,135518
2019-11-04 14:50:00,42.485,42.49,42.48,42.49,59535
2019-11-04 14:55:00,42.49,42.495,42.48,42.49,118777
2019-11-04 15:00:00,42.49,42.5,42.49,42.5,158187
2019-11-04 15:05:00,42.5,42.5,42.48,42.49,105614
2019-11-04 15:10:00,42.49,42.49,42.4825,42.49,55982
2019-11-04 15:15:00,42.485,42.49,42.48,42.49,184587
2019-11-04 15:20:00,42.49,42.49,42.48,42.4825,137052
2019-11-04 15:25:00,42.49,42.49,42.48,42.49,220522
2019-11-04 15:30:00,42.49,42.5,42.47,42.4727,291085
2019-11-04 15:35:00,42.475,42.49,42.47,42.485,238905
2019-11-04 15:40:00,42.48,42.5,42.48,42.495,313842
2019-11-04 15:45:00,42.49,42.495,42.485,42.49,283101
2019-11-04 15:50:00,42.485,42.52,42.48,42.505,588833
2019-11-04 15:55:00,42.505,42.53,42.5,42.52,856863
2019-11-04 16:00:00,42.53,42.54,42.5,42.52,1286245
2019-11-05 09:35:00,42.75,42.75,42.725,42.73,622451
2019-11-05 09:40:00,42.735,42.75,42.73,42.75,190851
2019-11-05 09:45:00,42.74,42.75,42.71,42.73,330487
2019-11-05 09:50:00,42.74,42.75,42.72,42.75,217525
2019-11-05 09:55:00,42.75,42.75,42.73,42.74,430575
2019-11-05 10:00:00,42.74,42.77,42.73,42.77,152211
2019-11-05 10:05:00,42.77,42.775,42.72,42.72,653400
2019-11-05 10:10:00,42.72,42.72,42.64,42.66,198309
2019-11-05 10:15:00,42.66,42.69,42.65,42.685,283368
2019-11-05 10:20:00,42.69,42.7,42.665,42.69,395217
2019-11-05 10:25:00,42.69,42.72,42.68,42.695,199897
2019-11-05 10:30:00,42.7,42.7,42.645,42.655,122729
2019-11-05 10:35:00,42.66,42.7,42.66,42.695,177963
2019-11-05 10:40:00,42.695,42.715,42.67,42.67,272349
2019-11-05 10:45:00,42.67,42.7,42.66,42.66,153233
2019-11-05 10:50:00,42.665,42.685,42.64,42.685,202991
2019-11-05 10:55:00,42.685,42.69,42.665,42.69,365226
2019-11-05 11:00:00,42.69,42.75,42.69,42.74,150987
2019-11-05 11:05:00,42.74,42.775,42.73,42.73,488302
2019-11-05 11:10:00,42.73,42.75,42.72,42.735,306223
2019-11-05 11:15:00,42.74,42.76,42.735,42.76,69352
2019-11-05 11:20:00,42.755,42.78,42.755,42.775,222778
2019-11-05 11:25:00,42.77,42.78,42.74,42.7426,114764
2019-11-05 11:30:00,42.75,42.785,42.75,42.78,92409
2019-11-05 11:35:00,42.78,42.79,42.76,42.77,222457
2019-11-05 11:40:00,42.765,42.7859,42.76,42.765,360840
2019-11-05 11:45:00,42.76,42.76,42.74,42.745,147499
2019-11-05 11:50:00,42.745,42.75,42.74,42.745,101883
2019-11-05 11:55:00,42.745,42.775,42.74,42.76,126550
2019-11-05 12:00:00,42.76,42.8,42.76,42.79,128711
2019-11-05 12:05:00,42.785,42.8,42.78,42.79,75027
2019-11-05 12:10:00,42.8,42.8,42.79,42.79,71741
