,open,high,low,close,volume
2019-11-04 14:15:00,27.55,27.55,27.54,27.545,220945
2019-11-04 14:20:00,27.545,27.56,27.54,27.54,317863
2019-11-04 14:25:00,27.54,27.57,27.53,27.53,204699
2019-11-04 14:30:00,27.52,27.55,27.51,27.54,357675
2019-11-04 14:35:00,27.54,27.595,27.54,27.595,414580
2019-11-04 14:40:00,27.6,27.6,27.53,27.53,194281
2019-11-04 14:45:00,27.53,27.55,27.52,27.52,176687
2019-11-04 14:50:00,27.525,27.54,27.51,27.525,267504
2019-11-04 14:55:00,27.52,27.53,27.51,27.51,157018
2019-11-04 15:00:00,27.53,27.54,27.52,27.54,216937
2019-11-04 15:05:00,27.54,27.5507,27.53,27.53,339749
2019-11-04 15:10:00,27.525,27.58,27.52,27.555,554984
2019-11-04 15:15:00,27.55,27.59,27.55,27.57,443325
2019-11-04 15:20:00,27.565,27.565,27.53,27.545,344788
2019-11-04 15:25:00,27.54,27.55,27.53,27.55,279876
2019-11-04 15:30:00,27.545,27.55,27.54,27.54,147101
2019-11-04 15:35:00,27.545,27.56,27.545,27.55,216104
2019-11-04 15:40:00,27.55,27.59,27.55,27.58,462925
2019-11-04 15:45:00,27.585,27.585,27.55,27.55,522491
2019-11-04 15:50:00,27.55,27.56,27.54,27.555,633605
2019-11-04 15:55:00,27.55,27.57,27.55,27.55,991198
2019-11-04 16:00:00,27.55,27.55,27.52,27.52,3223058
2019-11-05 09:35:00,26.9709,27.11,26.93,27.0583,2338461
2019-11-05 09:40:00,27.0605,27.11,27.035,27.0754,1385185
2019-11-05 09:45:00,27.0711,27.096,26.9609,27.0011,1035340
2019-11-05 09:50:00,27.0,27.11,26.99,26.99,916399
2019-11-05 09:55:00,27.0,27.08,26.99,27.055,673945
2019-11-05 10:00:00,27.05,27.13,27.05,27.08,1110073
2019-11-05 10:05:00,27.07,27.075,26.825,26.83,2045479
2019-11-05 10:10:00,26.8257,26.9261,26.7859,26.8907,1891262
2019-11-05 10:15:00,26.8909,26.9662,26.8561,26.9259,1393385
2019-11-05 10:20:00,26.9205,26.93,26.9,26.9255,837827
2019-11-05 10:25:00,26.925,27.015,26.92,27.0,870279
2019-11-05 10:30:00,27.001,27.0253,26.9352,26.941,1879635
2019-11-05 10:35:00,26.9311,26.9858,26.9258,26.9611,614543
2019-11-05 10:40:00,26.961,26.985,26.94,26.951,340254
2019-11-05 10:45:00,26.9509,27.0465,26.9364,27.0209,560884
2019-11-05 10:50:00,27.01,27.065,27.0007,27.025,656195
2019-11-05 10:55:00,27.025,27.045,26.98,26.98,364469
2019-11-05 11:00:00,26.98,26.98,26.9444,26.9444,490234
2019-11-05 11:05:00,26.95,26.96,26.85,26.86,557084
2019-11-05 11:10:00,26.86,26.87,26.83,26.84,760626
2019-11-05 11:15:00,26.845,26.92,26.84,26.915,917687
2019-11-05 11:20:00,26.915,26.92,26.86,26.885,80828
2019-11-05 11:25:00,26.86,26.87,26.85,26.855,1100288
2019-11-05 11:30:00,26.85,26.885,26.85,26.86,474081
2019-11-05 11:35:00,26.865,26.87,26.77,26.77,612678
2019-11-05 11:40:00,26.775,26.88,26.775,26.8678,515082
2019-11-05 11:45:00,26.87,26.89,26.81,26.81,315903
2019-11-05 11:50:00,26.81,26.84,26.8,26.825,240376
