,open,high,low,close,volume
2019-11-04 14:15:00,10.885,10.9,10.885,10.895,558356
2019-11-04 14:20:00,10.8902,10.9094,10.8594,10.8652,1059914
2019-11-04 14:25:00,10.87,10.87,10.865,10.87,370876
2019-11-04 14:30:00,10.8654,10.9006,10.8505,10.8904,899259
2019-11-04 14:35:00,10.8853,10.89,10.885,10.8853,552655
2019-11-04 14:40:00,10.8905,10.9055,10.8805,10.8905,429601
2019-11-04 14:45:00,10.8902,10.9,10.885,10.8952,1052696
2019-11-04 14:50:00,10.8904,10.9205,10.8854,10.9104,840836
2019-11-04 14:55:00,10.9,10.92,10.9,10.9119,743008
2019-11-04 15:00:00,10.92,10.92,10.91,10.92,649959
2019-11-04 15:05:00,10.9153,10.92,10.9019,10.9153,783279
2019-11-04 15:10:00,10.9152,10.9295,10.8994,10.9052,725544
2019-11-04 15:15:00,10.905,10.92,10.9,10.903,762755
2019-11-04 15:20:00,10.905,10.94,10.9,10.93,1202486
2019-11-04 15:25:00,10.9353,10.94,10.925,10.9353,653646
2019-11-04 15:30:00,10.9405,10.9605,10.9305,10.9305,869885
2019-11-04 15:35:00,10.93,10.94,10.91,10.915,1254037
2019-11-04 15:40:00,10.9104,10.9255,10.8904,10.8904,936403
2019-11-04 15:45:00,10.89,10.93,10.89,10.915,1175985
2019-11-04 15:50:00,10.9145,10.92,10.91,10.92,914524
2019-11-04 15:55:00,10.9204,10.9502,10.9201,10.9404,2094300
2019-11-04 16:00:00,10.94,10.94,10.91,10.93,3985931
2019-11-05 09:35:00,10.9453,10.9607,10.8205,10.8904,4184829
2019-11-05 09:40:00,10.89,10.92,10.85,10.855,1774200
2019-11-05 09:45:00,10.85,10.93,10.85,10.9235,1328033
2019-11-05 09:50:00,10.9254,10.9402,10.9202,10.9254,851505
2019-11-05 09:55:00,10.9304,10.95,10.925,10.9354,1459957
2019-11-05 10:00:00,10.94,10.95,10.93,10.94,742197
2019-11-05 10:05:00,10.9302,10.955,10.875,10.8752,1741156
2019-11-05 10:10:00,10.8703,10.8761,10.845,10.8678,1085287
2019-11-05 10:15:00,10.865,10.88,10.85,10.8536,976566
2019-11-05 10:20:00,10.85,10.8858,10.85,10.8851,867952
2019-11-05 10:25:00,10.885,10.9,10.86,10.865,581530
2019-11-05 10:30:00,10.8654,10.8802,10.8502,10.8554,672331
2019-11-05 10:35:00,10.855,10.865,10.82,10.825,843886
2019-11-05 10:40:00,10.825,10.86,10.82,10.85,1069880
2019-11-05 10:45:00,10.855,10.89,10.845,10.855,1103378
2019-11-05 10:50:00,10.855,10.88,10.82,10.8215,1534143
2019-11-05 10:55:00,10.83,10.86,10.82,10.85,912541
2019-11-05 11:00:00,10.85,10.85,10.81,10.82,1225644
2019-11-05 11:05:00,10.83,10.85,10.82,10.845,937236
2019-11-05 11:10:00,10.845,10.88,10.84,10.865,1414675
2019-11-05 11:15:00,10.865,10.88,10.86,10.875,730423
2019-11-05 11:20:00,10.8804,10.8812,10.87,10.8804,744424
2019-11-05 11:25:00,10.8754,10.89,10.87,10.8704,959163
2019-11-05 11:30:00,10.8704,10.8801,10.8501,10.8504,318085
2019-11-05 11:35:00,10.8453,10.8707,10.8406,10.8503,649592
2019-11-05 11:40:00,10.8502,10.865,10.83,10.8352,781193
2019-11-05 11:45:00,10.84,10.85,10.83,10.83,491847
2019-11-05 11:50:00,10.82,10.83,10.81,10.825,510410
2019-11-05 11:55:00,10.8253,10.8405,10.7404,10.7404,1888876
2019-11-05 12:00:00,10.75,10.7622,10.7242,10.73,1162252
2019-11-05 12:05:00,10.725,10.76,10.72,10.745,669198
2019-11-05 12:10:00,10.745,10.77,10.745,10.75,494185
2019-11-05 12:15:00,10.7604,10.78,10.7537,10.7604,660905
2019-11-05 12:20:00,10.765,10.8,10.7601,10.795,391465
2019-11-05 12:25:00,10.8,10.8,10.77,10.775,654968
2019-11-05 12:30:00,10.775,10.775,10.76,10.765,339081
2019-11-05 12:35:00,10.77,10.79,10.77,10.78,536613
2019-11-05 12:40:00,10.775,10.8,10.775,10.8,288790
2019-11-05 12:45:00,10.8,10.86,10.79,10.855,789582
2019-11-05 12:50:00,10.8596,10.8704,10.8404,10.8505,713280
2019-11-05 12:55:00,10.8502,10.8786,10.8485,10.8702,321949
2019-11-05 13:00:00,10.87,10.87,10.8635,10.87,247903
2019-11-05 13:05:00,10.865,10.865,10.8617,10.865,199617
2019-11-05 13:10:00,10.86,10.88,10.86,10.875,349265
2019-11-05 13:15:00,10.8701,10.88,10.87,10.877,166187
