,open,high,low,close,volume
2019-11-04 14:15:00,141.95,142.04,141.95,142.0375,170997
2019-11-04 14:20:00,142.0375,142.04,142.02,142.0262,85012
2019-11-04 14:25:00,142.02,142.02,141.9528,141.9538,17770
2019-11-04 14:30:00,141.96,142.0,141.95,141.9923,45826
2019-11-04 14:35:00,141.99,142.03,141.99,142.03,19828
2019-11-04 14:40:00,142.03,142.03,142.0,142.01,13407
2019-11-04 14:45:00,142.01,142.075,142.0,142.01,28401
2019-11-04 14:50:00,142.0,142.08,142.0,142.075,29658
2019-11-04 14:55:00,142.075,142.0862,142.04,142.04,122169
2019-11-04 15:00:00,142.05,142.11,142.05,142.1,30986
2019-11-04 15:05:00,142.11,142.11,142.06,142.07,41280
2019-11-04 15:10:00,142.06,142.13,142.06,142.1249,20438
2019-11-04 15:15:00,142.13,142.161,142.12,142.161,22216
2019-11-04 15:20:00,142.1646,142.17600000000004,142.15,142.175,21345
2019-11-04 15:25:00,142.17,142.17,142.13,142.14,22760
2019-11-04 15:30:00,142.145,142.15,142.12,142.14,18277
2019-11-04 15:35:00,142.14,142.14,142.13,142.13,20418
2019-11-04 15:40:00,142.135,142.175,142.13,142.16,33110
2019-11-04 15:45:00,142.1689,142.17,142.12,142.14,36521
2019-11-04 15:50:00,142.14,142.15,142.11,142.11,74987
2019-11-04 15:55:00,142.1,142.14,142.07,142.115,76994
2019-11-04 16:00:00,142.11,142.15,142.1,142.15,125644
2019-11-05 09:35:00,140.69,140.778,140.65,140.7569,465807
2019-11-05 09:40:00,140.7609,140.787,140.71,140.7311,137441
2019-11-05 09:45:00,140.74,140.75,140.635,140.64,197858
2019-11-05 09:50:00,140.65,140.84,140.65,140.79,175785
2019-11-05 09:55:00,140.79,140.84,140.77,140.83,92873
2019-11-05 10:00:00,140.82,140.87,140.77,140.81,135036
2019-11-05 10:05:00,140.77,140.815,140.19,140.19,635756
2019-11-05 10:10:00,140.19,140.3,140.15,140.29,250438
2019-11-05 10:15:00,140.3,140.42,140.28,140.42,152454
2019-11-05 10:20:00,140.42,140.43,140.315,140.315,127460
2019-11-05 10:25:00,140.325,140.34,140.17,140.195,212766
2019-11-05 10:30:00,140.19,140.21,140.1,140.13,157171
2019-11-05 10:35:00,140.11,140.11,140.0,140.07,142957
2019-11-05 10:40:00,140.07,140.08,140.0,140.07,91682
2019-11-05 10:45:00,140.06,140.14,139.98,140.14,133007
2019-11-05 10:50:00,140.1346,140.22,140.11,140.215,78350
2019-11-05 10:55:00,140.21,140.2259,140.14,140.16,77716
2019-11-05 11:00:00,140.16,140.16,140.0,140.0,260119
2019-11-05 11:05:00,139.99,140.06,139.96,139.97,144175
2019-11-05 11:10:00,139.97,139.99,139.84,139.88,172342
2019-11-05 11:15:00,139.88,139.97,139.8668,139.97,104251
2019-11-05 11:20:00,139.95,139.96,139.9199,139.92700000000002,11887
2019-11-05 11:25:00,139.84,139.84,139.77,139.7872,149217
2019-11-05 11:30:00,139.78,139.86,139.75,139.78,42747
2019-11-05 11:35:00,139.78,139.78,139.53,139.54,190823
2019-11-05 11:40:00,139.55,139.78,139.51,139.74,144077
2019-11-05 11:45:00,139.745,139.75,139.635,139.635,64429
2019-11-05 11:50:00,139.64,139.665,139.61,139.66,361673
2019-11-05 11:55:00,139.65,139.68,139.645,139.68,112765
2019-11-05 12:00:00,139.66,139.666,139.56,139.6,150360
2019-11-05 12:05:00,139.605,139.72,139.605,139.68,74703
2019-11-05 12:10:00,139.673,139.73,139.67,139.719,119638
2019-11-05 12:15:00,139.715,139.72,139.6498,139.6882,214935
2019-11-05 12:20:00,139.69,139.7834,139.6846,139.77,118055
2019-11-05 12:25:00,139.7659,139.78,139.71,139.77,40830
2019-11-05 12:30:00,139.764,139.8266,139.764,139.82,61198
2019-11-05 12:35:00,139.81,139.86,139.785,139.82,62267
2019-11-05 12:40:00,139.82,139.84,139.7599,139.7599,36345
2019-11-05 12:45:00,139.755,139.79,139.738,139.76,58975
2019-11-05 12:50:00,139.75,139.833,139.745,139.83,45699
2019-11-05 12:55:00,139.84,139.84,139.77,139.79,352139
2019-11-05 13:00:00,139.78,139.79,139.74,139.77,41971
2019-11-05 13:05:00,139.77,139.82,139.708,139.71,102871
2019-11-05 13:10:00,139.7,139.75,139.66,139.71,128176
2019-11-05 13:15:00,139.715,139.74,139.69,139.735,83856
2019-11-05 13:20:00,139.74,139.75,139.65,139.67,44581
2019-11-05 13:25:00,139.67,139.72,139.65,139.67,49247
2019-11-05 13:30:00,139.68,139.68,139.65,139.68,54076
2019-11-05 13:35:00,139.68,139.7701,139.67,139.75,86862
2019-11-05 13:40:00,139.745,139.76,139.735,139.7564,38677
2019-11-05 13:45:00,139.75,139.75,139.68,139.705,65598
2019-11-05 13:50:00,139.7,139.7,139.51,139.52,128465
2019-11-05 13:55:00,139.5252,139.7508,139.5106,139.6252,401424
2019-11-05 14:00:00,139.61,139.66,139.605,139.64,90501
2019-11-05 14:05:00,139.63,139.66,139.63,139.655,36888
2019-11-05 14:10:00,139.655,139.73,139.64,139.73,80675
2019-11-05 14:15:00,139.73,139.7366,139.69,139.69,28621
2019-11-05 14:20:00,139.68,139.73,139.67600000000002,139.69,20001
2019-11-05 14:25:00,139.6797,139.73,139.67,139.71,82252
2019-11-05 14:30:00,139.71,139.72,139.705,139.71,89311
2019-11-05 14:35:00,139.71,139.76,139.705,139.76,37820
2019-11-05 14:40:00,139.75,139.79,139.70600000000002,139.765,110902
2019-11-05 14:45:00,139.77,139.82,139.75,139.78,71334
2019-11-05 14:50:00,139.79,139.82,139.78,139.809,63043
2019-11-05 14:55:00,139.81,139.83,139.8,139.8298,47547
2019-11-05 15:00:00,139.83,139.83,139.79,139.79,45248
2019-11-05 15:05:00,139.79,139.83,139.7678,139.82,25672
2019-11-05 15:10:00,139.82,139.83,139.815,139.815,23694
2019-11-05 15:15:00,139.8117,139.8656,139.8117,139.8613,27155
2019-11-05 15:20:00,139.86,139.87,139.845,139.86,39817
2019-11-05 15:25:00,139.864,139.89,139.835,139.84,43603
2019-11-05 15:30:00,139.83700000000002,139.8956,139.835,139.8654,40433
2019-11-05 15:35:00,139.86,139.91,139.85,139.89,68442
2019-11-05 15:40:00,139.8866,139.93,139.865,139.87,82115
2019-11-05 15:45:00,139.87,139.9,139.85,139.895,48993
2019-11-05 15:50:00,139.9,139.91,139.85,139.8669,123552
2019-11-05 15:55:00,139.87,139.87,139.82,139.82,224632
2019-11-05 16:00:00,139.83,139.91,139.81,139.9,1179102
2019-11-06 09:35:00,140.12,140.23,140.06,140.215,288584
2019-11-06 09:40:00,140.22,140.22,140.16,140.2,107304
2019-11-06 09:45:00,140.21,140.22,140.1,140.11,116893
2019-11-06 09:50:00,140.1,140.247,140.072,140.24,77404
2019-11-06 09:55:00,140.24,140.26,140.155,140.22,101637
2019-11-06 10:00:00,140.22,140.23,140.13,140.13,42512
2019-11-06 10:05:00,140.13,140.14,140.03,140.08,93036
2019-11-06 10:10:00,140.08,140.12,140.04,140.12,55228
2019-11-06 10:15:00,140.1,140.17,140.09,140.12,39424
2019-11-06 10:20:00,140.13,140.195,140.12,140.175,40628
2019-11-06 10:25:00,140.18,140.18,140.12,140.12,25651
2019-11-06 10:30:00,140.12,140.17,140.09,140.1397,36390
2019-11-06 10:35:00,140.15,140.21,140.125,140.16,58019
2019-11-06 10:40:00,140.15,140.18,140.11,140.16,115168
2019-11-06 10:45:00,140.17,140.18,140.16299999999998,140.18,25247
2019-11-06 10:50:00,140.19,140.25,140.17,140.25,48199
2019-11-06 10:55:00,140.25,140.2995,140.22,140.29,62298
2019-11-06 11:00:00,140.29,140.30700000000002,140.24,140.26,561990
2019-11-06 11:05:00,140.26,140.265,140.2,140.22,27994
2019-11-06 11:10:00,140.21,140.23,140.204,140.23,23913
2019-11-06 11:15:00,140.24,140.275,140.225,140.275,36134
2019-11-06 11:20:00,140.27,140.296,140.25,140.27,22931
2019-11-06 11:25:00,140.2711,140.275,140.24,140.26,17702
2019-11-06 11:30:00,140.27,140.31,140.2646,140.3,31257
2019-11-06 11:35:00,140.3,140.3,140.25,140.25,28766
2019-11-06 11:40:00,140.25,140.27,140.24,140.25,12974
2019-11-06 11:45:00,140.2537,140.5561,140.1857,140.3937,229961
2019-11-06 11:50:00,140.38,140.505,140.31,140.49,154571
2019-11-06 11:55:00,140.5,140.79,140.49,140.74,206624
2019-11-06 12:00:00,140.72,140.76,140.64,140.66,58952
2019-11-06 12:05:00,140.65,140.7,140.57,140.57,82765
2019-11-06 12:10:00,140.57,140.6094,140.46,140.5,65619
2019-11-06 12:15:00,140.49,140.56,140.45,140.45,45112
2019-11-06 12:20:00,140.45,140.491,140.44,140.49,35411
2019-11-06 12:25:00,140.49,140.536,140.48,140.53,19093
2019-11-06 12:30:00,140.53,140.53799999999998,140.5,140.53,21064
2019-11-06 12:35:00,140.53,140.54,140.48,140.48,15993
2019-11-06 12:40:00,140.48,140.49,140.4245,140.425,17816
2019-11-06 12:45:00,140.42,140.42,140.37,140.39,32683
2019-11-06 12:50:00,140.39,140.42,140.355,140.394,56266
2019-11-06 12:55:00,140.4,140.41,140.38,140.41,67566
2019-11-06 13:00:00,140.41,140.42,140.3699,140.3699,51826
2019-11-06 13:05:00,140.37,140.53,140.36,140.49,76292
2019-11-06 13:10:00,140.49,140.57,140.48,140.55,39160
2019-11-06 13:15:00,140.545,140.555,140.52,140.52,9359
2019-11-06 13:20:00,140.49,140.51,140.47,140.49,14406
2019-11-06 13:25:00,140.49,140.53,140.48,140.5,15310
2019-11-06 13:30:00,140.515,140.54,140.49,140.52,23389
2019-11-06 13:35:00,140.52,140.53,140.5,140.51,26582
2019-11-06 13:40:00,140.5054,140.56,140.5,140.52,22870
2019-11-06 13:45:00,140.52,140.52,140.44,140.4459,34248
2019-11-06 13:50:00,140.4344,140.45,140.385,140.405,31744
2019-11-06 13:55:00,140.41,140.4105,140.385,140.4,38545
2019-11-06 14:00:00,140.4,140.436,140.38,140.43,109058
2019-11-06 14:05:00,140.44,140.5,140.43,140.46,33423
2019-11-06 14:10:00,140.45,140.5,140.45,140.48,21335
2019-11-06 14:15:00,140.48,140.53,140.47,140.52,54390
2019-11-06 14:20:00,140.53,140.64,140.5226,140.63,29433
2019-11-06 14:25:00,140.63,140.6332,140.5478,140.5478,39137
2019-11-06 14:30:00,140.55,140.58,140.55,140.55,45492
2019-11-06 14:35:00,140.54,140.56,140.52,140.56,39169
2019-11-06 14:40:00,140.57,140.58,140.54,140.54,27717
2019-11-06 14:45:00,140.54,140.58,140.54,140.56,17088
2019-11-06 14:50:00,140.56,140.56,140.5,140.51,17383
2019-11-06 14:55:00,140.51,140.53,140.5,140.52,25410
2019-11-06 15:00:00,140.5292,140.53,140.49,140.49,26175
2019-11-06 15:05:00,140.49,140.49,140.46,140.48,31759
2019-11-06 15:10:00,140.47,140.49,140.465,140.4652,34941
2019-11-06 15:15:00,140.46,140.48,140.46,140.48,51302
2019-11-06 15:20:00,140.4767,140.5299,140.475,140.51,35860
2019-11-06 15:25:00,140.51,140.52,140.49,140.52,17301
2019-11-06 15:30:00,140.52,140.53,140.52,140.53,36968
2019-11-06 15:35:00,140.53,140.53,140.516,140.53,58677
2019-11-06 15:40:00,140.53,140.53,140.51,140.515,63893
2019-11-06 15:45:00,140.52,140.555,140.52,140.555,62465
2019-11-06 15:50:00,140.555,140.555,140.5,140.51,147677
2019-11-06 15:55:00,140.51,140.515,140.46,140.475,229608
2019-11-06 16:00:00,140.47,140.51,140.45,140.47,470713
2019-11-07 09:35:00,140.09,140.2,140.075,140.15,471965
2019-11-07 09:40:00,140.13,140.13,139.94,139.97,223331
2019-11-07 09:45:00,139.97,140.02,139.97,140.01,139500
2019-11-07 09:50:00,140.02,140.045,139.96,139.9835,83100
2019-11-07 09:55:00,139.98,139.985,139.78,139.855,158444
2019-11-07 10:00:00,139.86,139.87,139.83,139.83,72468
2019-11-07 10:05:00,139.82,139.86,139.8,139.83,55684
2019-11-07 10:10:00,139.82,139.83,139.79,139.8,37361
2019-11-07 10:15:00,139.81,139.81,139.73,139.74,42141
2019-11-07 10:20:00,139.75,139.75,139.64,139.6852,80956
2019-11-07 10:25:00,139.6854,139.74,139.6,139.6,127183
2019-11-07 10:30:00,139.6,139.62,139.37,139.45,241095
2019-11-07 10:35:00,139.43,139.44,138.83,138.91,752531
2019-11-07 10:40:00,138.98,139.075,138.87,138.87,399472
2019-11-07 10:45:00,138.86,138.95,138.83,138.95,298044
2019-11-07 10:50:00,138.94,138.94,138.65,138.66,184446
2019-11-07 10:55:00,138.68,138.7019,138.5199,138.54,407283
2019-11-07 11:00:00,138.54,138.54,138.32,138.48,227439
2019-11-07 11:05:00,138.47,138.51,138.41,138.49,242453
2019-11-07 11:10:00,138.48,138.58100000000002,138.39,138.58100000000002,176364
2019-11-07 11:15:00,138.58,138.63,138.42,138.45,240181
2019-11-07 11:20:00,138.4523,138.6099,138.3797,138.4823,161075
2019-11-07 11:25:00,138.4773,138.48,138.18,138.25,151696
2019-11-07 11:30:00,138.26,138.3,138.22,138.285,107451
2019-11-07 11:35:00,138.27,138.27,138.04,138.04,173774
2019-11-07 11:40:00,138.01,138.01,137.82,137.93,378561
2019-11-07 11:45:00,137.94,137.9826,137.7034,137.76,347962
2019-11-07 11:50:00,137.755,138.02,137.69,137.98,466525
2019-11-07 11:55:00,137.99,138.045,137.954,137.9541,134670
2019-11-07 12:00:00,137.96,137.965,137.696,137.7,545831
2019-11-07 12:05:00,137.685,137.95,137.6,137.82,282639
2019-11-07 12:10:00,137.81,138.07,137.81,138.03,258145
2019-11-07 12:15:00,138.03,138.05,137.96,137.96,83538
2019-11-07 12:20:00,137.95,138.05,137.95,137.99,63632
2019-11-07 12:25:00,137.99,138.04,137.93,137.94,160586
2019-11-07 12:30:00,137.94,137.96,137.94,137.95,102650
2019-11-07 12:35:00,137.94,138.02,137.91,137.91,63246
2019-11-07 12:40:00,137.91,137.9254,137.88,137.89,119728
