,open,high,low,close,volume
2019-11-04 14:15:00,4.1651,4.17,4.1610000000000005,4.1651,4248
2019-11-04 14:20:00,4.16,4.17,4.16,4.165,3372
2019-11-04 14:25:00,4.17,4.17,4.165,4.17,2400
2019-11-04 14:30:00,4.16,4.17,4.16,4.17,5547
2019-11-04 14:35:00,4.16,4.17,4.16,4.16,4636
2019-11-04 14:40:00,4.1652,4.174,4.164,4.1652,6161
2019-11-04 14:45:00,4.1701,4.1733,4.1633,4.1651,5255
2019-11-04 14:50:00,4.1612,4.174,4.154,4.1552,44528
2019-11-04 14:55:00,4.1552,4.1589,4.1539,4.1552,2973
2019-11-04 15:00:00,4.15,4.16,4.15,4.15,4816
2019-11-04 15:05:00,4.155,4.16,4.15,4.15,2500
2019-11-04 15:10:00,4.1551,4.1636,4.1536,4.1551,5060
2019-11-04 15:15:00,4.16,4.16,4.15,4.16,2429
2019-11-04 15:20:00,4.15,4.16,4.15,4.155,4009
2019-11-04 15:25:00,4.15,4.155,4.15,4.15,4888
2019-11-04 15:30:00,4.15,4.155,4.14,4.14,34354
2019-11-04 15:35:00,4.14,4.1495,4.14,4.14,9121
2019-11-04 15:40:00,4.1458,4.1496,4.134,4.1352,64705
2019-11-04 15:45:00,4.1402,4.1539,4.1339,4.1452,219020
2019-11-04 15:50:00,4.145,4.145,4.135,4.135,56775
2019-11-04 15:55:00,4.1351,4.14,4.135,4.1351,211822
2019-11-04 16:00:00,4.14,4.14,4.11,4.11,296359
2019-11-05 09:35:00,4.1501,4.154,4.0939999999999985,4.1001,119303
2019-11-05 09:40:00,4.1,4.105,4.08,4.08,54115
2019-11-05 09:45:00,4.08,4.09,4.08,4.08,15669
2019-11-05 09:50:00,4.08,4.09,4.08,4.085,45563
2019-11-05 09:55:00,4.09,4.09,4.08,4.08,32218
2019-11-05 10:00:00,4.09,4.09,4.08,4.08,11134
2019-11-05 10:05:00,4.0901,4.0935,4.0835,4.0851,52466
2019-11-05 10:10:00,4.0851,4.0939999999999985,4.0339,4.0351,344111
2019-11-05 10:15:00,4.0351,4.0439,4.0189,4.0251,163353
2019-11-05 10:20:00,4.03,4.03,4.02,4.0201,13484
2019-11-05 10:25:00,4.025,4.03,4.025,4.025,8595
2019-11-05 10:30:00,4.025,4.04,4.025,4.04,35938
2019-11-05 10:35:00,4.035,4.05,4.035,4.045,24414
2019-11-05 10:40:00,4.05,4.05,4.04,4.04,12997
2019-11-05 10:45:00,4.04,4.05,4.04,4.045,45883
2019-11-05 10:50:00,4.0451,4.0535,4.0435,4.0451,8208
2019-11-05 10:55:00,4.05,4.05,4.04,4.04,90187
2019-11-05 11:00:00,4.05,4.05,4.04,4.05,165242
2019-11-05 11:05:00,4.04,4.05,4.04,4.045,17750
2019-11-05 11:10:00,4.0451,4.0532,4.0432,4.0451,4563
2019-11-05 11:15:00,4.0452,4.05,4.04,4.0452,6449
2019-11-05 11:20:00,4.04,4.045,4.04,4.04,401
2019-11-05 11:25:00,4.04,4.045,4.04,4.04,143101
2019-11-05 11:30:00,4.04,4.045,4.0,4.0,149975
2019-11-05 11:35:00,4.0013,4.005,4.0,4.0,88784
2019-11-05 11:40:00,4.0001,4.0135,3.9935,3.9951,209465
2019-11-05 11:45:00,4.0,4.01,3.98,3.98,125153
2019-11-05 11:50:00,3.985,3.99,3.985,3.985,55088
2019-11-05 11:55:00,3.985,3.99,3.98,3.98,304864
2019-11-05 12:00:00,3.99,3.99,3.98,3.98,58881
2019-11-05 12:05:00,3.9852,3.99,3.975,3.9752,172385
2019-11-05 12:10:00,3.975,3.975,3.93,3.93,445215
2019-11-05 12:15:00,3.9361,3.9397,3.9238,3.9252,266367
2019-11-05 12:20:00,3.9236,3.9337,3.8836,3.8901,111858
2019-11-05 12:25:00,3.8901,3.91,3.88,3.9051,170751
2019-11-05 12:30:00,3.9051,3.9334,3.8934,3.9001,195626
2019-11-05 12:35:00,3.9,3.9,3.89,3.89,39609
2019-11-05 12:40:00,3.9001,3.9238,3.8938,3.9201,64102
2019-11-05 12:45:00,3.915,3.93,3.91,3.91,99226
2019-11-05 12:50:00,3.91,3.95,3.91,3.95,90032
2019-11-05 12:55:00,3.945,3.96,3.945,3.96,71073
2019-11-05 13:00:00,3.96,3.97,3.96,3.97,32113
2019-11-05 13:05:00,3.9652,3.9738,3.9638,3.9702,2135
2019-11-05 13:10:00,3.9701,3.9837,3.9669,3.9801,42670
2019-11-05 13:15:00,3.9801,3.9839,3.9739,3.9801,9000
2019-11-05 13:20:00,3.9801,3.9834,3.9734,3.9801,23633
