,open,high,low,close,volume
2019-11-04 14:15:00,44.4414,44.5136,44.3835,44.4514,16288
2019-11-04 14:20:00,44.4507,44.5385,44.4284,44.5007,6744
2019-11-04 14:25:00,44.5,44.53,44.35,44.35,12383
2019-11-04 14:30:00,44.35,44.5,44.35,44.47,19896
2019-11-04 14:35:00,44.48,44.48,44.385,44.385,5911
2019-11-04 14:40:00,44.3819,44.4227,44.1825,44.2118,12521
2019-11-04 14:45:00,44.22,44.245,44.22,44.24,9844
2019-11-04 14:50:00,44.23,44.29,44.23,44.27,11396
2019-11-04 14:55:00,44.2617,44.27,44.23,44.2417,9244
2019-11-04 15:00:00,44.24,44.24,44.1569,44.2,10583
2019-11-04 15:05:00,44.205,44.2167,44.07,44.07,18835
2019-11-04 15:10:00,44.07,44.12,44.055,44.07,15116
2019-11-04 15:15:00,44.06,44.06,43.99,44.0,16150
2019-11-04 15:20:00,43.98,44.06,43.94,43.94,17515
2019-11-04 15:25:00,43.95,44.01,43.95,43.98,19053
2019-11-04 15:30:00,43.97,44.01,43.97,43.97,13508
2019-11-04 15:35:00,43.9709,44.005,43.93,44.0009,27493
2019-11-04 15:40:00,43.995,44.2,43.99,44.2,26508
2019-11-04 15:45:00,44.2,44.215,44.18,44.205,23672
2019-11-04 15:50:00,44.2114,44.2734,44.1733,44.2114,31160
2019-11-04 15:55:00,44.21,44.32,44.2,44.27,65623
2019-11-04 16:00:00,44.27,44.35,44.26,44.28,85800
2019-11-05 09:35:00,44.5914,44.8636,44.5633,44.7064,26546
2019-11-05 09:40:00,44.695,44.81,44.687,44.73,17876
2019-11-05 09:45:00,44.7269,44.768,44.4077,44.6269,14983
2019-11-05 09:50:00,44.7,44.7,44.45,44.48,13838
2019-11-05 09:55:00,44.47,44.63,44.45,44.57,34513
2019-11-05 10:00:00,44.56,44.93,44.56,44.91,29344
2019-11-05 10:05:00,44.91,45.09,44.8887,44.995,76610
2019-11-05 10:10:00,45.005,45.005,44.83,44.83,23140
2019-11-05 10:15:00,44.8314,44.8736,44.6034,44.7314,10640
2019-11-05 10:20:00,44.74,44.965,44.71,44.9,10458
2019-11-05 10:25:00,44.78,44.78,44.54,44.54,10054
2019-11-05 10:30:00,44.5517,44.6829,44.395,44.4317,17826
2019-11-05 10:35:00,44.44,44.44,44.21,44.2488,25340
2019-11-05 10:40:00,44.28,44.43,44.27,44.3,7644
2019-11-05 10:45:00,44.36,44.37,44.28,44.3,8868
2019-11-05 10:50:00,44.3,44.335,44.18,44.18,11998
2019-11-05 10:55:00,44.17,44.24,44.14,44.16,14331
2019-11-05 11:00:00,44.15,44.15,44.08,44.08,4959
2019-11-05 11:05:00,44.11,44.32,44.0912,44.26,17863
2019-11-05 11:10:00,44.2709,44.485,44.2648,44.4409,9060
2019-11-05 11:15:00,44.49,44.53,44.43,44.435,6247
2019-11-05 11:20:00,44.435,44.481,44.415,44.481,1799
2019-11-05 11:25:00,44.4318,44.55,44.36,44.3818,13088
2019-11-05 11:30:00,44.3516,44.395,44.2,44.2916,11830
2019-11-05 11:35:00,44.2714,44.3134,44.0732,44.0914,15592
2019-11-05 11:40:00,44.11,44.11,43.99,44.0,15575
2019-11-05 11:45:00,44.02,44.05,43.9,43.95,16786
2019-11-05 11:50:00,43.935,43.99,43.76,43.76,6657
2019-11-05 11:55:00,43.76,43.82,43.65,43.65,10436
2019-11-05 12:00:00,43.64,43.77,43.62,43.77,6943
2019-11-05 12:05:00,43.75,43.95,43.74,43.94,5917
2019-11-05 12:10:00,43.94,44.06,43.93,44.06,6762
2019-11-05 12:15:00,44.035,44.12,44.01,44.03,11749
2019-11-05 12:20:00,44.02,44.05,43.79,43.79,6238
2019-11-05 12:25:00,43.83,43.9151,43.81,43.9,7569
2019-11-05 12:30:00,43.84,43.84,43.68,43.71,2928
2019-11-05 12:35:00,43.695,43.71,43.65,43.65,1358
2019-11-05 12:40:00,43.65,43.67,43.39,43.39,12695
2019-11-05 12:45:00,43.37,43.46,43.36,43.46,21489
2019-11-05 12:50:00,43.4518,43.4918,43.4117,43.4118,16294
2019-11-05 12:55:00,43.4009,43.42,43.32,43.3909,28727
2019-11-05 13:00:00,43.42,43.43,43.41,43.41,21815
2019-11-05 13:05:00,43.4067,43.44,43.32,43.3317,8500
2019-11-05 13:10:00,43.31,43.33,43.23,43.26,7875
2019-11-05 13:15:00,43.29,43.33,43.28,43.31,6070
2019-11-05 13:20:00,43.34,43.45,43.33,43.36,8042
2019-11-05 13:25:00,43.34,43.39,43.34,43.3647,4774
2019-11-05 13:30:00,43.43,43.53,43.43,43.53,11008
2019-11-05 13:35:00,43.51,43.518,43.42,43.44,7841
2019-11-05 13:40:00,43.3918,43.4718,43.3517,43.3518,8761
2019-11-05 13:45:00,43.3208,43.36,43.26,43.2708,13975
2019-11-05 13:50:00,43.28,43.28,43.08,43.08,11192
2019-11-05 13:55:00,43.0916,43.1304,42.8801,43.017,28398
2019-11-05 14:00:00,42.95,43.015,42.885,42.98,11873
2019-11-05 14:05:00,42.975,43.17,42.975,43.17,4491
2019-11-05 14:10:00,43.14,43.31,43.14,43.22,4964
2019-11-05 14:15:00,43.225,43.28,43.21,43.245,3895
2019-11-05 14:20:00,43.23,43.275,43.21,43.25,10973
2019-11-05 14:25:00,43.24,43.34,43.22,43.32,12029
2019-11-05 14:30:00,43.31,43.35,43.29,43.33,6073
2019-11-05 14:35:00,43.36,43.365,43.29,43.3,5339
2019-11-05 14:40:00,43.3,43.31,43.24,43.25,4777
2019-11-05 14:45:00,43.23,43.23,43.11,43.13,6452
2019-11-05 14:50:00,43.135,43.16,43.05,43.0795,13239
2019-11-05 14:55:00,43.065,43.17,43.065,43.14,17494
2019-11-05 15:00:00,43.15,43.15,43.09,43.1,10462
2019-11-05 15:05:00,43.12,43.1208,43.0,43.0096,23540
2019-11-05 15:10:00,43.0014,43.0418,42.8016,42.8214,28705
2019-11-05 15:15:00,42.8211,42.85,42.805,42.81,11241
2019-11-05 15:20:00,42.8118,42.9413,42.8011,42.8968,18921
2019-11-05 15:25:00,42.895,43.07,42.88,43.05,20840
2019-11-05 15:30:00,43.0567,43.1113,42.871,42.8717,20395
2019-11-05 15:35:00,42.8916,43.0453,42.8902,43.0066,18036
2019-11-05 15:40:00,43.0,43.08,42.995,43.08,19714
2019-11-05 15:45:00,43.08,43.115,42.92,42.92,17373
2019-11-05 15:50:00,42.91,42.935,42.89,42.925,17703
2019-11-05 15:55:00,42.92,42.92,42.82,42.835,40400
2019-11-05 16:00:00,42.82,42.85,42.76,42.85,70407
2019-11-06 09:35:00,42.8018,42.9613,42.3407,42.4468,9806
2019-11-06 09:40:00,42.4266,42.5121,41.9716,41.9916,38609
2019-11-06 09:45:00,41.9817,42.0202,41.76,41.8117,29445
2019-11-06 09:50:00,41.8102,41.885,41.5,41.5,25338
2019-11-06 09:55:00,41.4813,41.5607,41.3405,41.4613,20103
2019-11-06 10:00:00,41.42,41.46,41.22,41.29,20243
2019-11-06 10:05:00,41.2774,41.72,41.25,41.34,21503
2019-11-06 10:10:00,41.3658,41.3976,41.1323,41.2435,30768
2019-11-06 10:15:00,41.27,41.355,41.09,41.09,18323
2019-11-06 10:20:00,41.0901,41.1331,40.9383,40.9765,46435
2019-11-06 10:25:00,40.965,41.22,40.965,41.0,17498
2019-11-06 10:30:00,40.9615,41.0281,40.7478,40.9915,38398
2019-11-06 10:35:00,40.9613,41.0002,40.7099,40.8413,56144
2019-11-06 10:40:00,40.83,40.87,40.68,40.69,22712
2019-11-06 10:45:00,40.68,40.76,40.62,40.62,48550
2019-11-06 10:50:00,40.6463,40.72,40.6,40.6013,75170
2019-11-06 10:55:00,40.5911,40.6494,40.4592,40.5609,22769
2019-11-06 11:00:00,40.54,40.56,40.54,40.55,25399
2019-11-06 11:05:00,40.565,40.83,40.545,40.72,26884
2019-11-06 11:10:00,40.7,40.72,40.57,40.575,92557
2019-11-06 11:15:00,40.56,40.59,40.45,40.475,28390
2019-11-06 11:20:00,40.46,40.755,40.46,40.69,15817
2019-11-06 11:25:00,40.69,40.69,40.575,40.5834,10578
2019-11-06 11:30:00,40.5907,40.7853,40.5851,40.7507,7368
2019-11-06 11:35:00,40.8,40.95,40.78,40.94,12889
2019-11-06 11:40:00,40.96,40.98,40.84,40.84,21421
2019-11-06 11:45:00,40.81,40.84,40.77,40.78,25545
2019-11-06 11:50:00,40.7667,40.87,40.65,40.6817,27834
2019-11-06 11:55:00,40.6508,40.681999999999995,40.5169,40.5408,17907
2019-11-06 12:00:00,40.53,40.71,40.49,40.67,19251
2019-11-06 12:05:00,40.63,40.66,40.51,40.53,12434
