,open,high,low,close,volume
2019-11-04 14:15:00,93.91,93.95,93.9,93.95,3823
2019-11-04 14:20:00,93.945,94.01,93.945,93.96,10387
2019-11-04 14:25:00,93.95,93.99,93.95,93.99,5114
2019-11-04 14:30:00,93.98,94.12,93.98,94.12,2799
2019-11-04 14:35:00,94.12,94.125,94.09,94.125,5876
2019-11-04 14:40:00,94.125,94.14,94.075,94.08,5576
2019-11-04 14:45:00,94.08,94.08,94.01,94.02,4887
2019-11-04 14:50:00,94.04,94.07,94.02,94.028,7685
2019-11-04 14:55:00,94.03,94.04,93.97,93.97,6410
2019-11-04 15:00:00,93.99,94.0401,93.975,94.03,7303
2019-11-04 15:05:00,94.02,94.02,93.975,93.99,5862
2019-11-04 15:10:00,94.0,94.07,94.0,94.06,8544
2019-11-04 15:15:00,94.05,94.065,94.01,94.01,8850
2019-11-04 15:20:00,94.01,94.02,93.98,94.01,5561
2019-11-04 15:25:00,94.005,94.08,94.005,94.06,9826
2019-11-04 15:30:00,94.05,94.065,93.92,93.92,13880
2019-11-04 15:35:00,93.93,94.05,93.93,94.01,10145
2019-11-04 15:40:00,93.965,93.97,93.94,93.94,11782
2019-11-04 15:45:00,93.92,94.01,93.92,94.01,13976
2019-11-04 15:50:00,94.0,94.22,93.99,94.22,22809
2019-11-04 15:55:00,94.23,94.29,94.23,94.23,28947
2019-11-04 16:00:00,94.23,94.23,94.21,94.22,60244
2019-11-05 09:35:00,94.02,94.58,93.7781,93.7781,18233
2019-11-05 09:40:00,93.7118,93.82,93.63,93.7418,12513
2019-11-05 09:45:00,93.82,94.13,93.82,94.04,7185
2019-11-05 09:50:00,94.15,94.16,94.02,94.05,5645
2019-11-05 09:55:00,93.9938,94.08,93.7898,93.9238,11194
2019-11-05 10:00:00,93.93,93.97,93.73,93.73,7940
2019-11-05 10:05:00,93.73,93.89,93.56,93.56,22902
2019-11-05 10:10:00,93.5475,93.64,93.46,93.5225,29721
2019-11-05 10:15:00,93.553,93.9713,93.4809,93.833,65170
2019-11-05 10:20:00,93.8318,93.9739,93.7137,93.7218,48731
2019-11-05 10:25:00,93.7739,93.8702,93.5899,93.7739,28199
