,open,high,low,close,volume
2019-11-04 14:15:00,2.99,2.995,2.99,2.995,20736
2019-11-04 14:20:00,3.0,3.0026,2.9926,2.995,15594
2019-11-04 14:25:00,3.0,3.0,2.99,3.0,35640
2019-11-04 14:30:00,3.0001,3.0129,2.9929,3.0051,142720
2019-11-04 14:35:00,3.005,3.01,3.0,3.0,44635
2019-11-04 14:40:00,3.0051,3.01,3.0007,3.0051,25531
2019-11-04 14:45:00,3.0,3.02,3.0,3.02,64875
2019-11-04 14:50:00,3.0151,3.0229,3.0029,3.0051,156837
2019-11-04 14:55:00,3.0,3.01,3.0,3.005,20219
2019-11-04 15:00:00,3.0,3.0015,3.0,3.0,192349
2019-11-04 15:05:00,3.0,3.01,3.0,3.005,26138
2019-11-04 15:10:00,3.005,3.01,3.0,3.01,29142
2019-11-04 15:15:00,3.01,3.01,2.99,3.0,119839
2019-11-04 15:20:00,3.0001,3.0129,2.9979,3.0101,80972
2019-11-04 15:25:00,3.0051,3.01,3.005,3.0051,29944
2019-11-04 15:30:00,3.0101,3.0129,3.0029,3.0101,47854
2019-11-04 15:35:00,3.0051,3.0124,2.9924,2.9951,137139
2019-11-04 15:40:00,2.99,3.0,2.99,2.995,111461
2019-11-04 15:45:00,2.9995,3.0128,2.9928,3.0101,69424
2019-11-04 15:50:00,3.0051,3.013,3.0029,3.0051,120266
2019-11-04 15:55:00,3.0,3.01,3.0,3.0,222780
2019-11-04 16:00:00,3.0,3.01,3.0,3.01,1110352
2019-11-05 09:35:00,2.73,2.85,2.73,2.835,622648
2019-11-05 09:40:00,2.8301,2.84,2.825,2.8301,308041
2019-11-05 09:45:00,2.8401,2.92,2.83,2.9041,279240
2019-11-05 09:50:00,2.9,2.94,2.9,2.92,156341
2019-11-05 09:55:00,2.9296,2.9628,2.9141,2.9601,337958
2019-11-05 10:00:00,2.96,2.975,2.94,2.94,250776
2019-11-05 10:05:00,2.9410000000000003,2.97,2.94,2.965,78765
2019-11-05 10:10:00,2.965,2.9671,2.91,2.91,128193
2019-11-05 10:15:00,2.9151,2.9329,2.9128,2.9251,108773
2019-11-05 10:20:00,2.92,2.935,2.92,2.93,163962
2019-11-05 10:25:00,2.93,2.935,2.93,2.935,234082
2019-11-05 10:30:00,2.9301,2.945,2.93,2.9401,55820
2019-11-05 10:35:00,2.9451,2.9528,2.9428,2.9437,114702
2019-11-05 10:40:00,2.945,2.95,2.92,2.92,108299
2019-11-05 10:45:00,2.925,2.925,2.92,2.92,52683
2019-11-05 10:50:00,2.924,2.925,2.915,2.915,87632
2019-11-05 10:55:00,2.92,2.92,2.91,2.91,99967
2019-11-05 11:00:00,2.91,2.92,2.91,2.92,36526
2019-11-05 11:05:00,2.915,2.915,2.88,2.8805,130830
2019-11-05 11:10:00,2.89,2.89,2.88,2.88,51679
2019-11-05 11:15:00,2.8901,2.8928,2.8828,2.8901,12509
2019-11-05 11:20:00,2.89,2.9,2.89,2.895,22166
2019-11-05 11:25:00,2.9151,2.9428,2.9134,2.9371,136671
2019-11-05 11:30:00,2.9351,2.95,2.93,2.9401,140851
