,open,high,low,close,volume
2019-11-04 14:15:00,34.62,34.635,34.595,34.63,10201
2019-11-04 14:20:00,34.6206,34.6268,34.52,34.5766,108801
2019-11-04 14:25:00,34.58,34.72,34.58,34.665,48759
2019-11-04 14:30:00,34.6511,34.7238,34.6337,34.6711,75870
2019-11-04 14:35:00,34.67,34.71,34.63,34.63,197238
2019-11-04 14:40:00,34.63,34.87,34.63,34.795,71442
2019-11-04 14:45:00,34.8,34.81,34.74,34.7421,17105
2019-11-04 14:50:00,34.75,34.81,34.75,34.81,17602
2019-11-04 14:55:00,34.8,34.82,34.79,34.82,50018
2019-11-04 15:00:00,34.8,34.86,34.795,34.86,53653
2019-11-04 15:05:00,34.86,34.94,34.845,34.9,60278
2019-11-04 15:10:00,34.9006,34.9602,34.9002,34.9206,96055
2019-11-04 15:15:00,34.93,35.06,34.93,35.035,62727
2019-11-04 15:20:00,35.0311,35.1041,35.024,35.0583,50091
2019-11-04 15:25:00,35.06,35.16,35.06,35.16,80985
2019-11-04 15:30:00,35.1515,35.1838,35.0591,35.0715,52289
2019-11-04 15:35:00,35.08,35.09,34.97,34.97,63405
2019-11-04 15:40:00,34.9614,34.9935,34.8934,34.9414,64102
2019-11-04 15:45:00,34.94,35.095,34.94,35.095,85536
2019-11-04 15:50:00,35.09,35.1,34.99,35.02,84202
2019-11-04 15:55:00,35.02,35.145,35.0,35.1,190122
2019-11-04 16:00:00,35.1,35.1,35.0,35.0,332937
2019-11-05 09:35:00,34.8411,35.7147,34.5845,35.6811,171640
2019-11-05 09:40:00,35.5964,36.18,35.5964,35.9526,194877
2019-11-05 09:45:00,35.9815,36.385,35.9746,36.3215,197011
2019-11-05 09:50:00,36.3168,36.395,36.235,36.3614,139309
2019-11-05 09:55:00,36.3215,36.4149,36.0945,36.3015,76856
2019-11-05 10:00:00,36.34,36.698,36.31,36.6,283131
2019-11-05 10:05:00,36.6006,36.68,36.55,36.6206,93698
2019-11-05 10:10:00,36.631,36.6655,36.3352,36.511,88686
2019-11-05 10:15:00,36.5212,36.6056,36.3854,36.4062,102625
2019-11-05 10:20:00,36.4057,36.5487,36.3086,36.4807,150916
2019-11-05 10:25:00,36.4615,36.5251,36.2947,36.3015,78131
2019-11-05 10:30:00,36.28,36.48,36.28,36.39,33180
2019-11-05 10:35:00,36.4415,36.5,36.372,36.4265,106330
