,open,high,low,close,volume
2019-11-04 14:15:00,59.51,59.525,59.39,59.39,1407
2019-11-04 14:20:00,59.42,59.44,59.4,59.44,1166
2019-11-04 14:25:00,59.46,59.46,59.45,59.45,2155
2019-11-04 14:30:00,59.47,59.6,59.47,59.505,2772
2019-11-04 14:35:00,59.51,59.52,59.46,59.5,3493
2019-11-04 14:40:00,59.49,59.53,59.455,59.53,3230
2019-11-04 14:45:00,59.51,59.6163,59.48,59.6163,4825
2019-11-04 14:50:00,59.58,59.67,59.58,59.64,3007
2019-11-04 14:55:00,59.63,59.67,59.63,59.67,2750
2019-11-04 15:00:00,59.69,59.69,59.65,59.65,2627
2019-11-04 15:05:00,59.64,59.7,59.61,59.7,3157
2019-11-04 15:10:00,59.68,59.68,59.62,59.63,3274
2019-11-04 15:15:00,59.64,59.64,59.54,59.54,4398
2019-11-04 15:20:00,59.54,59.55,59.5,59.5,4166
2019-11-04 15:25:00,59.5,59.52,59.5,59.5,1761
2019-11-04 15:30:00,59.4996,59.62,59.49,59.55,8961
2019-11-04 15:35:00,59.56,59.58,59.55,59.56,4911
2019-11-04 15:40:00,59.55,59.55,59.255,59.255,6685
2019-11-04 15:45:00,59.28,59.43,59.275,59.395,9141
2019-11-04 15:50:00,59.395,59.49,59.39,59.475,7330
2019-11-04 15:55:00,59.47,59.69,59.425,59.58,15755
2019-11-04 16:00:00,59.62,59.66,59.38,59.38,35707
2019-11-05 09:35:00,59.8219,60.25,59.82,60.185,16749
2019-11-05 09:40:00,60.3712,60.5554,60.0857,60.4512,16978
2019-11-05 09:45:00,60.33,60.6,60.33,60.45,5624
2019-11-05 09:50:00,60.2821,60.76,60.2821,60.76,3588
2019-11-05 09:55:00,60.6524,60.7081,60.5402,60.6224,3562
2019-11-05 10:00:00,60.63,61.08,60.63,61.08,10694
2019-11-05 10:05:00,61.0,61.24,61.0,61.16,9134
2019-11-05 10:10:00,61.17,61.17,60.94,60.985,7097
2019-11-05 10:15:00,61.052,61.2495,61.0193,61.157,13940
2019-11-05 10:20:00,61.1012,61.1981,61.038,61.1512,9383
2019-11-05 10:25:00,61.105,61.49,61.105,61.3299,7719
2019-11-05 10:30:00,61.27,61.42,61.24,61.3071,4241
2019-11-05 10:35:00,61.4325,61.599,61.4188,61.5425,4775
2019-11-05 10:40:00,61.46,61.54,61.4421,61.5,6149
2019-11-05 10:45:00,61.492,61.6204,61.3902,61.392,6548
2019-11-05 10:50:00,61.38,61.38,61.17,61.1729,6289
2019-11-05 10:55:00,61.176,61.28,61.176,61.25,4295
2019-11-05 11:00:00,61.25,61.32,61.25,61.32,4788
2019-11-05 11:05:00,61.3,61.5,61.29,61.5,6218
2019-11-05 11:10:00,61.5,61.75,61.5,61.75,9684
2019-11-05 11:15:00,61.765,61.82,61.71,61.71,3059
2019-11-05 11:20:00,61.77,61.89,61.74,61.845,870
2019-11-05 11:25:00,61.785,61.85,61.775,61.85,4335
2019-11-05 11:30:00,61.74,61.78,61.72,61.76,5956
2019-11-05 11:35:00,61.672,61.8406,61.6104,61.762,7161
2019-11-05 11:40:00,61.765,61.99,61.73,61.94,9460
2019-11-05 11:45:00,61.88,61.98,61.8,61.94,15694
2019-11-05 11:50:00,61.91,62.02,61.91,61.97,4033
2019-11-05 11:55:00,61.995,62.0,61.96,61.99,10691
2019-11-05 12:00:00,62.03,62.09,61.99,61.99,8385
2019-11-05 12:05:00,62.03,62.05,61.83,61.85,4552
2019-11-05 12:10:00,61.81,61.91,61.7952,61.91,5184
2019-11-05 12:15:00,61.8875,61.9643,61.7092,61.8825,11779
2019-11-05 12:20:00,61.8957,62.04,61.88,62.01,2394
2019-11-05 12:25:00,62.0258,62.08,62.0258,62.0609,1233
2019-11-05 12:30:00,62.08,62.1,61.75,61.76,9245
2019-11-05 12:35:00,61.74,61.74,61.65,61.67,4396
2019-11-05 12:40:00,61.66,61.76,61.66,61.7,3322
2019-11-05 12:45:00,61.7,61.89,61.69,61.8546,4585
2019-11-05 12:50:00,61.84,61.99,61.83,61.99,15900
2019-11-05 12:55:00,62.0112,62.1489,61.9787,62.1012,7875
2019-11-05 13:00:00,62.07,62.09,62.0,62.09,3743
2019-11-05 13:05:00,62.02,62.02,61.96,62.01,3386
2019-11-05 13:10:00,62.035,62.15,62.0,62.15,4062
2019-11-05 13:15:00,62.08,62.21,62.05,62.21,2702
2019-11-05 13:20:00,62.15,62.165,62.03,62.05,2984
2019-11-05 13:25:00,62.02,62.04,61.905,61.905,1643
2019-11-05 13:30:00,61.94,62.07,61.93,62.0,5116
2019-11-05 13:35:00,61.94,62.17,61.895,62.09,23656
2019-11-05 13:40:00,62.0766,62.2198,62.0146,62.1326,13328
2019-11-05 13:45:00,62.12,62.13,62.04,62.04,1461
2019-11-05 13:50:00,62.055,62.06,61.94,61.97,5293
2019-11-05 13:55:00,61.95,61.97,61.88,61.89,7782
2019-11-05 14:00:00,61.87,61.89,61.8062,61.81,4811
2019-11-05 14:05:00,61.77,61.79,61.72,61.72,2320
2019-11-05 14:10:00,61.715,61.7355,61.7,61.7,867
2019-11-05 14:15:00,61.76,61.775,61.74,61.745,2032
2019-11-05 14:20:00,61.73,61.75,61.7,61.75,5565
