,open,high,low,close,volume
2019-11-04 14:15:00,87.015,87.015,87.01,87.01,23681
2019-11-04 14:20:00,87.015,87.0175,87.01,87.01,35771
2019-11-04 14:25:00,87.01,87.02,87.005,87.02,52293
2019-11-04 14:30:00,87.02,87.02,87.01,87.01,53837
2019-11-04 14:35:00,87.01,87.02,87.01,87.01,27327
2019-11-04 14:40:00,87.016,87.02,87.01,87.015,28987
2019-11-04 14:45:00,87.015,87.015,87.01,87.01,29012
2019-11-04 14:50:00,87.01,87.0169,87.01,87.015,16548
2019-11-04 14:55:00,87.015,87.0156,87.01,87.01,35162
2019-11-04 15:00:00,87.02,87.02,87.01,87.02,57838
2019-11-04 15:05:00,87.015,87.015,87.01,87.015,106657
2019-11-04 15:10:00,87.02,87.02,87.01,87.02,271993
2019-11-04 15:15:00,87.01,87.015,87.0,87.0,80619
2019-11-04 15:20:00,87.0,87.005,87.0,87.0,61432
2019-11-04 15:25:00,87.005,87.015,87.0,87.01,121532
2019-11-04 15:30:00,87.015,87.015,87.01,87.015,168356
2019-11-04 15:35:00,87.02,87.03,87.015,87.025,148150
2019-11-04 15:40:00,87.025,87.03,87.02,87.025,70508
2019-11-04 15:45:00,87.025,87.04,87.025,87.04,114700
2019-11-04 15:50:00,87.04,87.04,87.02,87.03,200508
2019-11-04 15:55:00,87.03,87.03,87.01,87.01,315506
2019-11-04 16:00:00,87.01,87.03,86.99,86.99,1435661
2019-11-05 09:35:00,87.03,87.055,87.01,87.01,1436276
2019-11-05 09:40:00,87.0,87.0688,87.0,87.015,311918
2019-11-05 09:45:00,87.01,87.015,87.0,87.01,117703
2019-11-05 09:50:00,87.01,87.02,87.0,87.01,144271
2019-11-05 09:55:00,87.01,87.02,87.0,87.0156,139931
2019-11-05 10:00:00,87.01,87.01,87.0045,87.01,32633
2019-11-05 10:05:00,87.01,87.015,87.005,87.01,92617
2019-11-05 10:10:00,87.015,87.015,86.96,86.965,168618
2019-11-05 10:15:00,86.97,86.97,86.95,86.96,69401
2019-11-05 10:20:00,86.96,86.9601,86.89,86.89,562525
2019-11-05 10:25:00,86.89,86.895,86.88,86.88,162832
2019-11-05 10:30:00,86.885,86.885,86.86,86.865,339171
2019-11-05 10:35:00,86.865,86.87,86.84,86.84,264871
2019-11-05 10:40:00,86.84,86.84,86.83,86.835,497694
2019-11-05 10:45:00,86.835,86.835,86.82,86.825,337147
2019-11-05 10:50:00,86.82,86.83,86.82,86.82,224781
2019-11-05 10:55:00,86.825,86.835,86.82,86.835,293017
2019-11-05 11:00:00,86.84,86.87,86.84,86.85,297034
2019-11-05 11:05:00,86.85,86.87,86.845,86.865,1442838
2019-11-05 11:10:00,86.87,86.875,86.86,86.86,271173
2019-11-05 11:15:00,86.8513,86.86,86.85,86.855,26702
2019-11-05 11:20:00,86.855,86.87,86.855,86.8663,67788
2019-11-05 11:25:00,86.8638,86.87,86.85,86.85,195106
2019-11-05 11:30:00,86.855,86.87,86.84,86.87,610483
2019-11-05 11:35:00,86.87,86.87,86.85,86.855,159653
2019-11-05 11:40:00,86.85,86.87,86.85,86.865,191948
2019-11-05 11:45:00,86.865,86.87,86.855,86.855,166602
2019-11-05 11:50:00,86.855,86.86,86.85,86.855,57963
2019-11-05 11:55:00,86.85,86.86,86.85,86.855,118157
2019-11-05 12:00:00,86.85,86.85,86.845,86.85,93377
2019-11-05 12:05:00,86.845,86.85,86.84,86.85,124858
2019-11-05 12:10:00,86.85,86.85,86.845,86.845,52735
2019-11-05 12:15:00,86.85,86.85,86.83,86.835,243337
2019-11-05 12:20:00,86.84,86.84,86.83,86.835,52505
2019-11-05 12:25:00,86.84,86.84,86.83,86.835,49264
2019-11-05 12:30:00,86.835,86.84,86.83,86.8347,908132
2019-11-05 12:35:00,86.835,86.84,86.83,86.84,36323
2019-11-05 12:40:00,86.8337,86.84,86.83,86.835,609318
2019-11-05 12:45:00,86.835,86.88,86.835,86.88,196630
2019-11-05 12:50:00,86.875,86.885,86.87,86.88,218067
2019-11-05 12:55:00,86.885,86.89,86.84,86.8858,1442880
2019-11-05 13:00:00,86.89,86.91,86.88,86.91,91971
2019-11-05 13:05:00,86.905,86.92,86.9023,86.915,219431
2019-11-05 13:10:00,86.915,86.92,86.91,86.91,615794
2019-11-05 13:15:00,86.915,86.92,86.915,86.92,97026
2019-11-05 13:20:00,86.915,86.92,86.915,86.915,466967
2019-11-05 13:25:00,86.915,86.92,86.91,86.9131,147614
2019-11-05 13:30:00,86.9161,86.92,86.91,86.915,168109
2019-11-05 13:35:00,86.91,86.915,86.91,86.91,74496
2019-11-05 13:40:00,86.915,86.92,86.915,86.92,95301
2019-11-05 13:45:00,86.915,86.92,86.91,86.9136,100572
2019-11-05 13:50:00,86.915,86.92,86.91,86.92,55196
2019-11-05 13:55:00,86.9166,86.92,86.91,86.92,566089
2019-11-05 14:00:00,86.92,86.92,86.9,86.91,346292
2019-11-05 14:05:00,86.9,86.91,86.9,86.9,548654
2019-11-05 14:10:00,86.9048,86.91,86.9,86.905,69453
2019-11-05 14:15:00,86.905,86.94,86.9,86.94,273880
2019-11-05 14:20:00,86.935,87.01,86.935,86.95,1185583
2019-11-05 14:25:00,86.955,86.96,86.94,86.9495,0
2019-11-05 14:30:00,86.9487,86.95,86.945,86.95,55230
2019-11-05 14:35:00,86.95,86.95,86.9429,86.95,108070
2019-11-05 14:40:00,86.945,86.95,86.94,86.945,41753
2019-11-05 14:45:00,86.945,86.95,86.94,86.95,52542
2019-11-05 14:50:00,86.945,86.95,86.94,86.95,45799
2019-11-05 14:55:00,86.95,86.95,86.94,86.94,79279
2019-11-05 15:00:00,86.95,86.95,86.9448,86.95,74847
2019-11-05 15:05:00,86.95,86.95,86.94,86.948,49379
2019-11-05 15:10:00,86.945,86.945,86.925,86.93,231007
2019-11-05 15:15:00,86.93,86.935,86.925,86.93,71123
2019-11-05 15:20:00,86.93,86.93,86.92,86.9266,37547
2019-11-05 15:25:00,86.925,86.93,86.92,86.93,60502
2019-11-05 15:30:00,86.93,86.93,86.92,86.93,50055
2019-11-05 15:35:00,86.925,86.93,86.91,86.92,218195
2019-11-05 15:40:00,86.92,86.94,86.92,86.94,165486
2019-11-05 15:45:00,86.94,86.94,86.93,86.94,222999
2019-11-05 15:50:00,86.935,86.95,86.93,86.94,514491
2019-11-05 15:55:00,86.94,86.9455,86.94,86.945,677838
2019-11-05 16:00:00,86.945,86.95,86.91,86.91,640758
2019-11-06 09:35:00,86.91,86.91,86.82,86.83,194677
2019-11-06 09:40:00,86.83,86.84,86.81,86.82,139869
2019-11-06 09:45:00,86.825,86.855,86.82,86.85,57111
2019-11-06 09:50:00,86.855,86.86,86.84,86.845,21086
2019-11-06 09:55:00,86.84,86.86,86.84,86.855,53658
2019-11-06 10:00:00,86.85,86.88,86.85,86.87,205825
2019-11-06 10:05:00,86.87,86.88,86.87,86.875,27498
2019-11-06 10:10:00,86.8749,86.89,86.8715,86.89,68267
2019-11-06 10:15:00,86.89,86.89,86.875,86.88,123161
2019-11-06 10:20:00,86.875,86.88,86.87,86.875,147176
2019-11-06 10:25:00,86.87,86.875,86.87,86.87,26860
2019-11-06 10:30:00,86.88,86.88,86.86,86.865,29530
2019-11-06 10:35:00,86.87,86.87,86.83,86.84,299661
2019-11-06 10:40:00,86.84,86.84,86.83,86.84,86398
2019-11-06 10:45:00,86.84,86.845,86.83,86.845,18585
2019-11-06 10:50:00,86.846,86.85,86.82,86.82,32072
2019-11-06 10:55:00,86.82,86.82,86.8,86.81,81577
2019-11-06 11:00:00,86.81,86.815,86.81,86.81,23730
2019-11-06 11:05:00,86.8142,86.815,86.805,86.8126,70625
2019-11-06 11:10:00,86.82,86.83,86.81,86.82700000000001,21072
2019-11-06 11:15:00,86.825,86.83,86.82,86.82,30645
