,open,high,low,close,volume
2019-11-04 14:15:00,25.71,25.71,25.69,25.69,5331
2019-11-04 14:20:00,25.71,25.77,25.71,25.75,8231
2019-11-04 14:25:00,25.785,25.785,25.72,25.73,7803
2019-11-04 14:30:00,25.73,25.88,25.73,25.88,9355
2019-11-04 14:35:00,25.85,25.86,25.83,25.83,5784
2019-11-04 14:40:00,25.8311,25.84,25.82,25.8311,9219
2019-11-04 14:45:00,25.835,25.85,25.81,25.81,10458
2019-11-04 14:50:00,25.8,25.86,25.78,25.86,9023
2019-11-04 14:55:00,25.88,25.88,25.85,25.86,7623
2019-11-04 15:00:00,25.84,25.87,25.83,25.83,10447
2019-11-04 15:05:00,25.86,25.86,25.845,25.86,2369
2019-11-04 15:10:00,25.845,25.86,25.72,25.74,229966
2019-11-04 15:15:00,25.75,25.77,25.74,25.77,20522
2019-11-04 15:20:00,25.7708,25.8051,25.755,25.7808,9053
2019-11-04 15:25:00,25.7707,25.82,25.77,25.7907,10533
2019-11-04 15:30:00,25.795,25.87,25.79,25.83,11997
2019-11-04 15:35:00,25.82,25.95,25.82,25.93,21384
2019-11-04 15:40:00,25.9356,26.03,25.9356,26.005,41285
2019-11-04 15:45:00,26.01,26.11,26.01,26.09,30056
2019-11-04 15:50:00,26.095,26.1,26.06,26.075,23177
2019-11-04 15:55:00,26.08,26.08,25.98,25.99,41761
2019-11-04 16:00:00,25.99,26.0123,25.97,25.97,67413
2019-11-05 09:35:00,26.2308,26.2555,25.9953,26.0858,11175
2019-11-05 09:40:00,26.1005,26.2106,26.0606,26.1505,2636
2019-11-05 09:45:00,26.107,26.24,26.107,26.12,13135
2019-11-05 09:50:00,26.16,26.58,26.16,26.48,46418
2019-11-05 09:55:00,26.4611,26.5054,26.3452,26.4811,34326
2019-11-05 10:00:00,26.42,26.5992,26.42,26.55,11639
2019-11-05 10:05:00,26.59,26.9,26.59,26.89,22715
2019-11-05 10:10:00,26.8607,26.906,26.5857,26.6507,30803
2019-11-05 10:15:00,26.5959,26.6359,26.4557,26.5109,10638
2019-11-05 10:20:00,26.4505,26.5809,26.2506,26.4805,35516
2019-11-05 10:25:00,26.5,26.59,26.49,26.57,3318
2019-11-05 10:30:00,26.571,26.76,26.535,26.581,12688
2019-11-05 10:35:00,26.6211,26.6755,26.5754,26.5911,9362
2019-11-05 10:40:00,26.57,26.61,26.5,26.5,6966
2019-11-05 10:45:00,26.5108,26.566,26.4359,26.4458,10598
2019-11-05 10:50:00,26.4704,26.5229,26.3128,26.3704,7206
2019-11-05 10:55:00,26.37,26.4,26.3,26.31,8463
2019-11-05 11:00:00,26.34,26.34,26.14,26.23,11214
2019-11-05 11:05:00,26.2308,26.2555,26.0753,26.2008,13820
2019-11-05 11:10:00,26.1805,26.2,26.15,26.1905,11439
2019-11-05 11:15:00,26.19,26.42,26.19,26.41,12955
2019-11-05 11:20:00,26.4,26.51,26.35,26.465,7939
2019-11-05 11:25:00,26.4661,26.5955,26.4103,26.5711,7071
2019-11-05 11:30:00,26.58,26.635,26.5,26.502,14536
2019-11-05 11:35:00,26.4808,26.516,26.4609,26.4908,3556
2019-11-05 11:40:00,26.475,26.54,26.475,26.54,2696
2019-11-05 11:45:00,26.49,26.57,26.48,26.55,5573
2019-11-05 11:50:00,26.535,26.64,26.535,26.64,6410
2019-11-05 11:55:00,26.6407,26.6658,26.5357,26.6107,9718
2019-11-05 12:00:00,26.59,26.63,26.59,26.63,4194
2019-11-05 12:05:00,26.6211,26.65,26.57,26.6061,6940
2019-11-05 12:10:00,26.631,26.66,26.62,26.631,5424
2019-11-05 12:15:00,26.6311,26.65,26.6,26.6311,3596
2019-11-05 12:20:00,26.65,26.7,26.65,26.685,10717
2019-11-05 12:25:00,26.67,26.7,26.61,26.61,6270
2019-11-05 12:30:00,26.6104,26.66,26.59,26.6304,6541
2019-11-05 12:35:00,26.65,26.69,26.64,26.64,7342
2019-11-05 12:40:00,26.645,26.7,26.64,26.6921,3655
2019-11-05 12:45:00,26.7007,26.846,26.6658,26.8157,22351
2019-11-05 12:50:00,26.8011,26.81,26.74,26.8011,4657
2019-11-05 12:55:00,26.7805,26.79,26.74,26.7805,4310
2019-11-05 13:00:00,26.79,26.8,26.75,26.8,4459
2019-11-05 13:05:00,26.7811,26.8057,26.7556,26.7561,1915
2019-11-05 13:10:00,26.765,26.79,26.765,26.785,3034
2019-11-05 13:15:00,26.8009,26.8413,26.7863,26.8009,6136
2019-11-05 13:20:00,26.8,26.81,26.74,26.74,5723
2019-11-05 13:25:00,26.73,26.77,26.7,26.7,3019
2019-11-05 13:30:00,26.71,26.745,26.7,26.72,3138
2019-11-05 13:35:00,26.73,26.76,26.69,26.69,8515
2019-11-05 13:40:00,26.6961,26.7757,26.6856,26.7461,4722
2019-11-05 13:45:00,26.7455,26.7911,26.741,26.7605,5425
2019-11-05 13:50:00,26.775,26.7828,26.75,26.77,4996
2019-11-05 13:55:00,26.7563,26.81,26.7563,26.78,8012
2019-11-05 14:00:00,26.8,26.815,26.78,26.78,7747
