,open,high,low,close,volume
2019-11-04 14:15:00,109.69,109.7,109.62,109.67,5099
2019-11-04 14:20:00,109.67,109.796,109.67,109.796,11497
2019-11-04 14:25:00,109.79,109.81,109.79,109.81,3883
2019-11-04 14:30:00,109.8,109.85,109.781,109.848,8137
2019-11-04 14:35:00,109.85,109.9,109.83,109.9,18309
2019-11-04 14:40:00,109.91,109.93,109.87,109.88,4437
2019-11-04 14:45:00,109.89,109.92,109.884,109.9,14679
2019-11-04 14:50:00,109.89,109.9,109.879,109.89,12180
2019-11-04 14:55:00,109.8934,109.8934,109.785,109.82,16472
2019-11-04 15:00:00,109.82,109.82,109.77,109.81,16073
2019-11-04 15:05:00,109.82,109.83,109.72,109.73,17090
2019-11-04 15:10:00,109.72,109.75,109.7,109.71,11525
2019-11-04 15:15:00,109.68,109.69,109.5818,109.5818,35439
2019-11-04 15:20:00,109.58,109.6,109.55,109.6,39541
2019-11-04 15:25:00,109.59,109.659,109.58,109.63,23627
2019-11-04 15:30:00,109.63,109.643,109.54,109.545,25608
2019-11-04 15:35:00,109.55,109.61,109.55,109.55,26021
2019-11-04 15:40:00,109.54,109.56,109.51,109.54,19076
2019-11-04 15:45:00,109.54,109.59,109.525,109.58,27940
2019-11-04 15:50:00,109.58,109.58,109.53,109.55,26107
2019-11-04 15:55:00,109.56,109.595,109.515,109.53,69368
2019-11-04 16:00:00,109.54,109.55,109.41,109.42,108567
2019-11-05 09:35:00,109.6835,109.9469,109.6566,109.8335,39263
2019-11-05 09:40:00,109.9,109.93,109.75,109.78,19997
2019-11-05 09:45:00,109.82,109.91,109.61,109.64,0
2019-11-05 09:50:00,109.67,109.71,109.63,109.64,86785
2019-11-05 09:55:00,109.53,109.53,109.46,109.49,42665
2019-11-05 10:00:00,109.51,109.65,109.47,109.59,15421
2019-11-05 10:05:00,109.6,109.99,109.6,109.79,23011
2019-11-05 10:10:00,109.79,109.837,109.61,109.61,11339
2019-11-05 10:15:00,109.6126,109.6126,109.3,109.31,11175
2019-11-05 10:20:00,109.26,109.37,109.231,109.32,49144
2019-11-05 10:25:00,109.36,109.45,109.36,109.41,5750
2019-11-05 10:30:00,109.42,109.46,109.325,109.33,12950
2019-11-05 10:35:00,109.36,109.41,109.325,109.35,13784
2019-11-05 10:40:00,109.41,109.41,109.295,109.31,50384
2019-11-05 10:45:00,109.34,109.44,109.28,109.41,17572
2019-11-05 10:50:00,109.4218,109.44,109.31,109.4118,21258
2019-11-05 10:55:00,109.41,109.43,109.4,109.4,15023
2019-11-05 11:00:00,109.42,109.63,109.42,109.51,11401
2019-11-05 11:05:00,109.53,109.68,109.53,109.65,5747
