,open,high,low,close,volume
2019-11-04 14:15:00,57.605,57.63,57.6,57.6,59408
2019-11-04 14:20:00,57.605,57.685,57.57,57.6701,190037
2019-11-04 14:25:00,57.67,57.73,57.67,57.7225,162494
2019-11-04 14:30:00,57.73,57.78,57.725,57.75,161006
2019-11-04 14:35:00,57.7565,57.78,57.75,57.78,101287
2019-11-04 14:40:00,57.775,57.79,57.73,57.7468,137854
2019-11-04 14:45:00,57.7401,57.76,57.74,57.7552,99359
2019-11-04 14:50:00,57.76,57.78,57.735,57.78,116765
2019-11-04 14:55:00,57.775,57.79,57.7233,57.79,150047
2019-11-04 15:00:00,57.79,57.8,57.74,57.76,149797
2019-11-04 15:05:00,57.76,57.76,57.65,57.675,170017
2019-11-04 15:10:00,57.68,57.69,57.61,57.625,180982
2019-11-04 15:15:00,57.63,57.64,57.57,57.585,212384
2019-11-04 15:20:00,57.59,57.595,57.575,57.58,168055
2019-11-04 15:25:00,57.58,57.62,57.5622,57.605,149055
2019-11-04 15:30:00,57.6,57.635,57.59,57.6,209347
2019-11-04 15:35:00,57.5961,57.63,57.56,57.6172,179393
2019-11-04 15:40:00,57.61,57.61,57.55,57.58,133354
2019-11-04 15:45:00,57.57,57.625,57.57,57.62,171301
2019-11-04 15:50:00,57.62,57.6297,57.615,57.62,260685
2019-11-04 15:55:00,57.62,57.68,57.59,57.59,397383
2019-11-04 16:00:00,57.6,57.62,57.585,57.61,950359
2019-11-05 09:35:00,57.4419,57.65600000000001,57.3858,57.5418,842709
2019-11-05 09:40:00,57.545,57.545,57.33,57.33,342796
2019-11-05 09:45:00,57.3244,57.3771,57.265,57.2824,342195
2019-11-05 09:50:00,57.29,57.3536,57.26,57.35,347938
2019-11-05 09:55:00,57.33,57.465,57.33,57.44,164356
2019-11-05 10:00:00,57.44,57.48,57.4,57.41,119879
2019-11-05 10:05:00,57.42,57.63,57.4,57.625,388178
2019-11-05 10:10:00,57.6207,57.68,57.481,57.495,322366
2019-11-05 10:15:00,57.5019,57.646,57.4759,57.5769,154521
2019-11-05 10:20:00,57.575,57.7,57.56,57.6758,184268
2019-11-05 10:25:00,57.67,57.69,57.645,57.645,126582
2019-11-05 10:30:00,57.64,57.655,57.563,57.605,109664
2019-11-05 10:35:00,57.5969,57.76,57.5969,57.725,195628
