,open,high,low,close,volume
2019-11-04 14:15:00,158.99,159.0,158.97,158.98,85071
2019-11-04 14:20:00,158.97,159.045,158.97,159.02,56469
2019-11-04 14:25:00,159.02,159.07,159.02,159.03,33590
2019-11-04 14:30:00,159.03,159.12,159.0,159.11,84410
2019-11-04 14:35:00,159.115,159.12,159.08,159.115,125847
2019-11-04 14:40:00,159.12,159.15,159.1,159.13,61621
2019-11-04 14:45:00,159.12,159.13,159.07,159.07,96851
2019-11-04 14:50:00,159.07,159.105,159.07,159.07,89930
2019-11-04 14:55:00,159.07,159.085,158.93,158.95,137449
2019-11-04 15:00:00,158.95,158.95,158.901,158.95,80411
2019-11-04 15:05:00,158.95,158.95,158.83,158.91,122834
2019-11-04 15:10:00,158.905,158.925,158.88,158.91,109585
2019-11-04 15:15:00,158.9,158.9,158.73,158.74,121318
2019-11-04 15:20:00,158.75,158.77,158.65,158.71,135841
2019-11-04 15:25:00,158.7062,158.78,158.695,158.765,128476
2019-11-04 15:30:00,158.76,158.815,158.64,158.67,205807
2019-11-04 15:35:00,158.65,158.78,158.63,158.65,220020
2019-11-04 15:40:00,158.66,158.697,158.62,158.68,167744
2019-11-04 15:45:00,158.67,158.88,158.67,158.84,418144
2019-11-04 15:50:00,158.84,158.89,158.8,158.86,173933
2019-11-04 15:55:00,158.86,159.11,158.86,158.985,526173
2019-11-04 16:00:00,158.99,159.12,158.89,158.89,1469519
2019-11-05 09:35:00,159.48,159.745,159.43,159.71,704254
2019-11-05 09:40:00,159.71,159.76,159.48,159.485,406880
2019-11-05 09:45:00,159.49,159.59,159.48,159.56,217344
2019-11-05 09:50:00,159.566,159.7596,159.5494,159.606,225630
2019-11-05 09:55:00,159.6099,159.7,159.5,159.67,212250
2019-11-05 10:00:00,159.67,159.8,159.63,159.76,146313
2019-11-05 10:05:00,159.755,160.46,159.755,160.23,748118
2019-11-05 10:10:00,160.24,160.28,159.81,159.87,296737
2019-11-05 10:15:00,159.8652,160.0256,159.5451,159.6652,419992
2019-11-05 10:20:00,159.66,159.7,159.55,159.69,193020
2019-11-05 10:25:00,159.68,159.87,159.64,159.703,188649
2019-11-05 10:30:00,159.69,159.71,159.38,159.41,325218
2019-11-05 10:35:00,159.42,159.59,159.4,159.49,107858
2019-11-05 10:40:00,159.5,159.64,159.41,159.41,173162
2019-11-05 10:45:00,159.4,159.4,159.239,159.24,224019
