,open,high,low,close,volume
2019-11-04 14:15:00,33.1211,33.1315,33.105,33.1261,131306
2019-11-04 14:20:00,33.125,33.18,33.105,33.12,99801
2019-11-04 14:25:00,33.12,33.18,33.1,33.15,90389
2019-11-04 14:30:00,33.14,33.15,33.095,33.095,121806
2019-11-04 14:35:00,33.1009,33.12,33.06,33.0659,164776
2019-11-04 14:40:00,33.07,33.15,33.065,33.11,91544
2019-11-04 14:45:00,33.1206,33.1761,33.116,33.1456,85124
2019-11-04 14:50:00,33.15,33.23,33.15,33.2158,127703
2019-11-04 14:55:00,33.2162,33.225,33.195,33.1962,146702
2019-11-04 15:00:00,33.2,33.235,33.185,33.23,110617
2019-11-04 15:05:00,33.225,33.225,33.15,33.165,112793
2019-11-04 15:10:00,33.165,33.21,33.165,33.1801,76554
2019-11-04 15:15:00,33.19,33.22,33.15,33.15,118902
2019-11-04 15:20:00,33.14,33.17,33.13,33.145,146322
2019-11-04 15:25:00,33.15,33.18,33.125,33.18,131101
2019-11-04 15:30:00,33.18,33.18,33.07,33.09,196477
2019-11-04 15:35:00,33.1,33.19,33.09,33.17,159897
2019-11-04 15:40:00,33.17,33.1799,33.155,33.16,150663
2019-11-04 15:45:00,33.15,33.205,33.13,33.1725,232482
2019-11-04 15:50:00,33.1761,33.21,33.145,33.1911,264878
2019-11-04 15:55:00,33.2,33.2,33.155,33.16,422340
2019-11-04 16:00:00,33.16,33.17,33.09,33.13,629134
2019-11-05 09:35:00,33.4711,33.48,33.23,33.3111,1369127
2019-11-05 09:40:00,33.3207,33.6965,33.3162,33.5707,777000
2019-11-05 09:45:00,33.5714,33.6023,33.312,33.4714,412108
2019-11-05 09:50:00,33.48,33.65,33.48,33.65,420328
2019-11-05 09:55:00,33.6513,33.8074,33.6422,33.7214,329184
2019-11-05 10:00:00,33.73,33.78,33.68,33.7,370625
2019-11-05 10:05:00,33.6955,33.76,33.55,33.5555,323498
2019-11-05 10:10:00,33.57,33.57,33.2,33.215,288500
2019-11-05 10:15:00,33.2111,33.27,33.1499,33.2511,445624
2019-11-05 10:20:00,33.2477,33.275,33.22,33.2407,232422
2019-11-05 10:25:00,33.2432,33.33,33.23,33.329,242196
2019-11-05 10:30:00,33.3312,33.4575,33.325,33.3412,217785
2019-11-05 10:35:00,33.34,33.47,33.21,33.21,203556
2019-11-05 10:40:00,33.2,33.22,33.17,33.175,203516
2019-11-05 10:45:00,33.1761,33.21,33.055,33.1011,370243
2019-11-05 10:50:00,33.1005,33.1587,32.9585,33.0855,370543
2019-11-05 10:55:00,33.09,33.11,33.005,33.1,154530
2019-11-05 11:00:00,33.1,33.135,33.045,33.11,181224
2019-11-05 11:05:00,33.115,33.135,32.96,32.97,122788
2019-11-05 11:10:00,32.97,33.06,32.955,33.0,114798
2019-11-05 11:15:00,33.0,33.035,32.985,33.0001,103033
2019-11-05 11:20:00,33.005,33.12,33.005,33.0389,76249
2019-11-05 11:25:00,33.035,33.1,33.015,33.1,90041
2019-11-05 11:30:00,33.1,33.1,32.905,32.91,167816
2019-11-05 11:35:00,32.911,32.9523,32.8772,32.881,231499
2019-11-05 11:40:00,32.88,32.895,32.83,32.83,101322
2019-11-05 11:45:00,32.83,32.84,32.805,32.83,107549
2019-11-05 11:50:00,32.83,32.93,32.825,32.915,110260
2019-11-05 11:55:00,32.92,32.94,32.8836,32.905,109692
2019-11-05 12:00:00,32.9,32.91,32.8934,32.91,62968
2019-11-05 12:05:00,32.9,32.985,32.9,32.98,77638
2019-11-05 12:10:00,32.99,33.0,32.9,32.9,91335
2019-11-05 12:15:00,32.91,32.91,32.87,32.88,77764
2019-11-05 12:20:00,32.885,32.9,32.88,32.895,99272
2019-11-05 12:25:00,32.895,32.92,32.81,32.815,117347
2019-11-05 12:30:00,32.8199,32.8199,32.76,32.785,91638
2019-11-05 12:35:00,32.79,32.87,32.77,32.84,65156
2019-11-05 12:40:00,32.84,32.865,32.8,32.82,61507
2019-11-05 12:45:00,32.815,32.83,32.77,32.78,51071
2019-11-05 12:50:00,32.78,32.8,32.7579,32.7579,44018
2019-11-05 12:55:00,32.755,32.83,32.755,32.82,31292
2019-11-05 13:00:00,32.82,32.85,32.82,32.82,67239
2019-11-05 13:05:00,32.815,32.85,32.795,32.845,86113
2019-11-05 13:10:00,32.845,32.86,32.81,32.813,58496
2019-11-05 13:15:00,32.82,32.88,32.81,32.855,92564
2019-11-05 13:20:00,32.85,32.879,32.85,32.855,54304
2019-11-05 13:25:00,32.85,32.87,32.85,32.85,46652
2019-11-05 13:30:00,32.85,32.87,32.83,32.86,107643
2019-11-05 13:35:00,32.85,32.94,32.85,32.92,85271
2019-11-05 13:40:00,32.92,32.945,32.9087,32.92,60714
2019-11-05 13:45:00,32.919000000000004,32.95,32.9,32.95,49122
2019-11-05 13:50:00,32.94,32.95,32.9288,32.93,46385
2019-11-05 13:55:00,32.93,32.97,32.93,32.97,53039
2019-11-05 14:00:00,32.97,32.995,32.965,32.98,60796
2019-11-05 14:05:00,32.975,33.0,32.96,32.99,48924
2019-11-05 14:10:00,32.9935,33.04,32.985,33.035,80903
2019-11-05 14:15:00,33.03,33.115,33.03,33.1044,79051
2019-11-05 14:20:00,33.11,33.13,33.075,33.085,64828
2019-11-05 14:25:00,33.08,33.085,33.01,33.03,67277
2019-11-05 14:30:00,33.025,33.04,33.02,33.025,114829
2019-11-05 14:35:00,33.025,33.05,33.02,33.025,69495
2019-11-05 14:40:00,33.03,33.03,32.95,32.95,57027
2019-11-05 14:45:00,32.9419,32.95,32.93,32.93,82515
2019-11-05 14:50:00,32.93,32.985,32.93,32.98,63135
2019-11-05 14:55:00,32.98,33.01,32.97,33.005,82895
2019-11-05 15:00:00,33.01,33.01,32.98,33.0,34066
2019-11-05 15:05:00,33.0,33.005,32.96,32.97,63464
2019-11-05 15:10:00,32.97,32.98,32.95,32.955,30137
2019-11-05 15:15:00,32.96,32.96,32.93,32.931999999999995,46517
2019-11-05 15:20:00,32.94,32.975,32.93,32.97,48795
2019-11-05 15:25:00,32.97,32.985,32.945,32.955,66764
2019-11-05 15:30:00,32.95,32.955,32.92,32.92,55344
2019-11-05 15:35:00,32.915,32.9598,32.915,32.945,93320
2019-11-05 15:40:00,32.945,32.945,32.9425,32.945,71283
2019-11-05 15:45:00,32.94,32.96,32.93,32.95,71576
2019-11-05 15:50:00,32.95,32.955,32.94,32.945,112867
2019-11-05 15:55:00,32.95,32.97,32.92,32.935,223829
2019-11-05 16:00:00,32.94,32.97,32.92,32.97,493327
2019-11-06 09:35:00,33.1414,33.1819,32.8416,32.9214,376228
2019-11-06 09:40:00,32.948,33.07,32.94,33.05,160157
2019-11-06 09:45:00,33.05,33.07,32.93,32.93,153551
2019-11-06 09:50:00,32.9362,32.96,32.82,32.9062,159754
2019-11-06 09:55:00,32.9,33.0,32.885,33.0,119450
2019-11-06 10:00:00,32.99,33.025,32.925,32.95,99204
2019-11-06 10:05:00,32.95,33.03,32.95,33.03,151258
2019-11-06 10:10:00,33.03,33.12,33.025,33.09,92962
2019-11-06 10:15:00,33.1014,33.105,33.05,33.0914,46591
2019-11-06 10:20:00,33.0875,33.1,32.98,32.99,48722
2019-11-06 10:25:00,32.9973,33.0276,32.9265,32.9913,69218
2019-11-06 10:30:00,32.9946,33.02,32.885,32.9,100125
2019-11-06 10:35:00,32.91,32.91,32.76,32.76,192489
2019-11-06 10:40:00,32.7605,32.8284,32.6783,32.7705,198247
2019-11-06 10:45:00,32.76,32.83,32.755,32.8,151499
2019-11-06 10:50:00,32.8011,32.8319,32.7118,32.7261,56008
2019-11-06 10:55:00,32.715,32.735,32.685,32.6864,76102
2019-11-06 11:00:00,32.68,32.7,32.67,32.7,93323
2019-11-06 11:05:00,32.695,32.8,32.69,32.766,117219
2019-11-06 11:10:00,32.7501,32.8658,32.7401,32.8658,76243
2019-11-06 11:15:00,32.87,32.88,32.83,32.84,59494
2019-11-06 11:20:00,32.8462,32.87,32.83,32.8512,64362
2019-11-06 11:25:00,32.85,32.86,32.8201,32.84,51723
2019-11-06 11:30:00,32.84,32.8566,32.8,32.81,48575
2019-11-06 11:35:00,32.81,32.98,32.805,32.965,114889
2019-11-06 11:40:00,32.965,32.975,32.935,32.935,62209
2019-11-06 11:45:00,32.94,32.975,32.83,32.83,155990
2019-11-06 11:50:00,32.83,32.92,32.77,32.77,147758
2019-11-06 11:55:00,32.7706,32.7958,32.6357,32.6506,286818
2019-11-06 12:00:00,32.66,32.81,32.65,32.8,111880
2019-11-06 12:05:00,32.8,32.91,32.775,32.91,42252
2019-11-06 12:10:00,32.905,32.905,32.89,32.895,39883
2019-11-06 12:15:00,32.89,32.895,32.83,32.84,76010
2019-11-06 12:20:00,32.84,32.87,32.83,32.835,42381
2019-11-06 12:25:00,32.835,32.88,32.83,32.85,36615
2019-11-06 12:30:00,32.8561,32.902,32.7488,32.7511,70662
2019-11-06 12:35:00,32.745,32.76,32.69,32.695,90306
2019-11-06 12:40:00,32.6914,32.7214,32.6414,32.6564,173215
2019-11-06 12:45:00,32.65,32.75,32.65,32.725,55512
2019-11-06 12:50:00,32.7313,32.7614,32.7113,32.7213,37584
2019-11-06 12:55:00,32.725,32.73,32.705,32.705,26738
2019-11-06 13:00:00,32.71,32.77,32.68,32.77,47640
2019-11-06 13:05:00,32.77,32.81,32.77,32.795,51952
2019-11-06 13:10:00,32.8,32.82,32.7824,32.82,46984
2019-11-06 13:15:00,32.81,32.88,32.805,32.87,27237
2019-11-06 13:20:00,32.87,32.895,32.861999999999995,32.885,49130
2019-11-06 13:25:00,32.89,32.89,32.865,32.885,27658
2019-11-06 13:30:00,32.88,32.89,32.865,32.87,41094
2019-11-06 13:35:00,32.87,32.88,32.845,32.85,23415
2019-11-06 13:40:00,32.855,32.88,32.805,32.82,24951
2019-11-06 13:45:00,32.83,32.92,32.825,32.915,43679
2019-11-06 13:50:00,32.915,32.92,32.87,32.89,24718
2019-11-06 13:55:00,32.9,32.92,32.89,32.92,33056
2019-11-06 14:00:00,32.93,32.94,32.9,32.91,51648
2019-11-06 14:05:00,32.915,32.92,32.89,32.9,33602
2019-11-06 14:10:00,32.91,32.95,32.91,32.93,38538
2019-11-06 14:15:00,32.93,32.93,32.9,32.915,24612
2019-11-06 14:20:00,32.91,32.91,32.875,32.895,23169
2019-11-06 14:25:00,32.89,32.9,32.88,32.9,18989
2019-11-06 14:30:00,32.905,32.9125,32.88,32.89,18843
2019-11-06 14:35:00,32.89,32.91,32.885,32.905,25380
2019-11-06 14:40:00,32.91,32.915,32.88,32.915,31275
2019-11-06 14:45:00,32.91,32.92,32.9,32.9,18843
2019-11-06 14:50:00,32.9,32.91,32.875,32.89,32862
2019-11-06 14:55:00,32.885,32.885,32.865,32.865,22895
2019-11-06 15:00:00,32.86,32.9,32.86,32.89,20556
2019-11-06 15:05:00,32.88,32.89,32.87,32.88,26765
2019-11-06 15:10:00,32.88,32.89,32.83,32.86,50314
2019-11-06 15:15:00,32.86,32.895,32.86,32.87,36753
2019-11-06 15:20:00,32.865,32.87,32.857,32.86,16781
2019-11-06 15:25:00,32.87,32.88,32.85,32.855,31200
2019-11-06 15:30:00,32.86,32.86,32.83,32.8364,34145
2019-11-06 15:35:00,32.835,32.85,32.81,32.825,55652
2019-11-06 15:40:00,32.8201,32.85,32.8,32.84,36868
2019-11-06 15:45:00,32.835,32.84,32.805,32.805,38286
2019-11-06 15:50:00,32.8,32.815,32.78,32.79,99000
2019-11-06 15:55:00,32.795,32.83,32.77,32.825,175610
2019-11-06 16:00:00,32.83,32.87,32.79,32.87,401577
2019-11-07 09:35:00,33.6413,33.7223,33.442,33.6714,1004535
2019-11-07 09:40:00,33.67,33.745,33.53,33.53,328616
2019-11-07 09:45:00,33.5565,33.6499,33.544000000000004,33.6371,257582
2019-11-07 09:50:00,33.6355,33.6641,33.3338,33.4045,277201
2019-11-07 09:55:00,33.4,33.43,33.29,33.38,167276
2019-11-07 10:00:00,33.39,33.47,33.29,33.47,220237
2019-11-07 10:05:00,33.4714,33.5122,33.3671,33.3914,168228
2019-11-07 10:10:00,33.3862,33.4213,33.3462,33.3812,139070
2019-11-07 10:15:00,33.37,33.435,33.36,33.36,117961
2019-11-07 10:20:00,33.36,33.435,33.3102,33.3165,128847
2019-11-07 10:25:00,33.32,33.38,33.305,33.37,90784
2019-11-07 10:30:00,33.38,33.41,33.36,33.36,117492
2019-11-07 10:35:00,33.37,33.5,33.37,33.495,128068
2019-11-07 10:40:00,33.4927,33.515,33.4899,33.51,3367326
2019-11-07 10:45:00,33.5109,33.57,33.43,33.4309,223253
2019-11-07 10:50:00,33.4264,33.46,33.3954,33.4164,90917
2019-11-07 10:55:00,33.4207,33.4463,33.3062,33.3107,235227
2019-11-07 11:00:00,33.31,33.36,33.26,33.32,202739
2019-11-07 11:05:00,33.3113,33.3419,33.2218,33.2313,360863
2019-11-07 11:10:00,33.2342,33.4,33.22,33.3399,113711
2019-11-07 11:15:00,33.34,33.35,33.31,33.31,61362
2019-11-07 11:20:00,33.32,33.4154,33.3121,33.41,174311
2019-11-07 11:25:00,33.41,33.49,33.4,33.4051,112999
2019-11-07 11:30:00,33.41,33.42,33.395,33.395,83729
2019-11-07 11:35:00,33.395,33.41,33.31,33.34,65896
2019-11-07 11:40:00,33.3814,33.4171,33.3771,33.3814,63559
2019-11-07 11:45:00,33.3807,33.4063,33.3412,33.3707,70387
2019-11-07 11:50:00,33.37,33.415,33.355,33.395,149047
2019-11-07 11:55:00,33.395,33.395,33.305,33.31,51089
2019-11-07 12:00:00,33.31,33.47,33.31,33.46,170933
2019-11-07 12:05:00,33.46,33.47,33.295,33.295,78905
2019-11-07 12:10:00,33.295,33.365,33.28,33.36,72712
2019-11-07 12:15:00,33.37,33.425,33.37,33.41,39919
2019-11-07 12:20:00,33.407,33.41,33.365,33.37,71242
2019-11-07 12:25:00,33.36,33.39,33.34,33.387,41143
2019-11-07 12:30:00,33.3914,33.4321,33.3856,33.4014,62435
2019-11-07 12:35:00,33.4,33.4216,33.399,33.4063,70469
2019-11-07 12:40:00,33.4,33.41,33.375,33.41,81738
2019-11-07 12:45:00,33.41,33.4321,33.405,33.43,34894
2019-11-07 12:50:00,33.425,33.4266,33.4025,33.415,60880
2019-11-07 12:55:00,33.42,33.43,33.405,33.4206,56175
2019-11-07 13:00:00,33.42,33.42,33.38,33.38,48006
2019-11-07 13:05:00,33.385,33.3856,33.33,33.35,49608
2019-11-07 13:10:00,33.355,33.415,33.34,33.415,73023
2019-11-07 13:15:00,33.415,33.45,33.41,33.435,59040
2019-11-07 13:20:00,33.44,33.44,33.4,33.4,39375
2019-11-07 13:25:00,33.41,33.44,33.41,33.425,46829
2019-11-07 13:30:00,33.425,33.43,33.4,33.4,32410
2019-11-07 13:35:00,33.4,33.405,33.36,33.36,55279
2019-11-07 13:40:00,33.35,33.36,33.34,33.36,32182
2019-11-07 13:45:00,33.36,33.3848,33.355,33.36,27665
2019-11-07 13:50:00,33.36,33.365,33.3031,33.315,35340
2019-11-07 13:55:00,33.32,33.35,33.31,33.34,32427
2019-11-07 14:00:00,33.34,33.34,33.32,33.33,29495
2019-11-07 14:05:00,33.32,33.3456,33.32,33.34,46213
2019-11-07 14:10:00,33.34,33.36,33.3351,33.35,38561
2019-11-07 14:15:00,33.3457,33.3762,33.3062,33.3257,122130
2019-11-07 14:20:00,33.325,33.34,33.31,33.335,140040
2019-11-07 14:25:00,33.33,33.43,33.323,33.42,83550
2019-11-07 14:30:00,33.4139,33.44,33.41,33.415,42539
2019-11-07 14:35:00,33.41,33.425,33.4,33.42,29805
2019-11-07 14:40:00,33.42,33.43,33.4,33.42,62868
2019-11-07 14:45:00,33.4205,33.43,33.3,33.3305,278264
2019-11-07 14:50:00,33.33,33.34,33.22,33.22,114405
2019-11-07 14:55:00,33.22,33.325,33.19,33.29,98357
2019-11-07 15:00:00,33.29,33.31,33.27,33.29,41061
2019-11-07 15:05:00,33.3,33.34,33.3,33.33,37795
2019-11-07 15:10:00,33.32,33.32,33.3,33.31,28614
2019-11-07 15:15:00,33.32,33.32,33.29,33.3,27617
2019-11-07 15:20:00,33.29,33.29,33.15,33.15,186455
2019-11-07 15:25:00,33.1512,33.2058,33.0907,33.1612,92146
2019-11-07 15:30:00,33.16,33.21,33.15,33.18,57600
2019-11-07 15:35:00,33.19,33.225,33.185,33.225,93558
2019-11-07 15:40:00,33.2209,33.23,33.19,33.2259,41708
2019-11-07 15:45:00,33.23,33.24,33.18,33.19,96100
2019-11-07 15:50:00,33.1839,33.29,33.1839,33.285,99539
2019-11-07 15:55:00,33.26,33.3,33.21,33.21,149207
2019-11-07 16:00:00,33.22,33.29,33.18,33.29,360094
2019-11-08 09:35:00,33.2311,33.3026,32.9923,33.0911,404295
2019-11-08 09:40:00,33.1105,33.185,33.055,33.1705,141853
2019-11-08 09:45:00,33.15,33.365,33.15,33.36,95931
2019-11-08 09:50:00,33.3811,33.4125,33.2924,33.3761,130819
2019-11-08 09:55:00,33.3807,33.4222,33.3273,33.3355,152188
2019-11-08 10:00:00,33.33,33.33,33.13,33.17,232613
2019-11-08 10:05:00,33.1713,33.2618,33.0416,33.2213,307484
2019-11-08 10:10:00,33.2212,33.3068,33.0457,33.0612,136477
2019-11-08 10:15:00,33.065,33.16,33.05,33.15,88207
2019-11-08 10:20:00,33.16,33.16,33.095,33.095,65683
2019-11-08 10:25:00,33.1,33.1747,33.0754,33.16,150268
2019-11-08 10:30:00,33.16,33.2788,33.16,33.235,82305
2019-11-08 10:35:00,33.23,33.27,33.225,33.24,54137
2019-11-08 10:40:00,33.24,33.26,33.2,33.23,46967
2019-11-08 10:45:00,33.2307,33.3162,33.1961,33.2707,51244
2019-11-08 10:50:00,33.28,33.2866,33.185,33.185,86161
2019-11-08 10:55:00,33.1912,33.2,33.185,33.1912,57509
2019-11-08 11:00:00,33.19,33.2,33.13,33.16,91007
2019-11-08 11:05:00,33.155,33.255,33.13,33.23,31041
2019-11-08 11:10:00,33.23,33.24,33.2,33.22,38135
2019-11-08 11:15:00,33.23,33.255,33.22,33.235,39945
2019-11-08 11:20:00,33.23,33.27,33.22,33.22,39831
2019-11-08 11:25:00,33.22,33.23,33.2,33.21,47395
2019-11-08 11:30:00,33.2,33.205,33.19,33.1918,40023
2019-11-08 11:35:00,33.19,33.195,33.16,33.17,89762
2019-11-08 11:40:00,33.16,33.23,33.145,33.23,44640
2019-11-08 11:45:00,33.23,33.32,33.23,33.315,151280
2019-11-08 11:50:00,33.31,33.34,33.29,33.29,72134
2019-11-08 11:55:00,33.29,33.32,33.29,33.32,56575
2019-11-08 12:00:00,33.33,33.33,33.31,33.31,27944
2019-11-08 12:05:00,33.305,33.315,33.296,33.305,23152
2019-11-08 12:10:00,33.3069,33.365,33.3,33.355,74351
2019-11-08 12:15:00,33.355,33.355,33.33,33.35,41773
