,open,high,low,close,volume
2019-11-04 14:15:00,20.47,20.48,20.47,20.48,57693
2019-11-04 14:20:00,20.475,20.4856,20.475,20.48,95507
2019-11-04 14:25:00,20.485,20.49,20.48,20.485,61513
2019-11-04 14:30:00,20.49,20.51,20.485,20.4931,191109
2019-11-04 14:35:00,20.5,20.5,20.495,20.495,77537
2019-11-04 14:40:00,20.495,20.5,20.49,20.495,62824
2019-11-04 14:45:00,20.495,20.515,20.495,20.515,188311
2019-11-04 14:50:00,20.5164,20.53,20.51,20.52,110460
2019-11-04 14:55:00,20.515,20.52,20.51,20.52,69225
2019-11-04 15:00:00,20.52,20.53,20.51,20.53,104741
2019-11-04 15:05:00,20.5307,20.5601,20.5301,20.5343,335828
2019-11-04 15:10:00,20.535,20.55,20.53,20.545,191090
2019-11-04 15:15:00,20.54,20.55,20.535,20.55,133382
2019-11-04 15:20:00,20.55,20.58,20.55,20.58,118060
2019-11-04 15:25:00,20.5805,20.5999,20.5699,20.5755,169647
2019-11-04 15:30:00,20.575,20.585,20.555,20.555,267603
2019-11-04 15:35:00,20.55,20.57,20.545,20.565,237074
2019-11-04 15:40:00,20.565,20.57,20.55,20.555,119880
2019-11-04 15:45:00,20.555,20.56,20.555,20.555,162239
2019-11-04 15:50:00,20.5607,20.5802,20.5601,20.5607,220795
2019-11-04 15:55:00,20.555,20.58,20.555,20.56,311440
2019-11-04 16:00:00,20.57,20.57,20.54,20.56,743443
2019-11-05 09:35:00,20.5807,20.6667,20.58,20.6357,298268
2019-11-05 09:40:00,20.64,20.67,20.58,20.58,305367
2019-11-05 09:45:00,20.5909,20.6065,20.53,20.5609,324479
2019-11-05 09:50:00,20.56,20.57,20.51,20.525,246211
2019-11-05 09:55:00,20.525,20.53,20.495,20.4954,152041
2019-11-05 10:00:00,20.5,20.53,20.48,20.53,116092
2019-11-05 10:05:00,20.53,20.56,20.53,20.545,117982
2019-11-05 10:10:00,20.545,20.55,20.48,20.49,227989
2019-11-05 10:15:00,20.49,20.52,20.48,20.515,75287
2019-11-05 10:20:00,20.515,20.52,20.47,20.4754,106030
2019-11-05 10:25:00,20.47,20.47,20.42,20.43,81861
2019-11-05 10:30:00,20.43,20.44,20.37,20.37,197101
2019-11-05 10:35:00,20.37,20.4075,20.37,20.39,77906
2019-11-05 10:40:00,20.39,20.43,20.39,20.425,138522
2019-11-05 10:45:00,20.43,20.44,20.39,20.395,135473
2019-11-05 10:50:00,20.4003,20.4277,20.3976,20.4003,66250
2019-11-05 10:55:00,20.4,20.4,20.39,20.4,44427
2019-11-05 11:00:00,20.4,20.405,20.385,20.39,137933
2019-11-05 11:05:00,20.39,20.39,20.36,20.36,203256
2019-11-05 11:10:00,20.365,20.365,20.33,20.33,180005
2019-11-05 11:15:00,20.333,20.3342,20.29,20.29,66923
2019-11-05 11:20:00,20.29,20.29,20.27,20.27,119024
2019-11-05 11:25:00,20.2908,20.3194,20.2894,20.3008,221044
2019-11-05 11:30:00,20.3,20.3,20.28,20.28,69745
2019-11-05 11:35:00,20.28,20.29,20.27,20.28,70008
2019-11-05 11:40:00,20.28,20.29,20.26,20.26,213656
2019-11-05 11:45:00,20.26,20.265,20.255,20.265,57922
2019-11-05 11:50:00,20.27,20.27,20.23,20.23,265697
2019-11-05 11:55:00,20.23,20.25,20.23,20.25,74294
2019-11-05 12:00:00,20.25,20.25,20.22,20.24,146481
2019-11-05 12:05:00,20.235,20.26,20.23,20.245,103188
2019-11-05 12:10:00,20.25,20.25,20.235,20.245,73656
2019-11-05 12:15:00,20.24,20.25,20.235,20.245,51124
2019-11-05 12:20:00,20.24,20.26,20.24,20.2558,50198
2019-11-05 12:25:00,20.26,20.275,20.255,20.27,130977
2019-11-05 12:30:00,20.26,20.28,20.26,20.28,50996
2019-11-05 12:35:00,20.28,20.28,20.26,20.2658,85975
2019-11-05 12:40:00,20.27,20.28,20.27,20.275,98679
2019-11-05 12:45:00,20.28,20.285,20.26,20.27,93235
2019-11-05 12:50:00,20.275,20.28,20.27,20.28,56581
2019-11-05 12:55:00,20.28,20.28,20.27,20.275,72851
2019-11-05 13:00:00,20.28,20.29,20.28,20.29,56774
2019-11-05 13:05:00,20.2856,20.31,20.28,20.305,162205
2019-11-05 13:10:00,20.305,20.34,20.295,20.315,129190
2019-11-05 13:15:00,20.32,20.34,20.32,20.335,34660
2019-11-05 13:20:00,20.335,20.35,20.33,20.335,117879
2019-11-05 13:25:00,20.335,20.34,20.33,20.335,33740
2019-11-05 13:30:00,20.335,20.335,20.325,20.325,72720
2019-11-05 13:35:00,20.325,20.35,20.32,20.35,78699
2019-11-05 13:40:00,20.345,20.35,20.33,20.335,42055
2019-11-05 13:45:00,20.335,20.335,20.33,20.335,33175
2019-11-05 13:50:00,20.34,20.34,20.33,20.335,33489
2019-11-05 13:55:00,20.3382,20.34,20.33,20.33,34022
2019-11-05 14:00:00,20.34,20.35,20.33,20.35,58036
2019-11-05 14:05:00,20.345,20.37,20.34,20.37,73903
2019-11-05 14:10:00,20.365,20.4,20.3631,20.395,69059
2019-11-05 14:15:00,20.39,20.42,20.39,20.4,84719
2019-11-05 14:20:00,20.399,20.405,20.375,20.39,114726
2019-11-05 14:25:00,20.39,20.4,20.385,20.39,37037
2019-11-05 14:30:00,20.4,20.405,20.39,20.4,146710
2019-11-05 14:35:00,20.405,20.43,20.4,20.4,119464
2019-11-05 14:40:00,20.405,20.43,20.395,20.43,186909
2019-11-05 14:45:00,20.43,20.46,20.4201,20.45,155121
2019-11-05 14:50:00,20.455,20.455,20.45,20.45,53912
2019-11-05 14:55:00,20.45,20.45,20.43,20.4405,75292
2019-11-05 15:00:00,20.45,20.45,20.4423,20.45,45469
2019-11-05 15:05:00,20.45,20.46,20.44,20.445,82839
2019-11-05 15:10:00,20.445,20.45,20.43,20.45,110282
2019-11-05 15:15:00,20.445,20.4498,20.43,20.4341,49414
2019-11-05 15:20:00,20.435,20.44,20.43,20.4399,43116
2019-11-05 15:25:00,20.44,20.48,20.435,20.48,173486
2019-11-05 15:30:00,20.48,20.48,20.455,20.455,108025
2019-11-05 15:35:00,20.455,20.49,20.455,20.49,122721
2019-11-05 15:40:00,20.485,20.5,20.48,20.495,232291
2019-11-05 15:45:00,20.495,20.51,20.49,20.51,142114
2019-11-05 15:50:00,20.5,20.52,20.5,20.52,235008
2019-11-05 15:55:00,20.52,20.53,20.51,20.51,322234
2019-11-05 16:00:00,20.51,20.53,20.49,20.52,828785
2019-11-06 09:35:00,20.4909,20.5497,20.4096,20.4309,174046
2019-11-06 09:40:00,20.425,20.43,20.405,20.415,78329
2019-11-06 09:45:00,20.42,20.465,20.41,20.445,137883
2019-11-06 09:50:00,20.445,20.49,20.445,20.49,49421
2019-11-06 09:55:00,20.4907,20.51,20.46,20.4807,94583
2019-11-06 10:00:00,20.48,20.5,20.47,20.49,71827
2019-11-06 10:05:00,20.49,20.53,20.48,20.495,101047
2019-11-06 10:10:00,20.5,20.54,20.495,20.54,51889
2019-11-06 10:15:00,20.54,20.56,20.54,20.5534,70285
2019-11-06 10:20:00,20.55,20.56,20.52,20.525,75340
2019-11-06 10:25:00,20.525,20.53,20.5,20.5033,67694
2019-11-06 10:30:00,20.51,20.515,20.4918,20.5,66962
2019-11-06 10:35:00,20.495,20.495,20.43,20.435,88934
2019-11-06 10:40:00,20.435,20.445,20.43,20.4351,71283
2019-11-06 10:45:00,20.435,20.47,20.4333,20.4536,83976
2019-11-06 10:50:00,20.46,20.465999999999998,20.41,20.415,93819
2019-11-06 10:55:00,20.415,20.4169,20.4,20.4022,60646
2019-11-06 11:00:00,20.41,20.42,20.405,20.41,39084
2019-11-06 11:05:00,20.41,20.41,20.38,20.39,78777
2019-11-06 11:10:00,20.4,20.41,20.39,20.39,60584
2019-11-06 11:15:00,20.39,20.4,20.375,20.38,96972
2019-11-06 11:20:00,20.39,20.39,20.385,20.385,63311
2019-11-06 11:25:00,20.38,20.39,20.37,20.375,148483
2019-11-06 11:30:00,20.37,20.38,20.349,20.349,160627
2019-11-06 11:35:00,20.35,20.37,20.345,20.37,57404
2019-11-06 11:40:00,20.365,20.38,20.35,20.38,78887
2019-11-06 11:45:00,20.37,20.42,20.37,20.39,312088
2019-11-06 11:50:00,20.39,20.39,20.35,20.35,243838
2019-11-06 11:55:00,20.355,20.36,20.33,20.335,337856
2019-11-06 12:00:00,20.33,20.38,20.33,20.38,56367
2019-11-06 12:05:00,20.3808,20.3995,20.3695,20.3708,340697
2019-11-06 12:10:00,20.3707,20.3944,20.3689,20.3757,94023
2019-11-06 12:15:00,20.37,20.3757,20.36,20.36,59749
2019-11-06 12:20:00,20.35,20.3533,20.33,20.345,104582
2019-11-06 12:25:00,20.345,20.35,20.3351,20.34,68183
2019-11-06 12:30:00,20.34,20.34,20.31,20.3199,78705
2019-11-06 12:35:00,20.32,20.32,20.31,20.315,129692
2019-11-06 12:40:00,20.315,20.33,20.315,20.33,59646
2019-11-06 12:45:00,20.33,20.33,20.285,20.285,77682
2019-11-06 12:50:00,20.2808,20.3094,20.2794,20.2858,78369
2019-11-06 12:55:00,20.29,20.29,20.27,20.27,75601
2019-11-06 13:00:00,20.28,20.29,20.27,20.29,65493
2019-11-06 13:05:00,20.29,20.297,20.28,20.29,64870
2019-11-06 13:10:00,20.29,20.29,20.26,20.265,36962
2019-11-06 13:15:00,20.265,20.27,20.25,20.25,56340
2019-11-06 13:20:00,20.255,20.27,20.25,20.27,91006
2019-11-06 13:25:00,20.27,20.305,20.27,20.29,93356
2019-11-06 13:30:00,20.2915,20.3,20.27,20.27,115083
2019-11-06 13:35:00,20.27,20.275,20.255,20.2641,85888
2019-11-06 13:40:00,20.27,20.27,20.26,20.27,75487
2019-11-06 13:45:00,20.27,20.2734,20.26,20.265,73549
2019-11-06 13:50:00,20.265,20.29,20.26,20.28,75804
2019-11-06 13:55:00,20.28,20.29,20.28,20.285,47504
2019-11-06 14:00:00,20.29,20.33,20.29,20.33,66989
2019-11-06 14:05:00,20.32,20.33,20.315,20.325,66420
2019-11-06 14:10:00,20.33,20.34,20.32,20.325,62088
2019-11-06 14:15:00,20.325,20.3364,20.32,20.32,43806
2019-11-06 14:20:00,20.3222,20.34,20.32,20.335,63888
2019-11-06 14:25:00,20.33,20.34,20.32,20.3342,85281
2019-11-06 14:30:00,20.3362,20.34,20.32,20.325,50882
2019-11-06 14:35:00,20.33,20.33,20.32,20.325,38033
2019-11-06 14:40:00,20.32,20.345,20.315,20.345,147918
2019-11-06 14:45:00,20.34,20.345,20.31,20.315,195502
2019-11-06 14:50:00,20.317999999999998,20.33,20.31,20.31,95983
2019-11-06 14:55:00,20.315,20.32,20.3,20.305,73072
2019-11-06 15:00:00,20.3,20.3199,20.3,20.3,104228
2019-11-06 15:05:00,20.3,20.3096,20.29,20.293,79047
2019-11-06 15:10:00,20.29,20.3,20.29,20.295,31003
2019-11-06 15:15:00,20.29,20.3,20.29,20.295,53779
2019-11-06 15:20:00,20.295,20.3,20.29,20.3,45129
2019-11-06 15:25:00,20.295,20.3,20.28,20.28,69495
2019-11-06 15:30:00,20.28,20.285,20.28,20.285,100732
2019-11-06 15:35:00,20.2857,20.3038,20.2588,20.2607,249252
2019-11-06 15:40:00,20.26,20.26,20.25,20.25,59296
2019-11-06 15:45:00,20.25,20.255,20.22,20.235,196312
2019-11-06 15:50:00,20.2305,20.2546,20.2096,20.2205,350038
2019-11-06 15:55:00,20.22,20.2345,20.2,20.2,244869
2019-11-06 16:00:00,20.21,20.21,20.19,20.21,683329
2019-11-07 09:35:00,20.34,20.34,20.22,20.2339,279616
2019-11-07 09:40:00,20.235,20.26,20.2,20.21,268928
2019-11-07 09:45:00,20.215,20.29,20.21,20.25,380883
2019-11-07 09:50:00,20.2531,20.26,20.18,20.19,116124
2019-11-07 09:55:00,20.18,20.22,20.17,20.22,164131
2019-11-07 10:00:00,20.22,20.24,20.22,20.24,143188
2019-11-07 10:05:00,20.24,20.25,20.17,20.18,155698
2019-11-07 10:10:00,20.175,20.18,20.15,20.1575,69612
2019-11-07 10:15:00,20.155,20.17,20.13,20.14,142030
2019-11-07 10:20:00,20.14,20.1438,20.08,20.08,120489
2019-11-07 10:25:00,20.0856,20.1167,20.0797,20.0906,115120
2019-11-07 10:30:00,20.09,20.1258,20.085,20.115,79613
2019-11-07 10:35:00,20.1141,20.17,20.11,20.145,109517
2019-11-07 10:40:00,20.14,20.16,20.14,20.145,74210
2019-11-07 10:45:00,20.15,20.16,20.12,20.13,92642
2019-11-07 10:50:00,20.12,20.13,20.115,20.13,73222
2019-11-07 10:55:00,20.13,20.15,20.125,20.135,104006
2019-11-07 11:00:00,20.13,20.15,20.13,20.14,64778
2019-11-07 11:05:00,20.145,20.15,20.135,20.15,70769
2019-11-07 11:10:00,20.14,20.16,20.14,20.155,97875
2019-11-07 11:15:00,20.155,20.17,20.1541,20.1601,47956
2019-11-07 11:20:00,20.16,20.17,20.12,20.13,167276
2019-11-07 11:25:00,20.125,20.14,20.08,20.081,100742
2019-11-07 11:30:00,20.09,20.09,20.05,20.06,101319
2019-11-07 11:35:00,20.0642,20.105,20.06,20.1,91291
2019-11-07 11:40:00,20.0922,20.1,20.0815,20.0829,87429
2019-11-07 11:45:00,20.085,20.085,20.06,20.075,100538
2019-11-07 11:50:00,20.079,20.08,20.06,20.065,87587
2019-11-07 11:55:00,20.06,20.07,20.01,20.01,503451
2019-11-07 12:00:00,20.01,20.04,20.0,20.04,268009
2019-11-07 12:05:00,20.05,20.09,20.05,20.07,165127
2019-11-07 12:10:00,20.07,20.085,20.06,20.06,72053
2019-11-07 12:15:00,20.06,20.07,20.05,20.065,79203
2019-11-07 12:20:00,20.06,20.07,20.06,20.06,63534
2019-11-07 12:25:00,20.06,20.09,20.06,20.09,64073
2019-11-07 12:30:00,20.09,20.1,20.05,20.0658,175672
2019-11-07 12:35:00,20.0679,20.09,20.06,20.085,141769
2019-11-07 12:40:00,20.09,20.09,20.06,20.075,129375
2019-11-07 12:45:00,20.075,20.079,20.06,20.06,45865
2019-11-07 12:50:00,20.065,20.085,20.06,20.085,37698
2019-11-07 12:55:00,20.085,20.09,20.075,20.08,53738
2019-11-07 13:00:00,20.09,20.095,20.085,20.09,46380
2019-11-07 13:05:00,20.095,20.095,20.09,20.095,55205
2019-11-07 13:10:00,20.09,20.1,20.075,20.08,98412
2019-11-07 13:15:00,20.08,20.095,20.08,20.0831,94901
2019-11-07 13:20:00,20.08,20.08,20.07,20.075,31386
2019-11-07 13:25:00,20.07,20.0756,20.055,20.055,84843
2019-11-07 13:30:00,20.05,20.069000000000006,20.05,20.057,61731
2019-11-07 13:35:00,20.055,20.055,20.02,20.035,82892
2019-11-07 13:40:00,20.035,20.05,20.03,20.04,81866
