,open,high,low,close,volume
2019-11-04 14:15:00,13.86,13.86,13.86,13.86,657
2019-11-04 14:20:00,13.85,13.86,13.85,13.86,2250
2019-11-04 14:25:00,13.86,13.87,13.84,13.84,2585
2019-11-04 14:30:00,13.83,13.84,13.82,13.82,1987
2019-11-04 14:35:00,13.82,13.82,13.81,13.81,1849
2019-11-04 14:40:00,13.8,13.8,13.79,13.7987,1164
2019-11-04 14:45:00,13.79,13.79,13.785,13.79,2512
2019-11-04 14:50:00,13.79,13.79,13.79,13.79,612
2019-11-04 14:55:00,13.77,13.77,13.75,13.75,1383
2019-11-04 15:00:00,13.74,13.75,13.74,13.74,745
2019-11-04 15:05:00,13.74,13.74,13.73,13.73,981
2019-11-04 15:10:00,13.72,13.73,13.72,13.73,1267
2019-11-04 15:15:00,13.725,13.725,13.68,13.68,2346
2019-11-04 15:20:00,13.7,13.7,13.6993,13.7,5336
2019-11-04 15:25:00,13.705,13.74,13.705,13.74,5939
2019-11-04 15:30:00,13.735,13.75,13.72,13.73,8654
2019-11-04 15:35:00,13.725,13.76,13.7201,13.75,4197
2019-11-04 15:40:00,13.745,13.745,13.74,13.74,1068
2019-11-04 15:45:00,13.745,13.76,13.72,13.73,16847
2019-11-04 15:50:00,13.7304,13.7535,13.7234,13.7304,17205
2019-11-04 15:55:00,13.73,13.76,13.73,13.7423,8496
2019-11-04 16:00:00,13.74,13.77,13.72,13.72,42376
2019-11-05 09:35:00,13.7946,13.8603,13.74,13.74,5708
2019-11-05 09:40:00,13.74,13.86,13.74,13.86,6865
2019-11-05 09:45:00,13.827,13.89,13.827,13.8846,2050
2019-11-05 09:50:00,13.8805,13.89,13.83,13.8505,2751
2019-11-05 09:55:00,13.8506,13.8903,13.7932,13.8776,4967
2019-11-05 10:00:00,13.85,13.91,13.85,13.9,1002
2019-11-05 10:05:00,13.9155,14.0099,13.9155,13.9974,11461
2019-11-05 10:10:00,13.97,13.98,13.89,13.89,8637
2019-11-05 10:15:00,13.8604,13.89,13.8419,13.8754,1756
2019-11-05 10:20:00,13.86,13.89,13.86,13.87,854
2019-11-05 10:25:00,13.89,13.91,13.89,13.91,7076
2019-11-05 10:30:00,13.9105,13.9431,13.843,13.8605,5600
2019-11-05 10:35:00,13.85,13.91,13.83,13.83,5130
2019-11-05 10:40:00,13.85,13.87,13.83,13.83,1365
2019-11-05 10:45:00,13.81,13.81,13.77,13.77,1100
2019-11-05 10:50:00,13.7702,13.7889,13.7119,13.7302,3828
2019-11-05 10:55:00,13.73,13.745,13.73,13.74,1216
2019-11-05 11:00:00,13.72,13.72,13.71,13.71,1855
2019-11-05 11:05:00,13.7254,13.7834,13.7233,13.7404,11228
2019-11-05 11:10:00,13.77,13.78,13.75,13.75,1451
2019-11-05 11:15:00,13.75,13.75,13.74,13.75,851
2019-11-05 11:20:00,13.76,13.78,13.7496,13.78,1200
2019-11-05 11:25:00,13.74,13.7499,13.71,13.71,5236
