,open,high,low,close,volume
2019-11-04 14:15:00,62.08,62.16,62.07,62.16,12709
2019-11-04 14:20:00,62.16,62.17,62.14,62.15,13996
2019-11-04 14:25:00,62.16,62.22,62.14,62.19,18154
2019-11-04 14:30:00,62.2,62.26,62.185,62.24,21518
2019-11-04 14:35:00,62.24,62.25,62.16,62.2,27759
2019-11-04 14:40:00,62.2,62.205,62.14,62.14,12357
2019-11-04 14:45:00,62.13,62.2248,62.13,62.19,13577
2019-11-04 14:50:00,62.19,62.24,62.18,62.235,9298
2019-11-04 14:55:00,62.24,62.35,62.24,62.35,18282
2019-11-04 15:00:00,62.35,62.46,62.34,62.46,11380
2019-11-04 15:05:00,62.467,62.5263,62.4512,62.457,19356
2019-11-04 15:10:00,62.46,62.53,62.455,62.53,14749
2019-11-04 15:15:00,62.52,62.55,62.52,62.55,14198
2019-11-04 15:20:00,62.56,62.59,62.56,62.56,18513
2019-11-04 15:25:00,62.57,62.66,62.56,62.64,18323
2019-11-04 15:30:00,62.6526,62.69,62.59,62.6226,32631
2019-11-04 15:35:00,62.63,62.655,62.61,62.645,22136
2019-11-04 15:40:00,62.6438,62.645,62.535,62.58,34312
2019-11-04 15:45:00,62.575,62.59,62.5,62.5,33107
2019-11-04 15:50:00,62.505,62.505,62.28,62.285,61337
2019-11-04 15:55:00,62.2872,62.39,62.225,62.3772,79374
2019-11-04 16:00:00,62.38,62.53,62.36,62.48,123150
2019-11-05 09:35:00,62.802,62.94,62.635,62.652,0
2019-11-05 09:40:00,62.7112,62.8194,62.5942,62.7712,22938
2019-11-05 09:45:00,62.75,63.0,62.7,62.955,13223
2019-11-05 09:50:00,62.9723,63.049,62.8822,62.8873,13867
2019-11-05 09:55:00,62.795,62.82,62.46,62.5,21878
2019-11-05 10:00:00,62.52,62.55,62.36,62.48,64720
2019-11-05 10:05:00,62.33,62.605,62.33,62.455,17233
2019-11-05 10:10:00,62.45,62.48,62.29,62.32,26627
2019-11-05 10:15:00,62.302,62.3706,62.2375,62.282,19061
2019-11-05 10:20:00,62.2612,62.309,62.1489,62.1612,24168
2019-11-05 10:25:00,62.13,62.13,61.975,62.01,15405
2019-11-05 10:30:00,61.981,62.05,61.93,61.9523,16316
2019-11-05 10:35:00,61.95,62.28,61.95,62.17,17197
2019-11-05 10:40:00,62.1782,62.4,62.16,62.3,34811
2019-11-05 10:45:00,62.31,62.31,62.07,62.08,19153
2019-11-05 10:50:00,62.08,62.16,61.94,61.94,15633
2019-11-05 10:55:00,61.95,61.97,61.91,61.91,143765
2019-11-05 11:00:00,61.92,61.96,61.92,61.93,15616
2019-11-05 11:05:00,61.93,61.97,61.83,61.83,36408
2019-11-05 11:10:00,61.84,61.88,61.75,61.75,15551
2019-11-05 11:15:00,61.74,61.75,61.67,61.7,32376
2019-11-05 11:20:00,61.7,61.7,61.67,61.67,4041
2019-11-05 11:25:00,61.54,61.63,61.53,61.56,52398
2019-11-05 11:30:00,61.58,61.76,61.58,61.71,15701
2019-11-05 11:35:00,61.7,61.7,61.53,61.54,22292
2019-11-05 11:40:00,61.515,61.55,61.38,61.39,19778
2019-11-05 11:45:00,61.385,61.485,61.37,61.47,19863
2019-11-05 11:50:00,61.475,61.51,61.35,61.35,16302
2019-11-05 11:55:00,61.35,61.36,61.22,61.24,24280
2019-11-05 12:00:00,61.22,61.26,61.14,61.18,28997
2019-11-05 12:05:00,61.2,61.31,61.19,61.3,19066
2019-11-05 12:10:00,61.3,61.33,61.25,61.26,18568
2019-11-05 12:15:00,61.26,61.32,61.245,61.2784,13333
2019-11-05 12:20:00,61.27,61.29,61.25,61.28,11428
2019-11-05 12:25:00,61.3,61.31,61.285,61.29,12570
2019-11-05 12:30:00,61.285,61.285,61.19,61.246,16629
2019-11-05 12:35:00,61.245,61.245,61.05,61.08,14591
2019-11-05 12:40:00,61.09,61.21,61.085,61.135,30577
2019-11-05 12:45:00,61.135,61.275,61.12,61.22,11212
2019-11-05 12:50:00,61.24,61.26,61.1631,61.185,18899
2019-11-05 12:55:00,61.2012,61.2832,61.1881,61.2062,9533
2019-11-05 13:00:00,61.21,61.28,61.21,61.28,8739
2019-11-05 13:05:00,61.27,61.28,61.225,61.245,11361
2019-11-05 13:10:00,61.26,61.29,61.23,61.26,10951
2019-11-05 13:15:00,61.27,61.29,61.27,61.27,8081
2019-11-05 13:20:00,61.27,61.27,61.2,61.23,17677
2019-11-05 13:25:00,61.215,61.23,61.19,61.19,15154
2019-11-05 13:30:00,61.17,61.17,61.09,61.09,14998
2019-11-05 13:35:00,61.1,61.14,61.06,61.13,15010
2019-11-05 13:40:00,61.13,61.13,61.07,61.08,14054
2019-11-05 13:45:00,61.085,61.085,61.06,61.08,14561
2019-11-05 13:50:00,61.09,61.17,61.08,61.08,14713
2019-11-05 13:55:00,61.06,61.08,61.0,61.0,15617
2019-11-05 14:00:00,61.01,61.03,60.99,61.02,13166
2019-11-05 14:05:00,61.01,61.07,61.01,61.03,18140
2019-11-05 14:10:00,61.03,61.08,61.01,61.02,61724
2019-11-05 14:15:00,61.03,61.04,60.9725,61.03,21096
2019-11-05 14:20:00,61.035,61.2,61.035,61.185,13965
2019-11-05 14:25:00,61.19,61.29,61.19,61.28,12357
2019-11-05 14:30:00,61.29,61.355,61.28,61.29,28057
2019-11-05 14:35:00,61.29,61.3,61.275,61.28,9756
2019-11-05 14:40:00,61.28,61.34,61.26,61.34,14192
2019-11-05 14:45:00,61.36,61.4799,61.36,61.38,18155
2019-11-05 14:50:00,61.342,61.4002,61.3201,61.3219,11899
2019-11-05 14:55:00,61.34,61.34,61.27,61.28,9842
2019-11-05 15:00:00,61.27,61.34,61.26,61.3,8758
2019-11-05 15:05:00,61.3,61.36,61.29,61.34,13869
2019-11-05 15:10:00,61.34,61.39,61.31,61.39,12148
2019-11-05 15:15:00,61.395,61.435,61.33,61.36,23178
2019-11-05 15:20:00,61.36,61.38,61.34,61.35,14964
2019-11-05 15:25:00,61.34,61.44,61.33,61.43,19975
2019-11-05 15:30:00,61.42,61.43,61.38,61.38,16609
2019-11-05 15:35:00,61.37,61.5,61.37,61.5,29016
2019-11-05 15:40:00,61.5,61.72,61.5,61.7,31031
2019-11-05 15:45:00,61.7,61.92,61.7,61.92,45557
2019-11-05 15:50:00,61.92,62.02,61.89,62.02,93307
2019-11-05 15:55:00,61.9981,62.08,61.91,61.94,59987
2019-11-05 16:00:00,61.94,62.04,61.83,62.04,136358
2019-11-06 09:35:00,61.9126,62.0396,61.0687,61.1576,11366
2019-11-06 09:40:00,61.03,61.23,60.92,60.92,14041
2019-11-06 09:45:00,60.8824,61.065,60.81,60.9924,28054
2019-11-06 09:50:00,61.0522,61.165,60.95,61.1022,15920
2019-11-06 09:55:00,61.1569,61.16,60.97,60.9919,11291
2019-11-06 10:00:00,60.95,61.14,60.94,60.94,14014
2019-11-06 10:05:00,60.91,61.1,60.9,61.1,13197
2019-11-06 10:10:00,61.055,61.27,61.05,61.22,11293
2019-11-06 10:15:00,61.2026,61.22,61.08,61.1426,20436
2019-11-06 10:20:00,61.1,61.1455,61.005,61.005,22726
2019-11-06 10:25:00,60.98,61.15,60.97,61.105,11311
2019-11-06 10:30:00,61.13,61.17,61.09,61.13,15688
2019-11-06 10:35:00,61.1019,61.1649,60.8797,60.9519,17165
2019-11-06 10:40:00,60.935,61.06,60.9,61.06,8326
2019-11-06 10:45:00,61.04,61.115,61.0,61.11,14066
2019-11-06 10:50:00,61.11,61.12,60.81,60.81,22408
2019-11-06 10:55:00,60.816,60.855,60.805,60.805,8077
2019-11-06 11:00:00,60.8,60.82,60.7286,60.74,11729
2019-11-06 11:05:00,60.75,60.81,60.74,60.8,11282
2019-11-06 11:10:00,60.74,60.82,60.7308,60.7308,7564
2019-11-06 11:15:00,60.745,60.85,60.735,60.8,11232
2019-11-06 11:20:00,60.82,60.87,60.8,60.83,16883
2019-11-06 11:25:00,60.825,60.83,60.75,60.795,5988
2019-11-06 11:30:00,60.785,60.8,60.72,60.76,13210
2019-11-06 11:35:00,60.77,60.87,60.77,60.81,10695
2019-11-06 11:40:00,60.835,60.84,60.785,60.83,9553
2019-11-06 11:45:00,60.815,60.83,60.72,60.72,20085
2019-11-06 11:50:00,60.69,60.81,60.67,60.71,17915
2019-11-06 11:55:00,60.7,60.72,60.68,60.72,10406
2019-11-06 12:00:00,60.73,60.8,60.72,60.79,11496
2019-11-06 12:05:00,60.79,60.8,60.79,60.8,12443
2019-11-06 12:10:00,60.81,60.82,60.77,60.78,17417
2019-11-06 12:15:00,60.77,60.775,60.705,60.735,12491
2019-11-06 12:20:00,60.735,60.78,60.72,60.77,18155
2019-11-06 12:25:00,60.78,60.82,60.75,60.82,13231
2019-11-06 12:30:00,60.815,60.82,60.77,60.785,7662
2019-11-06 12:35:00,60.7616,60.8389,60.6787,60.6916,14275
2019-11-06 12:40:00,60.7,60.715,60.61,60.61,9089
2019-11-06 12:45:00,60.6,60.6,60.38,60.4,15525
2019-11-06 12:50:00,60.385,60.5,60.37,60.5,11645
2019-11-06 12:55:00,60.48,60.49,60.43,60.44,7831
2019-11-06 13:00:00,60.47,60.47,60.44,60.47,5038
2019-11-06 13:05:00,60.46,60.46,60.365,60.415,10357
2019-11-06 13:10:00,60.42,60.43,60.31,60.31,6255
2019-11-06 13:15:00,60.33,60.33,60.275,60.275,7168
2019-11-06 13:20:00,60.2919,60.3687,60.2586,60.2726,19730
2019-11-06 13:25:00,60.2716,60.335,60.27,60.3247,16663
2019-11-06 13:30:00,60.31,60.32,60.275,60.275,9502
2019-11-06 13:35:00,60.275,60.36,60.27,60.36,13316
2019-11-06 13:40:00,60.335,60.4525,60.31,60.435,12212
2019-11-06 13:45:00,60.435,60.53,60.435,60.515,8807
2019-11-06 13:50:00,60.53,60.56,60.52,60.5539,8861
2019-11-06 13:55:00,60.55,60.72,60.55,60.72,8427
2019-11-06 14:00:00,60.73,60.79,60.73,60.75,8687
2019-11-06 14:05:00,60.73,60.81,60.73,60.775,11968
2019-11-06 14:10:00,60.77,60.87,60.77,60.84,7848
2019-11-06 14:15:00,60.85,60.86,60.78,60.79,11366
2019-11-06 14:20:00,60.81,60.83,60.81,60.815,3988
2019-11-06 14:25:00,60.815,60.87,60.815,60.87,14351
2019-11-06 14:30:00,60.88,60.905,60.86,60.89,12204
2019-11-06 14:35:00,60.88,60.94,60.88,60.885,10118
2019-11-06 14:40:00,60.89,60.89,60.81,60.865,10818
2019-11-06 14:45:00,60.865,60.9342,60.865,60.92,11701
2019-11-06 14:50:00,60.915,60.95,60.915,60.935,12135
2019-11-06 14:55:00,60.935,60.98,60.92,60.98,12610
2019-11-06 15:00:00,60.98,61.02,60.95,60.95,23370
2019-11-06 15:05:00,60.94,60.99,60.925,60.96,11534
