,open,high,low,close,volume
2019-11-04 14:15:00,42.8364,42.882,42.8019,42.8311,45423
2019-11-04 14:20:00,42.8,42.87,42.7595,42.76,31944
2019-11-04 14:25:00,42.765,42.8412,42.75,42.75,34836
2019-11-04 14:30:00,42.76,42.93,42.755,42.92,45104
2019-11-04 14:35:00,42.92,43.0,42.895,42.9549,65241
2019-11-04 14:40:00,42.96,42.995,42.955,42.955,34119
2019-11-04 14:45:00,42.9558,42.96,42.9001,42.9595,66369
2019-11-04 14:50:00,42.96,42.966,42.95,42.95,27236
2019-11-04 14:55:00,42.96,42.96,42.86,42.8949,38584
2019-11-04 15:00:00,42.9,42.98,42.87,42.98,40948
2019-11-04 15:05:00,42.98,42.98,42.88,42.9168,44983
2019-11-04 15:10:00,42.91,42.9735,42.91,42.95,37211
2019-11-04 15:15:00,42.94,42.94,42.87,42.875,29682
2019-11-04 15:20:00,42.875,42.965,42.85,42.965,65102
2019-11-04 15:25:00,42.9661,43.0116,42.8415,42.8811,91514
2019-11-04 15:30:00,42.8744,42.88,42.73,42.7818,98391
2019-11-04 15:35:00,42.78,42.78,42.61,42.635,133581
2019-11-04 15:40:00,42.6217,42.7709,42.6008,42.6917,79201
2019-11-04 15:45:00,42.67,42.75,42.6496,42.71,69098
2019-11-04 15:50:00,42.7101,42.735,42.71,42.725,79675
2019-11-04 15:55:00,42.73,42.97,42.725,42.97,174745
2019-11-04 16:00:00,42.97,42.99,42.78,42.83,333830
2019-11-05 09:35:00,42.5414,43.0619,42.4613,43.0214,432260
2019-11-05 09:40:00,42.97,42.97,42.565,42.57,220866
2019-11-05 09:45:00,42.5618,42.6009,42.0404,42.4318,189481
2019-11-05 09:50:00,42.4802,42.4802,42.14,42.14,82600
2019-11-05 09:55:00,42.1617,42.255,42.0,42.0317,159408
2019-11-05 10:00:00,41.98,42.38,41.98,42.27,129205
2019-11-05 10:05:00,42.2507,42.8371,42.2466,42.7807,167515
2019-11-05 10:10:00,42.7711,42.8215,42.4911,42.6811,147841
2019-11-05 10:15:00,42.68,42.68,42.34,42.34,59712
2019-11-05 10:20:00,42.36,42.555,42.3475,42.525,99437
2019-11-05 10:25:00,42.5418,42.65,42.52,42.5218,55422
2019-11-05 10:30:00,42.5266,42.5648,42.1495,42.2016,128213
2019-11-05 10:35:00,42.1917,42.2599,42.1876,42.2417,103071
2019-11-05 10:40:00,42.26,42.4,42.081,42.105,110144
2019-11-05 10:45:00,42.12600000000001,42.26,42.11,42.12,89751
2019-11-05 10:50:00,42.1507,42.2394,42.09,42.2107,71553
2019-11-05 10:55:00,42.21,42.36,42.21,42.34,117385
2019-11-05 11:00:00,42.35,42.38,42.31,42.38,35053
2019-11-05 11:05:00,42.375,42.52,42.3699,42.51,71200
2019-11-05 11:10:00,42.4908,42.5373,42.36,42.5309,71198
2019-11-05 11:15:00,42.5518,42.611,42.4799,42.5018,27440
2019-11-05 11:20:00,42.485,42.51,42.38,42.38,31495
2019-11-05 11:25:00,42.377,42.62,42.3538,42.58,55255
2019-11-05 11:30:00,42.58,42.75,42.58,42.68,71041
2019-11-05 11:35:00,42.6614,42.68,42.61,42.6757,22028
2019-11-05 11:40:00,42.67,42.67,42.44,42.44,28168
2019-11-05 11:45:00,42.48,42.49,42.36,42.37,32038
2019-11-05 11:50:00,42.37,42.45,42.36,42.39,36640
2019-11-05 11:55:00,42.41,42.59,42.3955,42.5295,56430
2019-11-05 12:00:00,42.54,42.69,42.54,42.64,34713
2019-11-05 12:05:00,42.63,42.725,42.61,42.6359,36150
2019-11-05 12:10:00,42.6616,42.72,42.5999,42.6418,30610
2019-11-05 12:15:00,42.66,42.68,42.47,42.5,35771
2019-11-05 12:20:00,42.47,42.53,42.45,42.45,17942
2019-11-05 12:25:00,42.45,42.4516,42.2,42.2154,72993
2019-11-05 12:30:00,42.21,42.23,42.085,42.085,113078
2019-11-05 12:35:00,42.08,42.15,41.78,41.88,156830
2019-11-05 12:40:00,41.8714,41.9408,41.7906,41.9014,63729
2019-11-05 12:45:00,41.925,42.06,41.925,42.03,46305
2019-11-05 12:50:00,42.0018,42.06,41.9444,42.0018,21737
2019-11-05 12:55:00,41.99,42.02,41.94,41.9553,71994
2019-11-05 13:00:00,41.96,41.99,41.9,41.99,19320
2019-11-05 13:05:00,41.975,42.03,41.96,42.02,45544
2019-11-05 13:10:00,42.0415,42.0499,41.99,42.0193,31661
2019-11-05 13:15:00,42.0148,42.02,41.97,42.0,30606
2019-11-05 13:20:00,41.985,42.0,41.93,41.945,26497
2019-11-05 13:25:00,41.9497,41.98,41.86,41.86,45012
2019-11-05 13:30:00,41.8605,41.95,41.8605,41.89,19090
2019-11-05 13:35:00,41.89,41.9,41.7921,41.83,54112
2019-11-05 13:40:00,41.827,41.8655,41.7601,41.7917,35917
2019-11-05 13:45:00,41.77,41.785,41.7,41.73,37392
2019-11-05 13:50:00,41.73,41.84,41.68,41.68,39382
2019-11-05 13:55:00,41.7125,41.7125,41.59,41.61,50419
2019-11-05 14:00:00,41.61,41.61,41.52,41.52,66670
2019-11-05 14:05:00,41.5213,41.5808,41.4506,41.4713,196790
2019-11-05 14:10:00,41.47,41.51,41.4,41.4096,67566
2019-11-05 14:15:00,41.42,41.465,41.41,41.45,53389
2019-11-05 14:20:00,41.45,41.464,41.37,41.39,52827
2019-11-05 14:25:00,41.39,41.435,41.38,41.4,53873
2019-11-05 14:30:00,41.39,41.58,41.38,41.5602,118953
2019-11-05 14:35:00,41.5658,41.6001,41.53,41.5808,72119
2019-11-05 14:40:00,41.6017,41.61,41.4504,41.4925,229460
2019-11-05 14:45:00,41.4715,41.5589,41.4388,41.5215,48485
2019-11-05 14:50:00,41.53,41.57,41.46,41.48,26216
2019-11-05 14:55:00,41.495,41.5,41.39,41.41,54087
2019-11-05 15:00:00,41.41,41.47,41.4,41.47,53841
2019-11-05 15:05:00,41.45,41.48,41.36,41.39,65725
2019-11-05 15:10:00,41.4013,41.4603,41.2901,41.4012,124713
2019-11-05 15:15:00,41.4111,41.4514,41.36,41.3711,30846
2019-11-05 15:20:00,41.3796,41.4,41.33,41.33,51808
2019-11-05 15:25:00,41.3308,41.3379,41.29,41.3108,63606
2019-11-05 15:30:00,41.3217,41.325,41.2781,41.3117,40995
2019-11-05 15:35:00,41.31,41.53,41.31,41.53,73027
2019-11-05 15:40:00,41.53,41.54,41.47,41.48,70023
2019-11-05 15:45:00,41.48,41.488,41.36,41.375,65922
2019-11-05 15:50:00,41.375,41.43,41.35,41.35,79918
2019-11-05 15:55:00,41.3607,41.405,41.335,41.3907,212276
2019-11-05 16:00:00,41.4,41.46,41.28,41.37,412324
