,open,high,low,close,volume
2019-11-04 14:15:00,188.07,188.199,188.05,188.1245,112362
2019-11-04 14:20:00,188.13,188.13,188.03,188.075,107173
2019-11-04 14:25:00,188.075,188.128,188.025,188.07,105805
2019-11-04 14:30:00,188.06,188.08,188.04,188.06,78907
2019-11-04 14:35:00,188.06,188.06,188.0,188.0158,102694
2019-11-04 14:40:00,188.015,188.05,187.8,187.8063,225075
2019-11-04 14:45:00,187.8045,187.84,187.75,187.7925,139498
2019-11-04 14:50:00,187.785,187.92,187.63,187.6956,215236
2019-11-04 14:55:00,187.6919,187.76,187.68,187.7265,112750
2019-11-04 15:00:00,187.73,187.75,187.666,187.67,104125
2019-11-04 15:05:00,187.67,187.83,187.642,187.75,283232
2019-11-04 15:10:00,187.74,187.745,187.69,187.745,101347
2019-11-04 15:15:00,187.745,187.94,187.61,187.62,115728
2019-11-04 15:20:00,187.63,187.64,187.605,187.64,99785
2019-11-04 15:25:00,187.64,187.757,187.61,187.615,145462
2019-11-04 15:30:00,187.6081,187.65,187.595,187.62,130442
2019-11-04 15:35:00,187.64,187.69299999999998,187.6,187.655,128645
2019-11-04 15:40:00,187.66,187.9794,187.66,187.7964,195964
2019-11-04 15:45:00,187.7851,188.55,187.7752,188.54,305066
2019-11-04 15:50:00,188.53,188.83,188.52,188.78,300029
2019-11-04 15:55:00,188.8,188.85,188.57,188.72,330929
2019-11-04 16:00:00,188.73,188.74,188.11,188.67,581076
2019-11-05 09:35:00,190.03599999999997,190.5552,189.7745,189.8761,784248
2019-11-05 09:40:00,189.8837,190.4598,189.7792,190.2637,288552
2019-11-05 09:45:00,190.278,190.5031,190.0827,190.0879,235906
2019-11-05 09:50:00,190.05,190.24,190.05,190.2,182512
2019-11-05 09:55:00,190.1836,190.94,190.1836,190.91,263020
2019-11-05 10:00:00,190.91,191.085,190.84,191.08,337203
2019-11-05 10:05:00,191.1231,191.16,190.72,190.7421,246773
2019-11-05 10:10:00,190.7319,190.9117,190.4345,190.445,163364
2019-11-05 10:15:00,190.44,190.59,190.28,190.31,163775
2019-11-05 10:20:00,190.33,190.51,190.17,190.2499,118050
2019-11-05 10:25:00,190.27,190.54,190.26,190.44,89124
2019-11-05 10:30:00,190.48,190.67,190.44,190.63,84952
2019-11-05 10:35:00,190.615,190.615,190.06,190.06,116807
2019-11-05 10:40:00,190.065,190.25,190.05,190.1783,93968
2019-11-05 10:45:00,190.17,190.31,189.9,189.92,135107
2019-11-05 10:50:00,189.9431,189.97,189.82,189.9421,171644
2019-11-05 10:55:00,189.91,190.05,189.845,189.945,79155
2019-11-05 11:00:00,189.93,190.09,189.89,189.95,91338
2019-11-05 11:05:00,189.97,190.07,189.87,189.93,56183
2019-11-05 11:10:00,189.935,190.025,189.91,190.025,57612
2019-11-05 11:15:00,190.01,190.17,189.9,189.98,98354
2019-11-05 11:20:00,189.99,190.5122,189.98,190.47,123706
2019-11-05 11:25:00,190.4776,190.8527,190.4122,190.6576,165398
2019-11-05 11:30:00,190.65,191.04,190.65,190.87,120353
2019-11-05 11:35:00,190.87,191.26,190.86,191.22,205535
2019-11-05 11:40:00,191.24,191.57,191.185,191.38,127402
2019-11-05 11:45:00,191.38,191.72,191.25,191.72,97565
2019-11-05 11:50:00,191.71,191.76,191.58,191.7584,160594
2019-11-05 11:55:00,191.7428,192.18,191.7161,192.07,246388
2019-11-05 12:00:00,192.08,192.1,191.845,191.93,103727
2019-11-05 12:05:00,191.93,192.0698,191.9101,191.96,73945
2019-11-05 12:10:00,191.99,192.05,191.95,191.9618,61484
2019-11-05 12:15:00,191.95,191.9704,191.6,191.7009,65140
2019-11-05 12:20:00,191.69,191.73,191.6104,191.6104,45738
2019-11-05 12:25:00,191.63,191.887,191.625,191.8868,48928
2019-11-05 12:30:00,191.89,192.09,191.86,192.01,67869
2019-11-05 12:35:00,192.0364,192.0364,191.74,191.74200000000002,91232
2019-11-05 12:40:00,191.72,192.1,191.72,192.07,53887
2019-11-05 12:45:00,192.0701,192.0909,191.98,192.05,42647
2019-11-05 12:50:00,192.05,192.07,191.95,191.98,44965
2019-11-05 12:55:00,191.96,191.985,191.82,191.92,35456
2019-11-05 13:00:00,191.91,192.11,191.88,192.06,57112
2019-11-05 13:05:00,192.04,192.1565,192.04,192.11,46720
2019-11-05 13:10:00,192.14,192.41,192.14,192.215,179716
2019-11-05 13:15:00,192.2,192.28,192.195,192.21,48097
2019-11-05 13:20:00,192.215,192.25799999999998,192.13,192.13,52552
2019-11-05 13:25:00,192.15,192.215,192.1289,192.1289,85948
2019-11-05 13:30:00,192.14,192.17,192.1,192.13,40870
2019-11-05 13:35:00,192.1359,192.14,191.915,192.02,61040
2019-11-05 13:40:00,192.0394,192.07,191.85,191.94,40471
2019-11-05 13:45:00,191.95,192.0887,191.95,192.04,38059
2019-11-05 13:50:00,192.04,192.32,192.04,192.3,99282
2019-11-05 13:55:00,192.31,192.43,192.31,192.395,60685
2019-11-05 14:00:00,192.4,192.45,192.4,192.44,88347
2019-11-05 14:05:00,192.44,192.57,192.42,192.56099999999998,215800
2019-11-05 14:10:00,192.555,192.69,192.55,192.5826,71102
2019-11-05 14:15:00,192.5964,192.61,192.57,192.57,39811
2019-11-05 14:20:00,192.57,192.653,192.55,192.6341,57165
2019-11-05 14:25:00,192.63099999999997,192.67,192.613,192.67,66859
2019-11-05 14:30:00,192.6576,192.78,192.61,192.78,72979
2019-11-05 14:35:00,192.77,192.845,192.7406,192.845,48949
2019-11-05 14:40:00,192.85,192.92,192.8,192.8219,63598
