,open,high,low,close,volume
2019-11-04 14:15:00,4.845,4.88,4.845,4.873,22286
2019-11-04 14:20:00,4.875,4.875,4.85,4.85,13753
2019-11-04 14:25:00,4.85,4.85,4.84,4.85,21828
2019-11-04 14:30:00,4.8452,4.8647,4.8447,4.8552,13037
2019-11-04 14:35:00,4.855,4.86,4.855,4.855,4370
2019-11-04 14:40:00,4.86,4.87,4.86,4.87,12826
2019-11-04 14:45:00,4.8701,4.8938,4.8688,4.8851,17843
2019-11-04 14:50:00,4.8802,4.8897,4.8647,4.8702,22535
2019-11-04 14:55:00,4.8602,4.87,4.855,4.8552,6412
2019-11-04 15:00:00,4.86,4.86,4.83,4.83,14758
2019-11-04 15:05:00,4.8352,4.8447,4.8347,4.8352,11881
2019-11-04 15:10:00,4.8351,4.8442,4.8342,4.8401,9750
2019-11-04 15:15:00,4.84,4.84,4.835,4.84,40269
2019-11-04 15:20:00,4.8402,4.8447,4.8347,4.8352,13982
2019-11-04 15:25:00,4.8351,4.84,4.83,4.8351,9873
2019-11-04 15:30:00,4.8352,4.8397,4.8246,4.8252,23502
2019-11-04 15:35:00,4.8251,4.8338,4.8138,4.8151,32525
2019-11-04 15:40:00,4.82,4.82,4.81,4.81,15258
2019-11-04 15:45:00,4.8152,4.8245,4.8145,4.8202,25740
2019-11-04 15:50:00,4.815,4.82,4.81,4.81,17755
2019-11-04 15:55:00,4.8152,4.8345,4.8145,4.8302,64694
2019-11-04 16:00:00,4.83,4.83,4.81,4.82,116138
2019-11-05 09:35:00,4.8,4.86,4.8,4.85,25386
2019-11-05 09:40:00,4.8901,4.8938,4.8538,4.8701,17536
2019-11-05 09:45:00,4.87,4.87,4.85,4.85,5950
2019-11-05 09:50:00,4.85,4.85,4.8346,4.835,34772
2019-11-05 09:55:00,4.835,4.86,4.835,4.86,15537
2019-11-05 10:00:00,4.85,4.855,4.84,4.85,17005
2019-11-05 10:05:00,4.8401,4.8642,4.8242,4.8501,17206
2019-11-05 10:10:00,4.8401,4.85,4.82,4.8251,16867
2019-11-05 10:15:00,4.8252,4.8347,4.8197,4.8202,23332
2019-11-05 10:20:00,4.82,4.8265,4.82,4.82,12353
2019-11-05 10:25:00,4.825,4.825,4.82,4.82,5552
2019-11-05 10:30:00,4.82,4.825,4.82,4.82,12277
2019-11-05 10:35:00,4.825,4.825,4.82,4.82,8712
2019-11-05 10:40:00,4.8252,4.8345,4.8195,4.8252,16918
2019-11-05 10:45:00,4.8302,4.8347,4.8247,4.8252,8242
2019-11-05 10:50:00,4.82,4.845,4.82,4.845,26623
2019-11-05 10:55:00,4.85,4.85,4.84,4.84,11134
2019-11-05 11:00:00,4.84,4.84,4.82,4.83,23142
2019-11-05 11:05:00,4.82,4.825,4.82,4.825,4521
