,open,high,low,close,volume
2019-11-04 14:15:00,3.6051,3.6058,3.6,3.6058,102766
2019-11-04 14:20:00,3.6051,3.6131,3.6031,3.6051,378759
2019-11-04 14:25:00,3.61,3.61,3.6,3.61,88277
2019-11-04 14:30:00,3.6051,3.6235,3.6035,3.6103,785493
2019-11-04 14:35:00,3.6101,3.6185,3.6035,3.6051,402179
2019-11-04 14:40:00,3.6059,3.61,3.6,3.6,105851
2019-11-04 14:45:00,3.6,3.61,3.6,3.6,80139
2019-11-04 14:50:00,3.6,3.61,3.6,3.6,161485
2019-11-04 14:55:00,3.6051,3.6134,3.6034,3.6051,82472
2019-11-04 15:00:00,3.6,3.61,3.6,3.61,84748
2019-11-04 15:05:00,3.6051,3.6135,3.6035,3.6051,143213
2019-11-04 15:10:00,3.6051,3.6131,3.6031,3.6051,155735
2019-11-04 15:15:00,3.61,3.61,3.6,3.6,155212
2019-11-04 15:20:00,3.6,3.61,3.6,3.6,117426
2019-11-04 15:25:00,3.605,3.61,3.6,3.6,184995
2019-11-04 15:30:00,3.6102,3.6135,3.6035,3.6052,258501
2019-11-04 15:35:00,3.6,3.61,3.6,3.61,263441
2019-11-04 15:40:00,3.6051,3.6135,3.6034,3.6101,442138
2019-11-04 15:45:00,3.6101,3.6134,3.6034,3.6101,302768
2019-11-04 15:50:00,3.6101,3.6135,3.6035,3.6081,715678
2019-11-04 15:55:00,3.6101,3.6134,3.6033,3.6101,562678
2019-11-04 16:00:00,3.61,3.62,3.605,3.61,1771523
2019-11-05 09:35:00,3.5401,3.55,3.54,3.55,3740079
2019-11-05 09:40:00,3.5451,3.5528,3.5128,3.5151,1929427
2019-11-05 09:45:00,3.5201,3.5265,3.515,3.525,973688
2019-11-05 09:50:00,3.5251,3.54,3.52,3.5351,812010
2019-11-05 09:55:00,3.5351,3.5434,3.5234,3.5251,459305
2019-11-05 10:00:00,3.53,3.5301,3.525,3.53,592586
2019-11-05 10:05:00,3.5351,3.54,3.53,3.5351,344661
2019-11-05 10:10:00,3.535,3.54,3.53,3.53,302382
2019-11-05 10:15:00,3.5351,3.5434,3.5334,3.5351,136353
2019-11-05 10:20:00,3.5351,3.5528,3.5328,3.5501,799756
2019-11-05 10:25:00,3.5501,3.555,3.545,3.5451,850628
2019-11-05 10:30:00,3.5451,3.5533,3.5333,3.5351,261242
2019-11-05 10:35:00,3.5351,3.54,3.53,3.5351,765839
2019-11-05 10:40:00,3.5351,3.5433,3.5279,3.5301,649070
2019-11-05 10:45:00,3.53,3.54,3.52,3.52,542294
2019-11-05 10:50:00,3.52,3.53,3.52,3.52,326352
2019-11-05 10:55:00,3.52,3.53,3.52,3.52,287275
2019-11-05 11:00:00,3.52,3.52,3.52,3.52,441266
2019-11-05 11:05:00,3.52,3.54,3.52,3.5332,681713
2019-11-05 11:10:00,3.5351,3.5528,3.5328,3.5401,693730
2019-11-05 11:15:00,3.545,3.55,3.54,3.54,262309
2019-11-05 11:20:00,3.54,3.55,3.54,3.5452,142360
2019-11-05 11:25:00,3.555,3.56,3.55,3.55,773385
2019-11-05 11:30:00,3.54,3.55,3.54,3.55,295721
2019-11-05 11:35:00,3.5501,3.5535,3.5435,3.5501,712818
2019-11-05 11:40:00,3.5451,3.5631,3.5431,3.5601,416661
2019-11-05 11:45:00,3.56,3.56,3.55,3.55,229865
2019-11-05 11:50:00,3.55,3.56,3.55,3.555,401381
2019-11-05 11:55:00,3.555,3.56,3.55,3.55,105276
2019-11-05 12:00:00,3.56,3.56,3.54,3.54,496780
2019-11-05 12:05:00,3.5501,3.5534,3.5434,3.55,318230
2019-11-05 12:10:00,3.5501,3.5633,3.5433,3.5551,380990
2019-11-05 12:15:00,3.55,3.56,3.55,3.555,79719
2019-11-05 12:20:00,3.5551,3.5633,3.5533,3.5601,77388
2019-11-05 12:25:00,3.55,3.56,3.55,3.56,53707
2019-11-05 12:30:00,3.55,3.56,3.55,3.55,88755
2019-11-05 12:35:00,3.56,3.56,3.54,3.55,675654
2019-11-05 12:40:00,3.5401,3.5488,3.5234,3.5402,1729302
2019-11-05 12:45:00,3.54,3.55,3.54,3.54,408927
2019-11-05 12:50:00,3.54,3.55,3.54,3.54,119866
2019-11-05 12:55:00,3.54,3.56,3.54,3.5587,403940
2019-11-05 13:00:00,3.56,3.56,3.5544,3.56,75215
2019-11-05 13:05:00,3.5601,3.565,3.5534,3.5612,868508
2019-11-05 13:10:00,3.5651,3.5683,3.5533,3.5551,286313
2019-11-05 13:15:00,3.5551,3.5735,3.5535,3.5651,555447
2019-11-05 13:20:00,3.5651,3.5731,3.5631,3.5651,242182
2019-11-05 13:25:00,3.57,3.57,3.56,3.56,117483
2019-11-05 13:30:00,3.5651,3.5735,3.5635,3.5701,121941
2019-11-05 13:35:00,3.565,3.57,3.56,3.56,297265
2019-11-05 13:40:00,3.5624,3.57,3.56,3.565,199058
2019-11-05 13:45:00,3.5701,3.5728,3.5628,3.5651,161946
2019-11-05 13:50:00,3.5641,3.5734,3.5634,3.5701,167267
2019-11-05 13:55:00,3.565,3.57,3.56,3.56,131890
2019-11-05 14:00:00,3.57,3.57,3.56,3.57,101610
2019-11-05 14:05:00,3.5701,3.5735,3.5535,3.5551,245445
2019-11-05 14:10:00,3.5585,3.56,3.55,3.55,129200
2019-11-05 14:15:00,3.55,3.56,3.55,3.56,110314
2019-11-05 14:20:00,3.5551,3.56,3.555,3.5551,166231
2019-11-05 14:25:00,3.5601,3.5634,3.5534,3.5601,209850
2019-11-05 14:30:00,3.555,3.56,3.55,3.55,221141
2019-11-05 14:35:00,3.555,3.56,3.54,3.54,739450
2019-11-05 14:40:00,3.55,3.55,3.54,3.54,161456
2019-11-05 14:45:00,3.55,3.5533,3.5333,3.5401,1037804
2019-11-05 14:50:00,3.5401,3.5535,3.5335,3.5351,1085422
2019-11-05 14:55:00,3.5351,3.5399,3.5264,3.5302,1149149
2019-11-05 15:00:00,3.53,3.535,3.53,3.53,90423
2019-11-05 15:05:00,3.53,3.54,3.53,3.54,169193
2019-11-05 15:10:00,3.5401,3.5434,3.5334,3.5351,206563
2019-11-05 15:15:00,3.53,3.55,3.53,3.55,689537
2019-11-05 15:20:00,3.545,3.55,3.54,3.54,125571
2019-11-05 15:25:00,3.5451,3.55,3.545,3.5451,123162
2019-11-05 15:30:00,3.5501,3.5534,3.5434,3.5501,159808
2019-11-05 15:35:00,3.5451,3.55,3.5443,3.5451,413009
2019-11-05 15:40:00,3.5451,3.5485,3.5335,3.5351,758877
2019-11-05 15:45:00,3.5401,3.545,3.535,3.5401,465758
2019-11-05 15:50:00,3.55,3.55,3.53,3.55,735072
2019-11-05 15:55:00,3.5401,3.5481,3.5331,3.5361,816463
2019-11-05 16:00:00,3.54,3.55,3.53,3.54,1290463
2019-11-06 09:35:00,3.5902,3.6035,3.5734,3.5801,1548903
2019-11-06 09:40:00,3.5801,3.5934,3.5733,3.5851,1273637
2019-11-06 09:45:00,3.5851,3.5999,3.58,3.5901,1035097
2019-11-06 09:50:00,3.5901,3.6033,3.5833,3.6001,727127
