,open,high,low,close,volume
2019-11-04 14:15:00,6.215,6.2154,6.215,6.215,19964
2019-11-04 14:20:00,6.2128,6.22,6.21,6.215,24171
2019-11-04 14:25:00,6.22,6.23,6.22,6.22,11326
2019-11-04 14:30:00,6.215,6.22,6.21,6.2101,10535
2019-11-04 14:35:00,6.215,6.22,6.2141,6.2199,13206
2019-11-04 14:40:00,6.215,6.225,6.215,6.22,81377
2019-11-04 14:45:00,6.22,6.23,6.22,6.225,70876
2019-11-04 14:50:00,6.22,6.23,6.22,6.225,12903
2019-11-04 14:55:00,6.225,6.225,6.2201,6.225,10324
2019-11-04 15:00:00,6.22,6.23,6.22,6.23,85753
2019-11-04 15:05:00,6.225,6.225,6.22,6.224,17092
2019-11-04 15:10:00,6.22,6.225,6.2149,6.2149,80487
2019-11-04 15:15:00,6.215,6.215,6.21,6.21,7467
2019-11-04 15:20:00,6.21,6.216,6.21,6.21,5849
2019-11-04 15:25:00,6.215,6.22,6.21,6.21,11995
2019-11-04 15:30:00,6.215,6.22,6.21,6.215,26583
2019-11-04 15:35:00,6.2151,6.2249,6.2149,6.2151,16902
2019-11-04 15:40:00,6.215,6.22,6.21,6.215,27545
2019-11-04 15:45:00,6.215,6.22,6.2101,6.22,31350
2019-11-04 15:50:00,6.211,6.22,6.21,6.21,117236
2019-11-04 15:55:00,6.215,6.23,6.215,6.225,56301
2019-11-04 16:00:00,6.23,6.24,6.21,6.21,308710
2019-11-05 09:35:00,6.2402,6.2461,6.2261,6.2302,106859
2019-11-05 09:40:00,6.2142,6.22,6.21,6.215,21445
2019-11-05 09:45:00,6.21,6.22,6.21,6.215,24314
2019-11-05 09:50:00,6.215,6.22,6.2101,6.2101,12158
2019-11-05 09:55:00,6.215,6.22,6.215,6.2178,10822
2019-11-05 10:00:00,6.22,6.22,6.21,6.22,13973
2019-11-05 10:05:00,6.22,6.22,6.215,6.215,34263
2019-11-05 10:10:00,6.215,6.22,6.215,6.22,45110
2019-11-05 10:15:00,6.2159,6.22,6.2101,6.215,24282
2019-11-05 10:20:00,6.2151,6.22,6.2101,6.2151,15195
2019-11-05 10:25:00,6.215,6.22,6.215,6.22,17149
2019-11-05 10:30:00,6.215,6.22,6.215,6.215,15388
2019-11-05 10:35:00,6.2152,6.226,6.1909,6.2102,237370
2019-11-05 10:40:00,6.21,6.2179,6.205,6.215,33525
2019-11-05 10:45:00,6.21,6.21,6.2,6.205,26346
2019-11-05 10:50:00,6.21,6.21,6.2,6.205,4677
2019-11-05 10:55:00,6.21,6.21,6.2,6.21,9237
2019-11-05 11:00:00,6.2,6.21,6.18,6.19,97328
2019-11-05 11:05:00,6.19,6.2,6.19,6.195,36660
2019-11-05 11:10:00,6.1957,6.2049,6.1949,6.2001,4412
2019-11-05 11:15:00,6.2003,6.206,6.1960000000000015,6.2003,11481
2019-11-05 11:20:00,6.2,6.2,6.1917,6.1917,4442
2019-11-05 11:25:00,6.1902,6.2,6.1899,6.1902,58308
2019-11-05 11:30:00,6.185,6.19,6.1802,6.185,22085
2019-11-05 11:35:00,6.185,6.19,6.18,6.19,4661
2019-11-05 11:40:00,6.19,6.19,6.1833,6.1879,6730
2019-11-05 11:45:00,6.19,6.19,6.18,6.18,9160
2019-11-05 11:50:00,6.185,6.19,6.18,6.19,7805
2019-11-05 11:55:00,6.185,6.19,6.17,6.17,117234
2019-11-05 12:00:00,6.18,6.19,6.17,6.19,101165
2019-11-05 12:05:00,6.185,6.19,6.18,6.185,15584
2019-11-05 12:10:00,6.185,6.185,6.18,6.185,16275
2019-11-05 12:15:00,6.185,6.19,6.18,6.1856,13833
2019-11-05 12:20:00,6.185,6.19,6.18,6.19,7375
2019-11-05 12:25:00,6.19,6.19,6.18,6.185,7280
2019-11-05 12:30:00,6.185,6.185,6.17,6.175,89000
2019-11-05 12:35:00,6.18,6.18,6.175,6.18,14807
2019-11-05 12:40:00,6.1802,6.186,6.18,6.1802,8768
2019-11-05 12:45:00,6.18,6.18,6.17,6.175,84612
2019-11-05 12:50:00,6.17,6.18,6.17,6.18,4208
2019-11-05 12:55:00,6.1751,6.18,6.17,6.1751,27075
2019-11-05 13:00:00,6.18,6.18,6.17,6.17,6262
2019-11-05 13:05:00,6.175,6.18,6.17,6.17,4070
2019-11-05 13:10:00,6.18,6.18,6.16,6.165,55194
2019-11-05 13:15:00,6.16,6.17,6.16,6.165,15321
2019-11-05 13:20:00,6.165,6.17,6.165,6.17,7132
2019-11-05 13:25:00,6.17,6.17,6.165,6.17,5920
2019-11-05 13:30:00,6.1702,6.176,6.1685,6.1702,6386
2019-11-05 13:35:00,6.17,6.17,6.165,6.17,4480
