,open,high,low,close,volume
2019-11-04 14:15:00,10.1104,10.12,10.1041,10.11,5316
2019-11-04 14:20:00,10.12,10.1325,10.12,10.13,1730
2019-11-04 14:25:00,10.1369,10.1446,10.09,10.09,17579
2019-11-04 14:30:00,10.0972,10.11,10.09,10.1,9398
2019-11-04 14:35:00,10.1045,10.14,10.1,10.1225,9542
2019-11-04 14:40:00,10.1404,10.1697,10.14,10.1572,3843
2019-11-04 14:45:00,10.1502,10.1779,10.1452,10.1701,9793
2019-11-04 14:50:00,10.14,10.17,10.14,10.14,10054
2019-11-04 14:55:00,10.16,10.16,10.13,10.13,2078
2019-11-04 15:00:00,10.13,10.13,10.1,10.11,18992
2019-11-04 15:05:00,10.1153,10.1249,10.0999,10.1003,12018
2019-11-04 15:10:00,10.1095,10.17,10.1095,10.1572,42438
2019-11-04 15:15:00,10.15,10.16,10.12,10.13,6967
2019-11-04 15:20:00,10.1502,10.1598,10.1309,10.1403,7268
2019-11-04 15:25:00,10.1403,10.1971,10.1398,10.1822,16982
2019-11-04 15:30:00,10.18,10.24,10.18,10.23,25695
2019-11-04 15:35:00,10.223,10.25,10.223,10.238,7540
2019-11-04 15:40:00,10.2304,10.2498,10.2298,10.2404,9126
2019-11-04 15:45:00,10.2404,10.2593,10.2396,10.2404,11415
2019-11-04 15:50:00,10.2429,10.2925,10.24,10.2703,27776
2019-11-04 15:55:00,10.2649,10.265,10.23,10.2304,35372
2019-11-04 16:00:00,10.23,10.2399,10.22,10.22,51036
2019-11-05 09:35:00,10.1903,10.2754,10.16,10.2103,36457
2019-11-05 09:40:00,10.2116,10.2116,10.1796,10.1796,6357
2019-11-05 09:45:00,10.11,10.1199,10.02,10.032,68871
2019-11-05 09:50:00,10.085,10.15,10.06,10.06,26711
2019-11-05 09:55:00,10.0804,10.0897,9.9996,10.0439,78785
2019-11-05 10:00:00,10.03,10.18,10.03,10.09,27954
2019-11-05 10:05:00,10.06,10.18,10.06,10.17,35831
2019-11-05 10:10:00,10.18,10.1802,10.14,10.14,8594
2019-11-05 10:15:00,10.1203,10.1499,10.0398,10.0503,18049
2019-11-05 10:20:00,10.07,10.15,10.07,10.15,8091
2019-11-05 10:25:00,10.1504,10.1598,10.1097,10.1304,22499
2019-11-05 10:30:00,10.1104,10.1112,10.06,10.0604,14948
2019-11-05 10:35:00,10.0607,10.09,10.0502,10.083,8989
2019-11-05 10:40:00,10.1,10.1996,10.1,10.1753,34797
2019-11-05 10:45:00,10.1601,10.185,10.12,10.12,22208
2019-11-05 10:50:00,10.1502,10.1588,10.1288,10.1362,5561
2019-11-05 10:55:00,10.15,10.16,10.11,10.11,10014
2019-11-05 11:00:00,10.11,10.16,10.09,10.16,18895
2019-11-05 11:05:00,10.1603,10.1699,10.1198,10.1375,12709
2019-11-05 11:10:00,10.1202,10.128,10.0579,10.0995,46625
2019-11-05 11:15:00,10.1188,10.1188,10.09,10.0981,2086
2019-11-05 11:20:00,10.0956,10.1,10.07,10.0956,263
2019-11-05 11:25:00,10.05,10.07,10.05,10.054,27522
2019-11-05 11:30:00,10.0726,10.08,10.0631,10.0631,2028
2019-11-05 11:35:00,10.0803,10.0899,10.0599,10.0703,7187
2019-11-05 11:40:00,10.0718,10.0899,10.06,10.063,2499
2019-11-05 11:45:00,10.07,10.07,10.06,10.06,1312
2019-11-05 11:50:00,10.06,10.07,9.97,9.97,35276
2019-11-05 11:55:00,9.97,10.01,9.97,9.9758,36241
2019-11-05 12:00:00,9.99,10.01,9.98,10.01,16001
2019-11-05 12:05:00,10.0072,10.0271,10.0,10.0116,6265
2019-11-05 12:10:00,10.0028,10.0144,9.9693,9.9704,24379
2019-11-05 12:15:00,9.97,10.0246,9.97,10.0138,16202
2019-11-05 12:20:00,10.0169,10.04,10.01,10.01,4149
2019-11-05 12:25:00,10.0303,10.0398,10.0098,10.0103,13744
2019-11-05 12:30:00,10.0002,10.0087,9.9186,9.9332,42419
2019-11-05 12:35:00,9.92,9.96,9.92,9.94,23615
2019-11-05 12:40:00,9.9503,9.9553,9.9429,9.9453,6367
2019-11-05 12:45:00,9.9403,9.97,9.93,9.9411,12729
2019-11-05 12:50:00,9.9598,9.9696,9.9063,9.9204,30387
2019-11-05 12:55:00,9.9201,9.9277,9.8077,9.8274,61493
2019-11-05 13:00:00,9.82,9.8466,9.82,9.84,9962
2019-11-05 13:05:00,9.8204,9.8372,9.81,9.8315,18684
