,open,high,low,close,volume
2019-11-04 14:15:00,44.24,44.255,44.14,44.1764,146950
2019-11-04 14:20:00,44.173,44.25,44.172,44.2161,58362
2019-11-04 14:25:00,44.22,44.235,44.18,44.21,99157
2019-11-04 14:30:00,44.21,44.2454,44.205,44.245,84114
2019-11-04 14:35:00,44.25,44.25,44.2,44.23,101921
2019-11-04 14:40:00,44.2264,44.27,44.22,44.23,116955
2019-11-04 14:45:00,44.24,44.255,44.2136,44.225,95184
2019-11-04 14:50:00,44.23,44.29,44.23,44.2543,82335
2019-11-04 14:55:00,44.255,44.26,44.205,44.22,125271
2019-11-04 15:00:00,44.23,44.2634,44.23,44.26,118168
2019-11-04 15:05:00,44.255,44.33,44.245,44.32,90226
2019-11-04 15:10:00,44.32,44.34,44.25,44.28,117952
2019-11-04 15:15:00,44.28,44.31,44.255,44.285,123179
2019-11-04 15:20:00,44.29,44.35,44.28,44.28,123235
2019-11-04 15:25:00,44.2812,44.3529,44.2478,44.3012,201634
2019-11-04 15:30:00,44.29,44.32,44.195,44.21,164356
2019-11-04 15:35:00,44.205,44.26,44.2,44.235,224963
2019-11-04 15:40:00,44.235,44.25,44.18,44.1964,210992
2019-11-04 15:45:00,44.195,44.305,44.195,44.21,245213
2019-11-04 15:50:00,44.205,44.3,44.205,44.295,246795
2019-11-04 15:55:00,44.295,44.375,44.275,44.375,414453
2019-11-04 16:00:00,44.38,44.38,44.19,44.19,819172
2019-11-05 09:35:00,42.1514,42.2711,40.7997,42.0314,1711409
2019-11-05 09:40:00,42.0108,42.2132,41.6127,42.1008,714713
2019-11-05 09:45:00,42.11,42.68,42.11,42.58,619651
2019-11-05 09:50:00,42.56,42.93,42.56,42.87,348680
2019-11-05 09:55:00,42.8716,43.3248,42.841,43.2787,511742
2019-11-05 10:00:00,43.28,43.51,43.15,43.5,466093
2019-11-05 10:05:00,43.5407,43.968,43.4976,43.7707,381109
2019-11-05 10:10:00,43.7352,43.9,43.485,43.5011,516356
2019-11-05 10:15:00,43.48,43.71,43.46,43.53,336320
2019-11-05 10:20:00,43.5309,43.88,43.3873,43.8759,351671
2019-11-05 10:25:00,43.8818,43.9222,43.3116,43.3668,221067
2019-11-05 10:30:00,43.3666,43.9011,43.353,43.8616,345498
2019-11-05 10:35:00,43.8418,43.96,43.735,43.7718,152985
2019-11-05 10:40:00,43.75,44.01,43.7201,43.78,155910
2019-11-05 10:45:00,43.7914,43.863,43.6328,43.6514,137254
2019-11-05 10:50:00,43.655,43.9,43.655,43.9,121154
2019-11-05 10:55:00,43.9,44.03,43.88,43.98,200019
2019-11-05 11:00:00,43.98,43.98,43.65,43.73,161230
2019-11-05 11:05:00,43.74,43.835,43.67,43.6839,126384
2019-11-05 11:10:00,43.68,43.7935,43.68,43.74,110740
2019-11-05 11:15:00,43.7318,43.822,43.722,43.7418,128625
2019-11-05 11:20:00,43.74,43.78,43.5436,43.76,27869
2019-11-05 11:25:00,43.6668,43.72,43.63,43.7068,393558
2019-11-05 11:30:00,43.7066,43.75,43.5,43.5016,259969
2019-11-05 11:35:00,43.4814,43.5827,43.3425,43.5114,153611
2019-11-05 11:40:00,43.5007,43.52,43.37,43.4507,145669
2019-11-05 11:45:00,43.45,43.49,43.4099,43.45,254978
2019-11-05 11:50:00,43.45,43.46,43.3828,43.3828,134668
2019-11-05 11:55:00,43.3809,43.3809,42.94,42.96,288439
2019-11-05 12:00:00,42.97,43.07,42.91,42.93,161413
2019-11-05 12:05:00,42.93,42.93,42.41,42.42,270293
2019-11-05 12:10:00,42.4316,42.54,42.335,42.3817,177237
2019-11-05 12:15:00,42.3867,42.39,42.13,42.1317,255830
2019-11-05 12:20:00,42.12,42.16,42.03,42.03,170975
2019-11-05 12:25:00,42.03,42.06,41.94,41.945,196394
2019-11-05 12:30:00,41.9457,41.97,41.71,41.7827,156646
2019-11-05 12:35:00,41.79,41.92,41.73,41.92,192266
2019-11-05 12:40:00,41.915,42.14,41.78,41.7866,171475
2019-11-05 12:45:00,41.7861,41.9156,41.7404,41.8411,189036
2019-11-05 12:50:00,41.83,41.9591,41.828,41.955,138127
2019-11-05 12:55:00,41.955,42.015,41.94,41.9864,127766
2019-11-05 13:00:00,41.99,41.99,41.79,41.79,114624
2019-11-05 13:05:00,41.7917,41.84,41.6999,41.7748,143724
2019-11-05 13:10:00,41.7721,41.88,41.63,41.63,168944
2019-11-05 13:15:00,41.6357,41.66,41.515,41.515,147274
2019-11-05 13:20:00,41.5207,41.6761,41.5059,41.5807,172140
2019-11-05 13:25:00,41.58,41.5834,41.505,41.54,76819
2019-11-05 13:30:00,41.52,41.6,41.515,41.6,128342
2019-11-05 13:35:00,41.605,41.72,41.5946,41.705,161406
2019-11-05 13:40:00,41.71,41.715,41.5,41.52,180421
2019-11-05 13:45:00,41.5166,41.5581,41.4226,41.4558,166154
2019-11-05 13:50:00,41.46,41.565,41.45,41.4633,128420
2019-11-05 13:55:00,41.4665,41.5289,41.4088,41.4615,127552
2019-11-05 14:00:00,41.46,41.55,41.41,41.49,121987
2019-11-05 14:05:00,41.4963,41.5507,41.4506,41.4913,122396
2019-11-05 14:10:00,41.5,41.66,41.495,41.635,165729
2019-11-05 14:15:00,41.635,41.6421,41.54,41.54,87241
2019-11-05 14:20:00,41.5413,41.6103,41.5003,41.5563,137917
2019-11-05 14:25:00,41.55,41.64,41.541,41.62,103398
2019-11-05 14:30:00,41.6188,41.76,41.6188,41.66,158701
2019-11-05 14:35:00,41.665,41.81,41.64,41.685,158050
2019-11-05 14:40:00,41.6917,41.77,41.6298,41.7017,139125
2019-11-05 14:45:00,41.69,42.07,41.67,42.03,304353
2019-11-05 14:50:00,42.0313,42.06,41.935,41.9913,138241
2019-11-05 14:55:00,41.99,41.99,41.89,41.895,105514
2019-11-05 15:00:00,41.9,41.95,41.9,41.93,110006
2019-11-05 15:05:00,41.93,41.93,41.815,41.88,240968
2019-11-05 15:10:00,41.88,41.88,41.83,41.84,126230
2019-11-05 15:15:00,41.845,41.8948,41.81,41.81,141475
2019-11-05 15:20:00,41.81,41.83600000000001,41.775,41.775,164365
2019-11-05 15:25:00,41.78,41.795,41.77,41.795,127133
2019-11-05 15:30:00,41.8017,41.84,41.76,41.7659,196032
2019-11-05 15:35:00,41.77,41.845,41.75,41.84,180650
2019-11-05 15:40:00,41.85,41.93,41.835,41.9128,252096
2019-11-05 15:45:00,41.92,41.99,41.89,41.985,205368
2019-11-05 15:50:00,41.99,41.99,41.885,41.9,285453
2019-11-05 15:55:00,41.9007,41.9056,41.835,41.8557,401653
2019-11-05 16:00:00,41.85,41.97,41.81,41.92,714848
2019-11-06 09:35:00,41.62,41.71,41.075,41.0782,444932
2019-11-06 09:40:00,41.0915,41.1936,40.8983,41.0643,346531
2019-11-06 09:45:00,41.0715,41.17,41.01,41.1366,159621
2019-11-06 09:50:00,41.13,41.28,40.98,40.985,256843
2019-11-06 09:55:00,40.9863,41.08,40.89,40.8913,276210
2019-11-06 10:00:00,40.9,40.97,40.73,40.87,344984
2019-11-06 10:05:00,40.87,41.0974,40.86,41.05,209818
2019-11-06 10:10:00,41.0498,41.1,40.955,40.955,166680
2019-11-06 10:15:00,40.955,41.2,40.95,41.16,154506
2019-11-06 10:20:00,41.1615,41.22,41.13,41.1815,124492
2019-11-06 10:25:00,41.17,41.34,41.145,41.34,149555
2019-11-06 10:30:00,41.335,41.4854,41.335,41.42,118252
2019-11-06 10:35:00,41.4263,41.4656,41.1303,41.1613,261965
2019-11-06 10:40:00,41.15,41.24,41.14,41.215,116682
2019-11-06 10:45:00,41.21,41.44,41.205,41.42,203090
2019-11-06 10:50:00,41.4113,41.4332,41.26,41.3085,180631
