,open,high,low,close,volume
2019-11-04 14:15:00,16.29,16.3,16.26,16.275,173026
2019-11-04 14:20:00,16.2764,16.2954,16.27,16.285,132679
2019-11-04 14:25:00,16.28,16.31,16.28,16.31,190183
2019-11-04 14:30:00,16.3105,16.3359,16.3059,16.3105,330778
2019-11-04 14:35:00,16.31,16.33,16.3,16.31,250079
2019-11-04 14:40:00,16.305,16.33,16.305,16.325,216293
2019-11-04 14:45:00,16.3303,16.3429,16.2928,16.3003,246622
2019-11-04 14:50:00,16.2907,16.3056,16.2606,16.2757,510060
2019-11-04 14:55:00,16.28,16.285,16.26,16.27,154790
2019-11-04 15:00:00,16.28,16.3,16.26,16.3,1049179
2019-11-04 15:05:00,16.3,16.32,16.29,16.32,198073
2019-11-04 15:10:00,16.32,16.34,16.31,16.32,381613
2019-11-04 15:15:00,16.32,16.325,16.315,16.32,215199
2019-11-04 15:20:00,16.31,16.33,16.31,16.32,165772
2019-11-04 15:25:00,16.32,16.34,16.315,16.34,383970
2019-11-04 15:30:00,16.3357,16.34,16.32,16.3257,171485
2019-11-04 15:35:00,16.32,16.35,16.31,16.345,412898
2019-11-04 15:40:00,16.34,16.38,16.33,16.3736,376726
2019-11-04 15:45:00,16.38,16.41,16.37,16.395,487806
2019-11-04 15:50:00,16.395,16.4,16.39,16.4,580418
2019-11-04 15:55:00,16.405,16.41,16.39,16.395,234200
2019-11-04 16:00:00,16.4,16.4,16.38,16.39,558860
2019-11-05 09:35:00,16.2605,16.29,16.25,16.2555,975712
2019-11-05 09:40:00,16.25,16.295,16.24,16.24,559253
2019-11-05 09:45:00,16.24,16.27,16.23,16.26,454546
2019-11-05 09:50:00,16.2606,16.2852,16.2502,16.2556,802640
2019-11-05 09:55:00,16.2607,16.275,16.25,16.2607,401794
2019-11-05 10:00:00,16.26,16.33,16.26,16.33,350444
2019-11-05 10:05:00,16.3303,16.35,16.31,16.3403,235740
2019-11-05 10:10:00,16.34,16.345,16.275,16.285,216404
2019-11-05 10:15:00,16.29,16.36,16.285,16.35,496269
2019-11-05 10:20:00,16.3503,16.3729,16.3228,16.3403,576835
2019-11-05 10:25:00,16.3307,16.3557,16.3057,16.3057,182470
2019-11-05 10:30:00,16.305,16.3065,16.27,16.28,272619
2019-11-05 10:35:00,16.29,16.315,16.285,16.295,138460
2019-11-05 10:40:00,16.3,16.325,16.29,16.31,205207
2019-11-05 10:45:00,16.3,16.32,16.295,16.32,214820
2019-11-05 10:50:00,16.3203,16.3542,16.3191,16.3403,148463
2019-11-05 10:55:00,16.34,16.34,16.32,16.34,240147
2019-11-05 11:00:00,16.34,16.36,16.34,16.35,255829
2019-11-05 11:05:00,16.35,16.355,16.31,16.31,221451
2019-11-05 11:10:00,16.32,16.35,16.315,16.34,367496
2019-11-05 11:15:00,16.335,16.3935,16.33,16.365,301565
2019-11-05 11:20:00,16.37,16.39,16.34,16.34,200422
2019-11-05 11:25:00,16.34,16.34,16.32,16.325,155239
2019-11-05 11:30:00,16.33,16.34,16.3,16.3,258841
2019-11-05 11:35:00,16.3,16.31,16.29,16.305,231177
2019-11-05 11:40:00,16.3003,16.3191,16.2691,16.2703,240679
2019-11-05 11:45:00,16.27,16.27,16.25,16.26,312500
