,open,high,low,close,volume
2019-11-04 14:10:00,7.6503,7.7972,7.6471,7.7281,1101862
2019-11-04 14:15:00,7.7302,7.7776,7.6075,7.6151,670353
2019-11-04 14:20:00,7.6201,7.695,7.6151,7.6901,486153
2019-11-04 14:25:00,7.69,7.83,7.69,7.75,904673
2019-11-04 14:30:00,7.7459,7.755,7.19,7.19,1709222
2019-11-04 14:40:00,7.1803,7.3871,6.8266,7.3803,2772010
2019-11-04 14:45:00,7.4801,7.4859,7.3057,7.3758,323637
2019-11-04 14:50:00,7.3874,7.5072,7.317,7.3903,1392685
2019-11-04 14:55:00,7.4002,7.497000000000001,7.3969,7.4403,655526
2019-11-04 15:00:00,7.44,7.46,7.32,7.33,529710
2019-11-04 15:05:00,7.3252,7.38,6.9965,7.0252,2189248
2019-11-04 15:10:00,7.0901,7.2963,7.0761,7.2201,985581
2019-11-04 15:15:00,7.24,7.36,7.24,7.26,493665
2019-11-04 15:20:00,7.2682,7.4072,7.2671,7.3802,622276
2019-11-04 15:25:00,7.3802,7.4572,7.3771,7.4252,659973
2019-11-04 15:30:00,7.4203,7.4472,7.277,7.2911,517879
2019-11-04 15:35:00,7.2901,7.335,7.245,7.2521,529299
2019-11-04 15:40:00,7.25,7.375,7.25,7.345,454041
2019-11-04 15:45:00,7.3403,7.3619,7.2368,7.2403,488900
2019-11-04 15:50:00,7.2302,7.3072,7.2271,7.2897,588712
2019-11-04 15:55:00,7.2871,7.3668,7.2768,7.3353,581755
2019-11-04 16:00:00,7.34,7.4142,7.26,7.26,2035116
2019-11-05 09:35:00,7.6802,8.0378,7.6274,8.0293,2960360
2019-11-05 09:40:00,8.0302,8.19,7.96,7.9902,2612527
2019-11-05 09:45:00,7.9753,7.9977,7.7224,7.8903,1194829
2019-11-05 09:50:00,7.8853,7.97,7.76,7.7654,991297
2019-11-05 09:55:00,7.7703,7.9176,7.7575,7.8503,766632
2019-11-05 10:00:00,7.85,7.89,7.67,7.76,1066931
2019-11-05 10:05:00,7.77,7.7981,7.75,7.75,498319
2019-11-05 10:10:00,7.75,7.99,7.75,7.8,856197
2019-11-05 10:15:00,7.8003,7.8201,7.79,7.8003,524467
2019-11-05 10:20:00,7.8102,7.9262,7.8061,7.8902,653935
2019-11-05 10:25:00,7.8853,7.965,7.865,7.9603,591781
2019-11-05 10:30:00,7.9653,7.9775,7.9274,7.9583,344252
2019-11-05 10:35:00,7.96,7.976,7.88,7.886,393769
2019-11-05 10:40:00,7.88,7.94,7.8427,7.845,511156
2019-11-05 10:45:00,7.8502,7.8799,7.832999999999997,7.8332,321176
2019-11-05 10:50:00,7.8301,7.8468,7.7967,7.8001,344515
2019-11-05 10:55:00,7.8,7.8,7.8,7.8,418698
