,open,high,low,close,volume
2019-11-04 14:15:00,37.39,37.4,37.39,37.39,79052
2019-11-04 14:20:00,37.39,37.3999,37.39,37.3934,59004
2019-11-04 14:25:00,37.3942,37.4,37.39,37.4,41172
2019-11-04 14:30:00,37.4,37.4,37.39,37.4,52090
2019-11-04 14:35:00,37.4,37.41,37.395,37.4036,56794
2019-11-04 14:40:00,37.4056,37.4058,37.4,37.405,38938
2019-11-04 14:45:00,37.405,37.405,37.4,37.4,287976
2019-11-04 14:50:00,37.405,37.41,37.4,37.41,9662
2019-11-04 14:55:00,37.41,37.41,37.4,37.405,42744
2019-11-04 15:00:00,37.4,37.41,37.4,37.41,61370
2019-11-04 15:05:00,37.405,37.41,37.4044,37.41,86258
2019-11-04 15:10:00,37.4062,37.41,37.4,37.405,57812
2019-11-04 15:15:00,37.405,37.42,37.39,37.39,402238
2019-11-04 15:20:00,37.395,37.4,37.3946,37.395,47676
2019-11-04 15:25:00,37.3948,37.41,37.39,37.4,261106
2019-11-04 15:30:00,37.405,37.4063,37.3865,37.3865,321864
2019-11-04 15:35:00,37.385,37.386,37.38,37.385,100676
2019-11-04 15:40:00,37.38,37.39,37.37,37.38,176810
2019-11-04 15:45:00,37.385,37.39,37.3813,37.39,51920
2019-11-04 15:50:00,37.39,37.39,37.375,37.375,366920
2019-11-04 15:55:00,37.37,37.4,37.37,37.395,240470
2019-11-04 16:00:00,37.39,37.395,37.385,37.39,367027
2019-11-05 09:35:00,37.3565,37.36,37.3265,37.33,297866
2019-11-05 09:40:00,37.3231,37.33,37.32,37.325,28103
2019-11-05 09:45:00,37.3273,37.33,37.32,37.32,40739
2019-11-05 09:50:00,37.33,37.33,37.32,37.325,60108
2019-11-05 09:55:00,37.32,37.3267,37.32,37.325,25979
2019-11-05 10:00:00,37.33,37.33,37.325,37.33,48376
2019-11-05 10:05:00,37.3337,37.34,37.3251,37.334,104399
2019-11-05 10:10:00,37.34,37.34,37.32,37.3223,99955
2019-11-05 10:15:00,37.325,37.33,37.3,37.3024,102906
2019-11-05 10:20:00,37.3042,37.31,37.3,37.3054,22404
2019-11-05 10:25:00,37.306,37.31,37.305,37.3083,22200
2019-11-05 10:30:00,37.305,37.305,37.27,37.275,130231
2019-11-05 10:35:00,37.28,37.3,37.2746,37.295,127534
2019-11-05 10:40:00,37.29,37.2934,37.28,37.285,182555
2019-11-05 10:45:00,37.285,37.29,37.27,37.275,15843
2019-11-05 10:50:00,37.275,37.2858,37.27,37.28,37555
2019-11-05 10:55:00,37.28,37.285,37.27,37.2742,62873
2019-11-05 11:00:00,37.28,37.3,37.27,37.3,79221
2019-11-05 11:05:00,37.2935,37.31,37.29,37.3,67398
2019-11-05 11:10:00,37.305,37.32,37.3,37.32,48107
2019-11-05 11:15:00,37.315,37.325,37.31,37.32,38509
2019-11-05 11:20:00,37.325,37.335,37.315,37.315,90292
2019-11-05 11:25:00,37.315,37.315,37.305,37.305,20306
2019-11-05 11:30:00,37.305,37.32,37.3,37.32,29867
2019-11-05 11:35:00,37.31,37.32,37.31,37.3151,15369
2019-11-05 11:40:00,37.32,37.32,37.312,37.315,21768
2019-11-05 11:45:00,37.315,37.32,37.3142,37.32,35038
2019-11-05 11:50:00,37.32,37.32,37.305,37.305,67595
2019-11-05 11:55:00,37.305,37.31,37.3,37.31,19587
2019-11-05 12:00:00,37.31,37.31,37.31,37.31,10822
2019-11-05 12:05:00,37.301,37.31,37.301,37.31,45776
2019-11-05 12:10:00,37.31,37.31,37.3,37.31,30337
2019-11-05 12:15:00,37.305,37.31,37.3,37.3,21280
2019-11-05 12:20:00,37.3075,37.31,37.3,37.305,21831
2019-11-05 12:25:00,37.305,37.305,37.29,37.292,51647
2019-11-05 12:30:00,37.295,37.3,37.29,37.295,21937
2019-11-05 12:35:00,37.295,37.3,37.29,37.29,26209
2019-11-05 12:40:00,37.29,37.295,37.29,37.29,12216
2019-11-05 12:45:00,37.295,37.295,37.29,37.295,12594
2019-11-05 12:50:00,37.295,37.295,37.285,37.2862,57770
2019-11-05 12:55:00,37.285,37.29,37.2845,37.285,22825
2019-11-05 13:00:00,37.29,37.29,37.28,37.29,24607
2019-11-05 13:05:00,37.29,37.29,37.28,37.28,18865
2019-11-05 13:10:00,37.28,37.29,37.28,37.28,12823
2019-11-05 13:15:00,37.285,37.2867,37.28,37.285,21943
2019-11-05 13:20:00,37.28,37.29,37.275,37.275,123985
2019-11-05 13:25:00,37.27,37.2768,37.26,37.26,35872
2019-11-05 13:30:00,37.26,37.26,37.255,37.2566,50830
2019-11-05 13:35:00,37.256,37.258,37.25,37.25,17748
2019-11-05 13:40:00,37.25,37.25,37.24,37.24,96677
2019-11-05 13:45:00,37.245,37.245,37.24,37.24,78430
2019-11-05 13:50:00,37.245,37.2467,37.235,37.235,106706
2019-11-05 13:55:00,37.238,37.24,37.213,37.2294,198092
2019-11-05 14:00:00,37.23,37.25,37.22,37.25,117287
2019-11-05 14:05:00,37.245,37.25,37.235,37.25,42353
2019-11-05 14:10:00,37.25,37.25,37.242,37.245,26098
2019-11-05 14:15:00,37.25,37.26,37.2493,37.26,45462
2019-11-05 14:20:00,37.26,37.26,37.2556,37.256,25850
2019-11-05 14:25:00,37.26,37.27,37.25,37.265,62399
2019-11-05 14:30:00,37.27,37.27,37.26,37.26,37463
2019-11-05 14:35:00,37.26,37.2658,37.245,37.25,42888
2019-11-05 14:40:00,37.25,37.26,37.25,37.255,33190
2019-11-05 14:45:00,37.255,37.26,37.255,37.26,26848
2019-11-05 14:50:00,37.2562,37.26,37.24,37.25,38075
2019-11-05 14:55:00,37.246,37.26,37.24,37.255,26586
2019-11-05 15:00:00,37.26,37.26,37.25,37.26,36323
2019-11-05 15:05:00,37.255,37.26,37.23,37.23,89567
2019-11-05 15:10:00,37.2368,37.24,37.23,37.23,18338
2019-11-05 15:15:00,37.23,37.24,37.23,37.236,30825
2019-11-05 15:20:00,37.23,37.24,37.23,37.235,25068
2019-11-05 15:25:00,37.2358,37.24,37.23,37.23,40777
2019-11-05 15:30:00,37.23,37.24,37.22,37.22,38442
2019-11-05 15:35:00,37.22,37.24,37.22,37.235,46223
2019-11-05 15:40:00,37.235,37.24,37.23,37.23,47235
2019-11-05 15:45:00,37.235,37.2393,37.2348,37.2393,46500
2019-11-05 15:50:00,37.235,37.25,37.23,37.25,55310
2019-11-05 15:55:00,37.245,37.255,37.24,37.25,75798
2019-11-05 16:00:00,37.26,37.26,37.24,37.25,120623
2019-11-06 09:35:00,37.2773,37.28,37.27,37.275,105729
2019-11-06 09:40:00,37.27,37.28,37.26,37.26,44679
2019-11-06 09:45:00,37.26,37.27,37.26,37.265,18194
2019-11-06 09:50:00,37.2675,37.28,37.265,37.28,45778
2019-11-06 09:55:00,37.28,37.28,37.27,37.2765,12483
2019-11-06 10:00:00,37.28,37.28,37.27,37.27,15367
2019-11-06 10:05:00,37.2736,37.29,37.27,37.28,58352
2019-11-06 10:10:00,37.285,37.3115,37.285,37.3115,60507
2019-11-06 10:15:00,37.315,37.3186,37.3,37.3047,32347
2019-11-06 10:20:00,37.31,37.31,37.3,37.31,16787
2019-11-06 10:25:00,37.31,37.315,37.3,37.315,23677
2019-11-06 10:30:00,37.31,37.315,37.29,37.29,48167
2019-11-06 10:35:00,37.295,37.2965,37.285,37.296,33440
2019-11-06 10:40:00,37.295,37.31,37.29,37.3081,25664
2019-11-06 10:45:00,37.3,37.31,37.29,37.295,19402
2019-11-06 10:50:00,37.3,37.3,37.295,37.3,20457
2019-11-06 10:55:00,37.295,37.3,37.29,37.3,12222
2019-11-06 11:00:00,37.29,37.29,37.28,37.29,26488
2019-11-06 11:05:00,37.28,37.29,37.28,37.287,16272
2019-11-06 11:10:00,37.285,37.29,37.28,37.289,11062
2019-11-06 11:15:00,37.2859,37.29,37.2846,37.2894,9273
2019-11-06 11:20:00,37.285,37.29,37.2842,37.285,18581
2019-11-06 11:25:00,37.28,37.29,37.28,37.28,22375
2019-11-06 11:30:00,37.28,37.29,37.28,37.28,8007
2019-11-06 11:35:00,37.2851,37.29,37.284,37.285,7253
2019-11-06 11:40:00,37.285,37.29,37.28,37.29,17748
2019-11-06 11:45:00,37.2861,37.2987,37.28,37.285,70373
2019-11-06 11:50:00,37.275,37.285,37.275,37.285,75195
2019-11-06 11:55:00,37.28,37.29,37.275,37.275,125563
2019-11-06 12:00:00,37.27,37.29,37.27,37.28,22265
2019-11-06 12:05:00,37.285,37.29,37.28,37.285,17803
2019-11-06 12:10:00,37.285,37.29,37.28,37.29,31104
2019-11-06 12:15:00,37.29,37.29,37.28,37.285,15290
2019-11-06 12:20:00,37.28,37.2864,37.28,37.28,12194
2019-11-06 12:25:00,37.28,37.2816,37.27,37.27,27366
2019-11-06 12:30:00,37.27,37.2757,37.26,37.2666,16000
2019-11-06 12:35:00,37.2656,37.2668,37.26,37.26,4226
2019-11-06 12:40:00,37.27,37.27,37.26,37.26,11373
2019-11-06 12:45:00,37.2688,37.27,37.26,37.2682,13685
2019-11-06 12:50:00,37.26,37.27,37.26,37.26,7305
2019-11-06 12:55:00,37.27,37.27,37.25,37.253,26283
2019-11-06 13:00:00,37.25,37.27,37.25,37.27,23500
2019-11-06 13:05:00,37.2699,37.27,37.26,37.27,17135
2019-11-06 13:10:00,37.27,37.27,37.26,37.265,15695
2019-11-06 13:15:00,37.265,37.27,37.26,37.27,6723
2019-11-06 13:20:00,37.266,37.27,37.26,37.265,25652
2019-11-06 13:25:00,37.265,37.27,37.26,37.266999999999996,6387
2019-11-06 13:30:00,37.265,37.27,37.26,37.265,15848
2019-11-06 13:35:00,37.26,37.2699,37.26,37.2653,5769
2019-11-06 13:40:00,37.26,37.27,37.26,37.26300000000001,10623
2019-11-06 13:45:00,37.27,37.27,37.26,37.265,25871
2019-11-06 13:50:00,37.27,37.27,37.26,37.265,17216
2019-11-06 13:55:00,37.27,37.27,37.26,37.27,19894
2019-11-06 14:00:00,37.27,37.27,37.26,37.26,21797
2019-11-06 14:05:00,37.26,37.27,37.26,37.265,37934
2019-11-06 14:10:00,37.265,37.27,37.26,37.2699,24603
2019-11-06 14:15:00,37.265,37.27,37.26,37.26,10370
2019-11-06 14:20:00,37.265,37.27,37.26,37.265,5957
2019-11-06 14:25:00,37.265,37.27,37.26,37.26,28365
2019-11-06 14:30:00,37.26,37.27,37.26,37.26,10687
2019-11-06 14:35:00,37.27,37.27,37.2634,37.27,12223
2019-11-06 14:40:00,37.265,37.27,37.26,37.2653,37064
2019-11-06 14:45:00,37.2634,37.27,37.26,37.26,19034
2019-11-06 14:50:00,37.26,37.27,37.26,37.26,27360
2019-11-06 14:55:00,37.26,37.2699,37.26,37.26,12736
2019-11-06 15:00:00,37.26,37.27,37.26,37.27,29960
2019-11-06 15:05:00,37.26,37.27,37.26,37.26,23967
2019-11-06 15:10:00,37.26,37.27,37.26,37.265,14559
2019-11-06 15:15:00,37.265,37.27,37.26,37.27,22333
2019-11-06 15:20:00,37.27,37.27,37.26,37.27,16987
2019-11-06 15:25:00,37.27,37.27,37.25,37.25,125184
2019-11-06 15:30:00,37.25,37.27,37.25,37.27,157064
2019-11-06 15:35:00,37.27,37.3,37.26,37.27,606758
2019-11-06 15:40:00,37.27,37.28,37.265,37.28,127938
2019-11-06 15:45:00,37.28,37.31,37.27,37.31,276258
