,open,high,low,close,volume
2019-11-04 14:15:00,2.78,2.79,2.78,2.78,22637
2019-11-04 14:20:00,2.78,2.787,2.78,2.78,21975
2019-11-04 14:25:00,2.78,2.78,2.77,2.77,44535
2019-11-04 14:30:00,2.77,2.79,2.77,2.79,75380
2019-11-04 14:35:00,2.79,2.79,2.78,2.78,23070
2019-11-04 14:40:00,2.7801,2.7848,2.77,2.7788,29651
2019-11-04 14:45:00,2.7787,2.7787,2.77,2.77,26607
2019-11-04 14:50:00,2.77,2.7799,2.77,2.7771,16509
2019-11-04 14:55:00,2.77,2.78,2.77,2.7783,35536
2019-11-04 15:00:00,2.78,2.78,2.7705,2.78,11804
2019-11-04 15:05:00,2.7762,2.78,2.77,2.77,18242
2019-11-04 15:10:00,2.77,2.7787,2.77,2.77,12983
2019-11-04 15:15:00,2.77,2.77,2.76,2.76,44079
2019-11-04 15:20:00,2.76,2.77,2.76,2.765,4066
2019-11-04 15:25:00,2.7701,2.79,2.76,2.7801,77475
2019-11-04 15:30:00,2.78,2.79,2.78,2.79,14166
2019-11-04 15:35:00,2.7901,2.8019,2.7872,2.7951,63407
2019-11-04 15:40:00,2.7951,2.8027,2.7927,2.8001,20599
2019-11-04 15:45:00,2.7995,2.8,2.795,2.7984,20603
2019-11-04 15:50:00,2.7951,2.8027,2.7927,2.8001,59539
2019-11-04 15:55:00,2.7951,2.8026,2.7926,2.7951,46753
2019-11-04 16:00:00,2.79,2.795,2.79,2.79,102051
2019-11-05 09:35:00,2.8201,2.824,2.8127,2.8214,0
2019-11-05 09:40:00,2.82,2.82,2.795,2.795,397785
2019-11-05 09:45:00,2.81,2.81,2.78,2.78,177006
2019-11-05 09:50:00,2.78,2.78,2.7495,2.7495,176530
2019-11-05 09:55:00,2.7451,2.7578,2.74,2.7501,80008
2019-11-05 10:00:00,2.75,2.79,2.75,2.79,136553
2019-11-05 10:05:00,2.79,2.8051,2.785,2.785,53731
2019-11-05 10:10:00,2.7851,2.79,2.78,2.7851,43648
2019-11-05 10:15:00,2.7901,2.7927,2.7527,2.7651,111698
2019-11-05 10:20:00,2.765,2.77,2.75,2.75,93550
