,open,high,low,close,volume
2019-11-04 14:15:00,200.12,200.18,200.12,200.16,50477
2019-11-04 14:20:00,200.16,200.2,200.15,200.2,76591
2019-11-04 14:25:00,200.2,200.26,200.18,200.25,116930
2019-11-04 14:30:00,200.26,200.29,200.254,200.27,682972
2019-11-04 14:35:00,200.28,200.34,200.26,200.32,316791
2019-11-04 14:40:00,200.32,200.34,200.32,200.33,93199
2019-11-04 14:45:00,200.34,200.36,200.3,200.3067,77077
2019-11-04 14:50:00,200.31,200.31,200.29,200.3055,71519
2019-11-04 14:55:00,200.3,200.312,200.238,200.265,205180
2019-11-04 15:00:00,200.27,200.29,200.24,200.27,162950
2019-11-04 15:05:00,200.26,200.27,200.14,200.157,143076
2019-11-04 15:10:00,200.15,200.166,200.1,200.13,93140
2019-11-04 15:15:00,200.13,200.13,199.95,199.97,145462
2019-11-04 15:20:00,199.96,200.0,199.96,200.0,131057
2019-11-04 15:25:00,200.0,200.13,199.97,200.1,156491
2019-11-04 15:30:00,200.09,200.11,199.93,199.98,145523
2019-11-04 15:35:00,199.98,200.09,199.95,200.04,458361
2019-11-04 15:40:00,200.05,200.05,199.91,199.95,402544
2019-11-04 15:45:00,199.94,200.07,199.935,200.04,363123
2019-11-04 15:50:00,200.03,200.08,199.99,200.07,208241
2019-11-04 15:55:00,200.07,200.26,200.0499,200.09,495395
2019-11-04 16:00:00,200.09,200.14,199.94,200.08,898688
2019-11-05 09:35:00,200.26,200.26,200.16,200.2,861470
2019-11-05 09:40:00,200.19,200.25,199.95,200.0665,323633
2019-11-05 09:45:00,200.02,200.09,199.97,200.09,406937
2019-11-05 09:50:00,200.0799,200.1658,199.96,200.1658,649432
2019-11-05 09:55:00,200.17,200.2,200.14,200.165,149385
2019-11-05 10:00:00,200.2,200.21,200.16,200.17,88665
2019-11-05 10:05:00,200.21,200.55,200.19,200.37,585673
2019-11-05 10:10:00,200.37,200.38,199.81,199.92,408823
2019-11-05 10:15:00,199.9065,200.0945,199.7442,199.8065,546851
2019-11-05 10:20:00,199.79,199.93,199.668,199.93,395864
2019-11-05 10:25:00,199.93,200.08,199.9,199.96,198973
2019-11-05 10:30:00,199.94,199.96,199.813,199.83,132541
2019-11-05 10:35:00,199.835,200.0,199.81,199.9161,256589
2019-11-05 10:40:00,199.9161,200.1,199.9082,199.969,215517
2019-11-05 10:45:00,199.96,199.97,199.81,199.82,117114
2019-11-05 10:50:00,199.82,199.87,199.75,199.87,191520
2019-11-05 10:55:00,199.88,199.995,199.81,199.84,139925
2019-11-05 11:00:00,199.86,200.01,199.86,199.91,75831
2019-11-05 11:05:00,199.93,200.09,199.93,200.035,190004
2019-11-05 11:10:00,200.04,200.23,200.025,200.19,205147
2019-11-05 11:15:00,200.2,200.25,200.19,200.22,191704
2019-11-05 11:20:00,200.2358,200.3405,200.2358,200.32,51898
2019-11-05 11:25:00,200.18,200.21,200.14,200.19,253802
2019-11-05 11:30:00,200.19,200.275,200.17,200.24,193844
2019-11-05 11:35:00,200.24,200.265,200.19,200.265,173280
2019-11-05 11:40:00,200.27,200.35,200.181,200.181,157755
2019-11-05 11:45:00,200.1899,200.205,200.125,200.175,109966
2019-11-05 11:50:00,200.17,200.18,200.1,200.11,127935
2019-11-05 11:55:00,200.11,200.23,200.1,200.2129,90506
2019-11-05 12:00:00,200.22,200.33,200.2,200.29,56568
2019-11-05 12:05:00,200.2701,200.4,200.25,200.36,120935
2019-11-05 12:10:00,200.37,200.447,200.34,200.41,90702
2019-11-05 12:15:00,200.42,200.43,200.26,200.27,82879
2019-11-05 12:20:00,200.265,200.3,200.24,200.2633,124141
2019-11-05 12:25:00,200.27,200.355,200.19,200.2,97876
2019-11-05 12:30:00,200.2,200.28,200.16,200.2762,46537
2019-11-05 12:35:00,200.26,200.28,200.182,200.1975,104888
2019-11-05 12:40:00,200.195,200.3,200.19,200.27,345609
2019-11-05 12:45:00,200.28,200.4,200.27,200.4,85929
2019-11-05 12:50:00,200.4,200.455,200.33,200.34,153458
2019-11-05 12:55:00,200.34,200.4,200.33,200.39,44359
2019-11-05 13:00:00,200.39,200.41,200.375,200.41,250407
2019-11-05 13:05:00,200.41,200.42,200.38,200.395,346797
2019-11-05 13:10:00,200.39,200.425,200.36,200.3699,76512
2019-11-05 13:15:00,200.367,200.5,200.367,200.47,176741
2019-11-05 13:20:00,200.45,200.486,200.44,200.44,83503
2019-11-05 13:25:00,200.44,200.45,200.39,200.43,66110
2019-11-05 13:30:00,200.43,200.46,200.42,200.425,85082
2019-11-05 13:35:00,200.41,200.45,200.36,200.45,107867
2019-11-05 13:40:00,200.44,200.46,200.32,200.4,0
2019-11-05 13:45:00,200.405,200.4579,200.38,200.415,47214
2019-11-05 13:50:00,200.42,200.4253,200.3407,200.36,29025
2019-11-05 13:55:00,200.38,200.43,200.365,200.42,85870
2019-11-05 14:00:00,200.42,200.4967,200.4,200.4,126140
2019-11-05 14:05:00,200.4087,200.409,200.33,200.37,93577
2019-11-05 14:10:00,200.375,200.475,200.37,200.47,89803
2019-11-05 14:15:00,200.47,200.49,200.44,200.44,166045
2019-11-05 14:20:00,200.45,200.48,200.445,200.45,51292
2019-11-05 14:25:00,200.45,200.45,200.415,200.45,111971
2019-11-05 14:30:00,200.445,200.45,200.425,200.445,75744
2019-11-05 14:35:00,200.45,200.54,200.45,200.51,123549
2019-11-05 14:40:00,200.51,200.52,200.41,200.42,79059
2019-11-05 14:45:00,200.41,200.45,200.37,200.425,56774
2019-11-05 14:50:00,200.42,200.45,200.3984,200.44,478070
2019-11-05 14:55:00,200.445,200.466,200.425,200.425,58570
2019-11-05 15:00:00,200.4262,200.4456,200.395,200.4,60643
2019-11-05 15:05:00,200.41,200.46,200.34,200.445,82024
2019-11-05 15:10:00,200.45,200.455,200.33,200.4202,75993
2019-11-05 15:15:00,200.42,200.42,200.3467,200.36,67639
2019-11-05 15:20:00,200.36,200.375,200.32,200.375,106512
2019-11-05 15:25:00,200.37,200.45,200.35,200.45,131243
2019-11-05 15:30:00,200.45,200.455,200.32,200.32,46995
2019-11-05 15:35:00,200.3103,200.38,200.24,200.28,147562
2019-11-05 15:40:00,200.28,200.36,200.26,200.355,344027
2019-11-05 15:45:00,200.35,200.4,200.32,200.32,175467
2019-11-05 15:50:00,200.322,200.38,200.22,200.26,221693
2019-11-05 15:55:00,200.23,200.245,200.19,200.22,326990
2019-11-05 16:00:00,200.22,200.24,200.02,200.11,736052
2019-11-06 09:35:00,199.98,200.0,199.57,199.57,1217684
2019-11-06 09:40:00,199.6001,199.67,199.537,199.56,441576
2019-11-06 09:45:00,199.56,199.7,199.52,199.62,262564
2019-11-06 09:50:00,199.635,199.635,199.56,199.6,336819
2019-11-06 09:55:00,199.56,199.66,199.53,199.6469,345606
2019-11-06 10:00:00,199.65,199.78,199.65,199.7,201690
2019-11-06 10:05:00,199.71,199.78,199.67,199.73,138041
2019-11-06 10:10:00,199.72,199.769,199.705,199.745,155012
2019-11-06 10:15:00,199.76,199.82,199.6159,199.64,221052
2019-11-06 10:20:00,199.65,199.6699,199.48,199.58,221920
2019-11-06 10:25:00,199.58,199.67,199.512,199.66,152292
2019-11-06 10:30:00,199.67,199.69,199.38,199.39,196082
2019-11-06 10:35:00,199.39,199.4067,199.27,199.3763,261636
2019-11-06 10:40:00,199.37,199.44,199.26,199.41,613498
2019-11-06 10:45:00,199.4101,199.51,199.39,199.4834,434554
2019-11-06 10:50:00,199.49,199.5,199.44,199.45,259862
2019-11-06 10:55:00,199.46,199.46,199.33,199.33,180757
2019-11-06 11:00:00,199.32,199.32,199.25,199.27,135499
2019-11-06 11:05:00,199.26,199.34,199.25,199.34,119447
2019-11-06 11:10:00,199.355,199.4,199.351,199.4,87493
2019-11-06 11:15:00,199.4,199.4,199.305,199.31,109889
2019-11-06 11:20:00,199.32299999999998,199.48,199.32,199.475,112230
2019-11-06 11:25:00,199.4714,199.475,199.36,199.37,79563
2019-11-06 11:30:00,199.356,199.42,199.3546,199.41,135986
2019-11-06 11:35:00,199.41,199.67,199.3949,199.65,185488
2019-11-06 11:40:00,199.67,199.68,199.6,199.655,85009
2019-11-06 11:45:00,199.66,199.85,199.155,199.17,928162
2019-11-06 11:50:00,199.19,199.4,199.0,199.04,773167
2019-11-06 11:55:00,199.0346,199.05,198.785,198.87,468860
2019-11-06 12:00:00,199.02,199.08,199.01,199.04,311451
