,open,high,low,close,volume
2019-11-04 14:15:00,100.89,101.144,100.865,101.08,29546
2019-11-04 14:20:00,101.08,101.24,101.08,101.22,31490
2019-11-04 14:25:00,101.24,101.33,101.18,101.25,40056
2019-11-04 14:30:00,101.26,101.38,101.25,101.29,44065
2019-11-04 14:35:00,101.315,101.46,101.29,101.29,32930
2019-11-04 14:40:00,101.32,101.395,101.1,101.1715,43980
2019-11-04 14:45:00,101.162,101.2596,101.0395,101.182,22894
2019-11-04 14:50:00,101.15,101.37,101.14,101.32,38388
2019-11-04 14:55:00,101.3,101.5,101.22,101.46,32932
2019-11-04 15:00:00,101.47,101.52,101.37,101.52,19981
2019-11-04 15:05:00,101.5132,101.6096,101.4995,101.5132,18915
2019-11-04 15:10:00,101.4917,101.5979,101.3577,101.4317,31939
2019-11-04 15:15:00,101.43,101.5,101.405,101.44,35335
2019-11-04 15:20:00,101.46,101.51,101.4456,101.49,23486
2019-11-04 15:25:00,101.49,101.615,101.46,101.51,49506
2019-11-04 15:30:00,101.5,101.57,101.37,101.39,30946
2019-11-04 15:35:00,101.4,101.689,101.385,101.65,54236
2019-11-04 15:40:00,101.66,101.66,101.42,101.43,69328
2019-11-04 15:45:00,101.44,101.52,101.4284,101.51,47043
2019-11-04 15:50:00,101.5,101.65,101.48,101.65,50511
2019-11-04 15:55:00,101.64,101.69,101.61,101.61,91580
2019-11-04 16:00:00,101.6,101.69,101.49,101.49,159878
2019-11-05 09:35:00,100.1532,101.879,100.0993,101.7233,309922
2019-11-05 09:40:00,101.73,101.76,101.12,101.12,126665
2019-11-05 09:45:00,101.12,101.66,101.02,101.24,66151
2019-11-05 09:50:00,101.3238,101.56,101.135,101.4938,74198
2019-11-05 09:55:00,101.5091,101.6072,101.2569,101.4341,38664
2019-11-05 10:00:00,101.32,101.32,101.01,101.01,35307
2019-11-05 10:05:00,101.08,101.49,101.04,101.1886,43869
2019-11-05 10:10:00,101.2177,101.5383,101.183,101.2927,32332
2019-11-05 10:15:00,101.2609,101.31,100.988,101.1733,39273
2019-11-05 10:20:00,101.187,101.2897,101.0294,101.072,27357
2019-11-05 10:25:00,101.0742,101.13,100.96,101.0742,61298
2019-11-05 10:30:00,101.1,101.15,100.89,100.9,17074
2019-11-05 10:35:00,100.95,101.33,100.93,101.2601,33207
2019-11-05 10:40:00,101.3136,101.4942,101.1539,101.1736,22288
2019-11-05 10:45:00,101.2382,101.4294,101.0941,101.2632,46026
2019-11-05 10:50:00,101.26,101.35,101.105,101.105,25108
2019-11-05 10:55:00,101.11,101.5,101.11,101.48,47633
2019-11-05 11:00:00,101.49,101.5,101.448,101.47,23866
2019-11-05 11:05:00,101.47,101.525,101.25,101.25,29582
2019-11-05 11:10:00,101.242,101.5499,101.2197,101.472,52931
2019-11-05 11:15:00,101.45,101.56,101.45,101.5296,31987
2019-11-05 11:20:00,101.535,101.58,101.535,101.54,6540
2019-11-05 11:25:00,101.55,101.6,101.51,101.5664,40019
2019-11-05 11:30:00,101.6,101.6,101.44,101.5,19279
2019-11-05 11:35:00,101.5,101.6,101.49,101.55,17832
2019-11-05 11:40:00,101.53,101.6,101.41,101.41,11561
2019-11-05 11:45:00,101.4,101.56,101.39,101.51,10472
2019-11-05 11:50:00,101.4901,101.55,101.46,101.46,17389
2019-11-05 11:55:00,101.48,101.61,101.47,101.51,21968
2019-11-05 12:00:00,101.52,101.58,101.5,101.58,15845
2019-11-05 12:05:00,101.53,101.6,101.44,101.44,16213
2019-11-05 12:10:00,101.45,101.54,101.42,101.53,10125
2019-11-05 12:15:00,101.53,101.55,101.4,101.48,11255
2019-11-05 12:20:00,101.48,101.55,101.37,101.37,17388
2019-11-05 12:25:00,101.38,101.39,101.15,101.15,10750
2019-11-05 12:30:00,101.1716,101.2,101.08,101.1916,14102
2019-11-05 12:35:00,101.21,101.38,101.21,101.37,31154
2019-11-05 12:40:00,101.34,101.55,101.33,101.5,12410
2019-11-05 12:45:00,101.47,101.59,101.47,101.495,16217
2019-11-05 12:50:00,101.495,101.51,101.46,101.5,11855
2019-11-05 12:55:00,101.48,101.56,101.45,101.55,11595
2019-11-05 13:00:00,101.55,101.57,101.49,101.52,13428
2019-11-05 13:05:00,101.505,101.53,101.48,101.53,5633
2019-11-05 13:10:00,101.52,101.56,101.5,101.56,16034
2019-11-05 13:15:00,101.58,101.59,101.53,101.57,18334
2019-11-05 13:20:00,101.5617,101.58,101.4,101.5017,16361
2019-11-05 13:25:00,101.49,101.49,101.38,101.44,7883
2019-11-05 13:30:00,101.42,101.48,101.39,101.47,11800
2019-11-05 13:35:00,101.47,101.55,101.47,101.49,14571
2019-11-05 13:40:00,101.5142,101.53,101.485,101.5042,12248
2019-11-05 13:45:00,101.5,101.54,101.495,101.525,8547
2019-11-05 13:50:00,101.5341,101.6323,101.2869,101.3241,27847
2019-11-05 13:55:00,101.32,101.45,101.32,101.44,11837
2019-11-05 14:00:00,101.46,101.56,101.46,101.48,14945
2019-11-05 14:05:00,101.485,101.5,101.42,101.435,8657
2019-11-05 14:10:00,101.45,101.49,101.43,101.49,10890
2019-11-05 14:15:00,101.5,101.55,101.47,101.48,24376
2019-11-05 14:20:00,101.48,101.56,101.47,101.51,10416
2019-11-05 14:25:00,101.51,101.53,101.34,101.38,38673
2019-11-05 14:30:00,101.33,101.36,101.32,101.35,8195
2019-11-05 14:35:00,101.34,101.51,101.32,101.5,8996
2019-11-05 14:40:00,101.5,101.56,101.48,101.5441,50205
2019-11-05 14:45:00,101.545,101.55,101.47,101.47,18537
2019-11-05 14:50:00,101.45,101.535,101.37,101.37,76533
2019-11-05 14:55:00,101.39,101.44,101.341,101.3414,17517
2019-11-05 15:00:00,101.36,101.39,101.355,101.36,12131
2019-11-05 15:05:00,101.36,101.36,101.16,101.2,15222
2019-11-05 15:10:00,101.2,101.21,101.045,101.07,19745
2019-11-05 15:15:00,101.0627,101.238,101.0278,101.1127,46809
2019-11-05 15:20:00,101.0887,101.12,101.0,101.1042,39101
2019-11-05 15:25:00,101.092,101.1996,101.0595,101.122,60505
2019-11-05 15:30:00,101.11,101.285,101.1,101.2797,35179
2019-11-05 15:35:00,101.28,101.37,101.23,101.37,48576
2019-11-05 15:40:00,101.37,101.43,101.31,101.4,75145
2019-11-05 15:45:00,101.4,101.49,101.4,101.4,61412
2019-11-05 15:50:00,101.405,101.5,101.39,101.43,34981
2019-11-05 15:55:00,101.4,101.43,101.395,101.4297,72945
2019-11-05 16:00:00,101.42,101.44,101.07,101.26,160932
2019-11-06 09:35:00,100.7642,100.97200000000001,100.3164,100.6042,48099
2019-11-06 09:40:00,100.65,101.395,100.645,101.395,48350
2019-11-06 09:45:00,101.4291,101.575,101.315,101.4241,53529
2019-11-06 09:50:00,101.4437,101.555,101.214,101.3786,194490
2019-11-06 09:55:00,101.35,101.7,101.35,101.67,48786
2019-11-06 10:00:00,101.64,101.73,101.58,101.58,43196
2019-11-06 10:05:00,101.545,102.24,101.545,102.1,89468
2019-11-06 10:10:00,102.115,102.3,102.04,102.04,54965
2019-11-06 10:15:00,102.0593,102.13,101.98,102.0793,32829
2019-11-06 10:20:00,102.0538,102.1656,101.9655,102.0138,31869
2019-11-06 10:25:00,102.035,102.08,101.93,102.005,33300
2019-11-06 10:30:00,102.02,102.085,101.89,101.9,49532
2019-11-06 10:35:00,101.8732,101.9699,101.1892,101.2632,39886
2019-11-06 10:40:00,101.26,101.51,101.26,101.46,14793
2019-11-06 10:45:00,101.46,101.705,101.43,101.63,42059
2019-11-06 10:50:00,101.625,101.625,101.46,101.52,15839
2019-11-06 10:55:00,101.5,101.605,101.48,101.58,25232
2019-11-06 11:00:00,101.52,101.67,101.5,101.63,45452
2019-11-06 11:05:00,101.6342,101.8979,101.6077,101.7443,32022
2019-11-06 11:10:00,101.76,101.78,101.67,101.71,24714
2019-11-06 11:15:00,101.695,101.71,101.56,101.56,24094
2019-11-06 11:20:00,101.55,101.63,101.53,101.63,24443
2019-11-06 11:25:00,101.62,101.635,101.54,101.54,33814
2019-11-06 11:30:00,101.56,101.56,101.45,101.45,22142
2019-11-06 11:35:00,101.475,101.755,101.475,101.755,24204
2019-11-06 11:40:00,101.755,101.87,101.75,101.76,27875
2019-11-06 11:45:00,101.76,101.825,101.51,101.51,27304
2019-11-06 11:50:00,101.47,101.87,101.42,101.72,21479
2019-11-06 11:55:00,101.7637,101.7637,101.473,101.495,16472
2019-11-06 12:00:00,101.5,101.74,101.5,101.73,15767
2019-11-06 12:05:00,101.7339,101.9369,101.7339,101.84,12699
2019-11-06 12:10:00,101.9,101.95,101.86,101.86,18159
2019-11-06 12:15:00,101.875,101.89,101.75,101.79,13459
2019-11-06 12:20:00,101.77,101.81,101.76,101.77,23528
2019-11-06 12:25:00,101.76,101.775,101.73,101.77,19086
2019-11-06 12:30:00,101.775,101.79,101.6584,101.66,16771
2019-11-06 12:35:00,101.65,101.76,101.64,101.7,16517
2019-11-06 12:40:00,101.73,101.76,101.69,101.74,9181
2019-11-06 12:45:00,101.74,101.76,101.7,101.73,11879
2019-11-06 12:50:00,101.75,101.77,101.71,101.77,13337
2019-11-06 12:55:00,101.77,101.79,101.68,101.74,17764
2019-11-06 13:00:00,101.73,101.76,101.63,101.76,8546
2019-11-06 13:05:00,101.76,101.81,101.68,101.7,9844
2019-11-06 13:10:00,101.69,101.8,101.68,101.76,8020
2019-11-06 13:15:00,101.79,101.85,101.75,101.78,14276
2019-11-06 13:20:00,101.8,101.82,101.78,101.8,12169
2019-11-06 13:25:00,101.805,101.82,101.78,101.78,17448
2019-11-06 13:30:00,101.79,101.79,101.71,101.72,13329
2019-11-06 13:35:00,101.7317,101.7317,101.64,101.68,8430
2019-11-06 13:40:00,101.7,101.7,101.52,101.52,12547
2019-11-06 13:45:00,101.53,101.73,101.53,101.705,15172
2019-11-06 13:50:00,101.705,101.715,101.7,101.715,7332
2019-11-06 13:55:00,101.72,101.74,101.705,101.74,16608
2019-11-06 14:00:00,101.75,101.75,101.71,101.73,23017
2019-11-06 14:05:00,101.735,101.74,101.57,101.6,11775
2019-11-06 14:10:00,101.62,101.63,101.475,101.5,33652
2019-11-06 14:15:00,101.495,101.5,101.455,101.455,23162
2019-11-06 14:20:00,101.44,101.54,101.35,101.54,10581
2019-11-06 14:25:00,101.5,101.53,101.465,101.52,61541
2019-11-06 14:30:00,101.5312,101.54,101.47,101.485,9097
2019-11-06 14:35:00,101.5,101.54,101.48,101.51,12644
2019-11-06 14:40:00,101.52,101.53,101.4339,101.445,14968
2019-11-06 14:45:00,101.46,101.48,101.37,101.48,10294
2019-11-06 14:50:00,101.44,101.51,101.4,101.5,11001
2019-11-06 14:55:00,101.505,101.505,101.455,101.48,10752
2019-11-06 15:00:00,101.49,101.58,101.475,101.52,39302
2019-11-06 15:05:00,101.53,101.54,101.5,101.5,36218
2019-11-06 15:10:00,101.51,101.525,101.47,101.48,76030
2019-11-06 15:15:00,101.495,101.51,101.38,101.43,19232
2019-11-06 15:20:00,101.42,101.47,101.4,101.47,9543
2019-11-06 15:25:00,101.49,101.56,101.49,101.53,46467
2019-11-06 15:30:00,101.54,101.55,101.44,101.45,78493
2019-11-06 15:35:00,101.49,101.51,101.45,101.4896,16703
2019-11-06 15:40:00,101.48,101.505,101.4539,101.46,25105
2019-11-06 15:45:00,101.48,101.51,101.45,101.46,23931
2019-11-06 15:50:00,101.45,101.5,101.405,101.49,26413
2019-11-06 15:55:00,101.5,101.53,101.434,101.4341,94518
2019-11-06 16:00:00,101.43,101.52,101.28,101.39,156698
2019-11-07 09:35:00,102.0,102.52,102.0,102.315,70108
2019-11-07 09:40:00,102.04,102.225,101.855,101.855,50619
2019-11-07 09:45:00,102.12,102.7,102.12,102.58,62741
2019-11-07 09:50:00,102.66,102.66,102.38,102.38,28393
2019-11-07 09:55:00,102.45,102.54,102.38,102.44,35769
2019-11-07 10:00:00,102.38,102.55,102.28,102.33,25060
2019-11-07 10:05:00,102.3,102.31,101.9449,102.0,19744
2019-11-07 10:10:00,102.0038,102.1556,101.9454,102.0188,21444
2019-11-07 10:15:00,102.0041,102.1445,101.8975,101.9941,26190
2019-11-07 10:20:00,102.0,102.08,101.9692,102.01,20403
2019-11-07 10:25:00,101.99,102.0575,101.94,102.0,14647
2019-11-07 10:30:00,102.005,102.015,101.92,101.97,6203
2019-11-07 10:35:00,101.985,102.36,101.975,102.35,25891
2019-11-07 10:40:00,102.4,102.78,102.4,102.74,30725
2019-11-07 10:45:00,102.7177,102.8295,102.5693,102.5777,16462
2019-11-07 10:50:00,102.5943,102.6887,102.4485,102.4943,21602
2019-11-07 10:55:00,102.482,102.5,102.44,102.5,29385
2019-11-07 11:00:00,102.5,102.5,102.23,102.23,20644
2019-11-07 11:05:00,102.18,102.195,101.94,101.9808,32512
2019-11-07 11:10:00,101.97,102.0,101.78,101.82,11242
2019-11-07 11:15:00,101.802,101.802,101.72,101.75,33598
2019-11-07 11:20:00,101.7529,101.79,101.6148,101.63,21999
2019-11-07 11:25:00,101.64,101.74,101.51,101.58,70437
2019-11-07 11:30:00,101.58,101.85,101.58,101.7401,17971
2019-11-07 11:35:00,101.7427,101.8386,101.5783,101.6077,12220
2019-11-07 11:40:00,101.65,101.79,101.611,101.77,23715
2019-11-07 11:45:00,101.782,102.0101,101.72,101.9319,21587
2019-11-07 11:50:00,101.905,101.91,101.663,101.6632,23093
2019-11-07 11:55:00,101.6638,101.7653,101.5776,101.6438,21229
2019-11-07 12:00:00,101.64,101.82,101.61,101.82,100170
2019-11-07 12:05:00,101.85,102.11,101.825,102.085,23520
2019-11-07 12:10:00,102.07,102.2149,102.07,102.1533,16693
2019-11-07 12:15:00,102.17,102.18,102.0354,102.0626,18030
2019-11-07 12:20:00,102.04,102.16,102.01,102.02,19498
2019-11-07 12:25:00,102.03,102.06,101.94,101.94,10952
2019-11-07 12:30:00,101.95,101.95,101.805,101.84,10928
2019-11-07 12:35:00,101.855,101.855,101.66,101.71,11185
2019-11-07 12:40:00,101.75,101.84,101.67,101.84,34204
2019-11-07 12:45:00,101.8404,101.8404,101.69,101.71,12796
2019-11-07 12:50:00,101.74,101.81,101.715,101.81,20356
2019-11-07 12:55:00,101.85,101.885,101.71,101.74,16772
