,open,high,low,close,volume
2019-11-04 14:15:00,59.6,59.61,59.595,59.6,9113
2019-11-04 14:20:00,59.595,59.6,59.575,59.575,15813
2019-11-04 14:25:00,59.575,59.58,59.565,59.565,20199
2019-11-04 14:30:00,59.535,59.56,59.535,59.545,14935
2019-11-04 14:35:00,59.56,59.57,59.535,59.535,28751
2019-11-04 14:40:00,59.53,59.53,59.515,59.515,14265
2019-11-04 14:45:00,59.52,59.535,59.52,59.52,29707
2019-11-04 14:50:00,59.54,59.54,59.5229,59.53,30106
2019-11-04 14:55:00,59.535,59.535,59.5,59.5,21400
2019-11-04 15:00:00,59.515,59.52,59.5,59.52,26162
2019-11-04 15:05:00,59.525,59.5462,59.525,59.5462,28659
2019-11-04 15:10:00,59.53,59.53,59.49,59.49,28795
2019-11-04 15:15:00,59.495,59.505,59.485,59.495,27027
2019-11-04 15:20:00,59.505,59.53,59.505,59.505,20083
2019-11-04 15:25:00,59.5,59.54,59.48,59.54,28735
2019-11-04 15:30:00,59.5258,59.5258,59.49,59.49,29446
2019-11-04 15:35:00,59.48,59.5,59.48,59.48,44015
2019-11-04 15:40:00,59.485,59.5068,59.48,59.48,33032
2019-11-04 15:45:00,59.485,59.51,59.485,59.49,27782
2019-11-04 15:50:00,59.49,59.49,59.48,59.4862,33179
2019-11-04 15:55:00,59.48,59.49,59.465,59.485,80151
2019-11-04 16:00:00,59.49,59.49,59.45,59.45,178256
2019-11-05 09:35:00,60.11,60.11,60.03,60.05,64050
2019-11-05 09:40:00,60.06,60.06,60.01,60.01,33940
2019-11-05 09:45:00,60.01,60.08,60.01,60.08,12963
2019-11-05 09:50:00,60.04,60.05,60.0351,60.05,23570
2019-11-05 09:55:00,60.07,60.0728,60.05,60.0728,36662
2019-11-05 10:00:00,60.09,60.14,60.07,60.14,51513
2019-11-05 10:05:00,60.14,60.155,60.0628,60.0628,11091
2019-11-05 10:10:00,60.06,60.06,60.015,60.02,11762
2019-11-05 10:15:00,60.02,60.1,60.02,60.09,10362
2019-11-05 10:20:00,60.07,60.12,60.07,60.12,8824
2019-11-05 10:25:00,60.12,60.12,60.0613,60.0613,6765
